,date,hour,title,subtitle,text
0,01/02/2021,17:05,"Bayern loan out Zirkzee, US youngster Richards","Bundesliga giants Bayern Munich confirmed the loan departures of Chris Richards and Joshua Zirkzee on Monday, while naming Liverpool and Chelsea as their main rivals to sign French defender Dayot Upamecano.","Speaking to Sky Sports News, Bayern CEO Karl-Heinz Rummenigge confirmed that 19-year-old Dutch forward Zirkzee was set to join Italian club Parma on loan. ""He wasn't happy at Bayern,"" said Rummenigge, who also confirmed that Parma had the option to buy Zirkzee outright for 15 million euros ($18 million) should they avoid relegation this season. USA youth international Richards meanwhile joined Bundesliga rivals Hoffenheim on a six-month loan deal. The 20-year-old defender follows a path previously trodden by teammate David Alaba, who spent six months at Hoffenheim in 2011 before breaking into the Bayern first team. Alaba himself looks set to leave Bayern in the summer, with Rummenigge telling Sky that the 28-year-old's departure was ""99.9 percent"" certain. The Bayern CEO also reaffirmed the club's interest in RB Leipzig and France defender Upamecano as a possible replacement for Alaba. Yet he admitted that English Premier League clubs Chelsea and Liverpool were also in the race. ""There are at least two other attractive competitors,"" said Rummenigge. ""When clubs like Chelsea and Liverpool are interested in him, it shows what quality the player has,"" he added."
1,01/02/2021,14:47,"Messi fuels Barcelona revival, Marseille violence, Poch beaten: Talking points from around Europe","Lionel Messi kept up his improved form in La Liga as Barcelona won again amid more controversy about the Catalans' finances, while there was drama on and off the field in France and the Milan clubs continue to fight it out at the top of Serie A.","AFP Sport rounds up some of the main talking points from across the continent: Barcelona have said they will take legal action against Spanish newspaper El Mundo after it published details at the weekend of Lionel Messi's current contract, which it says is worth up to 555 million euros ($674 million) over four years. El Mundo called it the ""colossal contract that ruins Barcelona"", just as the Catalans are wrestling with a dire financial situation, worsened by the pandemic, and with Messi's future currently up in the air. Yet the Argentine underlined his value to Barca by scoring a superb free-kick in their 2-1 win over Athletic Bilbao. Barca are unbeaten in 10 n La Liga, winning eight, with Messi scoring eight times in that run. However, both Barcelona and Real Madrid are 10 points behind leaders Atletico Madrid, who beat Cadiz 4-2 and still boast a game in hand. Marseille's weekend game against Rennes in Ligue 1 was postponed after angry supporters attacked the club's training ground, while the players were there, in what was called ""a frenzy of unjustifiable violence"". Local police said 25 arrests were made and seven officers were injured after several hundred Ultras stormed La Commanderie in a protest against the club leadership and the team's poor recent run of results. Marseille's owner, the American tycoon Frank McCourt, called the protestors ""thugs"" and likened the incidents to last month's storming of the US Congress. The growing crisis comes with the former Champions League winners having slumped to ninth in Ligue 1 and after coach Andre Villas-Boas indicated he will leave at the end of the season. On the pitch in France, the title race is hotting up after reigning champions Paris Saint-Germain suffered their first defeat under new coach Mauricio Pochettino, conceding at the death to lose 3-2 at struggling Lorient despite Neymar scoring two penalties. It was a fifth defeat in Ligue 1 this season for PSG, who are third, three points behind leaders Lille. Lille beat Dijon 1-0, while Lyon are two points off top spot in second after scoring late to beat Bordeaux 2-1. It could even become a four-way fight. Monaco are six points off the lead after winning their last five games. Bayern Munich maintained their seven-point lead at the top of the German Bundesliga by beating Hoffenheim 4-1 as Robert Lewandowski scored his 24th goal of the league campaign. After a mini slump, the Bavarians have now four on the bounce and remain well clear of nearest rivals RB Leipzig. The result against Hoffenheim also allowed Hansi Flick's side to exact perfect revenge for their 4-1 defeat away to the same opponents in September, in what was their only loss in 46 matches in all competitions across a remarkable 2020. The only cloud on Bayern's weekend came as midfielder Corentin Tolisso was dropped and fined for getting a tattoo, therefore falling foul of Covid-19 quarantine regulations. Zlatan Ibrahimovic's spat with Romelu Lukaku dominated the headlines last midweek as Inter beat AC Milan in their Coppa Italia derby. On Saturday Ibrahimovic missed a penalty for the fourth time this season but Ante Rebic followed up to score and Franck Kessie later netted another spot-kick as Milan won 2-1 at Bologna. That result kept the Rossoneri two points clear of Inter at the top of Serie A, as Antonio Conte's side beat Benevento 4-0 with Lukaku scoring a brace at San Siro. The Belgian is on 14 league goals for the season and Inter remain best-placed to overhaul Milan, even if Roma, Juventus, Lazio and Napoli all also won at the weekend."
2,30/01/2021,17:40,Bayern Munich go 10 points clear in Bundesliga,Bayern Munich moved 10 points clear at the top of the Bundesliga on Saturday with a 4-1 victory over Hoffenheim as Robert Lewandowski continued his incredible scoring run with his 24th league goal this season.,"Lewandowski scored for the ninth straight Bundesliga game, while Jerome Boateng, Thomas Mueller and Serge Gnabry also hit the net at the Allianz Arena. Bayern extended their lead over second-placed RB Leipzig, who host Bayer Leverkusen later on Saturday. Elsewhere, England winger Jadon Sancho scored his third goal of 2021 as Borussia Dortmund bounced back from consecutive defeats to go fifth with a 3-1 home win against Augsburg."
3,29/01/2021,03:03,Hoffenheim plot new Bayern shock on Munich return,"As the architect of Bayern Munich's single defeat in 2020, Hoffenheim coach Sebastian Hoeness hopes to again down the European champions in the Bundesliga on Saturday when he returns to his former club.","Bayern host mid-table Hoffenheim at the Allianz Arena seeking revenge for September's 4-1 league defeat - their only loss of 2020 in any competition. The shock win over the European champions ""will certainly still be in our heads,"" admitted Hoeness, ""but we want to use this game to annoy Bayern again"". Bayern hold a seven-point lead in the table and are near full-strength with only Corentin Tolisso and Tanguy Nianzou sidelined. After poor results around Christmas, Hoffenheim are back up to 11th thanks to back-to-back 3-0 wins against strugglers Hertha Berlin and Cologne. However, the European champions are a huge test for Hoffenheim on Hoeness' return to Munich, where the 38-year-old coached the reserves last season having previously worked with Bayern's junior teams. A key factor Saturday is the form of Hoffenheim striker Andrej Kramaric, who has scored twice in each of his last two games. Leading the pack chasing Bayern, RB Leipzig host Bayer Leverkusen on Saturday night with both clubs eager to bounce back from defeats. After crashing 3-2 at second-from-bottom Mainz, Leipzig coach Julian Nagelsmann compared Bayern to Germany's high-speed ICE trains and his team to a regional train, struggling to ""catch up"". In order to get back on track, Leipzig must beat third-placed Leverkusen, who trail them by three points. ""The game has no direct influence on the title race - it's all about qualifying for the Champions League,"" Nagelsmann insisted Thursday. Leipzig welcome back Yussuf Poulsen after a groin injury, but playmaker Emil Forsberg is sidelined by a knee knock. Leverkusen, who crashed at home to Wolfsburg last weekend, are missing midfielders Julian Baumgartlinger, who underwent knee surgery on Monday, and Nadiem Amiri, who is quarantined after testing positive for Covid-19. Having slipped out of the European places to seventh, Dortmund host Augsburg on Saturday chasing a first win in four games. ""We have to correct mistakes from set-pieces,"" said caretaker coach Edin Terzic after Dortmund conceded three goals from deadball situations in a 4-2 defeat at Gladbach. Erling Braut Haaland scored twice in the Gladbach defeat, but Dortmund need him and England winger Jadon Sancho to fire their attack. ""When they (Augsburg) make mistakes, we have to be there - ice-cold,"" added Terzic. Eintracht Frankfurt, who are a point above Dortmund in the table and bouyed by a 5-1 thrashing of Bielefeld, are home on Saturday to Hertha Berlin, where Pal Dardai is back in charge. The 44-year-old replaces Bruno Labbadia, who was sacked following their 4-1 thrashing at home by Werder Bremen. Frankfurt striker Luka Jovic has scored three goals in three appearances off the bench since returning on loan from Real Madrid. Dardai predicts it could be ""5-4 or 6-5"" at Frankfurt, who ""score a lot of goals.... we're going there to score one more"". The Croatia striker scored twice in last September's 4-1 win over Bayern and has also netted two goals in Hoffenheim's recent wins against Hertha and Cologne. He is back in form after contracting Covid-19 on international duty last October which sidelined him for seven games. Kramaric will test Bayern's defence and his four goals in two games, ""speak for themselves,"" said Hoffenheim coach Hoeness. 76 - the minutes Luka Jovic has needed for three goals off the bench having been loaned back to Eintracht Frankfurt after failing to settle at Real. 18 - home league games since Bayern last lost at the Allianz Arena when Leverkusen managed a 2-1 win in November 2019. 1 - the single victory Hoffenheim has managed at the Allianz Arena, poaching a 2-1 win in Munich in October 2019. Fixtures (all times 1430GMT unless stated)"
4,23/01/2021,15:44,Hoffenheim's Danish winger Bruun Larsen loaned to Anderlecht,"Denmark winger Jacob Bruun Larsen has left Hoffenheim to join Anderlecht on loan until the end of the season, the Belgian club announced Saturday.","Bruun Larsen first arrived in the Bundesliga at Borussia Dortmund in 2015, at the age of 16, before moving to Hoffenheim in January last year. This season, the now 22-year-old, who has one cap for Denmark, has played two Bundesliga matches for Hoffenheim and appeared once in the Europa League."
5,11/01/2021,13:30,Who is Matthew Hoppe? Meet the new Bundesliga star and Schalke hero,Matthew Hoppe earned instant hero status at Schalke with his hat-trick in the 4-0 win over Hoffenheim on Saturday that saved his club from matching the Bundesliga record for the most consecutive games without a win. So who exactly is this latest young American to break through in Germany?,"At Schalke the 19-year-old is following in the footsteps of Texas-born Weston McKennie, who left the Gelsenkirchen club to join Juventus on loan at the start of this season. There was also Christian Pulisic at Borussia Dortmund before he signed for Chelsea, while Hoppe's peers this season include Gio Reyna at Dortmund, Josh Sargent at Werder Bremen, RB Leipzig's Tyler Adams and Chris Richards at Bayern Munich. And then there is Pellegrino Matarazzo, the New Jersey-born coach of VfB Stuttgart. The Bundesliga has been good to American players in recent years and they have been good for Germany's top flight, helping raise its profile across the Atlantic. Hoppe, though, will settle for being revered in the blue half of the Ruhr region. Hoppe is from southern California and joined Schalke in 2019 after playing for the Barcelona Residency Academy USA in Arizona. He scored 29 goals in 23 games in 2018/19 while playing for Barca's USA academy and committed to San Diego State University before being offered a trial with Schalke. After moving to Germany, he did enough to impress in Schalke's reserves last season despite scoring a single goal in 16 games. The first team's dire form and lack of goals created a chance this season for Hoppe as Schalke's other strikers fell by the wayside. Vedad Ibisevic was sacked in November, Goncalo Paciencia picked up a knee injury and Wales forward Rabbi Matondo struggled before being loaned to English second-tier side Stoke City last week. Promoted to the first team in late November, Hoppe started on his Bundesliga debut, a 4-1 defeat at Borussia Moenchengladbach. Christian Gross, Schalke's fourth coach this season, arrived in late December and has clearly spotted Hoppe's talent. The former Tottenham manager selected him for his first two games, including Saturday's thrashing as Schalke ended an astonishing run of 30 games without a win, one shy of the all-time Bundesliga record of 31 set by Tasmania Berlin in the 1960s. ""I have no words,"" Hoppe said after becoming the first American to score a Bundesliga hat-trick on what was just his fifth appearance in the league. ""The first goal was the easiest as it was pure instinct,"" he said of his deft chip which put Schalke on the path to a first league win since January last year. ""I hope the team can keep fighting, stay confident and stay in the league."" Hoppe needed just 21 minutes for his three goals to become the third-youngest player to score a Bundesliga hat-trick. Ironically, Schalke are in their 30th straight season in the Bundesliga. One of Germany's best-supported teams, Hoppe's goals helped lift them off the bottom of the table, although they remain in the relegation zone, six points from outright safety after 15 games. ""He will always remember this day in his career,"" Gross said of Hoppe. The veteran coach described a player who ""doesn't shy away from working extremely hard"" in training and is ""unbelievably ambitious, has tremendous commitment and only thinks about Schalke. ""He wants to do whatever it takes to get us out of this situation. He's still very young and still has lots to learn in order to become a top-rate finisher, but we're working on that."" His hat-trick instantly made Hoppe Schalke's top scorer this season. Bayern are due in Gelsenkirchen in a fortnight, but Hoppe is not assured of his place with the Royal Blues still on the lookout for another striker. ""Nothing has changed. We're working hard to strengthen the squad - especially up front,"" Gross said."
6,11/01/2021,12:35,"Messi on form, a new American star and Bayern beaten: Talking points from around Europe","Lionel Messi is bang in form in the new year, Schalke avoided matching the Bundesliga record for the most consecutive games without a win and there was a very rare defeat for Bayern Munich.","AFP Sport rounds up some of the main talking points from across the continent: Lionel Messi looks like a man on a mission at the start of 2021 and what could be his final six months as a Barcelona player. On Saturday he scored twice -- including direct from a free-kick, one of his late-career specialities -- in a 4-0 win at Granada. That followed a masterful double and two shots off the post in a 3-2 midweek victory at Athletic Bilbao. Before that he provided the assist for Frenkie de Jong's winner at Huesca, and Barcelona have won three out of three since the turn of the year, while Messi is now La Liga's top scorer. Maybe it's not too late for Ronald Koeman's side to challenge for the title: they are third, four points behind leaders Atletico Madrid, albeit having played three games more. Matthew Hoppe is the latest young American to break through in the Bundesliga and he is already a hero for Schalke supporters. The California-born 19-year-old, who made his debut in November, had never scored a senior goal before netting a hat-trick -- the first ever for an American in the Bundesliga -- in the 4-0 defeat of Hoffenheim that rescued the Royal Blues from equalling an unwanted record. Their first win since January 17 last year, after 30 games without, prevented them from matching Tasmania Berlin's infamous German top-flight record of 31 games without a victory set in 1965/66. Hoppe has given hope to a whole club, and suddenly Schalke have new cause for optimism as they bid to beat the drop. They are off the bottom, above Mainz, but they remain in the relegation zone. Bayern Munich had begun to look a little less irresistible on a run of eight straight Bundesliga matches in which they had conceded the opening goal. But they had won five and drawn three of those matches. Then on Friday they were 2-0 up away to Borussia Moenchengladbach only to lose 3-2, just their second Bundesliga defeat since losing at the same ground in December 2019. It is a result that keeps the Bundesliga title race very much alive, although Hansi Flick's team have a winnable run of matches upcoming and they remain top, two points clear of RB Leipzig, who lost 3-1 at home to Borussia Dortmund, for whom Erling Braut Haaland scored twice. Third-placed Bayer Leverkusen are four points off the top after drawing 1-1 with Werder Bremen. Three days after a 3-1 home loss to reigning champions Juventus which ended a 27-game unbeaten run in Serie A stretching back to June, AC Milan bounced back to beat Torino 2-0 at San Siro. With second-placed city rivals Inter drawing at Roma, Milan are now three points clear at the top of the table, and remain seven ahead of Juventus, who are fourth but do have a game in hand. Added good news for Milan came with the return of veteran top scorer Zlatan Ibrahimovic as a late substitute for his first appearance since November 22 after injury. The Swede came on for Rafael Leao, who had earlier scored his third goal in five games. Can Zlatan now fire the Rossoneri to their first Scudetto since 2011? Mauricio Pochettino got his first victory as coach of Paris Saint-Germain, a 3-0 defeat of Brest, but it is Lyon who lead halfway through the Ligue 1 season. They claimed the symbolic title of autumn champions after coming back from 2-0 down to draw 2-2 at Rennes on Saturday with Memphis Depay scoring one fine goal before setting up Jason Denayer's equaliser. Rudi Garcia's team are unbeaten in 16 games although both PSG and Lille are just a point behind, and there is a very long way to go. Ensuring Depay stays to see out the remainder of his contract rather than leaving this month will be crucial."
7,09/01/2021,18:25,Schalke avoid Bundesliga longest winless run after Hoppe hat-trick,Schalke avoided a record-equalling 31st consecutive Bundesliga game without a victory on Saturday as American teenager Matthew Hoppe netted a hat-trick in a 4-0 thrashing of Hoffenheim to lift his side off the bottom of the table.,"After the 30-match run in the league, the Royal Blues enjoyed their first Bundesliga win in just under a year as 19-year-old Hoppe converted three chances created by Morocco's Amine Harit, who scored the fourth goal. ""The relief is big, huge even. But that was only one step. Now we have to move on,"" said sports director Jochen Schneider with his side still four points from guaranteed safety in the table. After his impressive display, Hoppe shyly claimed he had ""no words"" to describe the euphoria. ""I hope we keep fighting,"" he added. Mainz replace Schalke at the bottom of the table after a 2-0 home defeat to Eintracht Frankfurt, while Tasmania Berlin, who went 31 games without a win in the 1965/66 season, keep the Bundesliga record for the longest winless run. After league leaders Bayern Munich crashed to a 3-2 defeat at Borussia Moenchengladbach on Friday, second-placed RB Leipzig can go top with a home win against Borussia Dortmund later on Saturday. In Gelsenkirchen, Hoffenheim were missing 11 players either injured or suspended, while the hosts were captained by Sead Kolasinac, 27, who was making his first Schalke appearance back on loan from Arsenal. Both teams had early chances, but Hoppe got the breakthrough with a deft chip to put Schalke ahead just before the break. The teenager doubled the hosts' lead on 57 minutes when Harit's pass again put him in behind the defence to calmly round Hoffenheim's goalkeeper and fire into an empty net. Hoppe claimed his hat-trick just after the hour mark when put into space by another sublime Harit pass to fire home with another deft chip. Harit then completed the rout by hitting the bottom left-hand corner ten minutes from time. After defeats to Bayern and Eintracht Frankfurt, third-placed Bayer Leverkusen drew 1-1 at home to Werder Bremen as Patrik Schick equalised after Omer Toprak put Bremen ahead from a free-kick with only their second chance of the game. Union Berlin climbed to fourth after a controversial 2-2 draw at home to Wolfsburg, who came from behind after Maximilian Arnold was sent off just after the break. Renato Steffen gave Wolfsburg an early lead with a header, but Union striker Sheraldo Becker equalised with a crisp shot after squandering a clear chance. It was 1-1 at the break, but Arnold was shown a straight red for a nudge on Liverpool loanee Taiwo Awoniyi just outside the area and Union midfielder Robert Andrich fired in the resulting free-kick on 52 minutes. Union had the ball in the net again with an hour played, but the goal was disallowed as the referee judged Awoniyi had fouled Wolfsburg goalkeeper Koen Casteels. Wolfsburg striker Wout Weghorst equalised on 67 minutes by converting a penalty after a handball by Union defender Marcus Ingvartsen. Freiburg set a new club record of five straight league wins, which has seen them climb from 14th to eighth in the table, with a 5-0 romp at home to Cologne."
8,08/01/2021,12:01,Kolasinac back to help Schalke avoid record-equalling 31 winless games,Bundesliga bottom side Schalke welcome back Arsenal loanee Sead Kolasinac on Saturday in their desperate bid to avoid a league-record equalling 31 games without a win.,"Having joined Arsenal in 2017, Kolasinac, a product of Schalke's academy, returns on loan until the end of the season to help the club fight relegation after nearly thirty consecutive years in Germany's top flight. Their last league win was in January 2020 and failure to beat Hoffenheim at home will see Schalke equal the record of Tasmania Berlin, who went 31 games without a win during their single, disastrous Bundesliga season in 1965/66. ""No one should be afraid of this challenge,"" demanded Kolasinac, who made 123 appearances for Schalke from 2012 until 2017. ""I have a strong back, but I can't carry the whole load alone. ""We all have to stick together. We need the fans, the whole club, the supervisory board."" Approaching the halfway point of the season, Schalke are bottom and seven points from 15th which means guaranteed survival. Under Christian Gross, their fourth head coach since September, cash-strapped Schalke need a new forward after Wales striker Rabbi Matondo joined Stoke City on loan. Schalke are desperate to avoid matching Tasmania Berlin, who played in the 1965/66 Bundesliga season as last-minute replacements after Hertha Berlin were thrown out for breaking salary rules. Catapulted up from the regional leagues, Tasmania scored only 15 goals, won two of their 34 games, conceded a league-record 108 goals and were relegated in last place, never to return to the Bundesliga. Despite winning their first game in front of 80,000 at Berlin's Olympic Stadium, heavy defeats saw interest dwindle and just over 800 spectators turned up to one home game. ""It was a suicide mission,"" Hans-Gunter Becker, who captained Tasmania in 1965/66, told AFP subsidiary SID. ""We also had 800 spectators for one game, a record that will never happen again, unless you include the coronavirus era, but there is no need to talk about that."" The 82-year-old still remembers the stress of being branded the league's worst side and has sympathy with Schalke. ""I know from experience about this burden that weighs on the players,"" he added. ""I would really like it if the Schalke players find it in their hearts to say 'Let's leave the record to Tasmania'."""
9,08/01/2021,02:46,Road to nowhere: How bad is Schalke's wait for a win?,"Schalke host Hoffenheim on Saturday needing victory to avoid equalling the all-time Bundesliga record for most matches without a win of 31 games, set by Tasmania Berlin in the 1965/66 season.","Here, AFP Sport takes a look at other miserable winless streaks in Europe's biggest leagues: Derby County: 32 Premier League matches (2007/08) -- Newly-promoted Derby set multiple records in the 2007/08 Premier League, including the lowest points tally of only 11 from their 38 games. The Rams' only league win of the campaign came in their sixth fixture against Newcastle United, but they failed to secure another victory and were relegated in March. Sporting Gijon: 24 La Liga matches (1997/98) -- Sporting set several records in the 1997/98 La Liga season, including the longest winless run of 24 games, although that spanned two terms. They finished bottom of the Spanish top flight with a La Liga record-breaking 13 points, although they did at least win two games after finally snapping the streak on February 8, 1998. Like Derby, they were relegated in March, becoming the first La Liga side to have their fate sealed before April. Ancona: 28 Serie A matches (2003/04); Varese: 28 Serie A matches (1971/72) -- Ancona failed to win a single Serie A game between September 2003 and April 2004, although they did at least manage seven draws in their 28-match winless run. They mustered 13 points over the whole season, which fittingly ended in bankruptcy and relegation to the Italian fourth tier. Their run matches that of Varese, whose ""achievement"" in going 28 matches without a win was arguably even more impressive as it came in a 30-game season, in a 16-team league, in 1971-72. The club from just north of Milan, near the shores of Lake Maggiore, went almost the entire campaign without a victory before breaking their duck in the penultimate round of matches. Needless to say they finished bottom. Arles-Avignon: 23 Ligue 1 matches (2010/11) -- Arles-Avignon ""enjoyed"" a single season in France's top flight in 2010/11. They lost their first eight games in Ligue 1, eventually recording their maiden victory in early November. However that was followed by a miserable sequence of 23 games without tasting another win. By the time they won again, they had already been relegated. In fact their fate was sealed in record quick time, with seven games of the campaign remaining, and they finished 15 points adrift at the foot of the table. In 2015 they dropped down into the amateur ranks and are these days to be found plying their trade in the regional leagues. -- Although far from Europe's top leagues, Scottish outfit Fort William were dubbed the UK's ""worst professional football team"" during a run of 73 games without a win in all competitions. The Highland League outfit finally ended more than 700 days without success in 2019 with a North of Scotland Cup triumph over Nairn County. In the 2018-19 season, Fort William finished bottom of their league with minus seven points following a nine-point deduction, conceding 245 goals in 34 matches."
