,date,hour,title,subtitle,text
0,16/01/2021,23:19,PSG beat Angers to go top of Ligue 1 without Pochettino,A rare Layvin Kurzawa goal was enough for Paris Saint-Germain to beat Angers 1-0 on Saturday and go top of Ligue 1 despite coach Mauricio Pochettino testing positive for Covid-19 before the game.,"Kurzawa scored with 20 minutes left at the Stade Raymond Kopa to send PSG provisionally two points clear of Lyon, who will have the chance to reclaim first place when they host Metz on Sunday. Assistants Jesus Perez and Miguel D'Agostino took charge of the PSG side with Pochettino having to self-isolate after the announcement on Friday that he had contracted the virus. The Argentine's positive test followed those of three Paris players -- Brazilian Rafinha, Germany's Thilo Kehrer and French Under-21 international Colin Dagba -- in the last week. However, Neymar made his return to the starting line-up in Angers for the first time since suffering an ankle injury in a defeat to Lyon a month ago. With Kylian Mbappe and Angel di Maria also starting behind Moise Kean in attack, it was a strong Parisian line-up but they appeared to play within themselves against an Angers side who sit seventh. The home team even almost went ahead early in the second half when a Lois Diony diving header from close range was well saved by Keylor Navas. Stephane Bahoken also saw an attempt deflected over before PSG broke through in the 70th minute. Alessandro Florenzi's cross from the right was inadvertently helped on by Angers defender Romain Thomas for Kurzawa, arriving from left-back, to score his first goal in almost a year with a first-time cushioned volley at the back post. It was a third win in four games for PSG since former Tottenham Hotspur coach Pochettino was appointed two weeks ago. He won his maiden trophy in midweek when the reigning Ligue 1 champions beat Marseille 2-1 to claim the Champions Trophy, the French equivalent of a Super Cup. Before Lyon play on Sunday night, third-placed Lille can also go level on points again with PSG if they beat Reims. Meaanwhile Marseille's hopes of staying in the title race were dealt another blow earlier on Saturday as Florian Thauvin missed a penalty in a shock 2-1 home defeat by struggling Nimes. France World Cup winner Thauvin sent a woeful spot-kick wide in the first half and Swedish winger Niclas Eliasson then converted twice from close range after the break to give the away side an unassailable lead behind closed doors at the Velodrome. Argentine forward Dario Benedetto pulled one back late on for Andre Villas-Boas's side but this result left them with just one win in six Ligue 1 games. Marseille are sixth in the league, now 10 points behind leaders PSG, albeit still with two games in hand. ""We risk losing touch with the teams at the top, who are more consistent than us,"" said Villas-Boas. ""We were very bad and we paid an expensive price for it. We can't go from playing well against Paris to a miserable match like today."" Nimes move off the foot of the table after their first win in nine, but they remain in the bottom three. The two sides below them, Lorient and Dijon, had their clash set for Sunday postponed after a Covid-19 outbreak at the Brittany club."
1,23/10/2020,23:02,Rennes lose to Angers as fans try to beat curfew record,"Rennes sent 5,000 fans racing home to beat a curfew on Friday ruing another wasted lead after their team lost 2-1 at home to Angers in Ligue 1.","A spike in Covid-19 cases in the region brought the introduction of a curfew from midnight on Friday. That gave fans barely an hour to get home after the match or risk a 135-euro ($160) fine. Rennes could have moved to the top of Ligue 1 with a victory, instead, they suffered their first defeat of the season as, for the fourth time in four games, they blew a lead. This time they did not even gain a draw. The home team started well. After 18 minutes, Paul Bernadoni, Angers record signing, failed to hold a tame volley from Flavien Tait. Adrien Hunou pounced on the loose ball to slide it in from close range. Angers quickly hit back. In the 27th minute, former Southampton player Sofiane Boufal's shot from the edge of the box took a small deflection off Steven Nzonzi and a bigger one off Damien Da Silva before flying past Alfred Gomis. In the 57th minute, Angelo Fulgini chasing a long punt forward wriggled past Da Siva and stretched out a toe to lob the ball over Gomis to give Angers the lead. Almost at once, Gomis atoned with a spectacular save from a point-blank Boufal header. The victory lifted Angers into the top six. ""For us, it's an exploit,"" said Angers coach Stephane Moulin adding that the Champions League had taken a toll on Rennes. ""They used a lot of energy on Tuesday evening."" Angers had conceded 10 goals over their last two away games. ""We had to close the floodgates and I liked the way we did it,"" said Moulin Rennes manager Julien Stephan made five changes to the starting lineup from the club's Champions League debut against Krasnodar on Tuesday when they squandered a lead and drew 1-1 at home. ""I'm disappointed with our match, with the two faces we showed,"" said Stephan. ""We know it's difficult to play every three days but we fought like hell last season to get the chance to play these matches one after the other."" In that European match, the Rennes ultras, many without masks, had grouped behind the goal and celebrated together when their team took the lead. On Friday, UEFA announced it had opened a disciplinary investigation against Rennes for violating its health protocol and failing to ""maintain social distancing"". For the game against Angers, the club again allowed 5,000 spectators to attend, insisting it would enforce stricter distancing rules and enforce a four-seat gap between them. ""We asked them to distribute these 5,000 spectators in the four stands"", said the prefect of Brittany, Michele Kirry. As they watched their team lose to Angers, the fans were carefully spaced around the stadium, which might have also made it easier for them to rush for the exits at the final whistle as the match ended just over an hour before the curfew started. ""The curfew order only comes into force at midnight tonight,"" said Kirry. ""It's very complicated to cancel things on the day they are scheduled."""
2,02/10/2020,23:30,Neymar bags brace as PSG hit six,Neymar scored twice for Paris Saint-Germain in a crushing 6-1 win over Angers on Friday as the French champions continue to build up momentum following a poor start to the Ligue 1 season.,"Alessandro Florenzi, Julian Draxler, Idrissa Gana Gueye and Kylian Mbappe were also on target at the Parc des Princes for PSG, who claimed their fourth consecutive victory after starting the campaign with two straight defeats. Thomas Tuchel's side move up to second in the early table, a point behind leaders Rennes who play Reims on Sunday. There were only 1,000 spectators allowed into the Parc des Princes as authorities clamp down on gatherings amid a new rise in coronavirus cases in the French capital, but the few who were there saw Florenzi open the scoring with a lovely goal in the seventh minute. The Italian right-back, who remains PSG's only new face for this season so far after joining on loan from Roma, controlled the ball in the box before netting with a delightful volley into the far corner. Mbappe then cut the ball back for Neymar to score in off the underside of the bar as PSG doubled their lead before half-time. Neymar was starting after avoiding punishment following allegations of racist and homophobic abuse in an ill-tempered defeat by Marseille last month. The French league's disciplinary committee ruled on Wednesday that it did not have sufficient proof to take action against the Brazilian or Marseille defender Alvaro Gonzalez, who Neymar had accused of calling him a ""monkey"". The world's most expensive player scored his second and PSG's third goal on the night just after half-time, finishing first-time as the ball broke to him in the box. The goals were his first two of the new season after a start to the campaign disrupted by a positive Covid-19 test and suspension. Ismael Traore soon pulled one back for Angers with a back-post header, but Mitchel Bakker crossed for Draxler to make it 4-1 and Gueye added another with a deflected strike. Mbappe completed the scoring by converting from a Pablo Sarabia assist six minutes from the end, and PSG look to have definitively put their defeat by Bayern Munich in the Champions League final in August behind them. Coach Tuchel will now hope to see more new faces arrive before Monday's transfer deadline, with a busy schedule lying in store once the Champions League group stage begins later in October. Paris will start their continental campaign at home to Manchester United on October 20."
3,02/03/2020,12:30,African players in Europe: Sarr sparkles as Watford stun Liverpool,Ismaila Sarr overshadowed fellow Senegalese Sadio Mane by scoring twice as lowly Watford won 3-0 to end the 44-match unbeaten Premier League streak of runaway leaders Liverpool.,"Mane has been among the key figures as the Reds march toward a first league title in three decades, but he had to take a back seat at Vicarage Road as Sarr blossomed. His pace and trickery unsettled Liverpool and he was rewarded with two goals before setting up Troy Deeney for the third. ISMAILA SARR (Watford) The Hornets' record signing was up against his idol Mane and stabbed home the opener at the near post and then showed his pace and poise to chip Alisson Becker for Watford's second. Sarr then turned provider for the third as he teed up Deeney to complete a famous win that lifted Watford out of the bottom three. JORDAN AYEW (Crystal Palace) Ayew scored the only goal as Palace got the better of rivals Brighton to ease any fear of being dragged into a relegation battle. The Ghanaian's strike took his league tally for the season to seven -- matching his best tally for a single campaign in England. MBWANA SAMATTA (Aston Villa) Samatta did Tanzania proud by scoring in the League Cup final against Manchester City, but his diving header at the near post just before half-time was merely a consolation for Villa as City won 2-1 to lift the trophy for a third straight season. YOUSSEF EN-NESYRI (Sevilla) En-Nesyri scored a 93rd-minute winner as Sevilla beat Osasuna 3-2 to move up to third in La Liga. The Moroccan striker, who joined Sevilla from Leganes in January, opened the scoring with a guided shot into the corner before Lucas Ocampos made it two on the stroke of half-time. Osasuna came back in the second half through goals from Aridane and Roberto Torres, only for En-Nesyri to snatch victory for Sevilla in injury-time with a close-range finish. RAMY BENSEBAINI (Borussia Moenchengladbach) Algerian Bensebaini scored a crucial early goal for Moenchengladbach as they beat Augsburg 3-2 to keep pace with the top of the Bundesliga table. Bensebaini, in his first start in 2020 after returning from injury, headed home a cross from Lars Stindl to put the visitors 1-0 up. When asked how it felt to be back in the Foals' line-up after the match, he simply replied ""it was fun"". ACHRAF HAKIMI (Borussia Dortmund) Having made his name as one of Dortmund's best going forward this season, the Real Madrid loanee was called on to do more than his fair share of defending against a stubborn Freiburg side. Working on the edge of a four-man midfield, Hakimi's pace was valuable during the 1-0 win as he snuffed out several Freiburg counter attacks. He did have a shot on goal deflected in the dying stages but was unable to add to his tally of two Bundesliga goals this season. STEPHANE BAHOKEN (Angers) The Cameroon striker was rewarded with a start for his team at Brest after coming off the bench against Montpellier last weekend and scoring the winner a minute later. He delivered again in Brest, although he needed a full 43 minutes to bag the only goal of the match this time. MAX-ALAIN GRADEL (Toulouse) Ivory Coast winger Gradel, 32, returned to the Toulouse starting line-up last weekend for the first time in a Ligue 1 game since early December following injury. He kept his place and wore the captain's armband but could not prevent the division's bottom side from going down 2-0 at home to Rennes. They have now taken just a single point from their last 17 league games and are heading fast towards relegation. KARL TOKO-EKAMBI (Lyon) Cameroon forward Toko-Ekambi, who joined Lyon on loan from Villarreal in January, came off the bench and contributed to their 2-0 win over derby rivals Saint-Etienne. Having earlier had a goal disallowed for offside, he won the late penalty which Moussa Dembele scored to seal the victory. Toko-Ekambi had started the 1-0 Champions League last-16, first leg win over Juventus in midweek and hit the bar in the first half against the Italians."
4,05/02/2020,20:19,French soccer chairman charged with sexual assault: prosecutor,"The chairman of top-flight French football club Angers was charged Wednesday with sexual assault, a prosecutor said Wednesday, in the latest scandal to rock sports in the country.","Three employees and one former employee filed complaints against 55-year-old Said Chabane, who was detained for questioning earlier in the day, prosecutor Eric Bouillard said. Chabane was charged with sexual assault by ""a person who abuses the authority conferred on him by his role,"" Bouillard added. The investigation was opened in January after three women -- one an employee of the Ligue 1 side, the other former staffers -- came forward with allegations against the club's chief. A fourth woman, who had been identified by investigators as a potential victim, also filed a complaint on Wednesday. The four were all aged between 20 and 25 at the time of the alleged assaults, which took place between 2014 and 2019, Bouillard said. Some of the women allege they were caressed in a forceful way in intimate areas by Chabane. The club had earlier issued a statement saying Chabane rejected all the allegations against him and would fully cooperate with investigators. ""He will offer the judicial authorities all the elements needed to re-establish the truth and preserve his honour,"" it said. Angers are currently placed 13th in Ligue 1. The case comes as the sport of ice skating in France was rocked by claims from former world championship bronze medallist Sarah Abitbol that she was raped by coach Gilles Beyer from 1990 to 1992, starting when she was just 15 years old. An investigation into those allegations has also been launched. Beyer, 62, has admitted to having had ""intimate"" and ""inappropriate"" relations with Abitbol, and told AFP he was ""sincerely sorry""."
5,25/01/2020,20:37,Marseille's slim title hopes hit by Angers stalemate,"Andre Villas-Boas' Marseille laboured to a tame 0-0 draw at home against Angers on Saturday, handing Paris Saint-Germain the chance to move 10 points clear at the top of Ligue 1.","Second-placed Marseille are seven points adrift of reigning champions PSG, who visit last year's runners-up Lille on Sunday. The hosts rarely threatened against a solid Angers outfit at the Stade Velodrome, but did extend their unbeaten run in all competitions to 12 matches. Villas-Boas defended his side when asked if they rely too much on star Dimitri Payet, who missed the game through suspension. ""With 11 guys behind the ball, where do you want us to go? You need dribbling, winning duels, finding the last pass or goal and Payet does just that,"" said the Portuguese coach. ""But Barcelona are (Lionel) Messi-dependent, Juve are (Cristiano) Ronaldo-dependent. If we are Payet-dependent, I have no problem with that."" Nemanja Radonjic fired narrowly wide for Marseille on the stroke of half-time, while the away side almost snatched a 90th-minute winner when Antonin Bobichon's effort flew over. But Angers failed to muster a single shot on target, with their opponents managing just two. Marseille sit five points clear of Rennes in the race for automatic qualification for next season's Champions League group stage, after the third-placed side were held to a 1-1 draw at Nice on Friday. Elsewhere on Saturday, Monaco slipped to a 3-1 home defeat by Strasbourg to leave new coach Robert Moreno still waiting for a first Ligue 1 win after three matches. The principality club, who drew 3-3 with PSG before being thrashed 4-1 by the champions in former Spain boss Moreno's first two league games, sit 12th in the table and eight points behind Rennes. Montpellier edged out struggling Dijon 2-1 to move into fourth, while former Sunderland winger Wahbi Khazri scored twice in Saint-Etienne's 2-1 win over Nimes."
6,03/12/2019,21:09,"Maja hat-trick hammers Nimes, Marseille close gap",Nigeria international Josh Maja scored a hat-trick as Bordeaux hammered Nimes 6-0 to go third in Ligue 1 as Andre Villas-Boas' second-placed Marseille moved within two points of leaders Paris Saint-Germain on Tuesday with a 2-0 victory at Angers.,"London-born Maja, 20, who joined the French club from Sunderland in January, netted three times in half an hour in a game delayed for 25 minutes as more than 20 Bordeaux fans invaded the pitch at the Matmut Stadium. The supporters, who climbed down onto the field after 11 minutes, were targeting club president Frederic Longuepee after being refused from flying a banner calling for his resignation. ""It's an amazing feeling, I don't think it has sunk in yet,"" Maja told broadcasters Canal+. ""Once I get home and speak to my family will I realise what I've done and I'll be really happy,"" he added. Maja, who made his debut for the Super Eagles in October's friendly draw with Ukraine, claimed his first after 24 minutes and added a second to double his tally for the season 13 minutes later. He saved his best finish for this third effort firing high above Paul Bernardoni eight minutes into the second half for his first hat-trick in senior football. Nicolas De Preville and a double from Brazilian midfielder Otavio made sure of all three points moving Paulo Sousa's side up to third in the table, five points behind Marseille. Midfielder Dimitri Payet was involved in both goals at Angers, setting up Morgan Sanson for the opener before converting from the penalty spot as Andre Villas-Boas' side extended their unbeaten run to five. ""PSG's position doesn't occupy our minds, our goal is to finish second at the end of the season,"" Villas-Boas said. ""If we can beat Bordeaux on Sunday it can allow for a bit of a gap on other teams before the Christmas break,"" he added. The Portuguese boss kept faith with the side which beat Brest 2-1 on Friday electing against giving match-winner Nemanja Radonjic a spot in the starting lineup. Angers boss Stephane Moulin made five changes from the weekend's loss to Nice as Ismail Traore took over the captaincy from Thomas Mangani. Villas-Boas' men claimed the lead after 17 minutes as Sanson registered his second goal in four league games. Payet played his free-kick quickly to find midfielder Sanson who side-footed cooly past Ludovic Butelle. The former West Ham playmaker doubled the advantage after 41 minutes slotting his third penalty of the season. Japan right-back Hiroki Sakai was tripped up in the Angers box and the France attacker scored his fifth goal of the season. Marseille held on during the second half to move on to 31 points, with PSG, who have played two games fewer, on 33. Elsewhere, Italian Cristian Battocchio scored a hat-trick as Brest moved up to 12th spot with a 5-0 hammering of Strasbourg. And Lyon lost 1-0 at home to Lille after defensive errors enabled Jonathan Ikone to grab the decisive goal. On Wednesday PSG can restore their five-point lead over Marseille as they welcome Nantes, who have recovered from a run of four straight defeats, to the French capital."
7,05/10/2019,20:56,Icardi scores first Ligue 1 goal as PSG cruise past Angers,Mauro Icardi scored his first Ligue 1 goal as Paris Saint-Germain moved five points clear at the top of the table with a 4-0 thrashing of high-flying Angers on Saturday.,"The reigning champions had suffered a shock 2-0 loss in their previous home game against Reims, but had no such trouble at the Parc des Princes on this occasion despite their opponents' surprisingly strong start to the season. PSG head into the international break totally in control of the title race, although Nantes, who leapfrogged Angers into second on goal difference, could cut the gap to two points when they host Nice later on Saturday. ""It's a good end to this period for us, and with a clean sheet, that's good,"" said Paris coach Thomas Tuchel, who saw three of his recent signings score as Pablo Sarabia and Idrissa Gueye also found the net. ""With the recruits, we have gained personality and experience. We are more reliable."" Neymar's late strike rounded off a strong individual display as he continued to repair his relationship with the team's fans after failing in his effort to force through a return to Barcelona. ""It (the situation) is better, it's easier,"" said Tuchel of Neymar. ""It's up to him to show that he is decisive, that he gives everything. ""He is suffering and working for us. It's not necessary to talk... He scored another goal today, he did a lot of dribbling, decisive things. ""He is capable of doing more extraordinary things, and it's to him to show them."" Tuchel opted to rest Angel Di Maria, as on-loan Inter Milan striker Icardi was rewarded for his first PSG goal in midweek at Galatasaray with a full Ligue 1 debut. The capital city club remained without the injured Edinson Cavani, while Kylian Mbappe missed out after suffering a setback in his recovery from a thigh problem. But the first opportunity fell to in-form Angers forward Rachid Alioui, although the Algerian dallied on the ball and home goalkeeper Keylor Navas was able to save with his foot. The hosts took the lead in the 13th minute, though, as Ander Herrera played in Sarabia, who cut inside and wrong-footed Ludovic Butelle in the Angers goal to net for the first time since joining PSG from Sevilla in the close-season. The visitors continued to threaten on the counter-attack, with Navas having to beat away Baptiste Santamaria's long-range drive. The game was all but ended as a contest eight minutes before the break, as Neymar and Sarabia combined to give Icardi the simplest of tasks to fire into the roof of the net. Although Spain international Sarabia scuffed a rebound after his initial shot was cleared off the line just before the hour mark, former Everton midfielder Gueye was on hand to tap in his first PSG goal. But there was little respite for Angers, as Neymar launched a one-man mission in his attempt to get on the scoresheet. The Brazilian was twice denied by Butelle in quick succession, before the goalkeeper produced a brilliant save with his legs when the world's most expensive player was clean through on goal. Neymar eventually found a way past Butelle in the final minute, rounding the 'keeper and slotting into an empty net to complete a straightforward outing for PSG with his fourth goal of the campaign."
8,13/09/2019,21:14,Nigeria's Osimhen scores again as Lille beat Angers,Nigerian youngster Victor Osimhen scored his fifth Ligue 1 goal of the season as Lille claimed a 2-1 win over Angers on Friday.,"The 20-year-old Osimhen netted the opener six minutes before half-time to move clear of Lyon's Memphis Depay at the top of the early goalscoring charts in France. Luiz Araujo's fine individual strike in the 53rd minute doubled the lead for last season's runners-up, who held on to take their third victory of the new campaign despite a late goal from Angers forward Stephane Bahoken. Osimhen, who scored doubles in previous home victories over Saint-Etienne and Nantes, took advantage of a dreadful error by visiting goalkeeper Ludovic Butelle to grab his goal. Lille are now third in the fledgling table, level on points with leaders Paris Saint-Germain and second-placed Rennes. Lyon could overtake them, though, when they visit Amiens later on Friday. Reigning champions PSG could see Neymar feature for the first time this term after his long transfer saga when they host Strasbourg on Saturday."
9,16/08/2019,22:45,"Depay, Dembele at the double as Lyon hammer Angers",Lyon forwards Memphis Depay and Moussa Dembele both scored twice to guide their side to a 6-0 drubbing of Angers in France's Ligue 1 on Friday.,"Midfielder Houssem Aouar and new face Jean Lucas also helped coach Sylvinho and sporting director Juninho to continue the perfect start to their tenures. A large banner behind one goal carrying Brazilian Juninho's face was unveiled pre-match as the former playmaker made his return to the club where he won numerous league titles more than a decade ago. The two sides faced each other less than 48 hours after Jeff Reine-Adelaide completed a club record 25 million euros ($27.7 million) move from Angers to Lyon. The midfielder's new employers took an early lead through Aouar's 11th minute effort. The 21-year-old Lyon academy product intercepted a sloppy Romain Thomas pass before charging forward and beating goalkeeper Ludovic Butelle. Their second goal arrived on the 36-minute mark as Dembele made the most of a lucky ricochet. Lucas Tousart's attempted pass was deflected onto Dembele's path inside the Angers box and the former Celtic forward held-off the back-tracking Mateo Pavlovic to shoot past Butelle's right hand. Depay's double came in a seven-minute spell either side of half-time. Aouar became the provider setting up Depay for both, the second a deft lob before the Dutch international cooly finished despite VAR checking an off-the-ball collision between Dembele and right-back Vincent Maneau. Dembele claimed his second with 25 minutes remaining as Pavlovic was once again caught out after attempting to intercept Depay's pass. The France youth international picked up the loose ball and slotted easily past a hapless Butelle. The rout was confirmed with 18 minutes to go as substitute Jean Lucas scored his first goal for the club since joining from Flamengo during the summer. On Saturday, Andre Villas-Boas takes his Marseille team to Nantes looking for an improvement after losing his first league game in charge last weekend. On Sunday the saga of Neymar's possible departure overshadows champions Paris Saint-Germain's trip to Rennes in a replay of last season's French Cup final when the Brazil forward was banned for three games after an altercation with a fan."
