,date,hour,title,subtitle,text
0,31/01/2021,17:55,Cologne beat fellow Bundesliga strugglers Bielefeld,Cologne earned their first home league win for 11 months to climb out of the Bundesliga's relegation play-off spot on Sunday with a 3-1 win over fellow strugglers Arminia Bielefeld.,"Cologne are up to 14th after ending their miserable home run, while Bielefeld drop to 16th. On-loan Borussia Dortmund winger Marius Wolf gave Cologne an early lead with a simple tap-in, then smashed a volley just inside the post before half-time. Midfielder Elvis Rexhbecaj added a third when he was left unmarked as Bielefeld struggled to reorganise after a double substitution. Venezuela forward Sergio Cordova came off the bench to claim a consolation goal for Bielefeld with an easy finish after a mix-up in the home defence. Max Meyer, who captained Germany to the silver medal at the 2016 Olympics, came on for his Cologne debut just before the final whistle, having signed in midweek after his Crystal Palace contract was cancelled. At the other end of the table, leaders Bayern Munich maintained their seven-point lead on Saturday with a 4-1 home win against Hoffenheim. Second-placed RB Leipzig edged to a 1-0 victory over Bayer Leverkusen."
1,02/01/2021,23:20,Olmo fires RB Leipzig top of Bundesliga ahead of Bayern Munich,RB Leipzig dislodged Bayern Munich at the top of the Bundesliga table Saturday as Dani Olmo's second-half goal was enough to seal a 1-0 win at Stuttgart.,"""It was really good for me and the team to start the year with a win,"" Olmo told DAZN. With European champions Bayern at home to strugglers Mainz on Sunday, Leipzig took the chance to go a point ahead as Olmo fired through the legs of Stuttgart goalkeeper Gregor Kobel. Stuttgart's Swiss shot-stopper had earlier pulled off some heroics by using his foot to save a Emil Forsberg first-half penalty attempt. Leipzig also wasted a golden chance when Amadou Haidara fired wide just after the break. With 23 minutes left, Spain midfielder Olmo finally got the breakthrough, finishing a move he started after Leipzig had moved the ball across the Stuttgart penalty area. ""It feels good to be top,"" admitted Leipzig defender Willi Orban. ""The first half was good, the second was better - we were clearly the dominant team."" Earlier, Bayer Leverkusen blew the chance to take first place after stumbling to a 2-1 defeat at Eintracht Frankfurt which saw them drop to third as the league resumed after a two-week break. ""I have made my feelings clear in the dressing room,"" Leverkusen head coach Peter Bosz told Sky. ""We deserved to lose. Frankfurt had a better claim to the victory."" Leverkusen midfielder Nadiem Amiri scored with a deft back-heel flick to give the visitors the lead after only 10 minutes in Frankfurt. However, Amin Younes equalised to make it 1-1 at half-time before Japan midfielder Daichi Kamada put in a cross which Leverkusen defender Edmond Tapsoba turned into his own net. Before kickoff, Frankfurt director Fredi Bobic confirmed reports his club are interested in Bayern's teenage striker Joshua Zirkzee, 19, after selling Dutch forward Bas Dost to Brugge. Zirkzee could back up Frankfurt's top scorer Andre Silva, who has notched nine league goals this season. Union Berlin rose to fourth - into the Champions League places for the first time in the club's history - after their 2-0 win at Werder Bremen. Liverpool loanee Taiwo Awoniyi, who has scored in his last three league games, capped another impressive display with a goal and assist. After Bremen lost the ball in their own half, the 23-year-old Nigeria international took advantage of a two-on-two situation by drawing the defence and passing to Sheraldo Becker, who fired home on 12 minutes. Awoniyi doubled Union's lead on 28 minutes by tapping the ball over the line, just out of the reach of Bremen goalkeeper Jiri Pavlenka. Bremen had a penalty appeal turned down when a shot by Japan midfielder Yuya Osako clipped the hand of a Union defender, then Romano Schmid had a goal ruled offside. Hoffenheim lost both defender Kevin Akpoguma and Germany midfielder Sebastian Rudy with early leg injuries as they crashed to a 3-1 home defeat to Freiburg. With the hosts struggling to reshuffle, Freiburg were 3-0 up at half-time thanks to a Baptiste Santamaria goal, a Vincenzo Grifo penalty and an own goal by Senegal defender Kasim Adams. Hoffenheim scored a second-half consolation goal through Togo winger Ihlas Bebou. Borussia Moenchengeladbach, who host Manchester City in the first leg of the Champions League last 16 next month, earned their first win in five league games with a 1-0 victory at Arminia Bielefeld. Swiss striker Breel Embolo netted the winning goal just after half-time when he held off a defender and fired home. Mid-table Augsburg rebounded after back-to-back defeats with a 1-0 win at Cologne with Brazilian winger Iago netting the late winner. Bottom side Schalke are now 30 games without a win -- one short of the Bundesliga record -- after a 3-0 defeat away to Hertha Berlin. Former Tottenham manager Christian Gross, installed as Schalke's fourth head coach this season, got off to a losing start as Arsenal loanee Matteo Guendouzi, Colombia striker Jhon Cordoba and his replacement, Poland forward Krzysztof Piatek, scored for Hertha. Having netted two minutes after coming off the bench, Piatek had a second late goal ruled offside."
2,28/11/2020,17:41,Lewandowski hits 15th goal of season as Bayern Munich stay top,Robert Lewandowski claimed his 15th goal this season in all competitions as Bundesliga leaders Bayern Munich came from behind to claim a 3-1 win at Stuttgart on Saturday.,"After 19-year-old striker Tanguy Coulibaly gave Stuttgart a shock early lead, Kingsley Coman equalised before Lewandowski drilled home from 20 metres to put Bayern 2-1 up at the break. Brazil winger Douglas Costa, a second-half replacement for Coman, grabbed Bayern's third goal late on to seal the win which leaves the holders two points clear of RB Leipzig. Dortmund are third, four points behind Bayern, after crashing to a shock 2-1 defeat at home to Cologne, as Leipzig climbed above them thanks to a 2-1 home win over Arminia Bielefeld. Cologne avoided a club record 19th match without a win with their first victory in Dortmund since 1991."
3,21/11/2020,23:11,Haaland scores four as Dortmund cut Bayern's lead,Erling Braut Haaland netted four goals and Youssoufa Moukoko became the youngest player in Bundesliga history on Saturday as Borussia Dortmund routed Hertha Berlin 5-2 to trim Bayern Munich's lead at the top of the table to just a point.,"It was the first time the 20-year-old Haaland had scored four goals in a game for Dortmund since his January debut, with all of them coming in the second half. ""I drank a Red Bull at half time, I got some wings and everything was good,"" said Haaland. The Norwegian now has 10 goals in seven Bundesliga matches this season to give him a total of 31 goals in 30 games in all competitions for Dortmund. After Matheus Cunha gave Hertha a first-half lead at Berlin's Olympic Stadium, Dortmund roared back. Haaland equalised when he tapped home an Emre Can pass on 47 minutes. He grabbed his second two minutes later with perfect timing to slip his marker and fire in a Julian Brandt pass. Haaland wrapped up his hat-trick on 62 minutes, just before Raphael Guerreiro stabbed the ball home from close range to make it 4-1. Cunha converted a late penalty, but the night belonged to Haaland who finished a move he started with 10 minutes to play. There was still time for history to be made as Moukoko made a late cameo off the Dortmund bench to replace Haaland. One day after his 16th birthday, Moukoko is the youngest player in Bundesliga history. ""He's only just turned 16 -- that is amazing,"" Haaland said of Moukoko. ""He has a big career ahead of him."" Dortmund's romp in Berlin moved them second in the standings, behind defending champions Bayern who stayed top despite a 1-1 home draw with Werder Bremen. Germany goalkeeper Manuel Neuer produced great stops to twice deny US forward Josh Sargent as Bremen earned their first point at Bayern for a decade. ""We had to invest a lot,"" Neuer told Sky. The 34-year-old bounced back after conceding six goals in Germany's crushing defeat by Spain in midweek with two brilliant first-half saves in quick succession. He used a boot to block a Sargent shot, then lunged across goal to save from Ludwig Augustinsson. In the dying stages, Neuer then stood tall to block a shot by Sargent, who had broken clear. Bayern coach Hansi Flick was far from pleased that Bremen took the lead in his 50th game in charge, saying his team ""have to defend better"". Bremen deservedly went ahead just before half-time when midfielder Maximilian Eggestein finished off a superb attack. ""We conceded a very cheap goal, that's how Bremen's plan worked and they defended very well,"" said Bayern forward Thomas Mueller. Kingsley Coman equalised in the 62nd minute at the Allianz Arena by meeting a Leon Goretzka cross at the far post. Bayern forward Eric Maxim Choupo-Moting fired over with the goal at his mercy five minutes from time. However, Neuer's heroics at the other end preserved the draw. Bayer Leverkusen are third after their 2-1 win at strugglers Arminia Bielefeld thanks to Aleksandar Dragovic's late winner. The victory was a relief for Leverkusen goalkeeper Lukas Hradecky, who scored a embarrassing own goal early in the second half. Leverkusen were 1-0 up thanks to a Leon Bailey goal when Hradecky sliced a clearance, which rolled into the empty net behind him. Dragovic stabbed home from close range two minutes from time to spare Hradecky's blushes. RB Leipzig sit fourth after Yussuf Poulsen came off the bench and produced a deft second-half volley in their 1-1 draw at Eintracht Frankfurt after winger Aymen Barkok gave the hosts an early lead. Despite having seven players quarantined with the coronavirus, a depleted Hoffenheim drew 3-3 at home with Stuttgart. Schalke's winless run stretched to 24 league games, dating back to January, after losing 2-0 at home to Wolfsburg. A Daniel Caligiuri equaliser two minutes from time gave 10-man Augsburg a 1-1 draw at Borussia Moenchengladbach."
4,21/11/2020,19:57,'That'll be on YouTube': Leverkusen 'keeper Hradecky laughs off own-goal howler,Bayer Leverkusen goalkeeper Lukas Hradecky expects to see plenty of memes and YouTube clips of his horror own-goal after his sliced kick in the Bundesliga rolled into his net on Saturday.,"""It's okay if people laugh a little - there'll be a few YouTube clips and a few memes,"" Hradecky predicted to Sky after his side went second in the German league after a 2-1 win at Arminia Bielefeld. Leverkusen were 1-0 up thanks to an early Leon Bailey goal when Hradecky'S howler just after the break handed Bielefeld an equaliser. With no opponent near him, Hradecky watched in horror as a clearance kick spun off his boot and rolled over the goal-line behind him. However, his blushes were spared when Aleksandar Dragovic stabbed home a late winning goal. The relieved 30-year-old Finland goalkeeper hugged Dragovic in gratitude at the final whistle. ""The team and Dragovic helped me out - my beer will taste good after this,"" added a relieved Hradecky. It was a curious away win for Leverkusen, who lost both their twin defenders Sven and Lars Bender to injury. Leverkusen captain Lars was replaced with deep bruising for the start of the second-half. Sven was replaced soon after by match-winner Dragovic when he was injured in a challenge."
5,07/11/2020,18:33,"Leipzig go top in Germany ahead of Bayern, Dortmund showdown",RB Leipzig went back to the top of the Bundesliga table on Saturday with a 3-0 home win over Freiburg before Bayern Munich and Borussia Dortmund clash in the evening showdown.,"Defender Ibrahima Konate fired home Leipzig's opener before midfielder Marcel Sabitzer added their second goal with a 70th-minute penalty. Manchester City loanee Angelino claimed Leipzig's third with a stunning free-kick which curled over the Freiburg wall just before the final whistle. The home win put Leipzig top, a point ahead of Bayern and Dortmund who meet later at Signal Iduna Park. ""We really deserved the win - we were very, very good in the first-half,"" said Leipzig head coach Julian Nagelsmann. He was especially pleased with Konate's opening goal from a towering cross before winger Christopher Nkunku, who scored in the mid-week win over Paris Saint Germain, won the penalty which Sabitzer converted after the VAR scrutinised the decision. ""We have trained a lot from set pieces,"" said Nagelsmann. ""It certainly wasn't an obvious penalty, but if the VAR says it was, then it must have been,"" he added after Nkunku went down after the slightest of touches from Freiburg defender Nicolas Hoefler. Union Berlin climbed to fourth with a 5-0 home thrashing of strugglers Arminia Bielefeld. Former Germany striker Max Kruse helped set up Union's first three goals, then converted a late penalty. After just three minutes, Japan winger Keita Endo scored his first goal for Union when he swept home Sheraldo Becker's final pass after Kruse's superb long pass. Endo went off with an injury soon after, but Union kept up the pressure as Kruse set up the next two goals for centre-back Robert Andrich and winger Becker. Kruse, 32, capped an outstanding display by converting a penalty before Cedric Teuchert, a right wing replacement for Becker, grabbed Union's late fourth goal. At the other end of the table, bottom side Mainz were held to a 2-2 draw at home to Schalke, who sit one place above them and have now gone 23 games without a league win dating back to January. After Daniel Brosinski and Jean-Philippe Mateta converted penalties for Mainz, Mark Uth pulled a goal back for Schalke who were 2-1 down late on. Schalke took a deserved point back to Gelsenkirchen when Mainz defender Jeremiah St. Juste turned the ball into his own net eight minutes from time. After five games without a win, Hertha Berlin roared back with a 3-0 win in the fog at Augsburg. Forwards Matheus Cunha, Dodi Lukebakio and Krzysztof Piatek, who cost Hertha 24 million euros ($28 million) from AC Milan in January, got on the scoresheet as Augsburg's defence crumbled."
6,31/10/2020,17:38,Bayern Munich sweep past Cologne to go top without Lewandowski,European champions Bayern Munich went top of the Bundesliga on Saturday as Thomas Mueller and Serge Gnabry provided the goals with Robert Lewandowski rested for their 2-1 win at Cologne.,"Bayern coach Hansi Flick opted to leave out Lewandowski, who scored a record 10 goals in the opening five league games, ahead of their midweek Champions League match at Salzburg and a Bundesliga showdown at Dortmund next Saturday. However, RB Leipzig, who are now two points behind in third, can go back to the top of the table if they beat Borussia Moenchengladbach on Saturday evening. Mueller netted an early penalty and Gnabry finished a counter-attack on the stroke of half-time to leave Bayern 2-0 up at the break. Cologne improved in the second-half and replacement midfielder Dominick Drexler pulled back a late goal. Borussia Dortmund climbed to second in the table without star striker Erling Braut Haaland as defender Mats Hummels scored both goals in a 2-0 win at Arminia Bielefeld."
7,17/10/2020,21:21,"Lewandowski, Mueller doubles send Bayern second with Bielefeld win","Robert Lewandowski and Thomas Mueller both scored twice as Bayern Munich banished their early-season blues with a thumping 4-1 win over Bundesliga minnows Arminia Bielefeld on Saturday after a ""crazy"" first half.","Treble winners Bayern started the day in mid-table following a shock defeat to Hoffenheim last month, but victory in Bielefeld was enough to propel them back up to second place. The champions burst out of the blocks and had an early penalty appeal turned down before Mueller bundled in the opener on eight minutes. Lewandowski doubled the lead shortly afterwards, smashing the ball in from the edge of the area after a sharp cross from Leon Goretzka. The Poland striker linked up with Mueller to make it 3-0 just before half-time, and returned the favour after the break with a pinpoint cross to set up Mueller's second. ""The first 45 minutes were crazy, we played really well. We knew that the first game after the international break would be really important,"" Lewandowski told Sky. Japan winger Ritsu Doan then pulled one back for Bielefeld on the break, the PSV Eindhoven loanee netting his first Bundesliga goal since moving to Germany in the summer. Yet despite a late red card for Corentin Tolisso, Bayern were untroubled in the final stages and can now turn their attention to Wednesday's Champions League opener against Atletico Madrid. Hansi Flick's side now sit level on points with third-placed Borussia Dortmund, who snatched a late 1-0 win at Hoffenheim earlier on Saturday. Dortmund, who like Bayern had already lost one game this season, looked set to drop further points before Erling Haaland and Marco Reus came off the bench in the second half to breathe new life into a blunt performance. Haaland, 20, surged forward on the break to set up Reus with a tap-in and snatch Dortmund's first away victory over Hoffenheim in eight years. ""They've always made it difficult for us here in recent years. We didn't have many good chances in the first half and we knew we needed to create more in the second half,"" the goalscorer told Sky. Haaland was initially rested after he played three times for Norway in the previous two weeks, prompting criticism of the busy international schedule. ""At Dortmund, we are used to having a lot of midweek games at this stage of the season. The schedule is a bit more hectic this year, so we have to look after ourselves,"" said Reus, after slotting Haaland's square pass into the open net to score his first goal since February. Dortmund and Bayern now sit one point behind league leaders RB Leipzig, who held onto top spot with a 2-0 win against surprise high-fliers Augsburg. Angelino headed Leipzig in front on the stroke of half-time to score his second goal in two games, before Yussuf Poulsen doubled the lead with a sumptuous volley on 66 minutes. ""These are the games you need to win if you want to land in the top four,"" Leipzig coach Julian Nagelsmann told Sky. Elsewhere, Lucas Alario's first half header sealed a 1-0 win for Bayer Leverkusen and extended second-from-bottom Mainz's miserable run to four defeats in four games. Promoted side Stuttgart continued their good start to the season, as Marc-Oliver Kempf and Gonzalo Castro fired them to a 2-0 win away to Hertha Berlin, while Werder Bremen held Freiburg to a 1-1 draw in the south west. Freiburg took the lead early on through Philipp Lienhart and had a second goal ruled out for offside before Bremen's Niclas Fuellkrug levelled the scores from the penalty spot."
8,03/10/2020,17:58,Haaland nets twice as Dortmund run riot,Erling Braut Haaland again demonstrated his deadly finishing by netting twice on Saturday as Borussia Dortmund climbed to second in the Bundesliga table with a 4-0 demolition of Freiburg.,"Dortmund bounced back from last weekend's shock defeat at Augsburg as Haaland shone to leave him on 21 goals in 23 games for Dortmund since his January transfer as the burly Norwegian claimed clinically-taken goals. Having also scored in Wednesday's German Super Cup 3-2 defeat at Bayern Munich, the 20-year-old Haaland has netted five goals in as many games this season. Dortmund were missing England winger Jadon Sancho and goalkeeper Roman Buerki, both recovering from illness having tested negative for the coronavirus. Club captain Marco Reus made his first start for eight months after a groin injury. US teenager Giovanni Reyna, who assisted all three goals, was outstanding alongside Reus in the attacking midfield role for Dortmund. The 17-year-old played Haaland into space for the burly Norwegian to score both his goals, then delivered a pin-point corner for Emre Can's headed goal. Haaland, 19, once again showed dazzling finishing when he fired home from a right angle on 31 minutes. Can then rose highest from a corner and his bullet header put Dortmund 2-0 up two minutes after the break. Reyna and Haaland combined again when they got in behind the defence as the American delayed his pass which the Norwegian hammered into the net on 66 minutes. Winger Felix Passlack claimed his first Bundesliga goal in added time to complete the rout with Haaland providing the final pass. Defending champions Bayern Munich host Hertha Berlin on Sunday out to bounce back from last weekend's shock defeat at Hoffenheim to end their 23-match winning streak. Eintracht Frankfurt top the league table after their 2-1 win over previous leaders Hoffeheim. Croatia striker Andrej Kramaric netted his eighth goal in four games with a superb strike, curled inside the far corner, to give Hoffenheim the lead on 18 minutes. However, Japan midfielder Daichi Kamada turned the game when he tapped home on 54 minutes, then powered through the defence before Bas Dost stabbed the ball over the line on 19 minutes from time. It could have been 3-1 as Frankfurt had a late goal disallowed. Champions League side Moenchenegladbach romped to a 3-1 win at Cologne as Alassane Plea and Stefan Lainer fired home before Lars Stindl added a penalty on 56 minutes. Cologne scored a consolation goal when Elvis Rexhbecaj beat Gladbach keeper Yann Sommer from 20 metres out. Bremen earned a second win in three games when Leonardo Bittencourt's right-footed shot on 27 minutes sealed their 1-0 win at home to new boys Arminia Bielefeld. The hosts survived a late scare as Bielefeld had a goal disallowed just before the whistle. Leverkusen were held to a 1-1 draw at Stuttgart as Patrik Schick's early goal was cancelled out by an equaliser by the hosts' striker Sasa Kalajdzic. On Friday, Union Berlin enjoyed their first win of the season with a 4-0 thumping of Mainz at home as Germany striker Max Kruse scored his first goal for the hosts."
9,19/09/2020,21:15,Haaland and Reyna shine as Dortmund youngsters down Gladbach,Erling Braut Haaland scored twice and 17-year-old Giovanni Reyna shone as youthful Borussia Dortmund swept aside fellow Champions League side Borussia Moenchengladbach 3-0 on Saturday on the opening weekend of the Bundesliga season.,"After holders Bayern Munich had kicked off the 2020/21 campaign on Friday with a record 8-0 thrashing of Schalke, Dortmund's youngsters also dazzled at home to Gladbach. ""It was a really good start to the season. We have a lot of young guys, it's fun to play with guys near my age,"" said USA Under-17 international Reyna. ""This is an exciting group and we have to keep working."" Haaland converted a second-half penalty, then again showcased his clinical eye for goal by finishing a superb counter as Dortmund attacked from their own goal. Coach Lucien Favre banked on youth by starting two 17-year-olds in Reyna and England Under-21 midfielder Jude Bellingham, who made his league debut, with Sancho and Haaland, both 20, leading Dortmund's attack. Reyna, making just his third league start, paid back the faith by scoring the opening goal and winning the penalty Haaland converted. Reyna drilled home Bellingham's superb pass from a tight ankle on 34 minutes, then had his ankle clipped after a darting run into the area to win the penalty for Haaland. Sancho tried to convince Haaland to let him take the spot-kick, but ""I was confident whoever took it, would score, which is the most important thing"" said Reyna. Haaland then stole the show with a stunning end-to-end sprint to support Sancho's break before crashing home Dortmund's third goal on 78 minutes. The towering Norwegian, the first player in Bundesliga history to score a hat-trick from the bench, now has 18 goals in 20 games for Dortmund since his arrival in January. For the first time since March, some German league clubs were able to welcome back limited numbers of fans, depending on permission from local health authorities. The biggest crowd of the day was in Dortmund, as 9,300 cheered the impressive home win. ""It's amazing to have fans back, they support us so much,"" added Reyna. Having finished runners-up to Bayern for the last two seasons, Dortmund are on a collision course with the European champions who they meet in the German Super Cup showdown on September 30 in Munich. Earlier, Hertha Berlin's new-signing Jhon Cordoba scored on his debut in a 4-1 away romp at Werder Bremen as the ambitious capital city club also threw down an early marker. In front of 8,500 in Bremen, Hertha defender Peter Pekarik and Belgian-born winger Dodi Lukebakio scored quick-fire goals at the end of the first half to leave Werder 2-0 down at the break and the hosts were whistled off the pitch by their own fans. Colombia striker Cordoba, signed from Cologne in mid-week, came on to start the move which Brazil Under-23 forward Matheus Cunha finished as Hertha went 3-0 up with an hour gone. Davie Selke scored Bremen's second-half consolation goal before Cordoba capped his debut by tucking home Hertha's fourth goal on 90 minutes. Just like Bayern, Cologne also had to play behind closed doors due to a rising rate of infection for their 3-2 home defeat to Hoffenheim, for whom Andrej Kramaric scored a hat-trick. The Croatia striker put the visitors ahead after three minutes following a mix up in defence, netted a penalty and smashed home the winning goal in added time after Cologne had launched a late fight back. In the capital, playmaker Michael Gregoritsch and winger Andre Hahn scored late goals as Augsburg beat hosts Union Berlin 3-1 in front of 4,600 fans. Newly-promoted Arminia Bielefeld earned a point with a 1-1 draw at Eintracht Frankfurt on their return to the top flight in front of 6,500. Stuttgart, who also came up, gave Freiburg a scare with late goals by Sasa Kalajdzic and Silas Wamangituka as they fought back in a 3-2 defeat in front of 8,000."
