,date,hour,title,subtitle,text
0,01/02/2021,14:47,"Messi fuels Barcelona revival, Marseille violence, Poch beaten: Talking points from around Europe","Lionel Messi kept up his improved form in La Liga as Barcelona won again amid more controversy about the Catalans' finances, while there was drama on and off the field in France and the Milan clubs continue to fight it out at the top of Serie A.","AFP Sport rounds up some of the main talking points from across the continent: Barcelona have said they will take legal action against Spanish newspaper El Mundo after it published details at the weekend of Lionel Messi's current contract, which it says is worth up to 555 million euros ($674 million) over four years. El Mundo called it the ""colossal contract that ruins Barcelona"", just as the Catalans are wrestling with a dire financial situation, worsened by the pandemic, and with Messi's future currently up in the air. Yet the Argentine underlined his value to Barca by scoring a superb free-kick in their 2-1 win over Athletic Bilbao. Barca are unbeaten in 10 n La Liga, winning eight, with Messi scoring eight times in that run. However, both Barcelona and Real Madrid are 10 points behind leaders Atletico Madrid, who beat Cadiz 4-2 and still boast a game in hand. Marseille's weekend game against Rennes in Ligue 1 was postponed after angry supporters attacked the club's training ground, while the players were there, in what was called ""a frenzy of unjustifiable violence"". Local police said 25 arrests were made and seven officers were injured after several hundred Ultras stormed La Commanderie in a protest against the club leadership and the team's poor recent run of results. Marseille's owner, the American tycoon Frank McCourt, called the protestors ""thugs"" and likened the incidents to last month's storming of the US Congress. The growing crisis comes with the former Champions League winners having slumped to ninth in Ligue 1 and after coach Andre Villas-Boas indicated he will leave at the end of the season. On the pitch in France, the title race is hotting up after reigning champions Paris Saint-Germain suffered their first defeat under new coach Mauricio Pochettino, conceding at the death to lose 3-2 at struggling Lorient despite Neymar scoring two penalties. It was a fifth defeat in Ligue 1 this season for PSG, who are third, three points behind leaders Lille. Lille beat Dijon 1-0, while Lyon are two points off top spot in second after scoring late to beat Bordeaux 2-1. It could even become a four-way fight. Monaco are six points off the lead after winning their last five games. Bayern Munich maintained their seven-point lead at the top of the German Bundesliga by beating Hoffenheim 4-1 as Robert Lewandowski scored his 24th goal of the league campaign. After a mini slump, the Bavarians have now four on the bounce and remain well clear of nearest rivals RB Leipzig. The result against Hoffenheim also allowed Hansi Flick's side to exact perfect revenge for their 4-1 defeat away to the same opponents in September, in what was their only loss in 46 matches in all competitions across a remarkable 2020. The only cloud on Bayern's weekend came as midfielder Corentin Tolisso was dropped and fined for getting a tattoo, therefore falling foul of Covid-19 quarantine regulations. Zlatan Ibrahimovic's spat with Romelu Lukaku dominated the headlines last midweek as Inter beat AC Milan in their Coppa Italia derby. On Saturday Ibrahimovic missed a penalty for the fourth time this season but Ante Rebic followed up to score and Franck Kessie later netted another spot-kick as Milan won 2-1 at Bologna. That result kept the Rossoneri two points clear of Inter at the top of Serie A, as Antonio Conte's side beat Benevento 4-0 with Lukaku scoring a brace at San Siro. The Belgian is on 14 league goals for the season and Inter remain best-placed to overhaul Milan, even if Roma, Juventus, Lazio and Napoli all also won at the weekend."
1,22/01/2021,11:06,Resistance to change leaves Madrid and Zidane pondering futures again,"Real Madrid coach Zinedine Zidane's week took a further turn for the worse on Friday as he tested positive for Covid-19, following on from an embarrassing loss in the Copa del Rey which has sparked fresh concerns about the club's present and future.","Madrid confirmed on Friday that Zidane had tested positive. He will miss his side's trip to Alaves in La Liga on Saturday as they seek a return to winning form following back-to-back Cup defeats. Humiliated by third-tier Alcoyano on Wednesday, a week after being outfought and largely outplayed in the Spanish Super Cup by Athletic Bilbao, Madrid find themselves in another slump. Their season might well finish without a trophy, with Atletico Madrid marching on in La Liga and Europe's elite stretching the gap even further away from Spain's once formidable trio in the Champions League. But more worrying is that this appears to be a squad in desperate need of renovation and a team shorn of the strengths that took them to the title only six months ago. The question is whether Zidane is the person for a rebuild, or even if he wants to be. Asked if he still has the backing of the players on Wednesday, Zidane said: ""I believe so, you have to ask them. We've done good things this season, apart from the last four games. Now we have La Liga and the Champions League and we have to work. ""Whether my message gets through, you have to ask them, I can't answer that."" Zidane's numerous successes have always been built on a solid defence, a dependable core and a relentless will to win that meant close games became narrow victories and pressure brought a reaction. The Frenchman, although he will have to watch from afar, needs another reaction now, starting at Mendizorrotza against Alaves. When his position came under scrutiny twice earlier his season, the team responded by winning the Clasico at Camp Nou in October, and later by rattling off six straight victories in December. The difference this time is not just the scale of the failure against Alcoyano -- who have not played in the top flight in 70 years -- but that it left Zidane accused of ignoring the future. His reliance on a select core was underlined by the poor performances of fringe players such as Isco, Marcelo and Eder Militao, who looked short of sharpness and, perhaps, motivation. Even more jarring for those higher up the club may have been the struggles of Vinicius Junior, Fede Valverde and Alvaro Odriozola, youngsters once circled as players who could be part of a new era. And what about those not there? Luka Jovic was sent back on loan to Eintracht Frankfurt and scored twice for them in 28 minutes. Or Martin Odegaard, who was recalled early from his loan at Real Sociedad only to be left searching this month for another exit. Sergio Reguilon is at Tottenham, Dani Ceballos at Arsenal. Zidane has decelerated the transition, perhaps because by relying on the old guard Real beat Barcelona to the league last term. When Zidane demanded change in summer 2019, his first transfer window after coming back, the club that failed to deliver. Eden Hazard, Jovic, Ferland Mendy, Militao and Rodrygo were signed for around 300 million euros but only Mendy at left-back has consistently improved the first team. Since then the pandemic has strangled the club financially, meaning there were no signings last year, and the price of failing to update grows ever more costly. Zidane has always been trusted to pull Madrid out of a mess but never to build something new. When they won the title last season, that papered over cracks, a testament to his ability to manage and motivate but the need for renewal remained. Zidane wanted change in exchange for coming back. The change the club is now pondering is their coach."
2,19/01/2021,15:25,Messi banned for two matches,Lionel Messi was banned for two matches on Tuesday following his first ever sending off for Barcelona.,"The Argentine forward was shown a red card at the end of Sunday's 3-2 extra-time defeat to Athletic Bilbao in the Spanish Super Cup final after lashing out at Asier Villalibre. Messi had twice been sent off playing for Argentina, including at the 2019 Copa America, but never in 16 years and 753 matches with Barcelona's first team. The six time Ballon d'Or winner's ban was announced by the Spanish Football Federation with Barca later revealing their intention to appeal the sanction on their star player. Messi shook off a thigh problem to start in Seville and was required to play all 120 minutes as Barca attempted to take the game to penalties. Instead, the 33-year-old lost his temper at the end of a combative contest, reacting to a late challenge from Villalibre by swiping his hands across the back of his opponent. Messi was red-carded 15 years ago for Barca but it was with the reserves in a third division match, according to Spanish statistician Alexis Martin-Tamayo. Messi would miss games against third-tier Cornella away in the Copa del Rey on Thursday and Elche on Sunday in La Liga."
3,18/01/2021,13:46,"Messi sees red, 'fearful' Juventus, PSG back top: Talking points from around Europe","Frustration got the better of Lionel Messi as he saw red in the Spanish Super Cup final, while Inter dealt a major blow to Juventus's Serie A title hopes but Paris Saint-Germain are back on top in France.","AFP Sport rounds up some of the main talking points from across the continent: Lionel Messi was sent off for the first time in 753 appearances for Barcelona at the end of his side's 3-2 extra-time defeat by Athletic Bilbao in the Spanish Super Cup final in Seville, after lashing out at Asier Villalibre in a moment that seemed to encapsulate his recent frustration with his boyhood club. Messi had twice been shown a red card playing for Argentina, including at the 2019 Copa America, but never in more than 16 years with Barcelona, before Sunday. His dismissal came right at the end of extra time, after Athletic had scored a late equaliser to force the additional 30 minutes and then a stunning Inaki Williams strike gave the Basques a 3-2 win and their second Super Cup in six years. Barcelona had hoped to win their first trophy under Ronald Koeman and Messi had been in good form, with four goals in his club's previous two league games. ""Do I excuse him? I'd need to see it again,"" said Koeman of the incident. Andrea Pirlo's hopes of leading Juventus to a 10th straight Serie A title in his first season as a coach took a major knock as the reigning champions lost 2-0 away to Inter, one of the clubs he represented as a player. Arturo Vidal -- a former teammate of Pirlo's at Juve -- and Nicolo Barella scored the goals as Inter, coached by ex-Juventus boss Antonio Conte, moved level on points with leaders AC Milan, who have a game in hand to play on Monday. Juve, who had been on their best run of the season with three straight league wins, are now seven points off top spot. ""We couldn't have put in a worse performance than this,"" said Pirlo, who said his side were ""fearful"" and too defensive. They now play Napoli in the delayed Italian Super Cup on Wednesday. Paris Saint-Germain were without their new coach Mauricio Pochettino for their game at Angers after the Argentine tested positive for Covid-19. But, three days after winning his first trophy in management in the Champions Trophy against Marseille, he watched from afar as PSG ground out a 1-0 win that took them back to the top of Ligue 1. Layvin Kurzawa's goal made the difference, before former leaders Lyon saw their 16-game unbeaten run ended in dramatic fashion in a 1-0 home defeat against Metz. They were denied a late opener by a marginal offside call, and conceded in the 90th minute to Aaron Leya Iseka. Lyon are now third, two points off PSG who lead from Lille on goal difference. Lille beat Reims 2-1 with a last-minute Jonathan David winner. Bayern Munich coach Hansi Flick was facing up to his first mini-crisis in charge as his side lost 3-2 at Borussia Moenchengladbach last weekend and then went out of the German Cup on penalties to second-tier Holstein Kiel. However they got back on track as Thomas Mueller's strike secured a 2-1 win over Freiburg on Sunday to move Bayern four points clear at the top of the Bundesliga from RB Leipzig, who drew 2-2 at Wolfsburg. With Bayer Leverkusen and Borussia Dortmund slipping up as well, it seems doubtful that any of their rivals have the consistency needed to stop Bayern winning a ninth straight title, although there is still a long way to go. Benfica and Porto are Portugal's two most successful clubs and between them have won each of the last 18 league titles. On Friday they played out a 1-1 draw at the Estadio do Dragao, with Moussa Marega cancelling out Alex Grimaldo's opener before the Iranian Mehdi Taremi was sent off for Porto. It was a result that left the two teams level on 32 points from 14 games, and perhaps the big winners were Sporting. Looking for their first title since 2002, they stay four points clear and unbeaten, although they were held 1-1 at home by mid-table Rio Ave. Sporting are due to face Benfica later this month."
4,18/01/2021,00:38,Messi sees red as Bilbao stun Barca to win Spanish Super Cup,"Lionel Messi was sent off for the first time playing for Barcelona as Athletic Bilbao stunned the Catalans to win the Spanish Super Cup on Sunday, a dramatic final finishing 3-2 after extra-time.","Moments before Bilbao's momentous triumph was confirmed, Messi threw an arm at Asier Villalibre, who had earlier scored a 90th-minute equaliser in normal time to deny Barca victory. Antoine Griezmann's double looked to have sealed the trophy but Villalibre intervened before Inaki Williams' fabulous strike three minutes into extra time proved decisive. Messi shook off a thigh problem to start in Seville and was required to play all 120 minutes as Barcelona attempted to take the game to penalties. Instead, the 33-year-old lost his temper at the end of a combative contest, reacting to a late challenge from Villalibre by swiping his hands across the back of his opponent. It meant a first ever red card for Messi in 753 appearances for Barcelona, to go with his two reds for Argentina in 2005 and 2019. ""After so many years in football, Leo knows perfectly well when he is fit to play,"" said Barca coach Ronald Koeman. ""We talked and he said he was in a good place to start. He has survived the game, given the maximum, nothing more."" Messi's anger will take some of the limelight away from Bilbao, who had already denied the competition a Clasico final by beating Real Madrid in the semi on Thursday and now have completed the set. It means a title and the perfect start for Marcelino Garcia Toral, who only took over as coach less than two weeks ago. But there was praise too for his predecessor Gaizka Garitano, who oversaw this team reaching the Copa del Rey final last season, which earned qualification in the first place. ""This is for Gaizka Garitano and his coaching staff as well who brought us here,"" said Williams. Organisers at the Spanish Football Federation might have hoped for the global attraction of a Clasico, especially as the coronavirus pandemic had already kept the tournament in Spain rather than the lucrative Saudi Arabia, where it was played last year. Yet this was a frantic final, with a hugely surprising result. Barca arrived on the back of a nine-game unbeaten run and a trophy, even a minor one, would have turned encouraging signs in recent weeks into more tangible evidence of a revival under Koeman. ""It is not a step back,"" he said ""Always winning titles is helpful to show that we are on the right track, but it is only one game, it is a Super Cup, and we will show in the next few games that we are on the right track."" Bilbao were the better side in the first half, more decisive in possession and more aggressive out of it. But both teams created little for 40 minutes and then in two minutes both had scored. A brilliant pass created each of them, Messi the instigator for Barca. He collected from the right and threaded through for Jordi Alba on the left, whose cut-back was intended for the Argentinian but spilled out to Griezmann, who could not miss. Marcelino hurled his water bottle to the ground in disgust but his team were soon level. Williams played the pass, his clipped ball over the top catching Alba off-guard, with Oscar De Marcos sneaking in and half-volleying home. Raul Garcia thought he had his third goal in four days when he headed in just before the hour but Barca survived. With 10 minutes left, Griezmann struck again, Alba's cross evading the Bilbao defence and finding the Frenchman, who steered in at the front post for what looked like the winner. Instead, Bilbao scored in the 90th minute to send the game to extra-time and then the 93rd to lead for the first time. Villalibre was allowed to volley in from close range but there was little Barca could do about Williams' effort, the striker cutting inside from the left and whipping a tremendous shot into the top right-hand corner. Unai Nunez might have sealed it but failed to connect. Griezmann almost rescued it but fired high on the volley with his right foot. Then Villalibre left a shoulder in on Messi, who reacted, scuttling after his opponent and swinging an arm around the back of his head. Messi and Barca were beaten."
5,16/01/2021,18:47,Koeman hopeful on Messi fitness for Super Cup final,Barcelona coach Ronald Koeman says he is optimistic Lionel Messi will be fit for Sunday's Spanish Super Cup final against Athletic Bilbao after injury forced him to miss the semi-final.,"The Argentina forward was left out of the squad for Wednesday's penalty shootout victory over Real Sociedad after complaining of discomfort during last week's 4-0 La Liga win over Granada. ""He trained on his own yesterday (Friday). We have a session this evening, he wants to train, so we'll see how he feels afterwards and if he wants to play or not,"" Koeman told a news conference on Saturday in Seville. ""Tomorrow morning we'll see how his body reacts to the session, but we have high hopes that he'll be there for the match."" Messi was pictured with strapping on his left thigh as he watched the semi-final from the stands in Cordoba. Barca won 3-2 on penalties following a 1-1 draw after extra time. ""Every player needs to be 100% to start the game, it's not the last game of the season, we still have a lot of games after this one,"" said Koeman. ""The final decision will be the player's."" Messi is the club's leading scorer this season with 14 goals in all competitions, his return to form of late coinciding with Barca's nine-game unbeaten run after a poor start under the Dutchman. ""It's always important to win things to prove that you are on the right track,"" said Koeman. ""It's not the most important title as a player but it's a title. ""Each title you win, it's another line on your list of honours. It's important for the players and for the club."""
6,14/01/2021,23:07,Bilbao to face Barca in Super Cup final after ousting Real Madrid,Real Madrid suffered a shock defeat in the Spanish Super Cup on Thursday as Athletic Bilbao pulled off a 2-1 victory in Malaga to reach Sunday's final against Barcelona.,"Raul Garcia scored twice in the first half, the second a penalty, and while Karim Benzema pulled one back for the defending champions, Bilbao held on to complete a statement win under their new coach Marcelino Garcia Toral. Bilbao were beaten 3-2 by Barca in La Liga only last week, with Lionel Messi scoring twice at San Mames, yet they will get another shot at Ronald Koeman's side this weekend, with a trophy up for grabs in Seville. ""We are 90 minutes from winning a title,"" said Marcelino. ""It would be amazing, and even better to do it beating Real Madrid and Barcelona."" Real coach Zinedine Zidane was defiant in defeat. ""It is not a failure,"" he said. ""You can't win every game."" Messi is touch and go to be fit for the final, after missing Wednesday's penalty shoot-out victory over Real Sociedad with a muscle problem, although even without their captain, Barcelona will be strong favourites. Bilbao, though, should take huge confidence from an excellent performance at La Rosaleda in what was only their second game under Marcelino, who replaced the sacked Gaizka Garitano earlier this month. They were also up against a Madrid team that had been unbeaten since December 1, even if a chaotic weekend caused by the heavy snowstorm in Spain might have had lasting effects on players' minds and bodies. Zidane insisted he was not making excuses on Saturday when he criticised the state of the snow-dusted pitch following the goalless draw at Osasuna. Cancelled flights meant Madrid's players were unable to leave Pamplona until Monday, forced to fly straight to Malaga without returning home. But even Zidane admitted on Wednesday that four days preparation was enough and there was little to suggest concern from his line-up given it was his full-strength team, the same core of players that has driven their resurgence since October. ""Our start to the game was difficult,"" said Zidane afterwards. ""The first half was not good. They had two chances and scored two goals. In the second part we changed the picture, we improved and created chances."" Raul Garcia was sent off after 13 minutes when Real Madrid beat Bilbao in the league last month but this time he had two goals in the first half, each coming after a mistake by Lucas Vazquez. First, Vazquez gave the ball away cheaply, allowing Raul Garcia to finish past Courtois and then Madrid's full-back dragged Inigo Martinez down at the back post after letting him sneak in behind him. Raul Garcia drove the penalty into the top corner and Bilbao might have been three up had Iker Muniain finished off a flowing move by heading in, instead of wide of the post. Madrid were better after the interval, with Marco Asensio lively. He hit the post from an Eden Hazard pull-back and then the crossbar with a swerving shot from distance. The pressure told when Fede Valderde's cross was nodded back for Benzema to tap in, leaving Madrid with just over 10 minutes to find an equaliser. Benzema thought he had it but the flag was up for offside before Sergio Ramos headed wide and Vinicius Junior curled over in a frantic late surge that Bilbao survived."
7,12/01/2021,16:26,Real Madrid defend Super Cup repatriated from Saudi to storm-hit Spain,"Despite the concerns about a crammed fixture calendar in a season badly impacted by the coronavirus pandemic, Spain is going ahead with its four-team Super Cup this week as Real Sociedad and Athletic Bilbao provide the opposition for Barcelona and Real Madrid.","However, after being taken to Saudi Arabia in January 2020, the Spanish Football Federation (RFEF) is organising this year's version in Andalusia, with the final on Sunday at La Cartuja in Seville. From the shores of the Red Sea back to Spain, which has been battered in recent days by Storm Filomena delivering the country's worst snowfall in decades as well as brutally cold temperatures. Barcelona play Real Sociedad in the first semi-final on Wednesday in Cordoba, before trophy holders Madrid face Athletic Bilbao in Malaga on Thursday, with the winners remaining in southern Spain to contest Sunday's final. All of the games will be behind closed doors. In ordinary times the RFEF would not have given up on its controversial money-spinning Saudi venture, after initially agreeing a 120 million-euro ($146m) three-year deal to play an expanded four-team competition in the Middle Eastern Kingdom. That agreement also included the option of three more years, but the lack of fans allowed in Saudi stadiums led the Federation to renegotiate its contract and bring the tournament back home. The move abroad followed in the footsteps of Italy and France, who have taken their own equivalents of the Super Cup -- between the previous season's league champions and domestic cup winners -- to foreign shores in recent years. This time the competition sees reigning La Liga champions Madrid and runners-up Barcelona joined by the two finalists from last season's Copa del Rey, an all-Basque final which was postponed due to the health crisis and has still not been played. That means current La Liga leaders Atletico Madrid are not involved, while Real will not go into their semi-final in the best shape after a build-up impacted by the winter storm. Zinedine Zidane's team were left stuck in the northern city of Pamplona for three nights due to the weather, leaving on Monday after drawing 0-0 with Osasuna on Saturday in a game which Zidane and his players felt should not have gone ahead. ""We are not puppets who should have to play all the time. We made the effort but we need to think about the travel involved too,"" complained goalkeeper Thibaut Courtois. Instead of returning to the capital, they flew straight to Malaga to prepare for the Super Cup. Athletic, meanwhile, had their game away to Atletico in Madrid postponed because of the snow -- their plane circled the sky awaiting permission to land before being forced to return home. Their hope is to be able to play their Basque neighbours in the final on Sunday before they eventually clash again in the delayed Copa del Rey showpiece. ""We are not used to winning trophies and it would be special and unforgettable,"" admitted their Spanish international centre-back Inigo Martinez. Before that game Barcelona will hope to continue their perfect start to 2021 against a Real Sociedad side who were top of La Liga but have won just one of their last nine league games. ""We are close to a first title of the season and we come into this full of excitement because we are on a good run,"" said Barca midfielder Sergio Busquets. Spanish Super Cup fixtures (2000 GMT)"
8,09/01/2021,11:40,Atletico Madrid game lost in Spanish snowstorm,"Spain's heaviest snowfall in decades has forced Atletico Madrid's game against Athletic Bilbao on Saturday to be postponed, LaLiga announced.","""With the exceptional situation due to the storm over a large part of the peninsular which has forced the Madrid-Barajas airport to close for the day, and the impossibility of providing a pitch in ideal conditions LaLiga, after discussions with the two clubs, has postponed the game"", the federation said. The fixture was scheduled for 1515 GMT at the Spanish league leaders' Wanda Metropolitano stadium. A new date for the encounter will be published in the coming days, LaLiga's statement added. Athletic were unable to land in Madrid because of the extreme weather brought by Storm Filomena on Friday and had to return to Bilbao early in the evening. The blizzards have caused chaos in Spain, with the capital's airport closed, hundreds of motorists stranded, and more snow forecast Saturday. Diego Simeone's Atletico lead the table by two points from city rivals Real with two games in hand."
9,31/12/2020,19:43,Sociedad edge low-quality Basque derby,Cristian Portu scored the only goal as Real Sociedad edged Athletic Bilbao 1-0 in a disappointing Basque derby on Thursday.,"Portu found the net after just five minutes at San Mames, finishing off a counter-attack by Mikel Oyarzabal. Sociedad remain in third place in La Liga with 29 points, four behind Real Madrid who have a game in hand. Atletico Madrid still lead the way at the end of 2020 on 35 points, two ahead of their city rivals. Victory for Sociedad was also a boost with the two sides possibly facing each other in the Spanish Super Cup final in January. They will also meet in the delayed 2019/2020 Copa del Rey final in April. ""We were very clear about how we had to play and how we could harm them, they did not have any clear chances and we were able to kill the game,"" said Portu. ""By results I would say that it has been a very good year, but we have a bittersweet taste for all the fans who have not been able to enjoy our victories in 2020."""
