,date,hour,title,subtitle,text
0,08/02/2021,20:23,Gladbach v Man City Champions League match moved to Budapest,"Manchester City's first leg of their Champions League last-16 tie against Borussia Moenchengladbach will be played in Budapest due to strict coronavirus entry rules imposed by Germany, UEFA announced Monday.","The switch of venue comes 24 hours after Liverpool's match against Leipzig next week was also relocated to Budapest for the same reason. Pep Guardiola's City will play Gladbach at the Puskas Arena on February 24. ""We have to presume that the travel ban for passengers from the UK to Germany, which is currently in place until 17th February, will be extended and that the Manchester City team will not be granted special permission to travel to Moenchengladbach,"" said Borussia CEO Stephan Schippers. ""We have come to this decision based on several conversations with the relevant authorities, politicians, the DFL and UEFA over the past week."" UEFA's regulations stipulate the home side must find a way of hosting the match or risk forfeiting it as a 3-0 defeat. Introduced late last month the new German rules, slated to last until at least February 17, ban travellers from countries hit by new, more contagious Covid-19 variants such as the one found in Britain. Though there are some exceptions for medical workers and others in key professions the new protocol contains no special provision for professional sportspeople. ""UEFA's regulations state that as the home side we are required to find an alternative venue. For several reasons, we have decided to play the game at the Puskas Arena in Budapest,"" said Schippers. ""We would like to thank UEFA and the Hungarian FA for their support regarding this matter. ""A last-16 Champions League tie is a huge event for Borussia Moenchengladbach, which we now cannot play in our own ground or with any fans in attendance. Nevertheless, we're pleased that we can play the game at all and we are conscious of the overall situation."""
1,07/02/2021,22:26,Leipzig face in-form Wolfsburg in Cup quarters,"RB Leipzig will face Wolfsburg in the quarter-finals of the German Cup after Sunday's draw, while Borussia Moenchengladbach will host Borussia Dortmund in the other all-Bundesliga tie.","Leipzig are second in Germany's top division while Wolfsburg are third and on a run of five straight wins in league and cup. The other top flight side left in the competition, Werder Bremen, will travel to second-tier Jahn Regensburg as clubs eye a cup that looks much more winnable with Bayern Munich out of the way. Bayern's conquerers at the last-32 stage Holstein Kiel have been rewarded for their penalty shootout win over Darmstadt in the last 16 with a trip to Rot-Weiss Essen, who play in the fourth division. Essen will likely be no pushover however after having knocked out Bayer Leverkusen, Arminia Bielefeld and second division team Fortuna Duesseldorf in previous rounds. Quarter-final draw, matches to be played March 2 and 3: RB Leipzig v Wolfsburg Borussia Moenchengladbach v Borussia Dortmund Jahn Regensburg v Werder Bremen Rot-Weiss Essen v Holstein Kiel"
2,22/01/2021,22:43,Gladbach end losing streak against Dortmund to climb to fourth,Defender Nico Elvedi netted twice as Moenchengladbach ended their six-year wait to beat Dortmund when their 4-2 home win on Friday lifted the Foals to fourth in the Bundesliga table.,"Two goals by Dortmund striker Erling Braut Haaland were bookended by Elvedi netting from set-pieces in the action-packed opening 32 minutes. Algeria left-back Ramy Bensebaini restored Gladbach's lead early in the second half before substitute Marcus Thuram headed the hosts' fourth. After home wins over league leaders Bayern and second-placed RB Leipzig already this season, Gladbach claimed another big-name Bundesliga scalp. It was also a significant win for their coach Marco Rose, who the German media are tipping to replace caretaker boss Edin Terzic at Dortmund next season. After 12 straight defeats to Dortmund, Gladbach earned their first win over the Black-and-Yellows since April 2016. Since their impressive 3-1 win at RB Leipzig at the start January, Dortmund drop to fifth after failing to win their last three games. In the other direction, Gladbach are up to fourth after taking 13 points from a possible 15 in 2021. They are eight points behind leaders Bayern, who are at bottom side Schalke on Sunday. Breel Embolo came on for Gladbach in the second-half despite police claims, which the Swiss striker denies, that he attended a party in Essen last Saturday that broke Germany's lockdown rules. Dortmund made a lethargic start at Borussia Park and a Gladbach goal inside the opening 60 seconds was ruled out after a lengthy VAR review. However, the hosts took the lead with 11 minutes gone when Lars Stindl's curling free-kick dropped in behind the defence to be headed home by Elvedi. Dortmund roared back with two goals inside six minutes, both created by Sancho for Haaland, who fired home his first from a tight angle on 22 minutes. After Jude Bellingham won the ball back for Dortmund, great footwork by Sancho then again unpicked Gladbach's defence for Haaland to blast his side 2-1 ahead on 28 minutes. However, another Stindl free-kick on 32 minutes could only be parried by Roman Buerki and Elvedi tapped home the rebound from close range to make it 2-2 at the break. Gladbach regained the lead five minutes into the second-half when Bensebaini swung in a shot which curled outside Buerki's grasp. Dortmund conceded their third goal of the night from a set-piece when Thuram headed home a Florian Neuhaus corner 11 minutes from the whistle. It was the France forward's first appearance after suspension for a spitting at an opponent last month."
3,11/01/2021,12:35,"Messi on form, a new American star and Bayern beaten: Talking points from around Europe","Lionel Messi is bang in form in the new year, Schalke avoided matching the Bundesliga record for the most consecutive games without a win and there was a very rare defeat for Bayern Munich.","AFP Sport rounds up some of the main talking points from across the continent: Lionel Messi looks like a man on a mission at the start of 2021 and what could be his final six months as a Barcelona player. On Saturday he scored twice -- including direct from a free-kick, one of his late-career specialities -- in a 4-0 win at Granada. That followed a masterful double and two shots off the post in a 3-2 midweek victory at Athletic Bilbao. Before that he provided the assist for Frenkie de Jong's winner at Huesca, and Barcelona have won three out of three since the turn of the year, while Messi is now La Liga's top scorer. Maybe it's not too late for Ronald Koeman's side to challenge for the title: they are third, four points behind leaders Atletico Madrid, albeit having played three games more. Matthew Hoppe is the latest young American to break through in the Bundesliga and he is already a hero for Schalke supporters. The California-born 19-year-old, who made his debut in November, had never scored a senior goal before netting a hat-trick -- the first ever for an American in the Bundesliga -- in the 4-0 defeat of Hoffenheim that rescued the Royal Blues from equalling an unwanted record. Their first win since January 17 last year, after 30 games without, prevented them from matching Tasmania Berlin's infamous German top-flight record of 31 games without a victory set in 1965/66. Hoppe has given hope to a whole club, and suddenly Schalke have new cause for optimism as they bid to beat the drop. They are off the bottom, above Mainz, but they remain in the relegation zone. Bayern Munich had begun to look a little less irresistible on a run of eight straight Bundesliga matches in which they had conceded the opening goal. But they had won five and drawn three of those matches. Then on Friday they were 2-0 up away to Borussia Moenchengladbach only to lose 3-2, just their second Bundesliga defeat since losing at the same ground in December 2019. It is a result that keeps the Bundesliga title race very much alive, although Hansi Flick's team have a winnable run of matches upcoming and they remain top, two points clear of RB Leipzig, who lost 3-1 at home to Borussia Dortmund, for whom Erling Braut Haaland scored twice. Third-placed Bayer Leverkusen are four points off the top after drawing 1-1 with Werder Bremen. Three days after a 3-1 home loss to reigning champions Juventus which ended a 27-game unbeaten run in Serie A stretching back to June, AC Milan bounced back to beat Torino 2-0 at San Siro. With second-placed city rivals Inter drawing at Roma, Milan are now three points clear at the top of the table, and remain seven ahead of Juventus, who are fourth but do have a game in hand. Added good news for Milan came with the return of veteran top scorer Zlatan Ibrahimovic as a late substitute for his first appearance since November 22 after injury. The Swede came on for Rafael Leao, who had earlier scored his third goal in five games. Can Zlatan now fire the Rossoneri to their first Scudetto since 2011? Mauricio Pochettino got his first victory as coach of Paris Saint-Germain, a 3-0 defeat of Brest, but it is Lyon who lead halfway through the Ligue 1 season. They claimed the symbolic title of autumn champions after coming back from 2-0 down to draw 2-2 at Rennes on Saturday with Memphis Depay scoring one fine goal before setting up Jason Denayer's equaliser. Rudi Garcia's team are unbeaten in 16 games although both PSG and Lille are just a point behind, and there is a very long way to go. Ensuring Depay stays to see out the remainder of his contract rather than leaving this month will be crucial."
4,08/01/2021,22:47,Bayern Munich squander two-goal lead to lose at Moenchengladbach,European champions Bayern Munich suffered only their second Bundesliga defeat of the season on Friday after throwing away a two-goal lead and crashing to a 3-2 loss at Borussia Moenchengladbach.,"The away defeat means second-placed RB Leipzig can wipe out Bayern's two-point lead and top the Bundesliga table if they beat Borussia Dortmund at home on Saturday. Bayern were cruising at 2-0 up after 26 minutes thanks to a Robert Lewandowski penalty and a superb Leon Goretzka goal at Borussia Park. However, Gladbach roared back as midfielder Jonas Hofmann scored twice to make it 2-2 at the break, then set up Florian Neuhaus who scored what proved to be the winner for the hosts just after the break. ""We're delighted, it was a hard fight. I don't think many people had thought we could do it, but we scored our first two goals exactly as planned,"" Hofmann told DAZN. ""We knew Bayern defend high. We made life hard for ourselves at the start, but it was great that we could take the lead straight after the break."" Bayern were punished for repeatedly losing the ball in their half as Gladbach took the chances which came their way. Bayern started brightly, ending their curious run of conceding the first goal in their previous eight league games when Neuhaus reached down and brushed the ball with the back of his hand on the edge of the area. After a long VAR review, the referee awarded a penalty and Lewandowski slotted home his 20th league goal this season. Bayern were 2-0 up when Goretzka superby won the ball back in Gladbach's half, traded passes with Leroy Sane and hit the net with a great finish. However, the scores were level at the break as the hosts fought back. In the pre-match build-up, Gladbach coach Marco Rose had highlighted Bayern's tendency to defend high up the pitch, which created space for opponents to attack, and his team ruthlessly exploited the weakness. A superb pass by Lars Stindl split the Bayern defence, Hofmann darted onto the ball and fired it past Manuel Neuer on 36 minutes. The second goal was almost identical. Stindl's long-range pass released Hofmann, who sprinted clear of Bayern's scrambling defence to again fire past Neuer just before half-time. Then when Niklas Suele gave away possession to Hofmann, the midfielder dribbled on the edge of the area and passed to Neuhaus, who made amends for the first-half penalty with a brilliant finish four minutes after the break. Gladbach defender Matthias Ginter was floored and needed medical treatment after blocking a Sane shot with his face. In a bid to raise the tempo, Bayern head coach Hansi Flick brought on Kingsley Coman, whose goal decided the Champions League final in August, for the final 22 minutes but to no avail as Gladbach held on."
5,08/01/2021,02:45,Dortmund hunt win at high-fliers Leipzig to rejoin title race,Borussia Dortmund are hunting a win at second-placed RB Leipzig on Saturday to get back in the Bundesliga title race while elsewhere two German league records could be equalled this weekend.,"At the top of the table, Bayern Munich coach Hansi Flick can claim 100 league points in his first 39 games if the league leaders win at Borussia Moenchengladbach on Friday. Pep Guardiola is the only other Bundesliga coach to have reached the milestone in the same number of games after taking charge of Bayern in 2013. At the other end of the table, bottom side Schalke could equal the league record of 31 games without victory if they lose or draw at home to Hoffenheim. In Saturday night's top match, Dortmund head to Leipzig in the ""role of the hunter"", according to sports director Michael Zorc, chasing an away win to trim the eight-point gap behind leaders Bayern. A late Jadon Sancho goal sealed their 2-0 win at home to Wolfsburg last Sunday, but Dortmund are fourth after defeats to Stuttgart and Union Berlin in December dented their title hopes. Dortmund must break their habit of conceding goals at set pieces which has drawn fierce internal criticism. ""Too often we haven't played grown-up football and our style was bound to see us drop points,"" Dortmund defender Mats Hummels fumed in Sport Bild, harsh criticism caretaker coach Edin Terzic regards as ""legitimate and productive"". Up front, Dortmund striker Erling Braut Haaland needs to finish his chances after the 20-year-old fired a blank last Sunday on his return after a hip injury. Haaland's 16-year-old understudy Youssoufa Moukoko is struggling with a knee injury. Dortmund have lost five of their 14 games this season and Terzic can ill-afford to lose at Leipzig, 10 days before facing third-placed Bayer Leverkusen. ""The whole of January will set the tone for the rest of the Bundesliga season,"" Terzic admits. Leipzig are on a nine-match unbeaten run in the Bundesliga, including a thrilling 3-3 draw at Bayern last month, and their defence has only conceded nine league goals all season. Their head coach Julian Nagelsmann is ""already planning"" the club's first win over Dortmund since 2017, ""because we're brave enough, in a very good mood"" and have home advantage. Nagelsmann is missing several players as Christopher Nkunku aggravated an ankle injury in training, while new signing Dominik Szoboszlai is struggling with a groin problem. The Liverpool loanee has scored five goals in his last seven league games which has helped Union Berlin climb to fifth ahead of Saturday's home game against Wolfsburg. With Germany striker Max Kruse recovering from a knee injury, burly 23-year-old Awoniyi spearheaded Union's attack by setting up team-mate Sheraldo Becker before tapping home to seal a 2-0 win at Werder Bremen last Saturday. The Nigerian international is making an impact at Union after seven loan moves in three different countries since joining Liverpool in 2015 after winning the African Under-20 Championships. 19 - the league goals scored by Bayern striker Robert Lewandowski, who netted twice against Mainz last Sunday. Haaland is his nearest rival on 10 goals. 97 - the league points Flick has accumulated as Bayern Munich head coach in his first 38 games with 31 wins, four draws and three defeats since taking charge in November 2019. 31 - Jadon Sancho's goal against Wolfsburg was his 31st in the Bundeliga. The England winger turns 21 in March and no-one else has scored so many German league goals at such a young age. Fixtures (all times 1430GMT unless stated)"
6,07/01/2021,16:29,Gnabry doubtful for Bayern as Flick looks to equal Guardiola's record,Germany winger Serge Gnabry remains doubtful for Bayern Munich ahead of Friday's Bundesliga clash at Borussia Moenchengladbach where head coach Hansi Flick can join Pep Guardiola as the quickest to claim 100 league points with the European champions.,"Gnabry took a painful blow to the shin in last Sunday's 5-2 win at home to Mainz when lethargic defending left Bayern two-goals down before roaring back for a win which kept them two points clear. Should Gnabry miss out, his place on the wing will go to Kingsley Coman, who is back after a thigh strain. Victory at Borussia Park would leave Flick on 100 points from 39 league matches, equalling Guardiola who became the first Bundesliga coach to reach the milestone with 101 points from his first 39 games in charge of Bayern. Of a bigger concern to Flick is Bayern's habit of conceding the opening goal in their last eight league games, fighting back each time for five wins and three draws. ""I don't like falling behind - we need a different attitude from the start,"" Flick admitted in Thursday's press conference. He wants to see ""a different dynamic, more intensity, more conviction"" because Bayern ""can't just let the opponent run and then hope"" goalkeeper Manuel Neuer will make a save. The Bundesliga leaders have conceded 21 goals in 14 league games this season - more than any other top six club. The tally is not to Flick's liking, but Moenchengladbach coach Marco Rose sees chances for his side, who have won two of the last four meetings with Bayern. ""Bayern like to defend very high because it helps them up front,"" said Rose. ""That creates chances in other spaces to hit the opponent (on the break). It's an open secret."" Flick pulled Joshua Kimmich out of midfield at half-time against Mainz to shore up the defence, which turned the game for Bayern. Kimmich is set to face Gladbach back in the defensive midfield with Niklas Suele expected to take his place at right-back."
7,06/01/2021,02:45,Flick turns up volume as Bayern bid to break bad habit,"Bayern Munich head to Borussia Moenchengladbach for Friday's Bundesliga match aiming to end their current trend of conceding the opening goal, which has angered head coach Hansi Flick into shouting fits in the dressing room.","""I can also get loud -- no problem -- that's something you learn over the years,"" said Flick after giving his players a half-time roasting last Sunday against Mainz before they came roaring back to win 5-2 from two goals down. ""It's sometimes all part of saying, quite clearly, what's going on."" Bayern head to Borussia Park unbeaten in their last 20 games in all competitions. Yet buried in that run are two revealing statistics. Flick's team have conceded the first goal in their last eight league games, but fought back on all eight occasions for five wins and three draws. Sloppy passes and ""negligent"" tackling led to them again trailing relegation candidates Mainz. Flick insists Bayern's first-half performance was ""not what you expect from a top team"". After his sharp words in the dressing room, he switched Joshua Kimmich to right-back with Leon Goretzka shoring up midfield. The effect was almost instantaneous as Kimmich scored their first goal, then set up Leroy Sane for the second as Mainz's lead was wiped out in 11 minutes at the start of the second half. ""The important thing is not to just scream blue murder, but to give the players something they can use to do better,"" Flick said. ""It's great to know that we can fight back, but our goal has to be that we take the lead,"" said Kimmich, back after knee surgery last November. Moenchengladbach, who face Manchester City in the Champions League last 16 next month, are one of Bayern's oldest Bundesliga rivals. They last beat Bayern 2-1 at Borussia Park in December 2019 when Algerian free-kick specialist Ramy Bensebaini scored both goals. After suffering from Covid-19 in November, the 25-year-old defender made a brief comeback on Saturday when he helped protect a slender 1-0 lead at Arminia Bielefeld. Head coach Marco Rose has said Bensebaini could feature on Friday. Saturday's victory, thanks to Breel Embolo's second-half goal, ended Gladbach's run of four league games without a win. ""Bayern Munich are probably the best team in the world right now, it's going to be a highlight,"" said Gladbach midfielder Florian Neuhaus."
8,02/01/2021,23:20,Olmo fires RB Leipzig top of Bundesliga ahead of Bayern Munich,RB Leipzig dislodged Bayern Munich at the top of the Bundesliga table Saturday as Dani Olmo's second-half goal was enough to seal a 1-0 win at Stuttgart.,"""It was really good for me and the team to start the year with a win,"" Olmo told DAZN. With European champions Bayern at home to strugglers Mainz on Sunday, Leipzig took the chance to go a point ahead as Olmo fired through the legs of Stuttgart goalkeeper Gregor Kobel. Stuttgart's Swiss shot-stopper had earlier pulled off some heroics by using his foot to save a Emil Forsberg first-half penalty attempt. Leipzig also wasted a golden chance when Amadou Haidara fired wide just after the break. With 23 minutes left, Spain midfielder Olmo finally got the breakthrough, finishing a move he started after Leipzig had moved the ball across the Stuttgart penalty area. ""It feels good to be top,"" admitted Leipzig defender Willi Orban. ""The first half was good, the second was better - we were clearly the dominant team."" Earlier, Bayer Leverkusen blew the chance to take first place after stumbling to a 2-1 defeat at Eintracht Frankfurt which saw them drop to third as the league resumed after a two-week break. ""I have made my feelings clear in the dressing room,"" Leverkusen head coach Peter Bosz told Sky. ""We deserved to lose. Frankfurt had a better claim to the victory."" Leverkusen midfielder Nadiem Amiri scored with a deft back-heel flick to give the visitors the lead after only 10 minutes in Frankfurt. However, Amin Younes equalised to make it 1-1 at half-time before Japan midfielder Daichi Kamada put in a cross which Leverkusen defender Edmond Tapsoba turned into his own net. Before kickoff, Frankfurt director Fredi Bobic confirmed reports his club are interested in Bayern's teenage striker Joshua Zirkzee, 19, after selling Dutch forward Bas Dost to Brugge. Zirkzee could back up Frankfurt's top scorer Andre Silva, who has notched nine league goals this season. Union Berlin rose to fourth - into the Champions League places for the first time in the club's history - after their 2-0 win at Werder Bremen. Liverpool loanee Taiwo Awoniyi, who has scored in his last three league games, capped another impressive display with a goal and assist. After Bremen lost the ball in their own half, the 23-year-old Nigeria international took advantage of a two-on-two situation by drawing the defence and passing to Sheraldo Becker, who fired home on 12 minutes. Awoniyi doubled Union's lead on 28 minutes by tapping the ball over the line, just out of the reach of Bremen goalkeeper Jiri Pavlenka. Bremen had a penalty appeal turned down when a shot by Japan midfielder Yuya Osako clipped the hand of a Union defender, then Romano Schmid had a goal ruled offside. Hoffenheim lost both defender Kevin Akpoguma and Germany midfielder Sebastian Rudy with early leg injuries as they crashed to a 3-1 home defeat to Freiburg. With the hosts struggling to reshuffle, Freiburg were 3-0 up at half-time thanks to a Baptiste Santamaria goal, a Vincenzo Grifo penalty and an own goal by Senegal defender Kasim Adams. Hoffenheim scored a second-half consolation goal through Togo winger Ihlas Bebou. Borussia Moenchengeladbach, who host Manchester City in the first leg of the Champions League last 16 next month, earned their first win in five league games with a 1-0 victory at Arminia Bielefeld. Swiss striker Breel Embolo netted the winning goal just after half-time when he held off a defender and fired home. Mid-table Augsburg rebounded after back-to-back defeats with a 1-0 win at Cologne with Brazilian winger Iago netting the late winner. Bottom side Schalke are now 30 games without a win -- one short of the Bundesliga record -- after a 3-0 defeat away to Hertha Berlin. Former Tottenham manager Christian Gross, installed as Schalke's fourth head coach this season, got off to a losing start as Arsenal loanee Matteo Guendouzi, Colombia striker Jhon Cordoba and his replacement, Poland forward Krzysztof Piatek, scored for Hertha. Having netted two minutes after coming off the bench, Piatek had a second late goal ruled offside."
9,20/12/2020,19:24,Gladbach fine Thuram month's wages after spitting at opponent,"Borussia Moenchengladbach fined striker Marcus Thuram one month's salary, to be paid to a charity, on Sunday for spitting on an opponent the previous day.","""Marcus has accepted this and has also offered to engage with this social cause on his own behalf,"" the club's sporting director Max Eberl said in a statement. Thuram was sent off after a video review showed him spitting in the face of Stefan Posch of Hoffenheim as the two argued during a Bundesliga match. With Gladbach down to 10 men, Hoffenheim scored a late goal and won 2-1. According to Bild daily, the fine could be in the region of 150,000 euros ($185,796) and constitute a club record sanction. ""Today something took place that is not in my character and must never happen."" Thuram, a 23-year-old France international, posted on Instagram after the game adding that the spit ""occurred accidentally and not intentionally."" ""I apologise to everyone, to Stefan Posch, to my opponents, to my team-mates, to my family and to all those who saw my reaction."" In addition to the club fine, Thuram faces a long ban from the German Football Association. Eberl said he had a ""long discussion"" with Thuram on Sunday morning and that the player was ""devastated"". Thuram ""told me that during a dispute with Stefan Posch, he had unintentionally spat after cursing several times in French in the heat of the moment. ""He knows that this doesn't change anything and that the pictures speak for themselves, and that the sending off was the right call,"" said Eberl. ""I have come to know him as a reflective person with a great demeanour,"" said Eberl. ""He remains the same person we know, and we will stand by him."""
