,date,hour,title,subtitle,text
0,13/02/2021,23:14,Messi leads Barca to thumping Alaves win,Barcelona might not be able to catch Atletico Madrid but they may fancy their chances against Paris Saint-Germain after Lionel Messi scored twice in a 5-1 thrashing of Alaves on Saturday.,"Messi fired in two sensational long-range efforts and would have had a hat-trick at Camp Nou had a dubious VAR decision in the first half not ruled Antoine Griezmann offside. He did tee up a second of the night for the 21-year-old Francisco Trincao and was instrumental in Junior Firpo adding a fifth too, a flamboyant scoop freeing Griezmann to send a pass to Firpo at the back post. Victory means Barca trail Atletico Madrid by eight points again after Atletico had temporarily pulled 11 clear thanks to a hard-fought 2-1 win over Granada earlier on Saturday. Barcelona and Real Madrid have both played a game more than Atleti, with Zinedine Zidane's side facing Valencia at home on Sunday. Atletico's win was a significant psychological boost on the back of slipping up for the first time in nine games at home to Celta Vigo earlier this week. Their advantage may prove too large to close but Barcelona's tie against PSG in the Champions League, which looked to have the French side as firm favourites when the draw was made in December, now feels harder to call. Mauricio Pochettino's side will probably be favourites ahead of the first leg at Camp Nou on Tuesday but Barca have certainly found form in recent weeks, and Messi looks close to his lethal best. The question is whether a free-flowing attack, full of talent and orchestrated by Messi, can hurt PSG enough to make up for what remains a shaky defence, depleted by injuries and vulnerable to the counter-attack. With Gerard Pique and the emerging Ronald Araujo both out injured, Frenkie de Jong filled in again in central defence, although the Dutchman has arguably been Barcelona's most improved player this year in the midfield three. Instead there was a start for Ilaix Kourouma in midfield, the 18-year-old academy product who assisted Trincao's opening goal but whose misplaced pass led to Luis Rioja briefly giving Alaves hope. After Trincao had swept home, Messi thought he had made it two, pouncing on a rebound after Griezmann missed but the goal was ruled out, even though replays suggested Griezmann was onside. Messi made amends soon after, latching onto a Sergio Busquets pass, darting in-field and ripping a shot in off the post. Rioja capitalised on Ilaix's mistake just before the hour but Barca pulled away with three goals in six minutes. Pedri's pass freed Messi but he failed to round Fernando Pacheco and instead the ball spilled out for Trincao to score his second. Messi slammed a stinging strike into the top corner from 25 yards to make it 4-1 before perhaps the goal of the night came last, Messi scooping over for Griezmann, who volleyed to the back post where Firpo could not miss. Atletico had earlier swerved a second consecutive slip by squeezing past Granada at Los Carmenes, a victory secured by Angel Correa's fortuitous winner in the second half. There was a hint of luck in Granada's equaliser too, Yangel Herrera's shot deflecting off Marcos Llorente, who had himself put Atletico in front only three minutes earlier. ""The most important thing today was the fight and the energy of the team,"" said Simeone afterwards. At the full-time whistle, he shook his fists and sprinted down the tunnel, his relief evident at the end of a game that could easily have seen more points dropped for his side. Luis Suarez had scored in six of the previous seven games but for once the 34-year-old was not the matchwinner, with Llorente and Correa -- two unsung heroes this season -- instead proving the difference. Llorente's goal was his seventh of the season while his lay-off for Correa was his sixth assist. ""As coaches trophies are wonderful because they fill you with excitement and glory,"" Simeone said of Llorente. ""But when you work with a footballer and see them grow, you feel even more joy and more enthusiasm to keep doing what you're doing."""
1,23/01/2021,23:48,Hazard leads Real Madrid to Alaves rout to relieve pressure on Zidane,"Eden Hazard scored one goal and set up another as Real Madrid thrashed Alaves 4-1 on Saturday to ease the pressure on their coach Zinedine Zidane, who was absent after testing positive for Covid-19.","Zidane's position has come under scrutiny again after Wednesday's defeat by third-tier side Alcoyano in the Copa del Rey but Madrid responded at Mendizorroza without their coach, or their captain Sergio Ramos, who was out with a knee injury. Goals from Casemiro, Karim Benzema and Hazard put Madrid three up at half-time and while Alaves briefly threatened a fightback when Joselu headed in, Benzema added a second to put the result beyond doubt. The victory is only Real Madrid's second in six matches and leaves them four points behind Atletico Madrid, who have two games in hand and play Valencia at home on Sunday. ""The goals are good for the confidence, for everyone,"" said Benzema. ""It's been a tough week for us because we always have to win, always have to be on the up. There's always pressure. Today it went well, not just for me, for everyone."" Zidane was confirmed to have tested positive on Friday, leaving his assistant David Bettoni to take charge in the dug-out, although Bettoni was pictured on the telephone in the second half. ""He was very happy with the attitude of the team,"" said Bettoni when asked what Zidane had told him after the game. ""He told me to congratulate the players, as he would have done if he was with us."" Bettoni took off Hazard as Alaves were gaining belief early in the second period but the Belgian enjoyed a positive outing overall that Zidane will hope is the start of a revival. The 29-year-old has had a nightmare year and a half in Spain, with this only his third goal in La Liga and his first in the league away from home since joining from Chelsea for 100 million euros. ""We have to have more patience, it's true that at Real Madrid patience is difficult,"" said Bettoni. ""I think the best version of Hazard has been seen a little today and that every game we'll see it a bit more."" Benzema was the chief beneficiary as Madrid forgot their recent woes in attack. There were strong performances too from Toni Kroos, Casemiro and Luka Modric in midfield, the latter providing a handful of supreme passes, one of which led to Benzema's second and Madrid's fourth. Madrid's first half was probably their best of the season, prompted by an early goal from Casemiro to boost confidence, the Brazilian heading Kroos' corner inside the post. Hazard scuffed a chance wide but was involved in the second as he tried to flick Lucas Vazquez's pass into Benzema but feathering it was enough, with Benzema given space to fire into the top left-hand corner. Hazard made it three four minutes later. Kroos looked up and as Alaves pushed out, Hazard surged in behind, the ball looping over for him to control and finish past Fernando Pachecho. Alaves pushed hard after half-time and were given hope when Joselu headed in from Lucas Perez's free-kick. Yet the comeback was short-lived as Benzema raced onto another curling Modric pass out to the left, nipped inside and stroked into the far corner. Earlier, Youssef En-Nesyri scored his second hat-trick in four games as Sevilla dispatched Cadiz 3-0 to move up to third. The Moroccan striker's treble takes him level with Lionel Messi and Luis Suarez at the top of the league's scoring charts with 11 goals and makes it seven for him in the last four matches. Cadiz, meanwhile, slip to ninth, below Real Betis, who came from behind to salvage a 2-2 draw at Real Sociedad by scoring twice in the last five minutes. Real Sociedad drop to sixth, three points adrift of Barca in fourth. Betis climb to eighth."
2,22/01/2021,03:15,"Zidane, Villas-Boas under the cosh, Zlatan boosts Milan - what to watch in Europe this weekend","Real Madrid hope to put an embarrassing midweek cup exit behind them, while Andre Villas-Boas's future is under scrutiny at Marseille and AC Milan look to keep their rivals in the rearview mirror with Zlatan Ibrahimovic back from injury.","AFP Sport selects some of the standout football action in Europe this weekend: Alaves v Real Madrid, Saturday 2000 GMT After successive defeats in the Spanish Super Cup and Copa del Rey, the second a shock loss to third-tier Alcoyano, Real Madrid will try to reignite their La Liga title challenge away to Alaves. Zinedine Zidane's side are playing catch up to Atletico Madrid, despite having played a game more, after draws against struggling Elche and Osasuna, two of the league's bottom three, in recent weeks. Alaves beat Madrid 2-1 in the capital in late November but have won just once in eight matches since, their slide into a relegation scrap costing coach Pablo Machin his job last week with former Spain international Abelardo Fernandez returning to take charge. AC Milan v Atalanta, Saturday 1700 GMT Zlatan Ibrahimovic wasted little time shaking off any rust accrued while sidelined by a muscle injury as he scored twice against Cagliari on Monday, in his first Serie A start in two months. The 39-year-old Swede has scored 12 goals in just seven starts this season, second only to Cristiano Ronaldo in the league, and Milan this week strengthened their attack with the signing of ex-Juventus striker Mario Mandzukic on a free transfer. ""Zlatan and I have a lot of experience. In football, it's important to instill fear in your opponents, to fight and to protect your team,"" said Mandzukic, who could make his debut against an Atalanta side that arrives in Milan unbeaten in nine league outings. Monaco v Marseille, Saturday 2000 GMT Marseille are reeling after two straight defeats followed a draw at lowly Dijon, a run that has shattered any fanciful Ligue 1 title dreams and cast considerable doubt over the future of coach Andre Villas-Boas. ""I am at the service of the board. I am not here to cause problems. If they decide that I am not up to it in terms of results, then it will be the time to leave. If a change is needed, I am at their service,"" Villas-Boas said following Wednesday's 1-0 home loss to Lens. Club president Jacques-Henri Eyraud blasted the players as ""not fit to wear the shirt"" in the wake of last weekend's defeat by bottom side Nimes. A trip to Niko Kovac's in-form Monaco could spell further trouble at the Velodrome. Schalke v Bayern Munich, Sunday 1430 GMT With their 30-match winless run finally over, Schalke will want no reminding of what happened when they met Bayern Munich on the opening day of the season -- a crushing 8-0 defeat setting the tone for a disastrous first half of the campaign. In 19-year-old US forward Matthew Hoppe, Schalke have found a ray of hope in their fight against relegation, but the Royal Blues are eight points from potential safety at the halfway stage. Bayern have clawed out tough wins over Freiburg and Augsburg in their two previous games to regain control atop the Bundesliga, sending a ""signal to the rest of the chasing pack"" their hunger remains strong despite a recent dip, says Manuel Neuer. Sporting v Braga, Saturday 1945 GMT Having sparred with their rivals off the pitch over the handling of Covid-19 cases, Sporting Lisbon got the better of Porto in Tuesday's semi-final thanks to two late goals from Cape Verde-born Jovane Cabral. A day later, Braga overcame their ""outrage"" at Benfica's efforts to seek a postponement of their tie, booking a place in the final in Leiria with a 2-1 victory over an opposing side hit by a raft of coronavirus infections. Sporting and Braga have combined to win each of the past three editions of the Portuguese League Cup, the former lifting the trophy in 2018 and 2019 before Braga defeated Porto in last year's final under current Sporting boss Ruben Amorim."
3,19/01/2021,23:59,Suso cracker lifts Sevilla past Alaves,A magnificent long-range strike from Suso secured Sevilla a 2-1 victory at Alaves on Tuesday that sent them up to fourth in La Liga and within a point of Barcelona.,"Moroccan striker Youssef En-Nesyri, a reported January transfer target for West Ham, turned in a Jesus Navas cross to give Sevilla the lead on three minutes. Edgar Mendez soon levelled for the hosts but a thunderous 30-yard drive from Suso put Sevilla back in front on the half-hour, with goalkeeper Bono saving a stoppage-time penalty from Joselu to preserve the win. Julen Lopetegui's side moved up two spots ahead of a favourable run of matches against clubs largely in the bottom half of the table. Real Valladolid recovered from two goals down to draw 2-2 at home to Elche while Cadiz and Levante also ended two apiece. Leaders Atletico Madrid can extend their cushion at the top when they visit Eibar on Thursday. Diego Simeone's side are four points clear of Real Madrid with two games in hand."
4,12/01/2021,16:36,"La Liga strugglers Huesca, Alaves sack coaches","La Liga's bottom side Huesca dismissed coach Michel Sanchez on Tuesday after a run of just one win in 18 games, while Alaves sacked Pablo Machin with the club barely above the relegation zone.","Huesca have lost four of their last five matches to fall six points adrift of safety following their promotion to Spain's top division for just the second time. Alaves parted ways with Machin following a poor series of results to leave the club in 16th place and only two points clear of the bottom three. Machin oversaw a 2-1 victory over champions Real Madrid in November, but his team has won just once in seven games since and only four times in the league all season. The former Sevilla and Espanyol boss had been lined up to take over at Qingdao Huanghai in China in July but pulled out for personal reasons, reportedly after one of his relatives contracted Covid-19. Alaves appointed Abelardo Fernandez as Machin's successor, the ex-Spain international returning to the club he coached from 2017 to 2019."
5,10/01/2021,19:09,Negredo leads Cadiz to victory over 10-man Alaves,Alvaro Negredo helped Cadiz register their first victory in five games on Sunday as they defeated 10-man Alaves 3-1.,"A red card for Alaves defender Alberto Rodriguez proved pivotal in the second half, with Antony Lozano and Negredo each scoring soon after to seal the win for Cadiz. Alaves had earlier pulled level through a Joselu penalty after Alex put Cadiz in front. The win ends a barren spell for Cadiz, who take one step closer to safety after being promoted last term. They climb to ninth while Alaves sit 14th. Earlier, Levante had also moved into the top half of the table by coming from behind to beat Eibar 2-1, Gonzalo Melero and Jose Luis Morales scoring the goals for them in the second half."
6,28/11/2020,23:03,Real Madrid lose at home to Alaves in La Liga,Real Madrid slumped to a 2-1 loss at home to Alaves in La Liga on Saturday as Zinedine Zidane's side suffered a third defeat in 10 matches in Spain this season.,"Lucas Perez scored a fifth-minute penalty at Alfredo di Stefano stadium and Joselu added a second just after half-time following an awful mistake by goalkeeper Thibaut Courtois. Casemiro gave Real a lifeline on 86 minutes but Alaves held on for a victory that lifted them to ninth. Madrid remain fourth, six points behind leaders Real Sociedad and city rivals Atletico."
7,31/10/2020,23:02,Barcelona held by 10-man Alaves to extend winless streak in La Liga,"Barcelona made it four La Liga games without a win on Saturday after failing to beat 10-man Alaves, a 1-1 draw leaving Ronald Koeman's side sitting 12th in the table.","Luis Rioja put Alaves in front at Mendizorrotza after an error from Barca goalkeeper Neto, with Antoine Griezmann equalising in the second half, a minute after Jota Peleteiro was sent off. But with almost half an hour left and a extra man, Barcelona were still unable to find a winner, instead settling for a draw to go with recent defeats by Getafe and Real Madrid, and another draw against Sevilla. It means Madrid, who had earlier won 4-1 at home to Huesca, now sit eight points clear of their Catalan rivals while Atletico are six ahead after they beat Osasuna 3-1. Atletico will go top if they win a game in hand."
8,19/07/2020,19:31,Messi scores twice as Barca finish with five-goal rout over Alaves,Lionel Messi should claim a record seventh La Liga golden boot after scoring twice in a 5-0 win over Alaves on Sunday as Barcelona ended their disappointing season on a more positive note.,"Messi's double takes his league tally to 25 goals for the season and puts him four clear of Karim Benzema in the race for the 'Pichichi Trophy' ahead of Real Madrid's last game later on Sunday against Leganes. Ansu Fati, Luis Suarez and Nelson Semedo also chipped in for an emphatic victory against an Alaves side who looked off the pace after guaranteeing survival earlier in the week. Barca had their fate confirmed on Thursday too, when defeat to Osasuna handed Real Madrid the title and brought scrutiny on all areas of the club, including the future of Quique Setien as coach. Messi delivered a stinging assessment after the game but Setien said on Saturday he still believes Barcelona, at their best, can win the Champions League next month. ""Today was very different,"" said Messi. ""We have taken an important step in terms of attitude and commitment and things can follow on from that. We have shown we can change."" Unless Benzema runs riot against Leganes, Messi will finish as La Liga's top scorer for a seventh time, pulling clear of Telmo Zarra's six while playing for Athletic Bilbao in the forties and fifties. This sparkling attacking display certainly gave a glimpse of what is possible when Messi, Suarez, Fati and the promising Riqui Puig find their rhythm but Napoli in the last 16, and potentially Bayern Munich in the quarter-finals, will offer a completely different test. There could be fitness concerns for Setien too. Clement Lenglet hobbled off with what looked like a groin problem, with Antoine Griezmann and Samuel Umtiti already out injured. Suspensions for Gerard Pique, Junior Firpo and Ivan Rakitic meant Setien was able to name only three outfield players on his bench. But Setien has increasingly been putting his faith in youth and the 20-year-old Puig impressed again in midfield while 21-year-old Ronald Araujo gave a composed, albeit largely unchallenged, performance in defence. Barcelona were three goals up before half-time and could have had more. They hit the woodwork three times in the first 15 minutes as Puig and Arturo Vidal both rattled the crossbar before Messi's curling shot hit the post. Fati finally opened the scoring when Messi's deflected cross looped up to the near post, where the 17-year-old was quickest to react. Suarez spurned a one-on-one after a brilliant Puig pass and Puig was also involved in the second, weaving inside and teeing up Messi to stride through and finish. Vidal went close with a flicked header from Messi's cross before Suarez capped a superb move by heading in his 17th league goal after Jordi Alba had volleyed Messi's pass across. Another Puig through ball just before the hour allowed Semedo to lash in a fourth, only for Messi to have the last word with a smart finish on the half-volley."
9,11/07/2020,00:55,Real Madrid in sight of title after beating Alaves,Real Madrid could win La Liga on Monday after a routine 2-0 win over Alaves on Friday put them within touching distance of the title.,"With suspended skipper Sergio Ramos sitting in the stands, Karim Benzema took over the armband and then penalty duties, firing in from the spot before teeing up Marco Asensio to add a second at the Alfredo di Stefano Stadium. After restoring their four-point advantage at the top of the table, the pressure is back on Barcelona. If Barca fail to win away at Real Valladolid on Saturday, Madrid will clinch the title with two games to spare by beating Granada on Monday at Los Carmenes. Yet even if Madrid have to wait, it seems inevitable they will hoist the trophy given they also boast the superior head-to-head record against Barcelona with three games left. Madrid can afford to draw two of those, even if Barcelona manage three victories out of three. ""We still don't know what is going to happen,"" said Real coach Zinedine Zidane. ""La Liga is very hard and we have three finals still to go."" ""We have to stay focused,"" added Raphael Varane. After sacking their coach Asier Garitano last week following five consecutive defeats Alaves never looked likely to cause an upset. This loss in Juan Ramon Lopez Muniz's first game in charge leaves them hovering above the relegation zone, only three points ahead of Real Mallorca, who have hope after their win over Levante on Thursday. Zidane will be relieved all the same, particularly as he had to do without a string of key players. Ramos and Dani Carvajal were both banned while Marcelo was injured, taking out three of Madrid's regular back four. Eden Hazard was unable to start but came on in the second half to ease concerns about niggling problems with his ankle. A makeshift defence, including Lucas Vazquez at right-back, chalked up another clean sheet, Madrid's fifth in a row for the first time in 12 years. It is also their sixth in eight gams since the restart. Alaves might have broke that run in the first few minutes as Joselu headed against the crossbar and Lucas Perez's follow-up had to be cleared off the line by Varane. Eder Militao then had to make a perfectly timed challenge to prevent Perez going clear. But Madrid survived and then took the lead in the 11th minute, Ferland Mendy driving to the line and going down under the sliding tackle of Ximo Navarro, who caught him with his trailing leg. Benzema scored the penalty for his 23rd goal of the season. Oliver Burke twice caused Madrid problems with weaving runs forward before Benzema hurt his neck from an awkward fall on the stroke of half-time. Benzema was able to continue but injured referee Gil Manzano was replaced by Rodriguez Carpallo, whose first big decision was to allow Madrid's second goal. Rodrygo did well to muscle his way through midfield before freeing Benzema, who looked offside but sped forward and side-footed for Asensio to tap in. Replays showed Benzema had timed his run and the goal stood. Thibaut Courtois had to make two smart saves but Madrid were cruising by the end. Rodrygo and Vinicius Junior should have made it three when queueing up at the back post but two was enough."
