,date,hour,title,subtitle,text
0,20/12/2020,17:15,"Volland helps Monaco end losing streak, Rennes move level with Marseille",Germany striker Kevin Volland scored his sixth Ligue 1 goal as Monaco battled to a 1-0 win at bottom club Dijon on Sunday to snap a three-match losing streak.,"Successive defeats by Lille, Marseille and Lens had seen Monaco slip nine points behind previous leaders Lille heading into the weekend. Their win on Sunday moved the seventh-placed principality club within seven points of current leaders Lyon, although Lille and Paris Saint-Germain will both be eyeing top spot when they meet later in the day. Former Bayer Leverkusen forward Volland slotted in the only goal on 15 minutes, with both sides seeing later efforts ruled out by VAR. ""After four straight wins and then three defeats on the bounce, the most important thing was to win,"" said coach Niko Kovac. ""It was not the best Monaco but we showed lots of character and that's the best way to move forward."" Rennes are two points ahead Monaco in fifth after strolling to a 3-0 win at Lorient, who sit second-from-bottom after their 11th defeat of the season. Damien Da Silva opened the scoring with a deflected close-range effort midway through the first half, and Benjamin Bourigeaud doubled the away side's lead with a fine first-time strike with 20 minutes remaining. Martin Terrier completed the scoring six minutes later when he cut in from the left before curling home past Paul Nardi. Rennes are level with Marseille on 28 points, five behind Lyon, although they have played two games more than the team from the south coast. One point ahead of Lorient in 18th place are Nimes, who came away from Saint-Etienne with a 2-2 draw. Elsewhere, Montpellier missed the chance to move into fourth as they were held to a 2-2 draw a"
1,24/10/2020,23:49,"Kean, Mbappe send PSG top after Lens game called off due to Covid outbreak","Moise Kean and Kylian Mbappe both scored twice as Paris Saint-Germain beat Dijon 4-0 on Saturday to go top of Ligue 1, while the match between Lens and Nantes was postponed after 11 members of the home squad tested positive for coronavirus.","Kean started at the Parc des Princes and scored a first-half brace, his first goals since moving to PSG on loan from Everton. Mbappe then replaced the Italy international in the latter stages and added a late double of his own as Thomas Tuchel's team -- for whom Neymar was outstanding -- bounced back from their midweek Champions League loss to Manchester United and made it six consecutive Ligue 1 victories. The result allowed PSG to go top of the table, a point clear of Lille, although the northerners can reclaim first place by beating Nice on Sunday. ""The most important thing was to get back to winning ways at home,"" captain Marquinhos told Canal+. ""We know this season is not going to be easy. We are going to have lots of matches, we rotated the team here but we were still competitive on the field."" The reigning champions were missing nine players due to injury or suspension, including Angel di Maria and Marco Verratti, while Mbappe was rested at kick-off ahead of a trip to Turkey to play Istanbul Basaksehir on Wednesday. In a game played behind closed doors in the French capital because of the health crisis, Kean came in and converted a Mitchel Bakker cross to open the scoring in the third minute. Neymar then headed against the post before setting up Kean's second goal midway through the first half. Released on the counter-attack by Julian Draxler, Neymar ran half the length of the field with the ball before leaving Kean with an easy finish. PSG lost Draxler to injury in the second half before Mbappe replaced Kean and ran onto a Neymar pass to make it 3-0 eight minutes from time. In the 88th minute Neymar produced a lovely pass to pick out Pablo Sarabia, who teed up Mbappe to seal the win. Marseille won 1-0 at Lorient earlier with a second-half goal from Argentine defender Leonardo Balerdi moving them up to fourth just behind Rennes, who lost 2-1 to Angers on Friday. Andre Villas-Boas's side host Manchester City in the Champions League on Tuesday. Lens' home clash with Nantes scheduled for Sunday was called off after they lost the equivalent of a whole team to positive coronavirus tests. In a statement, the French league (LFP) said that ""noting the certain absence of 11 Lens players from a list of 30 because of positive RT-PCR tests...it has decided to postpone the game between Lens and Nantes scheduled for Sunday to a later date"". Lens did not confirm the identity of the players concerned, but local newspaper La Voix du Nord reported that two staff members, including coach Franck Haise, were also positive. ""The health situation takes priority but this changes a lot of things for the league itself,"" said the Nantes coach, Christian Gourcuff, whose squad had already travelled to Lens. ""I think that what we have experienced is going to happen again."" It is not the first time this season a Ligue 1 game has been postponed due to Covid-19. Marseille's meeting with Bordeaux on the opening night of the campaign in August was rescheduled for the same reason. After that, and fearing an avalanche of postponements, the LFP relaxed its health protocol to ensure games could go ahead as long as at least 20 players from a list of 30 on each team tested negative. The Ligue 2 game between Grenoble and Nancy scheduled for Saturday was also postponed after 13 Grenoble players tested positive along with five staff members. Lens and its surrounding region, in far northern France, are currently under a nighttime curfew along with much of the country as part of efforts to reduce the spread of the virus. France has recorded more than one million cases and close to 35,000 deaths from Covid-19."
2,24/10/2020,13:34,Another PSG player tests positive for coronavirus,An unnamed Paris Saint-Germain player has tested positive for Covid-19 and will miss the club's Ligue 1 match against Dijon on Saturday.,"PSG were badly hit by the virus at the start of the current season, when Neymar, Kylian Mbappe, Angel Di Maria and Leandro Paredes all had to self-isolate after a holiday to Ibiza following the team's Champions League final loss to Bayern Munich. The player would also likely miss Wednesday's Champions League game at Istanbul Basaksehir. Thomas Tuchel's men lost their opening group match at home to Manchester United earlier this week."
3,21/09/2020,18:57,Arsenal sign Dijon goalkeeper Runarsson,Arsenal signed Iceland goalkeeper Runar Alex Runarsson from Dijon on Monday to act as back-up for first choice Bernd Leno.,"Runarsson joins the Premier League club for a reported 1 million pounds ($1.3 million) after agreeing a four-year contract. The 25-year-old replaces Emiliano Martinez after the Argentine keeper joined Aston Villa last week. Englishman Matt Macey was on the bench as Arsenal beat West Ham on Saturday. ""We want to create healthy competition for places and we look forward to seeing Alex bring further depth to the goalkeeping position,"" Arsenal manager Mikel Arteta told the club's website. Runarsson joined Ligue 1 club Dijon in July 2018 and made 13 appearances in all competitions last season. He started his career with Icelandic outfit KR Reykjavik and went on to join FC Nordsjaelland in Denmark before moving to Dijon. ""We're very pleased to welcome Alex to our squad. We have been monitoring him for some time and from the analysis, he has strong attributes that we look for in a goalkeeper and as a person,"" Arsenal technical director Edu said."
4,31/05/2020,13:43,Dijon's Algeria midfielder Benzia injured in buggy crash,"Algerian international midfielder Yassine Benzia has severely injured a hand in an accident in an off-road vehicle, Dijon club president Olivier Delcourt told local media on Sunday.","The accident occurred on Thursday in Savigny-le-Sec, just north of Dijon. Delcourt said the 26-year-old, who joined Dijon from Olympiacos in January and has been capped four times by Algeria, had been hospitalised and ""put on morphine"" before undergoing surgery. Delcourt did not say if the player was in danger of losing the use of the hand."
5,29/02/2020,22:28,PSG ease past Dijon without banned Neymar,Kylian Mbappe scored twice and grabbed an assist as runaway Ligue 1 leaders Paris Saint-Germain coasted to a 4-0 win over Dijon on Saturday despite the absence of the suspended Neymar.,"Pablo Sarabia struck the opener inside three minutes at the Parc des Princes, as PSG played without Neymar who was serving a one-match ban after his red card in last week's win over Bordeaux. Dijon, who beat PSG 2-1 at home in November, are hovering just above the relegation play-off place but held out for 70 minutes before PSG added a second through Mbappe. The France international then set up Mauro Icardi for a third goal just moments after the Argentine came on as a replacement for Edinson Cavani. Mbappe bagged his second and PSG's fourth in stoppage time as Thomas Tuchel's side preserved their 13-point lead over Marseille at the top of the table. ""It was a good match. We were able to score quickly which settled us down,"" said PSG captain Marquinhos, who admitted his dismay at the decision to scrap the customary pre-match handshakes as part of safety measures related to the coronavirus outbreak. The players also made their way into the ground via a side door, ditching the traditional entrance in front of dozens of supporters. ""We don't like that too much,"" said Marquinhos. ""As a Brazilian, I like contact, the energy of people. We don't like to stay in our corner. But you have to be vigilant to stay healthy."" PSG travel to Lyon on Wednesday for a French Cup semi-final and play Strasbourg next weekend, with the return leg against Borussia Dortmund in the Champions League on March 11. ""The group absolutely wants to show against Dortmund that it's capable of taking this step forward,"" said Tuchel. ""They're having a very consistent season with lots of wins and strong performances. We can't lose confidence in this team. The players have shown this week they want to play that game, and they did again today."" The hosts were already without Marco Verratti due to suspension and injured skipper Thiago Silva, and lost Angel Di Maria to a thigh problem early in the first half. Tuchel said he was confident Di Maria would make a swift recovery, adding the decision to take him off was one of precaution. By that point PSG were already leading through Sarabia's ninth goal of 2020 -- and PSG's second quickest of the campaign -- after he redirected a mishit shot from Marquinhos. Dijon goalkeeper Alex Runarsson produced a number of saves to keep the visitors in touch, but he was eventually beaten again when Mbappe rounded the Iceland international following a slick ball through from Julian Draxler. Mbappe turned provider when he helped the ball across for Icardi to apply a sharp finish on 74 minutes. He then increased his league-best goals tally to 18 in stoppage time after a scramble in the area. Elsewhere, Rennes moved four points clear of Lille in the race for the third and final Champions League spot with a 2-0 win at bottom club Toulouse. Montpellier climbed to fifth following a 3-0 victory over Strasbourg while Monaco drew 1-1 at home to Reims despite a Wissam Ben Yedder penalty -- his 17th goal of the season. Angers won 1-0 away to Brest while Metz defeated Amiens 1-0 on the road. Marseille strengthened their grip on second place on Friday as Dario Benedetto scored a hat-trick in a 3-2 win at lowly Nimes."
6,28/02/2020,16:53,English youngster Mavididi grasping chance to grow at Dijon,"With his path to the Juventus first team blocked by stiff competition, Stephy Mavididi is finally coming into his own at Dijon, in what is effectively his first full season at the top level.","A late arrival on loan from Juventus at the end of the summer transfer window, the 21-year-old Mavididi, part of a diaspora of young English talents, has developed into a key player for a team scrapping to stay in Ligue 1. While many Dijon fans initially knew little of their August signing, Mavididi has thrust himself into the spotlight with a return of eight goals in 26 matches for the Burgundy club. Born in Derby to Congolese parents, the forward graduated from the Arsenal academy, yet never made a first-team appearance for the Gunners. Following loan spells with Charlton (twice) and Preston in the lower tiers, Mavididi moved to Juventus in August 2018 for 1.5 million euros ($1.65 million). He played just once in Serie A last season -- a 21-minute cameo against SPAL. Having gradually forced his way into Massimiliano Allegri's plans in Turin, a switch of coach and the appointment of Maurizio Sarri prompted Mavididi to look elsewhere for regular game time. ""He essentially played with the 'B' team, which plays in Serie C. Whether at Arsenal or Juve, he faced a lot of strong competition,"" said Sebastien Larcier, in charge of player recruitment at Dijon. ""We had the opportunity to bring him here thanks to the network of (club advisor) Peguy Luyindula, who knows Arsene Wenger and Thierry Henry, and our coach Stephane Jobard, who has contacts at Juventus."" Despite his tender years, Dijon is already Mavididi's fifth club. ""Stephy quickly understood all the interest he had in coming to a Ligue 1 club, to get playing time and the chance to express himself,"" said Jobard. ""I was interested in his speed, his ability to score. ""There's real potential with him which he must make the most of. He needs to improve in the final phase, but he's adapted well to the demands of Ligue 1. ""You mustn't forget he's a foreigner, is young, and needs some time to adjust."" Mavididi's team-mate Nayef Aguerd believes the England youth international has a bright future. ""For a defender, he's the type of forward who's difficult to mark because he's lively, capable of playing deep, and his technique allows him to get rid of his opponent,"" said Aguerd. ""He has genuine potential. He's going to come on a lot,"" added the Morocco international. Up next for Dijon is Saturday's trip to league leaders Paris Saint-Germain, another chance for Mavididi to test himself against France's very best."
7,12/02/2020,23:54,Six-goal PSG into French Cup semi-finals as Lyon knock out Marseille,Paris Saint-Germain cruised into the semi-finals of the French Cup on Wednesday after thumping Dijon 6-1 in a match that saw the French champions benefit again from comical own goals.,"PSG were ahead just 47 seconds after kick off thanks to Wesley Lautoa shanking Mitchel Bakker's low cross into his own net to the bemusement of his teammates. It was the second own goal in a week to be scored for PSG, who also saw Lyon's Fernando Marcal slam a stunning effort past his own goalkeeper at the weekend. However the hosts were level in the 13th minute thanks to a impressive low curling effort from Mounir Chouiar, which squeezed past Kaylor Navas. While the away side were far from full strength, with Angel Di Maria and Mauro Icardi on the bench and Neymar not even in the squad, Thomas Tuchel's team did include Kylian Mbappe and Edinson Cavani, who was making his first start in over a month after nearly moving to Atletico Madrid in January. The Uruguayan was left waiting his 200th goal for the club in the 21st minute when he turned home Thomas Meunier's cross, only for the strike to be ruled out for handball by the Belgian after a VAR check. ""It's not that bad because he can score his 200th goal on Saturday (against Amiens) or Tuesday (against Borussia Dortmund). I can feel he's there,"" said Tuchel. On the match, he added: ""I'm happy because we deserved the victory. It's a huge performance."" Mbappe put PSG ahead a minute before the break, punishing Jhonder Cadiz's miss when clean through seconds before by clinically slotting home a similar chance. Thiago Silva added a third four minutes after the break with a header from a corner before Pablo Sarabia ended Dijon's resistance by pushing home his 11th of the season on the rebound. Senou Coulibaly watched on in horror with five minutes left when Mbappe's cross looped off his thigh over helpless stopper Runar Alex Runarsson, before Sarabia tapped home his second in stoppage time from another Mbappe centre. Later, Lyon coach Rudi Garcia knocked his former side Marseille out as Houssem Aouar scored an 81st minute winner. The winning goal came 10 minutes after Lyon's Moussa Dembele had a penalty -- awarded when Hiroki Sakai handled a shot from Karl Toko Ekambi -- saved by Yohan Pele in the Marseille goal. It was the third time this season that Dembele had missed from the spot for Lyon. On Thursday, fourth division side Epinal -- last 16 conquerers of Lille -- will look to continue their stunning cup run going when they host Saint-Etienne. They will try to succeed where fellow fourth-tier outfit Belfort failed following their 3-0 defeat to holder Rennes on Tuesday."
8,15/02/2019,23:27,Lyon ready for 'game of season' with Barcelona after Guingamp win,"Lyon edged rock-bottom Guingamp 2-1 in Ligue 1 on Friday with a fabulous winner from captain Nabil Fekir, just days ahead of Barcelona's visit for a Champions League clash.","Lyon consolidated third place in Ligue 1 while resting a couple of key players and even taking their foot off the gas with Barcelona in mind. ""It's our game of the year, it'll be a big match, but we often do well in them,"" Lyon president Jean Michel Aulas told French TV. ""Bruno (Genesio the Lyon coach) takes tactical risks and we have surprised (Manchester) City before, and this stadium was built for matches like this,"" he added on their 60,000-capacity home. ""Many of the players had Tuesday on their minds but with Barcelona coming that's normal,"" said Genesio, mastermind of the four points Lyon took off City in the group phase to squeeze into the last-16. ""We have some doubts still about who is playing on Tuesday, but you'll have to wait until Monday to find out,"" Genesio added. Ahead of their Sunday game with Saint Etienne, PSG still lead Ligue 1 on 59 points with Lille second on 49 and Lyon third on 46. Martin Terrier put Lyon ahead after a scramble on 15 minutes before defender Leo Dubois was then overpowered five minutes later by Guingamp's Cameroon midfielder Felix Eboa Eboa, who rushed in for a header at the far post shouldering the defender out of the way to make it 1-1. But then on 35 minutes Fekir controlled the ball on his chest, took a quick touch to set himself up for the shot and curled a fabulous left-foot shot into the top corner from outside the box. Fekir, however, will miss the game against Barcelona through suspension. ""I'll be in the stadium supporting my teammates from the stands and I'll believe in them all the way,"" said French international Fekir. One other worry for Lyon was the loss of lively striker Moussa Dembele, who was replaced late on by Dutch forward Memphis Depay. Earlier Friday, Nimes secured top flight survival with a 2-0 win over Dijon"
9,27/01/2019,23:14,PSG cruise to victory as worries grow over Neymar fitness,Edinson Cavani scored twice as Paris Saint-Germain shook off the loss of Neymar to injury with a 4-1 win over Rennes at the Parc des Princes on Sunday that keeps them unbeaten at the top of Ligue 1.,"The Uruguayan's goals took him to 16 for the season in 14 league appearances and bookended the scoring in the French capital, with Angel Di Maria and Kylian Mbappe also on target for PSG. Mbaye Niang had equalised for Rennes in the first half, but Thomas Tuchel's side eventually ran away with the game after the break and are once again a massive 13 points ahead of Lille at the top of the table, with two matches in hand. Despite that, this encounter was played out in a rather flat atmosphere, with one end of the stadium partially closed as a punishment following incidents during a game late last year. Brazil coach Tite and national team coordinator Edu were in attendance at the start of a European tour to check on the form of some of their key players, but it is unclear what they will have taken from this game. Neymar was missing after suffering a metatarsal injury in a French Cup win over Strasbourg in midweek, with some media reports in France now claiming that the world's most expensive player will definitely miss the first leg of their Champions League last-16 tie against Manchester United on February 12. Meanwhile, a lack of alternatives meant Tuchel fielded Marquinhos and Daniel Alves out of position together in midfield. On top of that, skipper Thiago Silva was caught out as Niang flicked Rennes level just before the half-hour, cancelling out Cavani's headed opener from a Di Maria cross. Rennes were arguably the better side in the first half, although Tuchel was raging after Niang escaped with a yellow card for a dangerous challenge on Thilo Kehrer. The referee upheld his decision even after a VAR review. Nevertheless, PSG ran away with the game after the break, going back in front on the hour mark when Silva sent Di Maria through to clip a delightful finish over Tomas Koubek. When Clement Grenier was caught in possession, Julian Draxler released Mbappe to score his 18th league goal of the campaign and make it 3-1. PSG completed the scoring in the 71st minute when Mbappe squared for Cavani to grab his second of the evening, making it 15 goals in three home wins for them in nine days. Earlier, Lyon strengthened their grip on a Champions League position after defender Jason Denayer's headed goal handed them a 1-0 win at Amiens. With their Champions League last-16 first leg against Barcelona looming on the horizon, Lyon remain third in Ligue 1, three points behind second-placed Lille. Lille won 2-1 at Marseille on Friday in a game which was held up for more than half an hour in the second half after a firecracker thrown from the stands exploded next to home player Kevin Strootman. Struggling Monaco slumped to a 2-0 defeat at relegation rivals Dijon on Saturday in their first game since Thierry Henry was sacked as coach. Henry lasted just three months in charge before being replaced by his predecessor Leonardo Jardim, who watched Saturday's game in the stands in Dijon. Monaco remain three points from outright safety."
