,date,hour,title,subtitle,text
0,13/02/2021,17:38,Haaland spares Dortmund blushes,A late equaliser from Erling Braut Haaland spared Borussia Dortmund's blushes on Saturday as they drew 2-2 at home against Bundesliga rivals Hoffenheim.,"Haaland's 81st minute strike averted a fourth defeat in five Bundesliga games for crisis-hit Dortmund. Yet even a draw leaves Dortmund three points adrift of the Champions League places in sixth, and heaps more pressure on interim coach Edin Terzic. Dortmund have won just four of ten league games since Terzic took the reins from Lucien Favre in December, prompting growing speculation over his future. Yet veteran defender Mats Hummels defended his coach on Saturday and backed Dortmund to revive their season. ""It's never the case that things are exactly how you want them a few weeks after a new coach takes over. That wasn't the case years ago under Jurgen Klopp, and it isn't the case now under Edin,"" Hummels told Sky. ""We're working hard, and success will come,"" he added. England international Jadon Sancho gave Dortmund a perfect start, racing up the left-wing to score his fourth league goal this season on 24 minutes. The lead didn't last long, as Munas Dabbur scuffed a shot past Marwin Hitz to level just seven minutes later. Ihlas Bebou bundled in Hoffenheim's second just after half-time, the ball bouncing off the Togolese and into the goal as Hitz tried to beat away a dangerous cross from the left wing. Haaland had a goal ruled out for offside in the second half before pouncing on a misplaced pass to snatch a crucial late equaliser. Fellow Champions League hopefuls Bayer Leverkusen also dropped points after they conceded two late goals to draw 2-2 with strugglers Mainz. Lucas Alario tapped in a low Moussa Diaby cross to give Leverkusen the lead on 14 minutes. Patrik Schick appeared to have sealed three points with a second on 84 minutes. Yet second-from-bottom Mainz were rewarded for a brave performance as late goals by Robert Glatzel and Kevin Stoeger saved a point and continued their recent revival under new coach Bo Svensson. Elsewhere, Werder Bremen were held to a 0-0 draw at home to Freiburg while Sami Khedira helped rescue a 1-1 draw for Hertha Berlin against boyhood club Stuttgart. ""It was the first time I'd ever played against Stuttgart so it was strange, but it was nice to come back,"" Khedira, who joined Hertha from Juventus in January after a decade abroad, told Sky. Austrian striker Sasa Kalajdzic headed in his ninth goal of the season to give Stuttgart the lead at the end of a scrappy first half. Veteran midfielder Khedira came off the bench in the second-half and set up a late equaliser for 17-year-old Luca Netz to save the capital club from a fifth straight defeat."
1,29/01/2021,03:03,Hoffenheim plot new Bayern shock on Munich return,"As the architect of Bayern Munich's single defeat in 2020, Hoffenheim coach Sebastian Hoeness hopes to again down the European champions in the Bundesliga on Saturday when he returns to his former club.","Bayern host mid-table Hoffenheim at the Allianz Arena seeking revenge for September's 4-1 league defeat - their only loss of 2020 in any competition. The shock win over the European champions ""will certainly still be in our heads,"" admitted Hoeness, ""but we want to use this game to annoy Bayern again"". Bayern hold a seven-point lead in the table and are near full-strength with only Corentin Tolisso and Tanguy Nianzou sidelined. After poor results around Christmas, Hoffenheim are back up to 11th thanks to back-to-back 3-0 wins against strugglers Hertha Berlin and Cologne. However, the European champions are a huge test for Hoffenheim on Hoeness' return to Munich, where the 38-year-old coached the reserves last season having previously worked with Bayern's junior teams. A key factor Saturday is the form of Hoffenheim striker Andrej Kramaric, who has scored twice in each of his last two games. Leading the pack chasing Bayern, RB Leipzig host Bayer Leverkusen on Saturday night with both clubs eager to bounce back from defeats. After crashing 3-2 at second-from-bottom Mainz, Leipzig coach Julian Nagelsmann compared Bayern to Germany's high-speed ICE trains and his team to a regional train, struggling to ""catch up"". In order to get back on track, Leipzig must beat third-placed Leverkusen, who trail them by three points. ""The game has no direct influence on the title race - it's all about qualifying for the Champions League,"" Nagelsmann insisted Thursday. Leipzig welcome back Yussuf Poulsen after a groin injury, but playmaker Emil Forsberg is sidelined by a knee knock. Leverkusen, who crashed at home to Wolfsburg last weekend, are missing midfielders Julian Baumgartlinger, who underwent knee surgery on Monday, and Nadiem Amiri, who is quarantined after testing positive for Covid-19. Having slipped out of the European places to seventh, Dortmund host Augsburg on Saturday chasing a first win in four games. ""We have to correct mistakes from set-pieces,"" said caretaker coach Edin Terzic after Dortmund conceded three goals from deadball situations in a 4-2 defeat at Gladbach. Erling Braut Haaland scored twice in the Gladbach defeat, but Dortmund need him and England winger Jadon Sancho to fire their attack. ""When they (Augsburg) make mistakes, we have to be there - ice-cold,"" added Terzic. Eintracht Frankfurt, who are a point above Dortmund in the table and bouyed by a 5-1 thrashing of Bielefeld, are home on Saturday to Hertha Berlin, where Pal Dardai is back in charge. The 44-year-old replaces Bruno Labbadia, who was sacked following their 4-1 thrashing at home by Werder Bremen. Frankfurt striker Luka Jovic has scored three goals in three appearances off the bench since returning on loan from Real Madrid. Dardai predicts it could be ""5-4 or 6-5"" at Frankfurt, who ""score a lot of goals.... we're going there to score one more"". The Croatia striker scored twice in last September's 4-1 win over Bayern and has also netted two goals in Hoffenheim's recent wins against Hertha and Cologne. He is back in form after contracting Covid-19 on international duty last October which sidelined him for seven games. Kramaric will test Bayern's defence and his four goals in two games, ""speak for themselves,"" said Hoffenheim coach Hoeness. 76 - the minutes Luka Jovic has needed for three goals off the bench having been loaned back to Eintracht Frankfurt after failing to settle at Real. 18 - home league games since Bayern last lost at the Allianz Arena when Leverkusen managed a 2-1 win in November 2019. 1 - the single victory Hoffenheim has managed at the Allianz Arena, poaching a 2-1 win in Munich in October 2019. Fixtures (all times 1430GMT unless stated)"
2,10/01/2021,17:55,Stuttgart romp to first league win since thrashing Dortmund,Stuttgart romped to a 4-1 triumph at 10-man Augsburg on Sunday to earn their first Bundesliga win since thrashing Borussia Dortmund last month.,"Stuttgart claimed their fifth away win this season after taking the lead at Augsburg thanks to Argentine striker Nicolas Gonzalez's early penalty which came when his south American compatriot Mateo Klimowicz was fouled in the area. Stuttgart were 2-0 up at half-time after Congolese winger Silas Wamangituka finished a counter-attack with his first goal since netting twice in the 5-1 win at Dortmund which ultimately cost Lucien Favre his job. Augsburg pulled a goal back almost immediately after the break when midfielder Marco Richter fired home from close range after Swiss winger Ruben Vargas prised open the defence. Stuttgart captain Gonzalez Castro fired his side 3-1 up on the hour mark when he banged home a long pass to the far post. Soon after, Richter received his second booking inside three minutes and was shown a red card after accidentally kicking the Achilles tendon of Waldemar Anton. The Stuttgart defender had the last laugh when his cross to the far post was tapped home by substitute Daniel Didavi three minutes before the whistle. After two defeats and a draw in their previous three league games, the victory lifts Stuttgart above Augsburg into 10th. Bayern Munich remain top of the Bundesliga despite crashing to a 3-2 loss at Borussia Moenchengladbach on Friday while second-placed RB Leipzig lost 3-1 at home on Saturday to Dortmund, the only top six team to win this weekend."
3,02/01/2021,23:20,Olmo fires RB Leipzig top of Bundesliga ahead of Bayern Munich,RB Leipzig dislodged Bayern Munich at the top of the Bundesliga table Saturday as Dani Olmo's second-half goal was enough to seal a 1-0 win at Stuttgart.,"""It was really good for me and the team to start the year with a win,"" Olmo told DAZN. With European champions Bayern at home to strugglers Mainz on Sunday, Leipzig took the chance to go a point ahead as Olmo fired through the legs of Stuttgart goalkeeper Gregor Kobel. Stuttgart's Swiss shot-stopper had earlier pulled off some heroics by using his foot to save a Emil Forsberg first-half penalty attempt. Leipzig also wasted a golden chance when Amadou Haidara fired wide just after the break. With 23 minutes left, Spain midfielder Olmo finally got the breakthrough, finishing a move he started after Leipzig had moved the ball across the Stuttgart penalty area. ""It feels good to be top,"" admitted Leipzig defender Willi Orban. ""The first half was good, the second was better - we were clearly the dominant team."" Earlier, Bayer Leverkusen blew the chance to take first place after stumbling to a 2-1 defeat at Eintracht Frankfurt which saw them drop to third as the league resumed after a two-week break. ""I have made my feelings clear in the dressing room,"" Leverkusen head coach Peter Bosz told Sky. ""We deserved to lose. Frankfurt had a better claim to the victory."" Leverkusen midfielder Nadiem Amiri scored with a deft back-heel flick to give the visitors the lead after only 10 minutes in Frankfurt. However, Amin Younes equalised to make it 1-1 at half-time before Japan midfielder Daichi Kamada put in a cross which Leverkusen defender Edmond Tapsoba turned into his own net. Before kickoff, Frankfurt director Fredi Bobic confirmed reports his club are interested in Bayern's teenage striker Joshua Zirkzee, 19, after selling Dutch forward Bas Dost to Brugge. Zirkzee could back up Frankfurt's top scorer Andre Silva, who has notched nine league goals this season. Union Berlin rose to fourth - into the Champions League places for the first time in the club's history - after their 2-0 win at Werder Bremen. Liverpool loanee Taiwo Awoniyi, who has scored in his last three league games, capped another impressive display with a goal and assist. After Bremen lost the ball in their own half, the 23-year-old Nigeria international took advantage of a two-on-two situation by drawing the defence and passing to Sheraldo Becker, who fired home on 12 minutes. Awoniyi doubled Union's lead on 28 minutes by tapping the ball over the line, just out of the reach of Bremen goalkeeper Jiri Pavlenka. Bremen had a penalty appeal turned down when a shot by Japan midfielder Yuya Osako clipped the hand of a Union defender, then Romano Schmid had a goal ruled offside. Hoffenheim lost both defender Kevin Akpoguma and Germany midfielder Sebastian Rudy with early leg injuries as they crashed to a 3-1 home defeat to Freiburg. With the hosts struggling to reshuffle, Freiburg were 3-0 up at half-time thanks to a Baptiste Santamaria goal, a Vincenzo Grifo penalty and an own goal by Senegal defender Kasim Adams. Hoffenheim scored a second-half consolation goal through Togo winger Ihlas Bebou. Borussia Moenchengeladbach, who host Manchester City in the first leg of the Champions League last 16 next month, earned their first win in five league games with a 1-0 victory at Arminia Bielefeld. Swiss striker Breel Embolo netted the winning goal just after half-time when he held off a defender and fired home. Mid-table Augsburg rebounded after back-to-back defeats with a 1-0 win at Cologne with Brazilian winger Iago netting the late winner. Bottom side Schalke are now 30 games without a win -- one short of the Bundesliga record -- after a 3-0 defeat away to Hertha Berlin. Former Tottenham manager Christian Gross, installed as Schalke's fourth head coach this season, got off to a losing start as Arsenal loanee Matteo Guendouzi, Colombia striker Jhon Cordoba and his replacement, Poland forward Krzysztof Piatek, scored for Hertha. Having netted two minutes after coming off the bench, Piatek had a second late goal ruled offside."
4,13/12/2020,20:48,Bailey fires Leverkusen top as late goal denies winless Schalke,"Jamaica winger Leon Bailey scored twice as Bayer Leverkusen knocked Bayern Munich off the top of the Bundesliga with a 4-1 win against Hoffenheim on Sunday, while bottom side Schalke saw their winless run stretch to 27 games in a dramatic 2-2 draw with Augsburg.","Bailey opened the scoring with a scintillating strike early on against Hoffenheim as in-form Leverkusen picked up their seventh win of the season to leapfrog champions Bayern into top spot. ""The table is only a snapshot, but it's an important one because we know how tough this league can be,"" said midfielder Julian Baumgartlinger after Leverkusen went top for the first time in six years. Hoffenheim's Florian Grillitsch brushed the bar with a header after just 14 seconds, but it was Leverkusen who landed the first blow on four minutes. Playing a quick one-two with Nadiem Amiri from a Leverkusen corner, Bailey curled the ball brilliantly into the top corner from the edge of the penalty area. A misjudged pass from Andrej Kramaric allowed Bailey to double the lead just before the half-hour mark, rounding stranded goalkeeper Oliver Baumann and slotting the ball into the open goal from 20 yards out. Baumann kept his side in the game with a flying save to deny Florian Wirtz just before half-time, and Christoph Baumgartner pulled a goal back with a brilliant long-range strike after the break. Yet Hoffenheim's joy was short-lived, as Wirtz danced through the box and beat Baumann with a dainty chip on 55 minutes. The visitors' fate was sealed when both Grillitsch and Stefan Posch were sent off for second yellow cards within 15 minutes, and Lucas Alario added a fourth for Leverkusen with a stoppage-time penalty. Earlier Sunday, Schalke's hopes of a first win in 27 games were dashed by Marco Richter's stoppage-time equaliser in a 2-2 draw overshadowed by a serious injury to Mark Uth. Richter's late header crowned a heartbreaking evening for Schalke, who remain on course to equal Tasmania Berlin's notorious, 54-year-old Bundesliga record of 31 games without a win. Schalke's misery was compounded by concerns for Uth, who was stretchered from the field unconscious after a clash of heads with Augsburg defender Felix Uduokhai in the 10th minute. The striker was treated on-field for around 15 minutes before being carried from the pitch attached to a drip and wearing a neck brace. Schalke later confirmed that the 29-year-old was ""stable and responsive"" and on his way to hospital, but both sets of players were left visibly shocked by the incident. ""I didn't realise how serious it was at first, but then I saw him lying on the floor. A lot of things go through your head, I was scared and worried. I am so happy that he is ok,"" Uduokhai told Sky. After the game resumed with a 15-minute delay, Augsburg took the lead from a corner in the 32nd minute, Suat Serdar accidentally heading the ball into his own net. Benito Raman levelled the scores with a delicate chip over goalkeeper Rafal Gikiewicz on 52 minutes, before a second yellow card for Florian Niederlechner dealt another blow to Augsburg moments later. Serdar then redeemed himself as he fired a low cross towards Nassim Boujellab, who smashed the ball past Gikiewicz to give Schalke the lead. Yet Richter dashed hopes of a first league win since January 17 when he flicked a Michael Gregoritsch cross past Ralf Faehrmann two minutes from time to save a point for 10-man Augsburg. The draw leaves Schalke bottom of the league, with just four points from 11 games this season."
5,13/12/2020,18:20,Injury-time goal keeps Schalke winless after Uth injury scare,Bundesliga crisis club Schalke saw their winless run extended to 27 games on Sunday after Augsburg forward Marco Richter snatched a stoppage-time equaliser in a 2-2 draw overshadowed by a serious injury to Mark Uth.,"Richter's late header crowned a heartbreaking evening for Schalke, who remain on course to equal Tasmania Berlin's notorious, 54-year-old Bundesliga record of 31 games without a win. Schalke's misery was compounded by concerns for Uth, who was stretchered from the field unconscious after a clash of heads with Augsburg defender Felix Uduokhai in the 10th minute. ""It was a very worrying moment with Mark. He will stay in hospital overnight and we are crossing our fingers for him,"" Schalke technical director Sascha Riether told Sky. The striker was treated on-field for around 15 minutes before being carried from the pitch attached to a drip and wearing a neck brace. Schalke later confirmed that the 29-year-old was ""stable and responsive"" and on his way to hospital, but both sets of players were left visibly shocked by the incident. After the game resumed with a 15-minute delay, Augsburg took the lead from a corner in the 32nd minute, Suat Serdar accidentally heading the ball into his own net. Uduokhai later clashed heads with another Schalke player, Nassim Boujellab, who played on with bandages on his head. Schalke came out fighting in the second half, and Benito Raman levelled the scores with a delicate chip over goalkeeper Rafal Gikiewicz on 52 minutes. Augsburg's Florian Niederlechner was sent off for a second yellow card several minutes later after colliding with Schalke defender Salif Sane in another aerial duel. Serdar redeemed himself shortly afterwards as he fired a low cross towards Boujellab, who smashed the ball past Gikiewicz to give Schalke the lead. Yet Richter dashed hopes of a first league win since January 17 when he flicked a Michael Gregoritsch cross past Ralf Faehrmann two minutes from time to save a point for 10-man Augsburg. The draw leaves Schalke bottom of the league, with just four points from 11 games this season."
6,28/11/2020,17:41,Lewandowski hits 15th goal of season as Bayern Munich stay top,Robert Lewandowski claimed his 15th goal this season in all competitions as Bundesliga leaders Bayern Munich came from behind to claim a 3-1 win at Stuttgart on Saturday.,"After 19-year-old striker Tanguy Coulibaly gave Stuttgart a shock early lead, Kingsley Coman equalised before Lewandowski drilled home from 20 metres to put Bayern 2-1 up at the break. Brazil winger Douglas Costa, a second-half replacement for Coman, grabbed Bayern's third goal late on to seal the win which leaves the holders two points clear of RB Leipzig. Dortmund are third, four points behind Bayern, after crashing to a shock 2-1 defeat at home to Cologne, as Leipzig climbed above them thanks to a 2-1 home win over Arminia Bielefeld. Cologne avoided a club record 19th match without a win with their first victory in Dortmund since 1991."
7,21/11/2020,23:11,Haaland scores four as Dortmund cut Bayern's lead,Erling Braut Haaland netted four goals and Youssoufa Moukoko became the youngest player in Bundesliga history on Saturday as Borussia Dortmund routed Hertha Berlin 5-2 to trim Bayern Munich's lead at the top of the table to just a point.,"It was the first time the 20-year-old Haaland had scored four goals in a game for Dortmund since his January debut, with all of them coming in the second half. ""I drank a Red Bull at half time, I got some wings and everything was good,"" said Haaland. The Norwegian now has 10 goals in seven Bundesliga matches this season to give him a total of 31 goals in 30 games in all competitions for Dortmund. After Matheus Cunha gave Hertha a first-half lead at Berlin's Olympic Stadium, Dortmund roared back. Haaland equalised when he tapped home an Emre Can pass on 47 minutes. He grabbed his second two minutes later with perfect timing to slip his marker and fire in a Julian Brandt pass. Haaland wrapped up his hat-trick on 62 minutes, just before Raphael Guerreiro stabbed the ball home from close range to make it 4-1. Cunha converted a late penalty, but the night belonged to Haaland who finished a move he started with 10 minutes to play. There was still time for history to be made as Moukoko made a late cameo off the Dortmund bench to replace Haaland. One day after his 16th birthday, Moukoko is the youngest player in Bundesliga history. ""He's only just turned 16 -- that is amazing,"" Haaland said of Moukoko. ""He has a big career ahead of him."" Dortmund's romp in Berlin moved them second in the standings, behind defending champions Bayern who stayed top despite a 1-1 home draw with Werder Bremen. Germany goalkeeper Manuel Neuer produced great stops to twice deny US forward Josh Sargent as Bremen earned their first point at Bayern for a decade. ""We had to invest a lot,"" Neuer told Sky. The 34-year-old bounced back after conceding six goals in Germany's crushing defeat by Spain in midweek with two brilliant first-half saves in quick succession. He used a boot to block a Sargent shot, then lunged across goal to save from Ludwig Augustinsson. In the dying stages, Neuer then stood tall to block a shot by Sargent, who had broken clear. Bayern coach Hansi Flick was far from pleased that Bremen took the lead in his 50th game in charge, saying his team ""have to defend better"". Bremen deservedly went ahead just before half-time when midfielder Maximilian Eggestein finished off a superb attack. ""We conceded a very cheap goal, that's how Bremen's plan worked and they defended very well,"" said Bayern forward Thomas Mueller. Kingsley Coman equalised in the 62nd minute at the Allianz Arena by meeting a Leon Goretzka cross at the far post. Bayern forward Eric Maxim Choupo-Moting fired over with the goal at his mercy five minutes from time. However, Neuer's heroics at the other end preserved the draw. Bayer Leverkusen are third after their 2-1 win at strugglers Arminia Bielefeld thanks to Aleksandar Dragovic's late winner. The victory was a relief for Leverkusen goalkeeper Lukas Hradecky, who scored a embarrassing own goal early in the second half. Leverkusen were 1-0 up thanks to a Leon Bailey goal when Hradecky sliced a clearance, which rolled into the empty net behind him. Dragovic stabbed home from close range two minutes from time to spare Hradecky's blushes. RB Leipzig sit fourth after Yussuf Poulsen came off the bench and produced a deft second-half volley in their 1-1 draw at Eintracht Frankfurt after winger Aymen Barkok gave the hosts an early lead. Despite having seven players quarantined with the coronavirus, a depleted Hoffenheim drew 3-3 at home with Stuttgart. Schalke's winless run stretched to 24 league games, dating back to January, after losing 2-0 at home to Wolfsburg. A Daniel Caligiuri equaliser two minutes from time gave 10-man Augsburg a 1-1 draw at Borussia Moenchengladbach."
8,07/11/2020,18:33,"Leipzig go top in Germany ahead of Bayern, Dortmund showdown",RB Leipzig went back to the top of the Bundesliga table on Saturday with a 3-0 home win over Freiburg before Bayern Munich and Borussia Dortmund clash in the evening showdown.,"Defender Ibrahima Konate fired home Leipzig's opener before midfielder Marcel Sabitzer added their second goal with a 70th-minute penalty. Manchester City loanee Angelino claimed Leipzig's third with a stunning free-kick which curled over the Freiburg wall just before the final whistle. The home win put Leipzig top, a point ahead of Bayern and Dortmund who meet later at Signal Iduna Park. ""We really deserved the win - we were very, very good in the first-half,"" said Leipzig head coach Julian Nagelsmann. He was especially pleased with Konate's opening goal from a towering cross before winger Christopher Nkunku, who scored in the mid-week win over Paris Saint Germain, won the penalty which Sabitzer converted after the VAR scrutinised the decision. ""We have trained a lot from set pieces,"" said Nagelsmann. ""It certainly wasn't an obvious penalty, but if the VAR says it was, then it must have been,"" he added after Nkunku went down after the slightest of touches from Freiburg defender Nicolas Hoefler. Union Berlin climbed to fourth with a 5-0 home thrashing of strugglers Arminia Bielefeld. Former Germany striker Max Kruse helped set up Union's first three goals, then converted a late penalty. After just three minutes, Japan winger Keita Endo scored his first goal for Union when he swept home Sheraldo Becker's final pass after Kruse's superb long pass. Endo went off with an injury soon after, but Union kept up the pressure as Kruse set up the next two goals for centre-back Robert Andrich and winger Becker. Kruse, 32, capped an outstanding display by converting a penalty before Cedric Teuchert, a right wing replacement for Becker, grabbed Union's late fourth goal. At the other end of the table, bottom side Mainz were held to a 2-2 draw at home to Schalke, who sit one place above them and have now gone 23 games without a league win dating back to January. After Daniel Brosinski and Jean-Philippe Mateta converted penalties for Mainz, Mark Uth pulled a goal back for Schalke who were 2-1 down late on. Schalke took a deserved point back to Gelsenkirchen when Mainz defender Jeremiah St. Juste turned the ball into his own net eight minutes from time. After five games without a win, Hertha Berlin roared back with a 3-0 win in the fog at Augsburg. Forwards Matheus Cunha, Dodi Lukebakio and Krzysztof Piatek, who cost Hertha 24 million euros ($28 million) from AC Milan in January, got on the scoresheet as Augsburg's defence crumbled."
9,02/10/2020,18:42,Augsburg boss Herrlich hospitalised with lung problem,"Augsburg, who are currently second in the Bundesliga, will be without coach Heiko Herrlich for Sunday's league match at Wolfsburg as he needs hospital treatment for a lung problem, but has tested negative for the coronavirus.","Augsburg manager Stefan Reuter revealed Herrlich needs hospital treatment ""for a few days"" for a pneumothorax - an abnormal collection of air between the lung and the chest wall. Reuter says he does not know how long Herrlich will be unavailable for, but insisted the situation is ""not dramatic"". Herrlich, 48, had complained of cold-like symptoms, but Reuter stressed there are ""no reservations whatsoever"" that he could be suffering from Covid-19. With Herrlich in charge, Augsburg pulled off a 2-0 shock win over Dortmund last Saturday. The result left them second in the league table on goal difference behind surprise leaders Hoffenheim after two matches. In Herrlich's absence, his assistant coach Tobias Zellner will take charge at Wolfsburg. Zellner already stepped in last May when Herrlich had to sit out their first league game after the re-start - also against Wolfsburg - for breaking quarantine to buy toothpaste. A red-faced Herrlich apologised after leaving the team hotel - and breaking the league's hygiene concept - to buy toiletries from a supermarket. Augsburg playmaker Daniel Caligiuri, who scored against Dortmund, said it was ""a pity"" that Herrlich will be absent from the bench at Wolfsburg, ""but I think we have the quality in the coaching team to replace him"". The Bavarian club are looking for a fourth straight win at the start of the new season."
