,date,hour,title,subtitle,text
0,03/02/2021,23:49,Cologne dumped out of German Cup by second-tier Jahn,"Cologne were knocked out of the German Cup by second-division side Jahn Regensburg on Wednesday after throwing away an early two-goal lead to be eliminated at the last 16 stage, 4-3 on penalties.","Bundesliga side Cologne looked to be cruising into the last eight with 21 minutes gone in the Bavarian town of Regensburg thanks to goals from Ismail Jakobs and Emmanuel Dennis. However Canadian Scott Kennedy and Jann George replied to make sure Jahn were level before the break, and there then followed another 75 minutes of attritional football before the two teams went to spot-kicks to decide the match. Again Cologne looked to have the advantage when Andreas Albers missed the home side's third penalty after five successful attempts in the shootout. However the top-flight outfit missed both their subsequent kicks, allowing Albion Vrenezi and Max Besuschkow to net theirs and snatch the tie for Jahn. In the evening's other late match Borussia Moenchengladbach came back from going behind to Silas Wamangituka's second-minute opener to win at Stuttgart 2-1 through goals from Marcus Thuram and Alassane Plea. Earlier Leipzig beat Bochum 4-0 thanks to Amadou Haidara's 10th-minute header, a penalty slammed home in first-half stoppage time by Marcel Sabitzer, who had laid on the opener with a pinpoint cross, and Yussuf Poulsen's second-half brace. Wout Weghort's 40th-minute strike, which came from the rebound of the Netherlands attacker's own missed penalty, was enough for Wolfsburg to squeeze past fellow Bundesliga outfit Schalke. Christian Gross' Schalke must now turn their attentions to what looks to be a doomed fight against relegation as they sit rock-bottom in the German top flight with just one league win all season. Wednesday's matches completed the line-up for Sunday's draw for the quarter-finals, which will be played on March 2 and 3. The four sides join Rot-Weiss Essen after the fourth-division club continued their giant-killing run on Tuesday. Essen defeated last season's runners-up Bayer Leverkusen 2-1 after extra time to reach the last eight following wins over Arminia Bielefeld and Fortuna Dusseldorf in previous rounds. Borussia Dortmund, Werder Bremen and second-tier Holstein Kiel, who stunned Bayern Munich in the previous round and squeezed past Darmstadt on penalties, also made it through on Tuesday."
1,31/01/2021,17:55,Cologne beat fellow Bundesliga strugglers Bielefeld,Cologne earned their first home league win for 11 months to climb out of the Bundesliga's relegation play-off spot on Sunday with a 3-1 win over fellow strugglers Arminia Bielefeld.,"Cologne are up to 14th after ending their miserable home run, while Bielefeld drop to 16th. On-loan Borussia Dortmund winger Marius Wolf gave Cologne an early lead with a simple tap-in, then smashed a volley just inside the post before half-time. Midfielder Elvis Rexhbecaj added a third when he was left unmarked as Bielefeld struggled to reorganise after a double substitution. Venezuela forward Sergio Cordova came off the bench to claim a consolation goal for Bielefeld with an easy finish after a mix-up in the home defence. Max Meyer, who captained Germany to the silver medal at the 2016 Olympics, came on for his Cologne debut just before the final whistle, having signed in midweek after his Crystal Palace contract was cancelled. At the other end of the table, leaders Bayern Munich maintained their seven-point lead on Saturday with a 4-1 home win against Hoffenheim. Second-placed RB Leipzig edged to a 1-0 victory over Bayer Leverkusen."
2,27/01/2021,18:13,Meyer joins Cologne on free transfer,Bundesliga strugglers Cologne on Wednesday signed Max Meyer on a free transfer after the Germany midfielder fell out of favour at Crystal Palace.,"""The transfer was only possible because Max was extremely accommodating to us financially,"" said Cologne director Horst Heldt. ""He can play in several midfield positions, is very confident on the ball and likes to finish chances himself."" Meyer, 25, joined Crystal Palace from Schalke in 2018, but left the Premier League club 10 days ago by mutual consent after struggling to hold down a first team spot. He is Cologne's second signing in the current transfer window with Nigerian striker Emmanuel Dennis, 23, also joining on loan from Brugge. With half of the season gone, Cologne are in the relegation places and Meyer could play in Sunday's league game against Arminia Bielefeld, who are one place and two points above them in the table. Meyer was still a teenager in 2014 when he made the first of his four Germany appearances. After missing out on a place in the Germany squad which won the 2014 World Cup in Brazil, Meyer captained the German team to the silver medal at the 2016 Olympic Games in Rio de Janeiro. Meyer says he returned to Germany to help Cologne battle relegation. ""For me, the chance of playing regular football was decisive,"" said Meyer. ""I want to use the opportunity at FC (Cologne) to present myself at the top level and help the club stay in the league."""
3,20/01/2021,21:07,Schalke lose to Cologne,"Schalke remained rooted to the foot of the Bundesliga table after slipping to a 2-1 home loss to fellow strugglers Cologne on Wednesday, despite a fifth goal in three games for American teenager Matthew Hoppe.","Cologne defender Rafael Czichos gave the visitors a first-half lead, but Hoppe equalised before the hour mark. Cologne snatched a late win when Jan Thielmann fired past Schalke goalkeeper Ralf Faehrmann in injury time. The win lifted Cologne out of the relegation play-off place to 15th, while Schalke remain behind second-bottom Mainz on goal difference. Hoppe became the first American to score a Bundesliga hat-trick in the 4-0 thrashing of Hoffenheim 10 days ago which ended Schalke's 30-match winless run in the league, before also netting in Sunday's 3-1 defeat at Eintracht Frankfurt. Schalke next host league leaders Bayern Munich on Sunday having been thrashed 8-0 by the European champions at the Allianz Arena on the opening day of the season. The Royal Blues' new signing Klaas-Jan Huntelaar missed Wednesday's game with a calf strain after rejoining on Tuesday following two years with Ajax. Cologne ended a miserable five-match goalless run in the league when Czichos headed home a deflected cross with half an hour played. Cologne nearly went 2-0 up just after the break when Schalke midfielder Benjamin Stambouli clipped his own post with an attempted clearance. The hosts drew level when Hoppe pounced on a loose ball in the area, before Thielmann's late winner."
4,02/01/2021,23:20,Olmo fires RB Leipzig top of Bundesliga ahead of Bayern Munich,RB Leipzig dislodged Bayern Munich at the top of the Bundesliga table Saturday as Dani Olmo's second-half goal was enough to seal a 1-0 win at Stuttgart.,"""It was really good for me and the team to start the year with a win,"" Olmo told DAZN. With European champions Bayern at home to strugglers Mainz on Sunday, Leipzig took the chance to go a point ahead as Olmo fired through the legs of Stuttgart goalkeeper Gregor Kobel. Stuttgart's Swiss shot-stopper had earlier pulled off some heroics by using his foot to save a Emil Forsberg first-half penalty attempt. Leipzig also wasted a golden chance when Amadou Haidara fired wide just after the break. With 23 minutes left, Spain midfielder Olmo finally got the breakthrough, finishing a move he started after Leipzig had moved the ball across the Stuttgart penalty area. ""It feels good to be top,"" admitted Leipzig defender Willi Orban. ""The first half was good, the second was better - we were clearly the dominant team."" Earlier, Bayer Leverkusen blew the chance to take first place after stumbling to a 2-1 defeat at Eintracht Frankfurt which saw them drop to third as the league resumed after a two-week break. ""I have made my feelings clear in the dressing room,"" Leverkusen head coach Peter Bosz told Sky. ""We deserved to lose. Frankfurt had a better claim to the victory."" Leverkusen midfielder Nadiem Amiri scored with a deft back-heel flick to give the visitors the lead after only 10 minutes in Frankfurt. However, Amin Younes equalised to make it 1-1 at half-time before Japan midfielder Daichi Kamada put in a cross which Leverkusen defender Edmond Tapsoba turned into his own net. Before kickoff, Frankfurt director Fredi Bobic confirmed reports his club are interested in Bayern's teenage striker Joshua Zirkzee, 19, after selling Dutch forward Bas Dost to Brugge. Zirkzee could back up Frankfurt's top scorer Andre Silva, who has notched nine league goals this season. Union Berlin rose to fourth - into the Champions League places for the first time in the club's history - after their 2-0 win at Werder Bremen. Liverpool loanee Taiwo Awoniyi, who has scored in his last three league games, capped another impressive display with a goal and assist. After Bremen lost the ball in their own half, the 23-year-old Nigeria international took advantage of a two-on-two situation by drawing the defence and passing to Sheraldo Becker, who fired home on 12 minutes. Awoniyi doubled Union's lead on 28 minutes by tapping the ball over the line, just out of the reach of Bremen goalkeeper Jiri Pavlenka. Bremen had a penalty appeal turned down when a shot by Japan midfielder Yuya Osako clipped the hand of a Union defender, then Romano Schmid had a goal ruled offside. Hoffenheim lost both defender Kevin Akpoguma and Germany midfielder Sebastian Rudy with early leg injuries as they crashed to a 3-1 home defeat to Freiburg. With the hosts struggling to reshuffle, Freiburg were 3-0 up at half-time thanks to a Baptiste Santamaria goal, a Vincenzo Grifo penalty and an own goal by Senegal defender Kasim Adams. Hoffenheim scored a second-half consolation goal through Togo winger Ihlas Bebou. Borussia Moenchengeladbach, who host Manchester City in the first leg of the Champions League last 16 next month, earned their first win in five league games with a 1-0 victory at Arminia Bielefeld. Swiss striker Breel Embolo netted the winning goal just after half-time when he held off a defender and fired home. Mid-table Augsburg rebounded after back-to-back defeats with a 1-0 win at Cologne with Brazilian winger Iago netting the late winner. Bottom side Schalke are now 30 games without a win -- one short of the Bundesliga record -- after a 3-0 defeat away to Hertha Berlin. Former Tottenham manager Christian Gross, installed as Schalke's fourth head coach this season, got off to a losing start as Arsenal loanee Matteo Guendouzi, Colombia striker Jhon Cordoba and his replacement, Poland forward Krzysztof Piatek, scored for Hertha. Having netted two minutes after coming off the bench, Piatek had a second late goal ruled offside."
5,28/11/2020,17:41,Lewandowski hits 15th goal of season as Bayern Munich stay top,Robert Lewandowski claimed his 15th goal this season in all competitions as Bundesliga leaders Bayern Munich came from behind to claim a 3-1 win at Stuttgart on Saturday.,"After 19-year-old striker Tanguy Coulibaly gave Stuttgart a shock early lead, Kingsley Coman equalised before Lewandowski drilled home from 20 metres to put Bayern 2-1 up at the break. Brazil winger Douglas Costa, a second-half replacement for Coman, grabbed Bayern's third goal late on to seal the win which leaves the holders two points clear of RB Leipzig. Dortmund are third, four points behind Bayern, after crashing to a shock 2-1 defeat at home to Cologne, as Leipzig climbed above them thanks to a 2-1 home win over Arminia Bielefeld. Cologne avoided a club record 19th match without a win with their first victory in Dortmund since 1991."
6,31/10/2020,17:38,Bayern Munich sweep past Cologne to go top without Lewandowski,European champions Bayern Munich went top of the Bundesliga on Saturday as Thomas Mueller and Serge Gnabry provided the goals with Robert Lewandowski rested for their 2-1 win at Cologne.,"Bayern coach Hansi Flick opted to leave out Lewandowski, who scored a record 10 goals in the opening five league games, ahead of their midweek Champions League match at Salzburg and a Bundesliga showdown at Dortmund next Saturday. However, RB Leipzig, who are now two points behind in third, can go back to the top of the table if they beat Borussia Moenchengladbach on Saturday evening. Mueller netted an early penalty and Gnabry finished a counter-attack on the stroke of half-time to leave Bayern 2-0 up at the break. Cologne improved in the second-half and replacement midfielder Dominick Drexler pulled back a late goal. Borussia Dortmund climbed to second in the table without star striker Erling Braut Haaland as defender Mats Hummels scored both goals in a 2-0 win at Arminia Bielefeld."
7,03/10/2020,17:58,Haaland nets twice as Dortmund run riot,Erling Braut Haaland again demonstrated his deadly finishing by netting twice on Saturday as Borussia Dortmund climbed to second in the Bundesliga table with a 4-0 demolition of Freiburg.,"Dortmund bounced back from last weekend's shock defeat at Augsburg as Haaland shone to leave him on 21 goals in 23 games for Dortmund since his January transfer as the burly Norwegian claimed clinically-taken goals. Having also scored in Wednesday's German Super Cup 3-2 defeat at Bayern Munich, the 20-year-old Haaland has netted five goals in as many games this season. Dortmund were missing England winger Jadon Sancho and goalkeeper Roman Buerki, both recovering from illness having tested negative for the coronavirus. Club captain Marco Reus made his first start for eight months after a groin injury. US teenager Giovanni Reyna, who assisted all three goals, was outstanding alongside Reus in the attacking midfield role for Dortmund. The 17-year-old played Haaland into space for the burly Norwegian to score both his goals, then delivered a pin-point corner for Emre Can's headed goal. Haaland, 19, once again showed dazzling finishing when he fired home from a right angle on 31 minutes. Can then rose highest from a corner and his bullet header put Dortmund 2-0 up two minutes after the break. Reyna and Haaland combined again when they got in behind the defence as the American delayed his pass which the Norwegian hammered into the net on 66 minutes. Winger Felix Passlack claimed his first Bundesliga goal in added time to complete the rout with Haaland providing the final pass. Defending champions Bayern Munich host Hertha Berlin on Sunday out to bounce back from last weekend's shock defeat at Hoffenheim to end their 23-match winning streak. Eintracht Frankfurt top the league table after their 2-1 win over previous leaders Hoffeheim. Croatia striker Andrej Kramaric netted his eighth goal in four games with a superb strike, curled inside the far corner, to give Hoffenheim the lead on 18 minutes. However, Japan midfielder Daichi Kamada turned the game when he tapped home on 54 minutes, then powered through the defence before Bas Dost stabbed the ball over the line on 19 minutes from time. It could have been 3-1 as Frankfurt had a late goal disallowed. Champions League side Moenchenegladbach romped to a 3-1 win at Cologne as Alassane Plea and Stefan Lainer fired home before Lars Stindl added a penalty on 56 minutes. Cologne scored a consolation goal when Elvis Rexhbecaj beat Gladbach keeper Yann Sommer from 20 metres out. Bremen earned a second win in three games when Leonardo Bittencourt's right-footed shot on 27 minutes sealed their 1-0 win at home to new boys Arminia Bielefeld. The hosts survived a late scare as Bielefeld had a goal disallowed just before the whistle. Leverkusen were held to a 1-1 draw at Stuttgart as Patrik Schick's early goal was cancelled out by an equaliser by the hosts' striker Sasa Kalajdzic. On Friday, Union Berlin enjoyed their first win of the season with a 4-0 thumping of Mainz at home as Germany striker Max Kruse scored his first goal for the hosts."
8,19/09/2020,21:15,Haaland and Reyna shine as Dortmund youngsters down Gladbach,Erling Braut Haaland scored twice and 17-year-old Giovanni Reyna shone as youthful Borussia Dortmund swept aside fellow Champions League side Borussia Moenchengladbach 3-0 on Saturday on the opening weekend of the Bundesliga season.,"After holders Bayern Munich had kicked off the 2020/21 campaign on Friday with a record 8-0 thrashing of Schalke, Dortmund's youngsters also dazzled at home to Gladbach. ""It was a really good start to the season. We have a lot of young guys, it's fun to play with guys near my age,"" said USA Under-17 international Reyna. ""This is an exciting group and we have to keep working."" Haaland converted a second-half penalty, then again showcased his clinical eye for goal by finishing a superb counter as Dortmund attacked from their own goal. Coach Lucien Favre banked on youth by starting two 17-year-olds in Reyna and England Under-21 midfielder Jude Bellingham, who made his league debut, with Sancho and Haaland, both 20, leading Dortmund's attack. Reyna, making just his third league start, paid back the faith by scoring the opening goal and winning the penalty Haaland converted. Reyna drilled home Bellingham's superb pass from a tight ankle on 34 minutes, then had his ankle clipped after a darting run into the area to win the penalty for Haaland. Sancho tried to convince Haaland to let him take the spot-kick, but ""I was confident whoever took it, would score, which is the most important thing"" said Reyna. Haaland then stole the show with a stunning end-to-end sprint to support Sancho's break before crashing home Dortmund's third goal on 78 minutes. The towering Norwegian, the first player in Bundesliga history to score a hat-trick from the bench, now has 18 goals in 20 games for Dortmund since his arrival in January. For the first time since March, some German league clubs were able to welcome back limited numbers of fans, depending on permission from local health authorities. The biggest crowd of the day was in Dortmund, as 9,300 cheered the impressive home win. ""It's amazing to have fans back, they support us so much,"" added Reyna. Having finished runners-up to Bayern for the last two seasons, Dortmund are on a collision course with the European champions who they meet in the German Super Cup showdown on September 30 in Munich. Earlier, Hertha Berlin's new-signing Jhon Cordoba scored on his debut in a 4-1 away romp at Werder Bremen as the ambitious capital city club also threw down an early marker. In front of 8,500 in Bremen, Hertha defender Peter Pekarik and Belgian-born winger Dodi Lukebakio scored quick-fire goals at the end of the first half to leave Werder 2-0 down at the break and the hosts were whistled off the pitch by their own fans. Colombia striker Cordoba, signed from Cologne in mid-week, came on to start the move which Brazil Under-23 forward Matheus Cunha finished as Hertha went 3-0 up with an hour gone. Davie Selke scored Bremen's second-half consolation goal before Cordoba capped his debut by tucking home Hertha's fourth goal on 90 minutes. Just like Bayern, Cologne also had to play behind closed doors due to a rising rate of infection for their 3-2 home defeat to Hoffenheim, for whom Andrej Kramaric scored a hat-trick. The Croatia striker put the visitors ahead after three minutes following a mix up in defence, netted a penalty and smashed home the winning goal in added time after Cologne had launched a late fight back. In the capital, playmaker Michael Gregoritsch and winger Andre Hahn scored late goals as Augsburg beat hosts Union Berlin 3-1 in front of 4,600 fans. Newly-promoted Arminia Bielefeld earned a point with a 1-1 draw at Eintracht Frankfurt on their return to the top flight in front of 6,500. Stuttgart, who also came up, gave Freiburg a scare with late goals by Sasa Kalajdzic and Silas Wamangituka as they fought back in a 3-2 defeat in front of 8,000."
9,27/06/2020,18:01,"Bremen snatch play-off survival chance, champions Bayern rout Wolfsburg","Werder Bremen gave themselves hope of avoiding relegation from the German Bundesliga by thrashing Cologne 6-1 to grab a play-off place on the last day of the season, while champions Bayern Munich routed Wolfsburg before lifting the trophy on Saturday.","Japan striker Yuya Osako scored twice as Bremen stole the lifeline of the relegation/promotion play-off place from Fortuna Duesseldorf, who lost 3-0 at Union Berlin and were relegated with Paderborn, finishing one point behind Bremen. Florian Kohfeldt's Werder will face second-tier opponents in either Heidenheim or possibly neighbours, rivals and fellow fallen giants Hamburg in the play-off first leg on Thursday. Bremen have spent more seasons than any other team in the Bundesliga, having only spent one term in the second tier, in 1980-81. A burst of goals from Osako, Milot Rashica and Niclas Fuellkrug -- all in the space of eight minutes -- had Werder 3-0 up at the break against Cologne at the Weserstadion. Former Everton midfielder Davy Klaassen then fired home a rebound just after the break before Osako, facing his old side, added his second and USA international Josh Sargent completed the rout. Dominick Drexler pulled a goal back for Cologne. Werder, the four-time Bundesliga champions, also needed a favour from Berlin and got one as Union beat Fortuna 3-0 with goals from Nigerian duo Anthony Ujah and Suleiman Abdullahi either side of veteran midfielder Christian Gentner's effort. Bremen will find out their play-off opponents on Sunday, with Heidenheim currently in the play-off place ahead of the final round of matches in the second division. At Wolfsburg, Bayern striker Robert Lewandowski scored a penalty for his 34th league goal of the season, finishing as the top scorer for the fifth time. Kingsley Coman, Michael Cuisance and Thomas Mueller also got on the scoresheet as Bayern, champions for the eighth straight season, finished 13 points clear of second-placed Borussia Dortmund. Mueller set up Coman for Bayern's opening goal to finish the campaign with a league record 21 assists, and his goal that rounded out the win was also Bayern's 100th league goal this season -- one short of the Bundesliga record. Wolfsburg captain Josuha Guilavogui was sent off for a second yellow card after fouling Cuisance, leading to Lewandowski's penalty. Meanwhile, Borussia Moenchengladbach and RB Leipzig secured qualification for next season's Champions League after 2-1 wins over Hertha Berlin and Augsburg respectively, as fifth-placed Bayer Leverkusen missed out by two points despite beating Mainz 1-0. Dortmund, who had already wrapped up second place, crashed to a 4-0 home defeat by Hoffenheim, for whom Croatia striker Andrej Kramaric scored all four goals, including one penalty. That result allowed Hoffenheim to leapfrog Wolfsburg and take sixth place, although both sides will go into the Europa League next season along with Leverkusen. Before kick-off in Dortmund, Mario Goetze, whose winning goal sealed Germany's victory in the 2014 World Cup final, was given a send-off by the club. He will leave this summer with his contract having expired, but the 28-year-old attacking midfielder has not announced his future club. Elsewhere, Timo Werner signed off with a brace in RB Leipzig's 2-1 win at Augsburg in what was his final appearance for the club before moving to Chelsea. Schalke's disastrous second half of the season was completed with a 4-0 thrashing at the hands of Freiburg as they finished the season 12th, having been third in December. Eintracht Frankfurt beat bottom side Paderborn 3-2 in Saturday's other game."
