,date,hour,title,subtitle,text
0,21/01/2021,19:32,Union's Huebner banned but 'no evidence' found of racial abuse towards Amiri,"The German FA (DFB) on Thursday said there was ""no evidence"" that Union Berlin's Florian Huebner racially abused Bayer Leverkusen midfielder Nadiem Amiri, but gave the defender a two-match ban and 20,000-euro ($24,292) fine.","Huebner was alleged to have used a racist insult against German-born Amiri, whose parents are from Afghanistan, after the pair argued following Union's 1-0 Bundesliga win in the capital last Friday. But the DFB said ""no evidence of a racially motivated or discriminatory act could be provided"" and instead banned Huebner for ""unsportsmanlike conduct"". ""Even Nadiem Amiri could not rule out during the investigations that the choice of words was different,"" the DFB said in a statement. The disciplinary committee said both players had apologised to each other for their ""respective misconduct"". Huebner said in a statement on the Union Berlin website that he was ""glad that the matter has been settled quickly"". ""It is of fundamental importance to me that the sports tribunal and the German FA assume that I myself had previously been verbally attacked and that my comments were not discriminatory or racist in any way,"" he added. ""Any kind of xenophobia and discrimination is deeply abhorred in my family and by me. ""I have spoken to my opponent Nadiem Amiri and we have cleared everything up. This also includes admitting a mistake to each other."" The 29-year-old will miss Saturday's game at mid-table Augsburg and the home game against Borussia Moenchengladbach on January 30."
1,15/01/2021,22:46,Union down Leverkusen to climb to fourth,Union Berlin claimed another key Bundesliga scalp at home on Friday as a late goal sealed a 1-0 win over Bayer Leverkusen which put the hosts fourth in the table.,"Having hit the post earlier, Union's replacement forward Cedric Teuchert sprinted onto a pass which split Leverkusen's defence and fired home winning goal two minutes from time. The 24-year-old made amends for squandering a golden chance six minutes after the break when his shot beat Lukas Hradecky, smashed the post and rolled agonisingly along the goalline and away to safety. Having shocked Borussia Dortmund at the Alten Foersterei stadium four weeks ago, Union now sit just a point behind third-placed Leverkusen. The victory could have come at a cost as Teuchert replaced Union's Dutch striker Sheraldo Becker, who was helped off after just 24 minutes with an ankle injury. On Saturday, RB Leipzig can go top of the table if they beat Wolfsburg. A Leipzig win would bridge the two-point gap behind embattled leaders Bayern Munich, who host Freiburg on Sunday. Bayern are under pressure after last weekend's league defeat at Borussia Moenchengladbach and the midweek German Cup exit at second division Holstein Kiel."
2,02/01/2021,23:20,Olmo fires RB Leipzig top of Bundesliga ahead of Bayern Munich,RB Leipzig dislodged Bayern Munich at the top of the Bundesliga table Saturday as Dani Olmo's second-half goal was enough to seal a 1-0 win at Stuttgart.,"""It was really good for me and the team to start the year with a win,"" Olmo told DAZN. With European champions Bayern at home to strugglers Mainz on Sunday, Leipzig took the chance to go a point ahead as Olmo fired through the legs of Stuttgart goalkeeper Gregor Kobel. Stuttgart's Swiss shot-stopper had earlier pulled off some heroics by using his foot to save a Emil Forsberg first-half penalty attempt. Leipzig also wasted a golden chance when Amadou Haidara fired wide just after the break. With 23 minutes left, Spain midfielder Olmo finally got the breakthrough, finishing a move he started after Leipzig had moved the ball across the Stuttgart penalty area. ""It feels good to be top,"" admitted Leipzig defender Willi Orban. ""The first half was good, the second was better - we were clearly the dominant team."" Earlier, Bayer Leverkusen blew the chance to take first place after stumbling to a 2-1 defeat at Eintracht Frankfurt which saw them drop to third as the league resumed after a two-week break. ""I have made my feelings clear in the dressing room,"" Leverkusen head coach Peter Bosz told Sky. ""We deserved to lose. Frankfurt had a better claim to the victory."" Leverkusen midfielder Nadiem Amiri scored with a deft back-heel flick to give the visitors the lead after only 10 minutes in Frankfurt. However, Amin Younes equalised to make it 1-1 at half-time before Japan midfielder Daichi Kamada put in a cross which Leverkusen defender Edmond Tapsoba turned into his own net. Before kickoff, Frankfurt director Fredi Bobic confirmed reports his club are interested in Bayern's teenage striker Joshua Zirkzee, 19, after selling Dutch forward Bas Dost to Brugge. Zirkzee could back up Frankfurt's top scorer Andre Silva, who has notched nine league goals this season. Union Berlin rose to fourth - into the Champions League places for the first time in the club's history - after their 2-0 win at Werder Bremen. Liverpool loanee Taiwo Awoniyi, who has scored in his last three league games, capped another impressive display with a goal and assist. After Bremen lost the ball in their own half, the 23-year-old Nigeria international took advantage of a two-on-two situation by drawing the defence and passing to Sheraldo Becker, who fired home on 12 minutes. Awoniyi doubled Union's lead on 28 minutes by tapping the ball over the line, just out of the reach of Bremen goalkeeper Jiri Pavlenka. Bremen had a penalty appeal turned down when a shot by Japan midfielder Yuya Osako clipped the hand of a Union defender, then Romano Schmid had a goal ruled offside. Hoffenheim lost both defender Kevin Akpoguma and Germany midfielder Sebastian Rudy with early leg injuries as they crashed to a 3-1 home defeat to Freiburg. With the hosts struggling to reshuffle, Freiburg were 3-0 up at half-time thanks to a Baptiste Santamaria goal, a Vincenzo Grifo penalty and an own goal by Senegal defender Kasim Adams. Hoffenheim scored a second-half consolation goal through Togo winger Ihlas Bebou. Borussia Moenchengeladbach, who host Manchester City in the first leg of the Champions League last 16 next month, earned their first win in five league games with a 1-0 victory at Arminia Bielefeld. Swiss striker Breel Embolo netted the winning goal just after half-time when he held off a defender and fired home. Mid-table Augsburg rebounded after back-to-back defeats with a 1-0 win at Cologne with Brazilian winger Iago netting the late winner. Bottom side Schalke are now 30 games without a win -- one short of the Bundesliga record -- after a 3-0 defeat away to Hertha Berlin. Former Tottenham manager Christian Gross, installed as Schalke's fourth head coach this season, got off to a losing start as Arsenal loanee Matteo Guendouzi, Colombia striker Jhon Cordoba and his replacement, Poland forward Krzysztof Piatek, scored for Hertha. Having netted two minutes after coming off the bench, Piatek had a second late goal ruled offside."
3,18/12/2020,23:11,Moukoko becomes youngest Bundesliga scorer as Dortmund flop at Union,Borussia Dortmund's Bundesliga title aspirations suffered a fresh dent on Friday as they crashed to a 2-1 defeat at Union Berlin on the night their striker Youssoufa Moukoko became the league's youngest ever goalscorer.,"After Liverpool loanee Taiwo Awoniyi headed Union into the lead early in the second half, Moukoko leapt into the air to celebrate making history when he equalised for Dortmund aged just 16 years and 28 days. Moukoko broke the previous record of Leverkusen's Florian Wirtz, who was 17 years, 34 days when he scored against Bayern Munich in June. However, Moukoko's delight was short-lived as Dortmund again conceded from a set-piece with Union centre-back Marvin Friedrich heading the winner from a corner with 12 minutes left. ""We have now lost two league games through set-pieces -- that's a disaster,"" Dortmund defender Mats Hummels fumed to DAZN, also referring to November's 2-1 shock home defeat to Cologne. ""We're simply beating ourselves up, that can't be allowed to happen."" Saturday's 5-1 thrashing at home to Stuttgart cost head coach Lucien Favre his job, but Dortmund's defensive woes were exposed again by Union, who also beat them 3-1 in eastern Berlin last season. Despite bouncing back in mid-week with a 2-1 win at Werder Bremen under caretaker coach Edin Terzic, Dortmund were again punished for yielding possession easily and sloppy defending. This is Dortmund's fifth defeat this season, leaving them fourth in the table, six points behind Leverkusen who host Bayern Munich in Saturday's top-of-the-table clash. Union, who held European champions Bayern to a 1-1 draw in their previous home game, climb to fifth, just a point behind Dortmund. They deservedly took the lead behind closed doors when Awoniyi slipped his marker Giovanni Reyna and headed past Dortmund goalkeeper Roman Buerki on 57 minutes. ""The fact that an opposing striker was so free is unforgivable,"" Hummels complained after the final whistle. Having previously hit the Union woodwork, Moukoko made history three minutes later when he stabbed home the equaliser, but Friedrich was left alone in the area to head the winning goal in off the post. ""It's great that we win the game through two set-pieces,"" Union captain Christopher Trimmel told ZDF. ""There was a lot of passion, no opponent has it easy against us."" The Bundesliga starts a two-week winter break after this weekend and Dortmund have a tough month ahead in January when they face RB Leipzig, Bayer Leverkusen and Borussia Moenchengladbach. However, Moukoko clearly has a bright future after now claiming three records in the last month. ""You have to congratulate the young 16-year-old on his Bundesliga goal, that's something very special,"" Trimmel added graciously. Moukoko also became the Champions League's youngest player ten days ago, coming off the bench in the win at Zenit St Petersburg with Dortmund through to the last 16 where they face Sevilla. He also became the youngest player in Bundesliga history on November 21 -- the day after his 16th birthday."
4,12/12/2020,20:30,Bayern Munich stay top after Lewandowski equaliser at Union,Robert Lewandowski marked his 200th Bundesliga appearance for Bayern Munich with a second-half equaliser in Saturday's 1-1 draw at Union Berlin which keeps the defending champions top on goal difference.,"After Grischa Proemel put Union ahead on four minutes, Lewandowski, the Bundesliga's top-scorer, slotted his 13th goal in his 10th league game to rescue a point on 67 minutes. The result keeps Bayern top, but level on 24 points with RB Leipzig, who briefly led the table after their 2-0 win over Werder Bremen earlier Saturday. Union stay sixth, two points behind Dortmund who crashed to a 5-1 defeat against VfB Stuttgart in their worst home defeat since 2009."
5,11/12/2020,02:42,Bayern star Lewandowski eyes league milestones at Union Berlin,"Robert Lewandowski, the German league's top-scorer, can make his 200th Bundesliga appearance for Bayern Munich in Saturday's tricky away match at FC Union, where Germany's leading clubs have struggled in the past.","In fact, Lewandowski could claim two milestones in Berlin as he is just two short of scoring 250 Bundesliga goals for both Bayern and ex-club Dortmund. Lewandowski has shaken off a leg knock which ruled him out of Wednesday's 2-0 home win over Lokomotiv Moscow in the Champions League with the holders already through to the last 16 as group winners. ""I assume that he is 100 per cent fit,"" said Bayern coach Hansi Flick before they headed to Berlin. Lewandowski, the Bundesliga's top scorer for the last three seasons, once again leads the way with 12 goals so far. Two of his closest rivals - Dortmund's Erling Braut Haaland, who has 10 goals, and Leverkusen's Lucas Alario, on seven - are sidelined by knee injuries. Bayern hold a one point lead over Bayer Leverkusen, who they face away the following weekend. Union's eight-match winning run was ended last Friday by a 3-1 derby defeat at Hertha Berlin. To make matters worse, Union's top-scorer Max Kruse, who claimed five goals and four assists in November, misses Saturday's game against Bayern with a torn hamstring. Even without Kruse, Union coach Urs Fischer is looking forward to the ""awesome task"" of facing the league leaders and European champions. ""We will try to be brave and get through the difficult phases. We must not lose the courage to attack,"" added Fischer, whose side are sixth. Union's Swiss coach has just signed a contract extension, reportedly until 2023. In the two years since his arrival, Fischer has turned Union into a side capable of tripping up sides at the top of the league. Last season, both Dortmund and Moenchengladbach were first in the table when they lost at Union's packed Alten Foersterei stadium, where Bayern laboured to a 2-0 win behind closed doors in May. In recent home games, Union saw off strugglers Mainz 4-0, then Arminia Bielefeld 4-0 before Kruse netted twice in a 3-3 draw with Frankfurt a fortnight ago. Peter Bosz's Leverkusen, who are home to Hoffenheim on Sunday, have climbed to second by joining Wolfsburg as the league's only unbeaten teams. Part of their success is due to Bosz improving Leverkusen's threat at set-pieces and they scored twice from Leon Bailey corners in Sunday's 3-0 win over bottom side Schalke. ""That is a huge factor for us and cannot be overestimated,"" said midfielder Julian Baumgartlinger, who scored with a header against Schalke off a Bailey corner. RB Leipzig's Swedish playmaker is back to his best after a groin strain sidelined him earlier in the year with strong displays against Bayern Munich and Manchester United. After claiming his first headed Bundesliga goal in last weekend's thrilling 3-3 draw at Bayern, Forsberg was a constant menace in Tuesday's 3-2 home win which dumped Manchester United out of the Champions League. Third-placed Leipzig trail Bayern by two points before Saturday's home game against Bremen. 248 - the league goals Lewandowski has scored for Bayern and ex-club Dortmund. Only Munich legend Gerd Mueller and Schalke striker Klaus Fischer have previously reached the 250 goals milestone. 330 - the Bundesliga games Lewandowski has played in his career, including 199 for Bayern. 44 - the Bundesliga games Union Berlin have played in the club's history. Fixtures (all times 1430GMT unless stated)"
6,04/12/2020,22:45,Piatek double for Hertha in Berlin derby ends Union's unbeaten run,Hertha Berlin replacement striker Krzysztof Piatek scored two goals in three second-half minutes to seal a 3-1 win over 10-man FC Union in the Bundesliga derby on Friday night.,"""It's an amazing feeling to get two goals in the derby,"" Piatek told broadcaster DAZN. Union's eight-match unbeaten run came to an abrupt end behind closed doors at the Olympic Stadium as Hertha enjoyed their first home win this season. Union played for more than an hour with ten men after midfielder Robert Andrich was shown a straight red for going into a challenge with his foot up. Union took the lead when Nigeria striker Taiwo Awoniyi got between two defenders and hit the bottom corner of the net on 20 minutes. However, Union were down to ten men just three minutes later. Andrich went into a tackle on Hertha midfielder Lucas Tousart with his foot up, making no attempt to pull out of the challenge. It stayed 1-0 at the break, but the numerical disadvantage took its toll on Union as Piatek came off the bench at half-time and Hertha managed three unanswered goals. They equalised when Matheus Cunha shot from range and although his shot was parried, right-back Peter Pekarik was on hand to tap home the rebound. It was 2-0 on 74 minutes when Piatek's shot deflected off defender Marvin Friedrich and wrong-footed Union goalkeeper Andreas Luthe. Piatek grabbed his second in style 13 minutes from time when he smashed a volley past Luthe. The visitor's miserable night was summed up when Union's former Germany striker Max Kruse limped off with a knee injury in added time. The result lifts Hertha to 11th in the table with Union sixth."
7,03/12/2020,03:15,Union striker Kruse in spotlight for Berlin derby at Hertha,"Hertha Berlin host capital-city rivals Union Berlin behind closed doors at the Olympic Stadium in Friday's derby, with former Germany striker Max Kruse in stunning form for the visitors, who are on an eight-match unbeaten run.","This will be the third Bundesliga clash between the clubs since Union's promotion in 2018/19 and the second behind closed doors due to the coronavirus pandemic. East Berlin-based Union won a fiery confrontation at home last season with a 90th-minute penalty in November 2019, only for Hertha, who play in the west, to exact revenge with a 4-0 thumping in May. To make their presence felt, Hertha had tens of thousands of flags in the club's blue and white colours planted across Berlin on Monday. ""We're playing a derby without fans, we wanted to create a little derby atmosphere, a little derby fever,"" a Hertha spokesman said on Wednesday. Rival fans were soon posting pictures either posing proudly with their flag or dumping them in the nearest bin -- depending on their loyalties. However, the PR stunt happened without the necessary permit, putting Hertha offside with city authorities, who threatened to fine the club. Union's unbeaten run has taken them to sixth in the table, six points behind leaders Bayern Munich, who they host the following weekend. In contrast, Hertha are 13th and yet to win a home game this season, having been thrashed 5-2 by Borussia Dortmund a fortnight ago with Erling Braut Haaland scoring four goals. Union took a gamble this season by signing the ageing Kruse, 32, a renowned card player who has competed in the World Series of poker, but the transfer has paid dividends. He made the last of his 14 appearances for Germany five years ago, yet Kruse has banged in five goals and made four assists in his last four games. He came to the rescue last Saturday by scoring twice, including a late equaliser to salvage a point in a 3-3 home draw with Eintracht Frankfurt. ""Hopefully Max will be important in the derby,"" said Union coach Urs Fischer. ""He's a great guy and he's shown that he knows when he has to work hard. I'm happy. He's there for the team and it's gone exactly as I expected."" Fischer's opposite number Bruno Labbadia made it clear how difficult it will be to stop the Union forward. ""You have to keep him in check collectively,"" added Labbadia, who is without injured Argentine midfielder Santiago Ascacibar and Colombia striker Jhon Cordoba."
8,07/11/2020,18:33,"Leipzig go top in Germany ahead of Bayern, Dortmund showdown",RB Leipzig went back to the top of the Bundesliga table on Saturday with a 3-0 home win over Freiburg before Bayern Munich and Borussia Dortmund clash in the evening showdown.,"Defender Ibrahima Konate fired home Leipzig's opener before midfielder Marcel Sabitzer added their second goal with a 70th-minute penalty. Manchester City loanee Angelino claimed Leipzig's third with a stunning free-kick which curled over the Freiburg wall just before the final whistle. The home win put Leipzig top, a point ahead of Bayern and Dortmund who meet later at Signal Iduna Park. ""We really deserved the win - we were very, very good in the first-half,"" said Leipzig head coach Julian Nagelsmann. He was especially pleased with Konate's opening goal from a towering cross before winger Christopher Nkunku, who scored in the mid-week win over Paris Saint Germain, won the penalty which Sabitzer converted after the VAR scrutinised the decision. ""We have trained a lot from set pieces,"" said Nagelsmann. ""It certainly wasn't an obvious penalty, but if the VAR says it was, then it must have been,"" he added after Nkunku went down after the slightest of touches from Freiburg defender Nicolas Hoefler. Union Berlin climbed to fourth with a 5-0 home thrashing of strugglers Arminia Bielefeld. Former Germany striker Max Kruse helped set up Union's first three goals, then converted a late penalty. After just three minutes, Japan winger Keita Endo scored his first goal for Union when he swept home Sheraldo Becker's final pass after Kruse's superb long pass. Endo went off with an injury soon after, but Union kept up the pressure as Kruse set up the next two goals for centre-back Robert Andrich and winger Becker. Kruse, 32, capped an outstanding display by converting a penalty before Cedric Teuchert, a right wing replacement for Becker, grabbed Union's late fourth goal. At the other end of the table, bottom side Mainz were held to a 2-2 draw at home to Schalke, who sit one place above them and have now gone 23 games without a league win dating back to January. After Daniel Brosinski and Jean-Philippe Mateta converted penalties for Mainz, Mark Uth pulled a goal back for Schalke who were 2-1 down late on. Schalke took a deserved point back to Gelsenkirchen when Mainz defender Jeremiah St. Juste turned the ball into his own net eight minutes from time. After five games without a win, Hertha Berlin roared back with a 3-0 win in the fog at Augsburg. Forwards Matheus Cunha, Dodi Lukebakio and Krzysztof Piatek, who cost Hertha 24 million euros ($28 million) from AC Milan in January, got on the scoresheet as Augsburg's defence crumbled."
9,24/10/2020,18:30,Lewandowski hits hat-trick as Bayern Munich rout Frankfurt,Robert Lewandowski took his Bundesliga tally to 10 goals in five games this season with a hat-trick as Bayern Munich thumped Eintracht Frankfurt 5-0 on Saturday.,"Lewandowski has scored nine goals in his last three league games and wrapped up his treble within an hour at the Allianz Arena. Defending champions Bayern have scored 22 goals this term -- 10 more than league leaders RB Leipzig who stayed top with a 2-1 win over 10-man Hertha Berlin. Bayern sit one point behind in second place. In Munich, Leroy Sane marked his return from injury with the fourth goal during a brief cameo, before England Under-17 midfielder Jamal Musiala also came off the bench to net the fifth. However, Bayern's victory could come at a price as Canadian left-back Alphonso Davies was in clear distress after going off early with an ankle injury. Lewandowski underlined his status as one of the world's best strikers last season by scoring a career-best 55 goals in 47 games, including 34 in the Bundesliga. The Polish international opened the scoring on 10 minutes when he fired home after a Thomas Mueller pass. Frankfurt goalkeeper Kevin Trapp couldn't do anything to stop Lewandowski's header from a Joshua Kimmich corner in the 26th minute. Bayern had a penalty appeal turned down when Douglas Costa's cross clipped the hand of Frankfurt's Makoto Hasebe. Lewandowski wrapped up the victory on the hour mark with a clinical finish from another Costa cross. After sitting out the last two games, Sane ghosted past a defender and drove a shot into the bottom corner with 18 minutes to play. Manuel Neuer pulled off a great save to deny Frankfurt striker Bas Dost before Musiala grabbed the final goal as the visitors suffered their first league defeat of the season. Leipzig came from behind to seal a 2-1 win over Hertha, whose Colombian striker Jhon Cordoba scored in the eighth minute. Leipzig drew level when defender Dayot Upamecano fired home from a free-kick on 11 minutes, but Berlin were reduced to 10 men after the break when substitute Deyovaisio Zeefuik was shown two yellow cards within four minutes of coming on. Leipzig made the man advantage count when Marcel Sabitzer converted a penalty with 13 minutes left. Hertha were lucky not to finish with nine men when another sub, Jessic Ngankam, scythed down Leipzig left-back Angelino and the referee changed his decision to a yellow card having initially showed a straight red. Borussia Moenchengladbach warmed up for Tuesday's Champions League game at home to Real Madrid with a 3-2 comeback win at Mainz. Germany midfielder Lars Stindl gave Gladbach an early lead, but the visitors were 2-1 down at half-time after French striker Jean-Philippe Mateta scored twice for Mainz. Gladbach midfielder Jonas Hofmann converted a penalty on 76 minutes, after a shot by replacement Marcus Thuram was blocked by a Mainz hand before Matthias Ginter headed the winner as Gladbach climbed to fifth. Union Berlin were held to a 1-1 draw at home to Freiburg as Vincenzo Grifo's first-half goal was cancelled out two minutes later by Union midfielder Robert Andrich."
