,date,hour,title,subtitle,text
0,29/01/2021,23:18,Wamangituka's stunning solo effort seals Stuttgart win,Congolese winger Silas Wamangituka scored for his fourth consecutive Bundesliga game on Friday as his end-to-end goal after an 80-metre sprint sealed Stuttgart's 2-0 win at home to strugglers Mainz.,"After striker Sasa Kalajdzic gave Stuttgart the lead ten minutes into the second-half, Wamangituka showed his stamina and skill to score with a run from the edge of his own box. With Mainz hunting the equaliser, a charged down shot fell to Wamangituka, who dribbled the length of the pitch before, beating two defenders to fire home 18 minutes from the whistle. The 21-year-old's stunning effort means he has scored 11 times in Germany's top flight this season. The win leaves Stuttgart 10th. Mainz remain second-from-bottom and seven points from escaping the relegation places after failing to build on last weekend's shock 3-2 win over second-placed RB Leipzig. League leaders Bayern Munich hold a seven-point lead before Saturday's home game against mid-table Hoffenheim."
1,23/01/2021,17:52,Leipzig slump to surprise loss at Mainz,US international Tyler Adams scored his first Bundesliga goal Saturday but RB Leipzig suffered a blow to their title hopes with a shock 3-2 defeat away to crisis club Mainz.,"Adams, 21, opened his German league account with a tap-in, pouncing on the rebound after Marcel Sabitzer hit the bar to put Leipzig ahead early on. A rare fumble from goalkeeper Peter Gulacsi allowed Moussa Niakhate to equalise for Mainz, but Marcel Halstenberg quickly restored the lead. Niakhate equalised for a second time shortly before half-time, before Leandro Barreiro turned in a Danny Da Costa cross just after the break to hand second-from-bottom Mainz only their second win this term. League leaders Bayern Munich, who play Schalke on Sunday, can now pull seven points clear at the top after third-placed Bayer Leverkusen also dropped points with a 1-0 defeat to Wolfsburg. Leverkusen started furiously, but Wolfsburg were more clinical and took the lead through a Ridle Baku header on 35 minutes. Manchester United loanee Timothy Fosu-Mensah came on at half-time for Leverkusen to make his Bundesliga debut, but his team remained toothless in the second half. The win saw Wolfsburg break into the top four, leapfrogging both Borussia Dortmund and high-fliers Union Berlin, who fell to their second defeat in a row with a 2-1 loss away to Augsburg. Florian Niederlechner broke his 16-game goal drought to put Augsburg in front on 17 minutes, before Marcus Ingvartsen drew Union level with a precise finish. Niederlechner restored the lead just after half-time, before giving away a penalty with a foul on Grischa Proemel. Yet his blushes were spared by keeper Rafal Gikiewicz, who saved Ingvartsen's spot-kick to deny former club Union a point. Union's defeat allowed in-form Eintracht Frankfurt to jump to sixth with their 5-1 win over Arminia Bielefeld. Andre Silva put Frankfurt ahead on 25 minutes, Filip Kostic doubled the lead with a sumptuous long-range effort two minutes later, and Kostic set up Silva for Frankfurt's third. Bielefeld hit back through a Sergio Cordova header, but an own goal from Joakim Nilsson and a goal from Real Madrid loanee Luka Jovic sealed the win for Frankfurt in the second half. Elsewhere, Freiburg came from behind to beat local rivals Stuttgart at home for the first time since 2012. Congolese winger Silas Wamangituka bundled in an early opener for Stuttgart, but goals from Ermedin Demirovic and Jeong Woo-yeong turned the game on its head to seal a 2-1 win for the hosts."
2,22/01/2021,03:05,Nagelsmann promises Leipzig will 'attack' Bayern in title chase,Julian Nagelsmann says his RB Leipzig team are ready to push Bundesliga leaders Bayern Munich all the way this season as they prepare for Saturday's trip to lowly Mainz.,"""We're still within striking distance (of Bayern) and want to keep attacking,"" said Leipzig coach Nagelsmann. Mainz are second-from-bottom and winless in their last nine games but gave Bayern a huge scare three weeks ago, taking a two-goal lead before losing 5-2 at Munich's Allianz Arena. However, Nagelsmann says his team were ""incredibly mature"" on Wednesday against the stubborn defence of Union Berlin, which eventually cracked in Leipzig's 1-0 home win. Ten minutes into his cameo appearance on Wednesday, Emil Forsberg combined with Dani Olmo to unpick the Union defence with great footwork. Nagelsmann dubbed the pair ""phonebox kickers"" for the close-quarters skills which led to Forsberg's winning goal, and the Swede could feature at the weekend. Bayern meanwhile are at bottom side Schalke on Sunday with goalkeeper Manuel Neuer chasing a league record at his former club. On Wednesday, Neuer equalled Oliver Kahn's record of 196 Bundesliga clean sheets. But Bayern have looked vulnerable in recent weeks. They have won their last two league games, but were lucky to get a 1-0 victory at Augsburg on Wednesday after Alfred Finnbogason hit the post with a late penalty. ""We had to fight tooth and nail at the back,"" admitted Neuer after his first clean sheet in the league since October. Coach Hansi Flick admitted that ""it's been a long time"" since his side has dominated matches as much as last season, when Bayern won the treble of Champions League, Bundesliga and German Cup titles. At the halfway stage of the campaign, Schalke are level on seven points with Mainz, 10 away from the guaranteed safety of 15th place. American striker Matthew Hoppe, 19, will try to test Neuer after grabbing headlines by scoring five goals in his last three games. The Royal Blues have beefed up their attack by bringing back Klaas-Jan Huntelaar. The Dutch veteran, 37, who netted 126 goals for Schalke from 2010 until joining Ajax in 2017, hopes to shake off a calf strain to face Bayern on Sunday. Leverkusen's French winger scored arguably the goal of the midweek round of matches in Tuesday's 2-1 win over Dortmund with a superb finish after Leon Bailey's diagonal pass. Great work by Diaby, 21, then put Florian Wirtz into space to score the winning goal to end Leverkusen's winless run of four league games. 22: Goals Bayern striker Robert Lewandowski has scored in 17 league games this season. At the same point of the 1972/72 season, in which Gerd Mueller set the all-time record of 40 goals, 'The Bomber' had scored 17 times. 422: Matches Bayern goalkeeper Manuel Neuer needed to equal the league record of 196 clean sheets, set by ex-Germany keeper Oliver Kahn, who took 557 games. 4 - At 17 years, 261 days old, Leverkusen midfielder Wirtz, who is still at school, is the youngest player to score four Bundesliga goals, beating the previous records of Kai Havertz and Timo Werner, who are now both at Chelsea. Fixtures (1430 GMT unless stated)"
3,04/01/2021,16:13,"Struggling Mainz hope new boss Svensson can emulate Klopp, Tuchel",Mainz appointed former fan-favourite Bo Svensson as coach on Monday in the hope he can keep them in the Bundesliga to follow in the footsteps of Jurgen Klopp and Thomas Tuchel.,"Svensson, 41, made 122 appearances for the club before retiring in 2014 and takes over from sacked Jan-Moritz Lichte with the side currently second from bottom in the league. His first game in charge will be at home to Eintracht Frankfurt on Saturday. Svensson recently coached Austrian second-division outfit Liefering, but Mainz hope he can become the next Klopp or Tuchel, who both started their coaching careers at the Opel Arena. The ex-Denmark international is the third figure with history at Mainz to return recently after their former bosses Christian Heidel and Martin Schmidt joined the board last month. ""Bo has all the qualities we're looking for in a coach,"" Heidel said. ""He learnt the job from scratch in our youth academy and also played under coaches like Jurgen Klopp and Thomas Tuchel. ""He knows what our football has to feel like."" Like Svensson, current Liverpool boss Klopp finished his playing career at Mainz and coached them from 2001-08. After he left, Klopp won back-to-back Bundesliga title with Borussia Dortmund and reached the 2013 Champions League final before moving to Merseyside in 2015. Liverpool lifted the 2019 Champions League trophy under Klopp and last season ended their 30-year-wait to be crowned English league champions. Tuchel worked at Mainz from 2009 until 2014. He replaced Klopp at Dortmund, winning the German Cup title in 2017 before steering Paris Saint Germain to two French league titles and last season's Champions League final. After playing for Mainz from 2007 to 2014, Svensson coached the club's junior teams from 2015-19 before joining Liefering. His main task is keeping Mainz up after 11 consecutive seasons in the German top-flight, but they currently have six points after 14 games. However, there were glimmers of hope on Sunday as they led European champions Bayern Munich 2-0 at the Allianz Arena before crashing to a 5-2 defeat."
4,24/12/2020,00:25,Bundesliga strugglers Mainz out of German Cup,"Crisis-hit Bundesliga club Mainz crashed out on penalties to second division side Bochum in the second round of the German Cup on Wednesday after Robert Tesche scored a dramatic, stoppage-time equaliser for the underdogs.","Jean-Paul Boetius and Danny Latza gave Mainz a comfortable 2-0 lead, but Bochum fought back through Gerrit Holtmann and a stoppage-time equaliser from Robert Tesche. Despite having goalkeeper Manuel Riemann sent off in stoppage time, the underdogs triumphed 3-0 in the penalty shootout after Mainz missed all their penalties. Defeat crowned a miserable Christmas week for Mainz, who sit second from bottom in the league and parted ways with sporting director Rouwen Schroeder on Tuesday. Elsewhere, Dutch striker Wout Weghorst scored twice as Wolfsburg thrashed second-tier minnows Sandhausen 4-0 in the second round of the German Cup Wednesday, despite losing numerous players to Covid-19 in recent days. With four players having tested positive for coronavirus in the last week and another three self-isolating, Wolfsburg were forced to list two reserve goalkeepers, Lino Kasten and Niklas Klinger, as outfield substitutes. Yet the top-flight side cruised to victory thanks to goals from Yannick Gerhardt, Joao Victor and Weghorst, who has now scored 11 goals in his last 11 games. ""My players showed from the first minute that they weren't going to worry about the difficult conditions and the absentees,"" said Wolfsburg coach Oliver Glasner. In Wednesday's other games, first-half goal from Sasa Kalajdzic saw Stuttgart to a 1-0 win over south-western neighbours Freiburg, while Werder Bremen waltzed to a 3-0 win over Hanover. In-form Rot-Weiss Essen are the last fourth-tier side left in the draw after they stunned second-division local rivals Fortuna Duesseldorf 3-2."
5,07/11/2020,18:33,"Leipzig go top in Germany ahead of Bayern, Dortmund showdown",RB Leipzig went back to the top of the Bundesliga table on Saturday with a 3-0 home win over Freiburg before Bayern Munich and Borussia Dortmund clash in the evening showdown.,"Defender Ibrahima Konate fired home Leipzig's opener before midfielder Marcel Sabitzer added their second goal with a 70th-minute penalty. Manchester City loanee Angelino claimed Leipzig's third with a stunning free-kick which curled over the Freiburg wall just before the final whistle. The home win put Leipzig top, a point ahead of Bayern and Dortmund who meet later at Signal Iduna Park. ""We really deserved the win - we were very, very good in the first-half,"" said Leipzig head coach Julian Nagelsmann. He was especially pleased with Konate's opening goal from a towering cross before winger Christopher Nkunku, who scored in the mid-week win over Paris Saint Germain, won the penalty which Sabitzer converted after the VAR scrutinised the decision. ""We have trained a lot from set pieces,"" said Nagelsmann. ""It certainly wasn't an obvious penalty, but if the VAR says it was, then it must have been,"" he added after Nkunku went down after the slightest of touches from Freiburg defender Nicolas Hoefler. Union Berlin climbed to fourth with a 5-0 home thrashing of strugglers Arminia Bielefeld. Former Germany striker Max Kruse helped set up Union's first three goals, then converted a late penalty. After just three minutes, Japan winger Keita Endo scored his first goal for Union when he swept home Sheraldo Becker's final pass after Kruse's superb long pass. Endo went off with an injury soon after, but Union kept up the pressure as Kruse set up the next two goals for centre-back Robert Andrich and winger Becker. Kruse, 32, capped an outstanding display by converting a penalty before Cedric Teuchert, a right wing replacement for Becker, grabbed Union's late fourth goal. At the other end of the table, bottom side Mainz were held to a 2-2 draw at home to Schalke, who sit one place above them and have now gone 23 games without a league win dating back to January. After Daniel Brosinski and Jean-Philippe Mateta converted penalties for Mainz, Mark Uth pulled a goal back for Schalke who were 2-1 down late on. Schalke took a deserved point back to Gelsenkirchen when Mainz defender Jeremiah St. Juste turned the ball into his own net eight minutes from time. After five games without a win, Hertha Berlin roared back with a 3-0 win in the fog at Augsburg. Forwards Matheus Cunha, Dodi Lukebakio and Krzysztof Piatek, who cost Hertha 24 million euros ($28 million) from AC Milan in January, got on the scoresheet as Augsburg's defence crumbled."
6,24/10/2020,18:30,Lewandowski hits hat-trick as Bayern Munich rout Frankfurt,Robert Lewandowski took his Bundesliga tally to 10 goals in five games this season with a hat-trick as Bayern Munich thumped Eintracht Frankfurt 5-0 on Saturday.,"Lewandowski has scored nine goals in his last three league games and wrapped up his treble within an hour at the Allianz Arena. Defending champions Bayern have scored 22 goals this term -- 10 more than league leaders RB Leipzig who stayed top with a 2-1 win over 10-man Hertha Berlin. Bayern sit one point behind in second place. In Munich, Leroy Sane marked his return from injury with the fourth goal during a brief cameo, before England Under-17 midfielder Jamal Musiala also came off the bench to net the fifth. However, Bayern's victory could come at a price as Canadian left-back Alphonso Davies was in clear distress after going off early with an ankle injury. Lewandowski underlined his status as one of the world's best strikers last season by scoring a career-best 55 goals in 47 games, including 34 in the Bundesliga. The Polish international opened the scoring on 10 minutes when he fired home after a Thomas Mueller pass. Frankfurt goalkeeper Kevin Trapp couldn't do anything to stop Lewandowski's header from a Joshua Kimmich corner in the 26th minute. Bayern had a penalty appeal turned down when Douglas Costa's cross clipped the hand of Frankfurt's Makoto Hasebe. Lewandowski wrapped up the victory on the hour mark with a clinical finish from another Costa cross. After sitting out the last two games, Sane ghosted past a defender and drove a shot into the bottom corner with 18 minutes to play. Manuel Neuer pulled off a great save to deny Frankfurt striker Bas Dost before Musiala grabbed the final goal as the visitors suffered their first league defeat of the season. Leipzig came from behind to seal a 2-1 win over Hertha, whose Colombian striker Jhon Cordoba scored in the eighth minute. Leipzig drew level when defender Dayot Upamecano fired home from a free-kick on 11 minutes, but Berlin were reduced to 10 men after the break when substitute Deyovaisio Zeefuik was shown two yellow cards within four minutes of coming on. Leipzig made the man advantage count when Marcel Sabitzer converted a penalty with 13 minutes left. Hertha were lucky not to finish with nine men when another sub, Jessic Ngankam, scythed down Leipzig left-back Angelino and the referee changed his decision to a yellow card having initially showed a straight red. Borussia Moenchengladbach warmed up for Tuesday's Champions League game at home to Real Madrid with a 3-2 comeback win at Mainz. Germany midfielder Lars Stindl gave Gladbach an early lead, but the visitors were 2-1 down at half-time after French striker Jean-Philippe Mateta scored twice for Mainz. Gladbach midfielder Jonas Hofmann converted a penalty on 76 minutes, after a shot by replacement Marcus Thuram was blocked by a Mainz hand before Matthias Ginter headed the winner as Gladbach climbed to fifth. Union Berlin were held to a 1-1 draw at home to Freiburg as Vincenzo Grifo's first-half goal was cancelled out two minutes later by Union midfielder Robert Andrich."
7,08/02/2020,19:25,Klinsmann's Hertha slump as Quaison hits hat-trick for Mainz,Sweden striker Robin Quaison hit a hat-trick as Mainz beat 10-man Hertha Berlin 3-1 in the capital on Saturday to push Jurgen Klinsmann's side towards the Bundesliga relegation spots.,"Hertha have just one win in their five games in all competitions in 2020 under ex-Germany and USA head coach Klinsmann, who took charge last November. Klinsmann, 55, blamed the defeat on Hertha's midweek German Cup loss at Schalke, which was marred by alleged racist abuse aimed at Hertha defender Jordan Torunarigha by home fans. ""For us, this is disappointing, but it is understandable - it has been a very intensive week,"" said Klinsmann. ""After ten minutes, I saw that the boys' heads were down. It's all been a bit much in the last few days. ""That's not an excuse. The boys will take two days off and we meet again on Tuesday."" Hertha splashed out 80 million euros ($87.5 million) in the January transfer window on new recruits including strikers Krzysztof Piatek from AC Milan and Matheus Cunha from RB Leipzig. However, Quaison ran riot at Berlin's Olympic Stadium with goals either side of half-time before claiming a hat-trick by converting a late penalty. At the other end, Piatek and his Hertha strike partner Pascal Koepke struggled to create goal chances. Hertha's only consolation was an own goal by Mainz defender Jeffrey Bruma just before Berlin midfielder Marius Wolf was sent off for a second yellow card soon before the final whistle. Having also been drubbed 4-0 by leaders Bayern Munich in January, Hertha are now 14th in the table, two places from the relegation spots. In Gelsenkirchen, Schalke's title aspirations suffered a dent in a 1-1 draw at home to bottom side Paderborn. With league leaders Bayern Munich hosting second-placed RB Leipzig in Sunday's showdown, fifth-placed Schalke are now seven points from top spot. Schalke's arch rivals Borussia Dortmund can climb to second, and draw level with Bayern on 42 points, if they win later at Bayer Leverkusen. Schalke took a second-half lead when youth academy product Ahmed Kutucu, 19, came on as a substitute and fired home from a tight angle. But Paderborn took a point when midfielder Klaus Gjasula equalised with a late header. Werder Bremen are now deep in the relegation places after a 2-0 home defeat to mid-table Union Berlin. Second-half goals by Union winger Marius Buelter did the damage, combined with Mainz's win at Hertha Berlin, to leave Bremen 17th and four points from safety. Bremen's 37-year-old head coach Florian Kohfeldt is under pressure after seven defeats in 10 games. His cause was not helped as Fortuna Duesseldorf picked up a point to move above Bremen by drawing 1-1 at ten-man Wolfsburg. Duesseldorf took an early lead when winger Mathias Zimmermann fired into the bottom corner. Wolfsburg had defender Marin Pongracic sent off just after the break for elbowing Alfredo Morales at a free-kick. Despite being a man down, Wolfsburg drew level three minutes later as midfielder Renato Steffen headed home. Mid-table Freiburg rebounded from back-to-back defeats with a 1-0 win over Hoffenheim, thanks to a first-half penalty by striker Luca Waldschmidt at the Schwarzwald Stadion"
8,16/03/2019,17:29,Kovac urges Bayern to take Liverpool loss out on Mainz,Bayern Munich's under-fire coach Niko Kovac is urging his side to take their Champions League frustrations out on Sunday's opponents Mainz to stay ahead in the Bundesliga title race.,"Bayern are smarting from Wednesday's Champions League exit when Jurgen Klopp's Liverpool earned a 3-1 win at the Allianz Arena to dump the Bavarians out of the last-16 with an aggregate defeat by the same margin. It is the first time in seven seasons that Bayern have failed to make the quarter-finals in Europe. Their priority now is winning a seventh consecutive league title and the German Cup, with a home quarter-final against second-division Heidenheim on April 3. ""We want to win the two remaining competitions,"" said Kovac, who expects Bayern to ""turn the disappointment into many wins"" starting with Mainz at home. Kovac has come in for criticism from the German media since the Liverpool defeat, partly fuelled by striker Robert Lewandowski and defender Mats Hummels complaining that Bayern played too defensively. ""There was nothing negative, if Lewy felt that way, it's okay, it was nothing against me,"" said Kovac. ""The approach was the same as against Gladbach and Wolfsburg, when we scored 11 goals (in 5-1 and 6-0 victories). ""The stats showed we had more possession (against Liverpool), but we couldn't do the right thing with it, because the opponent was better overall."" Bayern started the weekend top of the Bundesliga on goal difference from second-placed Dortmund, who are at Hertha Berlin on Saturday night. Kovac's side have eroded Dortmund's lead to nothing by winning 12 of their last 13 league games. ""At one point we were 10 points behind, we have caught up with them and we can't afford to give anymore points away,"" said Kovac, who expects Mainz to try and catch them cold. ""They know we have gone out (of the Champions League), but we have to break their resistance, no matter how."" Kovac is waiting on the fitness of Javi Martinez, who was injured in a training ground collision with Hummels on Friday. With nine league games left to secure another Bundesliga title, Bayern captain Manuel Neuer has warned his side not to let standards slip, after losing two of their last three games last season following a semi-final defeat to Real Madrid in the Champions League. ""We have to try not to fall in a hole, as happened last year after the semi-final,"" said Neuer, who was at fault for Liverpool's first goal on Wednesday."
9,09/03/2019,20:39,'Perfect day' as Bayern return to Bundesliga summit with Liverpool looming,"Bayern Munich warmed up for Liverpool with a ""perfect day"" by knocking Borussia Dortmund from the top of the Bundesliga for the first time since September with a 6-0 thrashing of Wolfsburg on Saturday.","Bayern, who host Liverpool on Wednesday in their Champions League, last 16, return leg clash after a goalless draw at Anfield, went top on goal difference from Dortmund, who needed late goals to win 3-1 at home to Stuttgart. ""I'm very pleased. We want to be just as focused on Wednesday,"" said Bayern head coach Niko Kovac. Bayern ran riot in Munich as Robert Lewandowski scored twice, leaving him with 20 goals in 17 league games against Wolfsburg, while Serge Gnabry, James Rodriguez and Joshua Kimmich also netted. ""We are now where we want to be -- first in the table and that's where we want to stay,"" added Kovac with nine rounds of league games left. Having been told on Tuesday, along with Bayern team-mates Jerome Boateng and Mats Hummels, that his Germany career is over, Mueller took out his frustration, setting up the first goal and scoring Munich's second. ""The three wanted to give a response and they all played well -- it was a perfect afternoon,"" said goal-scorer Kimmich. Gnabry gave Bayern the lead on 34 minutes at the Allianz Arena by tapping home Mueller's cross, then turned provider three minutes later when he served up a simple tap in for Lewandowski to make it 2-0. Rodriguez, thriving in the attacking midfield role, got on the scoresheet when his superb 52nd-minute shot hit the top corner. Having set up the first goal, Mueller showed Germany head coach Joachim Loew what he is missing by wrong-footing Wolfsburg goalkeeper Koen Casteels to score with his heel on 76 minutes. Kimmich scored with a header on 82 minutes and Lewandowski claimed his second by guiding his header into the far corner three minutes later. Lewandowski, the top-scoring foreigner in Bundesliga history with 197 goals, has now scored in each of his last seven games against Wolfsburg, who he single-handedly battered in 2015 with five goals in just nine minutes. In Dortmund, late goals by Paco Alcacer and Chelsea-bound Christian Pulisic saw off dogged Stuttgart, but Borussia are now second after 23 weeks on top. ""I don't care about who is top now,"" said Dortmund captain Marco Reus. ""It only matters who is top at the end and everything is still open."" The win, only Dortmund's second in their last nine games, was vital to stay level on 57 points with Bayern. Despite some dogged Stuttgart defending, Dortmund took the lead at Signal Iduna Park when Reus netted a penalty on 62 minutes. The lead lasted just nine minutes as Stuttgart's Marc-Oliver Kempf headed home unmarked. However, Alcacer calmed nerves when the Spanish striker stabbed home on 84 minutes after a goal-mouth scramble. The third goal came when Axel Witsel beat three defenders, played Mario Goetze into the box to set up Pulisic, who netted in stoppage time. ""They parked a gigantic bus (in front of goal) -- it was hard to find the holes,"" complained Dortmund coach Lucien Favre. ""We tried everything and managed it, we ran a lot and defended a lot, but all in all, the win was deserved."" Third-placed RB Leipzig were held to a goalless draw at home by Augsburg, who beat Dortmund last Friday and went down fighting against Bayern last month. Mid-table Hertha Berlin crashed to a 2-1 defeat at Freiburg after the visitors captain Vedad Ibisevic cancelled out a Nils Petersen goal, but then scored an own-goal by turning the ball into the Berlin net. Later, Borussia Moenchengladbach bounced back from last weekend's 5-1 thumping at home to Bayern with a 1-0 win at mid-table Mainz, thanks to a second-half goal from defender Nico Elvedi. Gladbach stay fourth, level on 47 points with Leipzig, and both clubs lag nine points behind new leaders Bayern and Dortmund."
