,date,hour,title,subtitle,text
0,06/01/2021,12:38,Barca youngster Alena joins Getafe on loan,"Barcelona midfielder Carles Alena has joined Getafe on loan until the end of the season, the clubs announced on Wednesday.","Getafe, who have dropped to 16th in La Liga, will pay all of Alena's wages as the 23-year-old looks to kickstart his career away from Camp Nou. ""FC Barcelona and Getafe CF have reached an agreement for the loan of the player Carles Alena until the end of the 2020/21 season,"" Barca said in a statement. Alena has long been circled as a potential star of the future after coming through at Barca's La Masia youth academy but he has been unable to establish himself in the first team. He failed to make much of an impression during a loan spell at Real Betis last season and has made only five appearances for Barca this term under new coach Ronald Koeman. The Spaniard scored on his debut in the Copa del Rey in November 2016. ""Alena is a player for the future that has to play,"" said Koeman on Tuesday. ""He has decided to look for an exit."""
1,30/12/2020,21:32,Suarez ensures Atletico top La Liga,Luis Suarez made sure that Atletico Madrid will end 2020 top of La Liga after scoring the only goal in a 1-0 win over Getafe on Wednesday.,"Suarez struck in the 20th minute with a superb header from Yannick Carrasco's cross to take Diego Simeone's side three points ahead of Real Madrid, who are in action at lowly Elche later on Wednesday. Real Sociedad, Sevilla and Villarreal are all a further six points back, with Barcelona 10 points behind Atletico in sixth after their 1-1 draw with Eibar on Tuesday. Even if Madrid win in the late kick-off they will stay behind Atletico thanks to their significantly inferior goal difference, which currently separates teams locked on the same points. Atletico will have also played two fewer matches than their local rivals come the end of the day's fixtures after a win emblematic of Simeone's reign on his 500th match as coach of the club. Thomas Lemar almost opened the scoring in the 15th minute when he crashed a shot off the near post from a tight angle. Suarez gave the hosts the lead with a beautifully placed header that was all the more impressive for the way Carrasco's cross was flashed into a crowded area from midfield. The Uruguayan's eighth goal of the season was a good as it got for Atletico, who despite a fielding a full-strength line-up did not impress in a match of little incident at the Wanda Metropolitano. They failed to take the game by the scruff of the neck against a Getafe team that have scored just 12 times in 15 matches and are 14th, two points above the relegation zone. However Atletico's third win in a row ensures they remain top of the pile after a fraught last few days in which Diego Costa was allowed to leave and Kieran Trippier was banned until the end of February for betting breaches. Earlier Granada moved to within two points of the Champions League places after beating Valencia 2-1 in a fiesty match where three players were sent off in six second-half minutes. Jorge Molina's powerful header two minutes from time keeps Granada in seventh place on 24 points, two behind fourth-placed Sevilla. Granada, who levelled through Kenedy on the stroke of half-time after Kevin Gameiro had opened for Valencia in the 36th minute, are also one point away from Barcelona. Valencia's seventh league defeat of the season leaves them level on 15 points with Real Valladolid, who are third-from-bottom in the relegation zone and earned a point at Cadiz on Tuesday. Javi Gracia's side haven't won a La Liga match in their last seven attempts and had their task made harder when Jason and Goncalo Guedes were sent off within three minutes of each other midway through the second half. Granada's Domingos Duarte was then shown a straight red card three minutes later after he cynically hacked down Manu Vallejo as he attempted to burst through on goal with the scores still level. Molina punished the beleaguered away side by thumping home Alberto Soro's cross."
2,28/12/2020,16:03,Real resume Atletico chase as Messi absent for Barca,Real Madrid will attempt to sign off the year with a sixth win on the bounce as Zinedine Zidane's in-form side continue their pursuit of La Liga leaders and city rivals Atletico Madrid on Wednesday.,"Defending champions Real are level on 32 points with Atletico but have played two games more than Diego Simeone's men ahead of their trip to Elche. Karim Benzema has been the driving force behind Real's excellent December run, claiming key goals in wins over Athletic Bilbao, Eibar and Granada after securing the club a spot in the Champions League knockout phase. Eden Hazard is also in line to feature after recovering from his latest injury setback. The Belgian was an unused substitute in last week's victory over Granada and has made just three league starts this campaign. Real coach Zinedine Zidane hopes the short festive break afforded to his players over Christmas will not interrupt the momentum built over a domestic five-game winning streak. ""We're going to keep working hard. We have an awful lot of games, we should be pleased with what we're doing,"" said Zidane. ""We're going to lose games again, but we're going to try to win as many as possible. From time to time it's inevitable."" Atletico have responded well to the 2-0 defeat by Real earlier this month that snapped their 26-match unbeaten league run. However, the loss of Kieran Trippier is a substantial blow to a defence that has conceded just five goals in 13 matches, easily the fewest in the division. The England defender, an ever-present for Atletico in La Liga and Europe this term, was recently hit with a 10-week ban for breaching betting rules and will be unavailable until March. The club is said to be considering an appeal. Diego Costa has reportedly asked to terminate his contract for family reasons, having just returned from a blood clot that sidelined the Brazil-born Spain international for a month. Joao Felix is expected to return after missing the 2-0 win at Real Sociedad, although the Portuguese star hasn't scored in the league since November 7. Barcelona will bid to end a turbulent 2020 on a winning note at home to Eibar, but Ronald Koeman's side will be without Lionel Messi after the Argentine was granted an extended break as he recovers from an ankle knock. The six-time Ballon d'Or winner admitted his aborted departure in the summer had affected him at the start of the season, but stressed he felt ""excited"" to play under Koeman. ""Barca is my life, I'm in love with the club. And the city, my children were born here,"" Messi said in an interview with Spanish TV channel La Sexta broadcast on Sunday. ""I feel good right now, ready to fight for everything."" The Celta Vigo forward, the leading Spanish scorer in La Liga three of the past four years, has inspired a turnaround at Balaidos after the team won just one of their first 10 matches. The 33-year-old Aspas, who in November became the club's all-time leading scorer in the top flight, has netted eight times in 15 appearances this term and led Celta back into the top half following four wins in five games before Christmas. Much like with Real and Benzema, who is level at the top of the scoring charts with Aspas, Celta's success in 2021 could heavily rely on the former Liverpool attacker. 500 - Diego Simeone will take charge of his 500th match as Atletico boss against Getafe on Wednesday. He has won 300 games since his appointment in December 2011. 35 - Lionel Messi has been involved in more La Liga goals than any other player this year. The Argentine has scored 19 times and provided 16 assists. 9 - the number of games without a win for Real Sociedad across all competitions. Two weeks ago the Basques held top spot, but three successive defeats have dropped Imanol Alguacil's side six points off the pace."
3,17/10/2020,23:12,"Barcelona, Real Madrid both lose ahead of Clasico",Real Madrid and Barcelona will each head into the Clasico next weekend on the back of a defeat after La Liga's two title favourites were punished for slack performances on Saturday.,"Zinedine Zidane made four substitutions at half-time but could not spark a lethargic Madrid into life as his team fell 1-0 at home to newly-promoted Cadiz. Then two hours later on the opposite side of the city, Ronald Koeman tasted his first competitive loss as coach of Barcelona as they followed Madrid's example by being beaten 1-0 by Getafe at the Coliseum Alfonso Perez. Madrid's was perhaps the more concerning display, the reigning champions managing just two shots on target against Cadiz, who could have scored more after Anthony Lozano's early strike. But Barca were not much better, with Lionel Messi strangely quiet and the team failing to rebound after Jaime Mata's penalty gave Getafe the lead in the second half. For Madrid, there was an injury concern too as Sergio Ramos spent the second half in the stands with ice strapped around his left knee. Madrid said the injury was not serious but it puts in doubt Ramos' involvement in their first Champions League game against Shakhtar Donetsk on Wednesday, as well the Clasico three days later. ""Hopefully it's minor, said Zidane. ""Tomorrow we'll see what he has done."" A prolonged absence for Ramos would cap a deflating night for the champions, whose dreary display certainly hands an early boost to their title rivals. Even if Barcelona were unable to capitalise, Atletico Madrid had earlier beaten Celta Vigo 2-0, with Luis Suarez opening the scoring at Balaidos. ""There is no explanation,"" said Zidane. ""If they scored two or three goals in the first half, we couldn't have complained. There are no excuses."" This is Cadiz's first season in the top flight in 14 years and their first victory over Real Madrid in 29. Their reward is second place in the table, denied top spot by their opponents only due to goal difference. Isco, Luka Modric and Lucas Vazquez were the other three players to be hauled off by Zidane, who was reacting to a particularly poor display from his side in the first half. Eder Militao, Casemiro, Fede Valverde and Marco Asensio came on while a surprised-looking Toni Kroos also departed in the second period, replaced by Luka Jovic. But Cadiz could have been three up in the first quarter of an hour as Ramos prevented Alvaro Negredo's finish from rolling in before Negredo created the opener. His cushioned header put through Lozano, who skipped beyond Madrid's sleepy defence and poked over the onrushing Thibaut Courtois. Madrid might have equalised in the second half as Vinicius Junior headed wide of an open goal and Karim Benzema rattled the crossbar with a long-range shot. But Cadiz were not overly troubled. Getafe were never really hanging on either, even if Barcelona went close to an equaliser, Messi hitting the post and then driving a loose ball wide in injury-time. Antoine Griezmann also ballooned over when put through in the first half. Getafe's Cucho Hernandez also hit the bar after a clumsy challenge from Frenkie de Jong on Djene Dakonham gave Mata his chance. Earlier, Suarez partnered Diego Costa for the first time and scored as Atletico Madrid beat struggling Celta Vigo. But the Suarez-Costa combination came to an early end as Costa was forced off injured in the second half. ""I liked the mix of the two,"" said Diego Simeone. ""Their characteristics mean they can play together. They give us strength and presence and personality in the penalty area. It's one of the options the team has."" Sitting in the stands, Costa was seen with his face in his hands and he seems likely now to miss Atletico's Champions League opener at Bayern Munich on Wednesday. Suarez had earlier finished off a sweeping move down the left before Yannick Carrasco made sure of the victory in injury-time, heading in after Joao Felix's effort came back off the crossbar. There was also a debut for Lucas Torreira, the Uruguayan signed on loan from Arsenal, who was energetic and tidy in central midfield, despite feeling some cramp late on. Atletico climb to fourth, two points behind Real Madrid and one ahead of Barcelona. Celta, meanwhile, have managed only one win from their first six games and sit 13th."
4,21/09/2020,15:00,"African players in Europe: Mane, Zaha two-goal stars",Senegalese Sadio Mane and Ivorian international Wilfried Zaha were two-goal stars for Liverpool and Crystal Palace respectively in the English Premier League at the weekend.,"Mane punished 10-man Chelsea by scoring twice within four minutes soon after half-time to give defending champions Liverpool a 2-0 victory at Stamford Bridge. Zaha converted a penalty and scored again to assure Palace of a shock 3-1 triumph at Old Trafford over Manchester United, his former club. SADIO MANE (Liverpool) The Senegal forward tormented Chelsea as he triggered Andreas Christensen's red card and then scored twice in the champions' win. With a tight clash goalless heading into first half stoppage-time, Mane raced onto Jordan Henderson's pass and was pulled down by Christensen, who was initially booked before the decision was changed to a red card. Mane made sure Liverpool took advantage of their numerical superiority with a 50th-minute header from Roberto Firmino's cross. He followed his first goal of the season with his second four minutes later, this one a gift as he seized a wayward pass from Chelsea goalkeeper Kepa Arrizabalaga and slotted into the empty net. WILFRIED ZAHA (Crystal Palace) The Ivory Coast forward returned to haunt Manchester United as his double fired Palace to a shock win. Zaha had a difficult spell with United between 2013 and 2015 before rejoining Palace, where he is fulfilling his vast potential. The 27-year-old showed why Palace are so keen to keep him out of the clutches of a host of admiring clubs as he calmly converted a 74th-minute penalty and then killed off United with a fine finish five minutes from full-time. SAMUEL CHUKWUEZE (Villarreal) The young Nigerian midfielder provided an assist to help Villarreal come from behind and beat Eibar 2-1 in La Liga. A fine cross from Chukwueze midway through the second half enabled Gerard Moreno to equalise. DAKONAM DJENE/ALLAN NYOM (Getafe) Togolese centre-back Djene and Cameroon midfielder Nyom played the full 90 minutes for Getafe in a 1-0 home win over Osasuna in their first outing of the season. Jaime Mata scored the only goal nine minutes into the second half. VICTOR OSIMHEN (Napoli) Nigerian international Osimhen came off the bench after an hour for his Napoli debut to trigger the two goals in a 2-0 win over Parma. Three minutes after his introduction, the 21-year-old was involved in the opener from Dries Mertens, with Lorenzo Insigne adding a second a quarter of an hour later. ""Osimhen has an extra gear,"" said coach Gennaro Gattuso of the player Napoli paid Lille a club record 80 million euros ($94.6 mn) for. ""He's a serious lad who does not forget where he comes from. He lost his parents as a child... he is a young man with the head of a 40-year-old."" MEHDI BOURABIA (Sassuolo) Morocco international midfielder Bourabia came on after 62 minutes and equalised three minutes from time with his free-kick salvaging a point for hosts Sassuolo in a 1-1 draw against Cagliari. It was a rare league goal for the 29-year-old, who now has three in as many seasons with the club. CEBIO SOUKOU (Arminia Bielefeld) The Bochum-born winger, who debuted for Benin last year, gave promoted Bielefeld a shock lead at Eintracht Frankfurt in a 1-1 draw. The 27-year-old sprinted to the ball in the area and lifted his shot over Germany goalkeeper Kevin Trapp with an hour gone. SILAS WAMANGITUKA (VfB Stuttgart) The 20-year-old Democratic Republic of Congo forward netted Stuttgart's second goal, but their late fightback was not enough to avoid a 3-2 home loss to Freiburg on their return to the Bundesliga. Wamangituka fired into the bottom corner on 81 minutes. RAMY BENSEBAINI (Borussia Moenchengladbach) The Algeria defender clipped the ankle of 17-year-old United States junior international Giovanni Reyna to concede a penalty in Moenchengladbach's 3-0 loss at Borussia Dortmund. Erling Braut Haaland converted the penalty. AMADOU HAIDARA (RB Leipzig) The Mali international scored Leipzig's third goal in a 3-1 home win over Mainz, sweeping the ball home from point-blank range just three minutes after the visitors had halved a two-goal deficit. The Haidara goal was the decisive final act in a swashbuckling attacking performance from Leipzig. ANDY DELORT (Montpellier) Algeria forward Delort scored just before half-time and again on the hour mark as Montpellier trounced visiting Angers 4-1 to lie third in Ligue 1, one point behind Saint-Etienne and Rennes. IBRAHIMA NIANE (Metz) Metz ended a run of three losses since the season kicked off by winning 2-1 at home to Reims thanks to a brace from Senegalese Ibrahima Niane. He opened the scoring on 18 minutes and snatched the winner with two minutes of regular time remaining."
5,05/08/2020,23:03,"United, Inter reach Europa League last eight",Manchester United edged LASK 2-1 and Inter Milan beat Getafe 2-0 on Wednesday in rescheduled ties due to the coronavirus pandemic to clinch places in the quarter finals of the Europa League.,"United had a 5-0 lead from their first leg played in March and will face Copenhagen who enjoyed a 3-0 victory on the night over Istanbul Basaksehir. Antonio Conte's Inter Milan will face either Steven Gerrard's Rangers or Bayer Leverkusen with the Germans holding a 3-1 lead going into Thursday's match. Despite United's comfortable lead from March 12's first leg the visitors caused problems early on. Andres Andrade hit the crossbar with a powerful header after 10 minutes at an almost empty Old Trafford before Peter Michorl fired wide just after the quarter of an hour mark. The Linz-based outfit had to wait until the second half to break the deadlock as defender Philipp Wiesinger rifled into the top corner from outside the box after 55 minutes. Their celebrations were shortlived as Jesse Lingard equalised on the counter attack for United three minutes later. Anthony Martial claimed the match-winner with two minutes to go despite LASK goalkpeer Alexander Schlager getting a foot to the France striker's shot. Inter's meeting with the La Liga side was played over just one leg in Gelsenkirchen to save time ahead of next week's last eight to be held in Germany. They advanced to the next round as Romelu Lukaku became the club's first player to score in five straight European appearances since Brazilian striker Adriano in 2004. Lukaku slotted home after Alessandro Bastoni's long ball after 33 minutes. The Spaniards were given a chance to take the game to penalties with 25 minutes remaining as VAR said Diego Godin had handballed in his own box but veteran cente-forward Jorge Molina missed the resulting penalty. Christian Eriksen made sure of Inter's spot after 84 minutes with his first touch after Dakonam Djene made a mess of a clearance inside his own area. Elsewhere, 2009 champions Shakhtar Donetsk booked a last eight spot against Basel or Eintracht Frankfurt after three goals within the closing four minutes clinched a 3-0 win over Wolfsburg. On Thursday Rangers head to Leverkusen, Wolves host Olympiakos, and Sevilla face Roma in Duisburg."
6,30/06/2020,00:13,Jaime Mata double revives Getafe Champions League bid,Jaime Mata scored twice as Getafe beat fellow European hopefuls Real Sociedad 2-1 on Monday to give their push for Champions League qualification from La Liga a boost.,"Getafe had seen their top-four bid hit by a four-game winless run since the league restarted following the coronavirus pandemic, but they moved back to within two points of fourth-placed Sevilla. Sociedad, who were in the Champions League places before the COVID-19 lockdown, have picked up just one point from a possible 15 since and are now seven points adrift in seventh. Sevilla's 1-1 draw with Real Valladolid on Friday had given Getafe a chance of narrowing the gap, and they took a 20th-minute lead through Mata's penalty. Former Manchester United winger Adnan Januzaj levelled for visitors Sociedad 10 minutes after the break with his third league goal of the season. But Mata had the final word with seven minutes remaining as he latched onto Jorge Molina's quick throw-in and poked a low finish into the net from the tightest of angles to send Getafe back into fifth. Sixth-placed Villarreal remain in the Champions League hunt though, just one point further back."
7,20/06/2020,22:10,Getafe stumble again in race for top four,Getafe's hopes of finishing in La Liga's top four took another knock on Saturday as their disappointing return from the three-month suspension continued with a 1-1 draw at home to Eibar.,"Peter Etebo's smart finish put Getafe in front at the Coliseum Alfonso Perez before Eibar's Charles equalised from close range on the stroke of half-time. Eibar might even have snatched victory, only to have a late goal from Pedro Bigas ruled out for offside. Getafe have now taken just two points from three games since the restart, with Atletico Madrid primed to take advantage when they host struggling Real Valladolid later on Saturday. Victory for Atletico would send them four points ahead of Getafe and five clear of Real Sociedad, who have also lost momentum and face Real Madrid on Sunday. ""It's clear we needed to win to give us a boost,"" said Getafe's Jaime Mata. ""It would have kickstarted us after the break but we have to keep fighting until we get that win. People say our ambitions are too high but we are going to keep fighting."" Getafe are punching above their weight towards the top of the table, having enjoyed a remarkable four years under coach Jose Bordalas. They were only promoted to the top tier in 2017 and missed out on Champions League qualification on the final day last year, edged out by Valencia. But their challenge may not extend so far this term given this draw followed a stalemate at home to struggling Espanyol and defeat by newly-promoted Granada. It contributes to a more prolonged dip in form that has included only two wins in nine. Eibar are without a victory themselves in five matches but this was a valuable point that gives them something to build on in their battle to avoid relegation. They sit 16th, three points above the bottom three. With their coach Jose Luis Mendilibar serving a touchline ban, Eibar fell behind after half an hour when Marc Cucurella's deep cross was volleyed back in by Angel Rodriguez and Etebo steered the ball first time into the corner. But Eibar responded and when Getafe's defence failed to push out together after a botched Eibar free-kick, Bigas was left free to nod across to Charles, who had a simple finish. Neither team really deserved to win it in the second half but Eibar thought they had when Pape Diop's cross grazed the top of Bigas' head and bounced in. But Bigas had strayed just offside and Eibar had to settle for a point. Earlier, Espanyol were beaten 3-1 at home by Levante, a blow to their morale after they resumed with an impressive win over Alaves and hard-fought draw against Getafe. Espanyol stay bottom, three points adrift of safety. Athletic Bilbao climbed to ninth after Inigo Martinez's flicked finish was enough to beat Real Betis 1-0. Betis' Sergio Canales missed an 85th-minute penalty in the defeat, which leaves coach Rubi on the brink of the sack."
8,16/06/2020,22:23,Getafe's Champions League charge falters with Espanyol stalemate,Getafe dropped more points in the race for Champions League qualification on Tuesday after they failed to break down struggling Espanyol despite their opponents playing most of the 0-0 draw with 10 men.,"The stalemate represents a missed opportunity for Jose Bordalas' side and they could even have lost to Espanyol, who are building momentum after returning from the three-month suspension due to the coronavirus pandemic. Getafe stay fifth, level on points with fourth-placed Real Sociedad, who will play their game in hand away at Alaves on Thursday. Getafe could also be overtaken if Atletico Madrid win on Wednesday against Osasuna. Espanyol move to within two points of safety and after resuming with a 2-0 victory over Alaves on Saturday, their point against a top-four hopeful will be welcome. They will particularly satisfied given their defender Bernardo Espinosa was sent off in the 16th minute for throwing his hand into the face of Damian Suarez. Espanyol coach Abelardo Fernandez hurled a bottle down in frustration but his team rallied and were never really made to feel uncomfortable by Getafe, who managed only four shots on target. Their best chance came in stoppage time but Espanyol's goalkeeper Diego Lopez made an excellent double save, denying Angel Rodriguez's header and then the follow-up from Marc Cucurella. Getafe have now won just once in their last six games. ""You have to say it is a slip-up,"" said Getafe goalkeeper David Soria afterwards. ""We were with an extra player for a long time and perhaps a little bit of anxiety creeps in when you have an extra man. You rush your chances and maybe that played a part. It's true, we're not on a good run."" Elsewhere, Villarreal stayed in the hunt for the European places by beating Real Mallorca 1-0. Carlos Bacca's early finish leaves Villarreal seventh, three points from fourth. Mallorca remain 18th."
9,13/06/2020,00:19,Valencia and Getafe stumble in La Liga race for top four,Ten-man Levante scored a 98th-minute penalty on Friday to snatch a 1-1 draw against Valencia as La Liga completed its second day of fixtures since its return from the coronavirus suspension.,"It was a miserable night for the league's top-four hopefuls as Granada also came from behind to beat Getafe 2-1, meaning Atletico Madrid and Real Sociedad have the chance to capitalise on Sunday. Valencia looked to have grabbed a later winner themselves at an empty Mestalla when Rodrigo Moreno diverted in at the near post in the 89th minute. But Mouctar Diakhaby pulled down Ruben Vezo deep into injury-time and Gonzalo Melero made no mistake, equalising for Levante from the spot. The visitors also had Roger Marti sent off for a second yellow card in the 74th minute. Granada, also playing behind closed doors at Los Carmenes, scored in the 70th and 79th minutes as a Djene Dakonam own-goal and Carlos Fernandez's finish wiped out Getafe's lead, given to them in the first half by David Timor. Defeat means Getafe stay fifth, handing Atletico the chance to overtake them if they can win away at Athletic Bilbao on Sunday. Valencia remain seventh, three points of adrift of Real Sociedad, who are at home on Sunday to Osasuna. Granada, who were only promoted last season, move up to eighth, with the Europa League places now in sight while Levante edge up to 12th. La Liga became the second of Europe's five major leagues after the German Bundesliga to resume on Thursday, when Sevilla overcame Real Betis 2-0 in the division's first match since March 10. League leaders Barcelona play away at Real Mallorca on Saturday before Real Madrid, two points behind in second, return at home to Eibar on Sunday."
