,date,hour,title,subtitle,text
0,21/01/2021,16:45,Portugal's Paulo Sousa named new Poland coach,"Poland will be coached by former Portuguese international and Bordeaux coach Paulo Sousa at the delayed Euro 2020 finals this year, the head of the country's football federation (PZPN) said on Thursday.","""I'm very honoured and proud to become the coach of the Polish national football team,"" Sousa said in a video message played during a press conference by PZPN president Zbigniew Boniek on Polish television. ""Poland is a country of football and I am sure with your enthusiasm, giving us the strength and support and belief of the national football team, together we will be able to fight for the next European championships."" Sousa, 50, will replace Jerzy Brzeczek, whose dismissal was announced this week, a decision that came as a surprise as he helped the team qualify for Euro 2020, delayed until this year because of the coronavirus pandemic. Brzeczek had been in charge since July 2018 and had extended his contract in November. But Boniek said there was ""discouragement"" in the team under the 49-year-old Brzeczek, adding: ""With this format, the team could not move forward"". Sousa, a Champions League winner with Juventus and Borussia Dortmund as a player, left French Ligue 1 club Bordeaux last year after overseeing a disappointing 2019-2020 season in which Bordeaux finished 12th. bo-dt//gj <org>BORUSSIA DORTMUND</org> <org>JUVENTUS FOOTBALL CLUB</org>"
1,17/01/2021,23:44,Metz end Lyon's run as PSG take Ligue 1 lead,Lyon slumped to a shock 1-0 home defeat to Metz on Sunday that ended a long unbeaten run and allowed Paris Saint-Germain to stay top of Ligue 1.,"Rudi Garcia's side had come into Sunday's late match on the back of 16 league games without defeat, knowing that a win would have put them back in the lead of France's top flight. However Aaron Leya Iseka struck in the final minute to snatch the points for resilient Metz, who had to withstand a second-half onslaught before finally prevailing and moving ninth. ""We pushed, they pushed, and we were rewarded for our efforts. We knew that we would have little of the ball and that we would have to counter well, and that's what we did,"" said Belgian Leya Iseka. The loss leaves Lyon third, two points behind PSG and Lille, whose own late goal from Jonathan David secured a 2-1 win over Reims. Lyon should have taken the lead six minutes before the break when Karl Toko Ekambi was fed by Tintotenda Kadewere on a breakaway attack. Cameroonian Ekambi, who had forced a good save from Alexandre Oukidja three minutes earlier, successfully cut inside to fashion himself a shooting opportunity but could only blast over. Three minutes later Metz twice came close to taking a shock lead, first hitting the post following a Farid Boulaya cross before Marcelo charged back to block Lamine Gueye's shot on the line. With 16 minutes remaining Ekambi slammed home what he thought was the opener when the ball fell to him after fine play between Memphis Depay and Thiago Mendes. However after a long VAR review the goal was ruled out for Houssem Aouar straying offside when Mendes shot and then pressuring Metz defender Fabien Centonze, who had nodded the ball out to Ekambi. Islam Slimani had the perfect chance to win the match with seven minutes left of his Lyon debut but he shanked his shot, and Oukidja then did brilliant to keep out Aouar's close range effort after fine work from Memphis Depay. That allowed Leya Iseka to claim a shock win for Metz. Earlier David pounced in the first minute of stoppage for Lille to tap home after Xeka's powerful low drive was spilled by Reims goalkeeper Predrag Rajkovic to put Lille on 42 points, equal with champions PSG. Jonathan Bamba's long-range leveller two minutes after the break gave Lille a chance to snatch the win after Arber Zeneli had given Reims a 35th-minute lead with a cross that bamboozled home stopper Mike Maignan. Monaco are six points off the lead in fourth after Wissam Ben Yedder's brace gave them a 3-2 win over Montpellier on Friday. The Principality club are level on 36 points with fifth-placed Rennes, who earlier on Sunday fought back from going a goal down after just three minutes at Brest to win 2-1. Saint-Etienne are just four points above the relegation zone after a 1-0 defeat at Strasbourg. The 10-time French champions are 16th and winless in five league matches thanks in part to a missed 10th-minute penalty from Ryad Boudebouz. Ludovic Ajorque scored the winner for the team from Alsace just before the half-hour mark. Nantes are hovering above the drop zone after drawing 1-1 at home with Lens, with Gael Kakuta's 81st-minute leveller for the away side denying Raymond Domenech a first win in charge of the hosts. The former France coach has guided Nantes to three straight draws since his much-derided appointment last month, with his team battling a run of games without a win that stretches back to early November. Bordeaux strolled to a thumping 3-0 win at Nice, who are also without a win in five."
2,01/11/2020,19:14,Volland off the mark as Monaco thump Bordeaux,Germany international Kevin Volland scored his first goals for Monaco since joining the club in September as Niko Kovac's side thrashed Bordeaux 4-0 in Ligue 1 on Sunday.,"Monaco struck three times in as many minutes through Wissam Ben Yedder, Gelson Martins and Volland in the first half to take control at the Stade Louis II. Volland then grabbed another in the second half as Monaco won for just the second time in six matches to climb up to seventh place. France forward Ben Yedder crashed home a spot-kick on 27 minutes after his header was handled by Pablo, with a penalty awarded despite the ball looping over Benoit Costil and into the net following the deflection. Martins grabbed his first goal since serving a six-month ban for pushing a referee last season when he lunged at the far post to poke in a Ruben Aguilar cross. And former Bayer Leverkusen forward Volland promptly headed in from a Ben Yedder delivery to end his drought following his 11 million-euro ($13 million) move from Germany. The 28-year-old tapped in a second on 57 minutes as Martins slid the ball across goal for his unmarked team-mate. Nice moved up to fourth as Patrick Vieira's team extended their unbeaten domestic run to five games with a 3-0 victory at Angers. Rony Lopes put Nice ahead on 11 minutes and Pierre Lees-Melou added a second from the spot. Hicham Boudaoui came off the bench to net a third as Nice stayed four points behind leaders Paris Saint-Germain. Metz continued their fine recent form with a 1-0 win at Nimes while Montpellier defeated Saint-Etienne by the same scoreline courtesy of a goal from Englishman Stephy Mavididi. Reims beat Strasbourg 2-1 while Dijon remain the only team without a victory following a goalless draw at home to Lorient. Lille put their undefeated record on the line in Sunday's late game when they host a resurgent Lyon. Christophe Galtier's Lille have won five and drawn three of their opening eight games. They could go back level on points with PSG at the top with victory."
3,21/08/2020,21:25,Marseille confirm fifth COVID-19 case as Ligue 1 starts under virus cloud,"Marseille have found a fifth asymptomatic case of coronavirus in their squad, a club spokesperson told AFP on Friday, on the same day the new French Ligue 1 season kicked-off under an increasingly darkening COVID-19 cloud.","Andre Villas Boas' squad had been scheduled to open the French season later in the day at home to Saint-Etienne but the game was cancelled after the four earlier positive tests. The club have not revealed the names of the players but said they are in isolation at home. The rest of the Marseille squad were given the weekend off ahead of next Sunday's game at Brest. Hours later, Saint-Etienne said one of their players had also tested positive. Nantes' trip to Bordeaux was moved from Saturday to replace the season-opening fixture at the Velodrome. It proved little comfort as the game, the first in the competition in 166 days following the coronavirus lockdown and played behind closed doors, ended in a tame 0-0 draw. Nantes had a one-man advantage for more than an hour after a 20th-minute red card for Mehdi Zerkane. The Bordeaux player was punished after a VAR consultation for an ugly lunge into the leg of Nicolas Pallois. Earlier on Friday, Nice coach Patrick Vieira said he was concerned about the impact two coronavirus cases could have on his club. Nice said a pair of players had been held out of training and placed in quarantine after contracting the virus. ""I felt on the pitch the rest of the squad is worried. I am too, for the match against Lens on Sunday and for what happens next,"" Vieira told a press conference. ""It complicates the planning. We'll have to put up with it and be very responsible at home."" Newly-promoted Lens are awaiting the results of further tests after defender Jonathan Clauss returned a positive sample earlier in the week. ""I hope we will play. If we start by postponing the first weekend, we'll get nowhere,"" said Lens boss Franck Haise. ""I think we need to play as much as we can when it's possible otherwise we're going to finish the season in 2023."" Meanwhile, Nimes announced a fourth coronavirus case within their squad putting Sunday's fixture against Brest at risk. ""I hope we can play it, I think we can play it,"" the southern side's coach Jerome Arpinon said. According to a club source captain Anthony Briancon and striker Nolan Roux are among those to have tested positive for the illness. Brest also recorded a case, saying the individual had been placed in isolation while the rest of the squad and the coaching staff have tested negative. A 57-page medical and health protocol set up by the French league is designed to limit stoppages and reduce contamination as much as possible. Players will be tested two to three days before each match and a game will be postponed as soon as four cases are found at the same club within an eight-day period."
4,10/08/2020,17:20,Bordeaux bring back Jean-Louis Gasset as new coach,French Ligue 1 club Bordeaux appointed veteran French coach Jean-Louis Gasset on a two-year deal after parting ways earlier Monday with Paulo Sousa.,"Gasset was assistant to Laurent Blanc when Bordeaux won the French top flight in 2009. Gasset, 66, was also head coach at Montpellier in 2017 then at Saint Etienne 2017-2019. ""The chance to return to a club where I experienced so many great moments makes me extremely happy,"" Gasset said. The club also announced the return of former player Alain Roche as director of football. Sousa oversaw a disappointing 2019-2020 season when Bordeaux finished 12th after the campaign was halted as coronavirus spread across Europe, and later declared over."
5,06/07/2020,12:36,One coronavirus case at Ligue 1 club Bordeaux,French club Bordeaux announced on Monday a squad member had tested positive for coronavirus but his name had been kept private for medical confidentiality reasons.,"The first tests carried out when the players originally returned to training on June 22 all showed up negative. ""After becoming aware of the result, the player concerned was isolated and placed in quarantine,"" a statement said. ""The club remain vigilant and continue to attentively monitor the players and staff,"" it added. Other Ligue 1 sides, 2017 champions Monaco, Montpellier and Dijon, have also said they have recorded positive cases over the past few weeks. Former Portugal midfielder Paulo Sousa resigned as Bordeaux coach last week after over a year in charge and leading them to a modest 12th place as the season was declared over early due to the COVID-19 outbreak."
6,09/03/2020,14:50,"African players in Europe: Salah, Mane rescue Liverpool","Mohamed Salah and Sadio Mane were the African stars in Europe at the weekend, with both scoring as Premier League leaders Liverpool snapped a mini all-competitions slump by beating Bournemouth 2-1 at Anfield.","Reigning African Footballer of the Year Mane netted the winner after Salah cancelled out an early opener for the relegation-threatened visitors. In Germany, Moroccan Achraf Hakimi grabbed the decisive goal for Bundesliga title challengers Borussia Dortmund in a 2-1 victory over Borussia Moenchengladbach. SADIO MANE/MOHAMED SALAH (Liverpool) Mane and Salah got Liverpool back to winning ways with both on target in a 2-1 win over Bournemouth. Egyptian Salah marked his 100th Premier League game for the Reds with his 70th goal courtesy of a trademark low left-foot finish from Mane's pass. The Senegalese then calmly slotted home his 18th goal of the season to move Liverpool to within six points of the title. JORDAN AYEW (Crystal Palace) Ayew's blistering strike from outside the area earned Palace a 1-0 win over Watford and ensured the Ghana international his best goal tally for a Premier League season with eight. ACHRAF HAKIMI (Borussia Dortmund) Hakimi was crucial for Borussia Dortmund against Borussia Moenchengladbach, scoring the winner in a 2-1 victory that kept his side in touch with Bundesliga leaders Bayern Munich. He was in the right place at the right time to collect Jadon Sancho's assist and guide the ball past Yann Sommer in the 71st minute. It was his third Bundesliga goal of the season as Dortmund moved within four points of Bayern. AMINE HARIT (Schalke) Harit came off the bench in Schalke's 1-1 home draw against Hoffenheim as the Royal Blues went for a killer blow. While his speed was noticeable against a tiring Hoffenheim defence, he was unable to add to his six goals or four assists this season. JOSH MAJA (BORDEAUX) England-born Nigerian international Maja scored his eighth goal of the season as Bordeaux drew 1-1 at Saint-Etienne. The 21-year-old former Sunderland forward met a loose ball inside the box to fire a low shot into the net. JOHN BOYE (METZ) The experienced Ghana centre-back scored a late winner as Metz claimed a crucial 2-1 win over struggling Nimes to move seven points clear of the Ligue 1 bottom three. The 32-year-old Boye, capped 67 times by Ghana, netted in the 81st minute, having also scored the winner against Strasbourg in January."
7,24/02/2020,00:16,Neymar sent off as PSG beat Bordeaux in seven-goal thriller,"Edinson Cavani scored his 200th Paris Saint-Germain goal and Marquinhos netted twice as the Ligue 1 leaders bounced back from their Champions League defeat by Borussia Dortmund to beat Bordeaux 4-3 on Sunday, but their victory was marred by Neymar's late sending-off.","After losing 2-1 in Germany in their Champions League last 16 first leg in midweek, PSG's defensive weaknesses were again exposed as South Korean international Hwang Ui-jo gave Bordeaux the lead at the Parc des Princes. PSG turned it around thanks to goals by Cavani and Kylian Mbappe either side of a Marquinhos brace, but at the other end there was a bizarre goal credited to the Brazilian defender Pablo and a Ruben Pardo strike had the home side hanging on at the finish. The evening concluded with Neymar being sent off in stoppage time for a second yellow card for grappling with Bordeaux's Yacine Adli, leaving the world's most expensive player facing a suspension. Along with the shortcomings at the back, it is another problem for coach Thomas Tuchel to think about, even if his team are now 13 points clear atop Ligue 1 from Marseille, who lost 3-1 to Nantes on Saturday. ""He is human too and he was angry. The guy who fouled him just before was not even booked, so it was a bit bizarre,"" said Tuchel of Neymar's sending-off. ""We have let in seven goals in the last two league games and that is not normal. It is difficult to get back confidence, but the best thing for us was to win. That gives us a base to build on."" Another domestic title has looked inevitable for some time, although it will all feel rather hollow should the Qatar-owned club fail to turn around the Dortmund tie when the sides meet again on March 11. Tuchel came in for criticism after Tuesday's game, including veiled criticism from Neymar over the handling of his latest injury. Tuchel also admitted he was less than impressed at his squad after videos appeared on social media of them out partying on Thursday night to celebrate the birthdays of Cavani, Angel di Maria and Mauro Icardi. A banner at one end of the Parc des Princes on Sunday asked the players if they ""deserved to wear the colours. Find out on March 11"". They endured a bad start against mid-table Bordeaux, with skipper Thiago Silva going off hurt just before Hwang put the away side in front on 18 minutes, heading in a corner for his sixth Ligue 1 goal. PSG were level in the 25th minute, though, as Di Maria's cross was headed in by Cavani, allowing the Uruguayan to reach a double century of PSG goals. He then hit the post from close range before Marquinhos put Paris in front in first-half stoppage time, using his shoulder to covert Di Maria's free-kick. Nevertheless, there was still time for Bordeaux to equalise at 2-2 before the interval. Selected ahead of Keylor Navas in goal, Sergio Rico's clearance from a Marco Verratti back-pass struck Pablo and the Spaniard looked on in horror as the ball ricocheted back into the net. However, Marquinhos netted from close range for his second of the night in the 63rd minute to make it 3-2. Then, when Ruben Pardo lost possession, Cavani set up Mbappe to score PSG's fourth, and his 16th in the league this season. Pardo made some amends with a stunning strike for Bordeaux's third, and the ninth goal Paris have conceded in three games altogether. Icardi then had another goal disallowed before Neymar was sent off for his second yellow at the death. ""They have had quite a difficult week in terms of results and their confidence has taken a knock too,"" said Bordeaux's Laurent Koscielny of PSG. ""When you lose points and games then your confidence can quickly disappear but they are great players and they are capable of overcoming that."" Earlier on Sunday, Rennes reclaimed third place from Lille by coming from behind to beat Nimes 2-1 as M'Baye Niang scored twice."
8,21/02/2020,14:09,Distracted PSG seek to rouse themselves against Bordeaux,"Paris Saint-Germain go into Sunday's home game with Bordeaux with a comfortable 10-point lead in Ligue 1, but life has been anything but comfortable for the French champions over the last week.","Club president Nasser Al-Khelaifi was indicted on Thursday in a Swiss corruption investigation, which does not directly involve PSG but is, however it turns out, a distraction. Meanwhile, the future commitment of the club's star striker is again in doubt, after Lionel Messi said in an interview published in Spain on Thursday that Neymar ""really wants to return to Barcelona"". On the field, PSG threw away points in their last league match with a bizarre 4-4 draw at Amiens last Saturday. PSG fell behind 3-0, fought back with four goals in 29 minutes and then conceded an equaliser in added time. Perhaps that distracted display could be excused because the club was facing a much more meaningful test on Tuesday away to Borussia Dortmund in the Champions League. It is a competition the squad has been built to win, but they have lost in the first knockout round the last three seasons. ""This is not life or death, it's a game of football,"" Sporting director Leonardo said before the match. Yet the reactions after PSG lost, 2-1, their first defeat in any competition since losing in the league at Dijon on November 1, suggested not everyone agreed with Leonardo. Coach Thomas Tuchel rested Neymar for the two Ligue 1 outings in the run-up to Tuesday and, while he scored in Dortmund, the Brazilian complained after the game. ""I understand the club's fear, because I missed the last 16 in each of the last two years,"" he said. ""I respect the decisions, but it can't be that way, because it is the player who ends up suffering."" ""It was very difficult to play a game of that intensity,"" he added. ""If I were in a better condition physically then I definitely would have played better."" Neymar seemed to have discovered his intensity and rhythm by Thursday night. Videos showed him dancing topless at a party to celebrate the birthdays of team-mates d'Angel Di Maria, Mauro Icardi and Edinson Cavani. Dortmund do not visit Paris until March 11. Next Wednesday PSG face old enemies Lyon in a French Cup semi-final. Bordeaux are unbeaten in their last five games, but three of those were draws and they are trudging along in mid-table. The question is whether they present enough of a challenge to force PSG to rediscover their intensity or will they give another distracted display? Toulouse need a miracle. Their captain is their best hope, and he knows it. Toulouse are eight points adrift of Amiens and 13 points away from 18th and potential safety as they travel to fourth-place Lille on Saturday evening. The 32-year-old Ivorian came off the bench after two months out with 25 minutes left and Toulouse down a goal and a man against Nice. The hosts had a second man sent off, but Gradel still won a 90th minute penalty, which Aaron Leya Iseka missed and Nice added a second goal. ""If I didn't really believe in the game, I wouldn't have taken the risk of coming back so quickly,"" said Gradel, whose four goals this season make him joint-leading scorer at the club. ""If we saves ourselves, it will be all of us together,"" he said. ""Nobody believes in us, but we have to take it as a challenge, and for me it's this kind of battle that motivates me."" ""I'm a leader, I'm the captain and I'm going to do everything I can to be decisive."" He needs to start at Lille, the last team Toulouse beat, way back on October 19. 21: Matches since Toulouse last won away, on January 19 last year at Nimes 0: Red cards PSG and Bordeaux have between them in the league 36: Number of shots Marseille has allowed in their last three league games while conceding just one goal Fixtures (all times GMT)"
9,26/01/2020,19:09,Toko Ekambi scores on Lyon debut as clubs remember Sala,"Karl Toko Ekambi scored on his Lyon debut Sunday in a 3-0 victory over bottom club Toulouse while Nantes and Bordeaux paid tribute to their former striker Emiliano Sala, a year after his death in a plane crash.","Ivory Coast international Maxwel Cornet opened the scoring on the half-hour for Lyon before Moussa Dembele prodded in a second on 71 minutes at Groupama Stadium. Cameroon striker Toko Ekambi, who joined on loan this week from Villarreal until the end of the season, sealed the victory six minutes later as Lyon climbed up to fifth in Ligue 1. Toko Ekambi came on as a first-half substitute after a scary incident involving France Under-21 forward Martin Terrier. Terrier was stretchered off after fainting on the pitch, but Lyon said at half-time that the player had regained consciousness. Sixteen-year-old Rayan Cherki also made a brief appearance off the bench, having scored twice and provided two assists in a 4-3 French Cup win over Nantes last weekend. Nantes and Bordeaux honoured Argentine forward Sala before an emotional Derby de l'Atlantique at the Stade de la Beaujoire. Bordeaux won 1-0 courtesy of a late goal by Jimmy Briand as Nantes played most the second half with 10 men after the dismissal of Andrei Girotto. The 28-year-old Sala was killed last January when the small plane taking him to join Cardiff City after being bought from Nantes for £15 million ($19.5 million, 17.6 million euros) crashed off the Channel island of Guernsey. Nantes wore a special white and pale blue shirt inspired by Argentina while Bordeaux's kit featured an Argentine flag beneath the club crest flanked by the player's initials. Proceeds from the sales of the strips will go to the two Argentine clubs Sala played for in his youth. A portrait of Sala was also displayed in the centre circle during the warm-up and there was a minute's applause ahead of kick-off. Supporters laid flowers outside the ground and broke out into a song commemorating Sala in the ninth minute, representing the shirt number worn by the player which has since been retired by Nantes. Sala left his homeland to join Bordeaux in 2012 and then played for Nantes between 2015 and 2019. League leaders Paris Saint-Germain visit last year's runners-up Lille in Sunday's late game. PSG could stretch their advantage over Marseille to 10 points with victory, although Thomas Tuchel's side lost 5-1 on their last trip to Lille in April. That remains PSG's worst league defeat since 2000."
