,date,hour,title,subtitle,text
0,13/02/2021,17:38,Haaland spares Dortmund blushes,A late equaliser from Erling Braut Haaland spared Borussia Dortmund's blushes on Saturday as they drew 2-2 at home against Bundesliga rivals Hoffenheim.,"Haaland's 81st minute strike averted a fourth defeat in five Bundesliga games for crisis-hit Dortmund. Yet even a draw leaves Dortmund three points adrift of the Champions League places in sixth, and heaps more pressure on interim coach Edin Terzic. Dortmund have won just four of ten league games since Terzic took the reins from Lucien Favre in December, prompting growing speculation over his future. Yet veteran defender Mats Hummels defended his coach on Saturday and backed Dortmund to revive their season. ""It's never the case that things are exactly how you want them a few weeks after a new coach takes over. That wasn't the case years ago under Jurgen Klopp, and it isn't the case now under Edin,"" Hummels told Sky. ""We're working hard, and success will come,"" he added. England international Jadon Sancho gave Dortmund a perfect start, racing up the left-wing to score his fourth league goal this season on 24 minutes. The lead didn't last long, as Munas Dabbur scuffed a shot past Marwin Hitz to level just seven minutes later. Ihlas Bebou bundled in Hoffenheim's second just after half-time, the ball bouncing off the Togolese and into the goal as Hitz tried to beat away a dangerous cross from the left wing. Haaland had a goal ruled out for offside in the second half before pouncing on a misplaced pass to snatch a crucial late equaliser. Fellow Champions League hopefuls Bayer Leverkusen also dropped points after they conceded two late goals to draw 2-2 with strugglers Mainz. Lucas Alario tapped in a low Moussa Diaby cross to give Leverkusen the lead on 14 minutes. Patrik Schick appeared to have sealed three points with a second on 84 minutes. Yet second-from-bottom Mainz were rewarded for a brave performance as late goals by Robert Glatzel and Kevin Stoeger saved a point and continued their recent revival under new coach Bo Svensson. Elsewhere, Werder Bremen were held to a 0-0 draw at home to Freiburg while Sami Khedira helped rescue a 1-1 draw for Hertha Berlin against boyhood club Stuttgart. ""It was the first time I'd ever played against Stuttgart so it was strange, but it was nice to come back,"" Khedira, who joined Hertha from Juventus in January after a decade abroad, told Sky. Austrian striker Sasa Kalajdzic headed in his ninth goal of the season to give Stuttgart the lead at the end of a scrappy first half. Veteran midfielder Khedira came off the bench in the second-half and set up a late equaliser for 17-year-old Luca Netz to save the capital club from a fifth straight defeat."
1,08/02/2021,14:20,"Bayern fume, Mbappe flies, Zlatan's milestone: European talking points","Bayern Munich's preparation for the Club World Cup was disrupted despite victory, Kylian Mbappe rediscovered his supersonic speed and Lionel Messi starred from the bench, while Zlatan Ibrahimovic notched his 500th club goal at the weekend.","AFP Sport rounds up some of the main talking points from across the continent: Bayern Munich's weekend started well, Kingsley Coman's deflected strike securing a 1-0 win at Hertha Berlin on Friday as they maintained a seven-point lead at the top of the Bundesliga from RB Leipzig. They then boarded a plane for Qatar in preparation for a night flight to the Club World Cup, but the necessary de-icing of the aircraft meant they were refused permission for take-off due to a ban on flights between midnight and 7:00 am. That meant a departure seven hours later than planned, ruining plans to train on Saturday and hampering preparations for Monday's semi-final against Al Ahly. ""Those in charge (at the airport) don't have an inkling of what they've done to our team,"" Bayern chairman Karl-Heinz Rummenigge said. ""Of course it was not optimal,"" said Joshua Kimmich. ""Nonetheless I think that we will be able to win the match."" It was what made Kylian Mbappe so breathtaking when he first broke through but it was something that had not been seen so often this season. On Sunday the France star produced a stunning sprint to finish off a counter-attack and score Paris Saint-Germain's opener in a 2-0 win at Marseille. Mbappe's run was clocked at an incredible 36 kilometres per hour, but he managed to slow down enough to control Angel di Maria's pass and score his 16th Ligue 1 goal this season, as PSG stayed third, three points behind leaders Lille. ""The feeling is coming back because I am playing every game now,"" said Mbappe, who was often on the bench in Thomas Tuchel's final matches in charge but has hardly missed a minute under new coach Mauricio Pochettino. ""I am finishing games stronger. I am not so burnt out. It can only be a good thing."" PSG's Champions League last 16, first leg in Barcelona is just eight days away. The last time Lionel Messi came off the bench in La Liga, he was introduced at half-time and scored twice in a 5-2 win over Betis. On Sunday he again came on as a substitute against Betis, this time in the 57th minute. Moments later he scored Barcelona's equaliser, and he then played a key part in their second before fellow substitute Francisco Trincao's late strike secured a 3-2 win. Messi was rested at the start along with Frenkie de Jong and Pedri, with coach Ronald Koeman appearing to prioritise Wednesday's Copa del Rey semi-final, first leg at Sevilla, and with the PSG Champions League tie approaching too. Barca, like Real Madrid, are seven points behind La Liga leaders Atletico Madrid, who have two games in hand and play on Monday against Celta Vigo. Zlatan Ibrahimovic's brace was key in setting AC Milan on the way to a 4-0 win over Crotone that kept them two points clear of Inter atop Serie A, but it also saw the former Sweden striker reach a remarkable milestone. The goals were his 500th and 501st at club level since starting out with Malmo in 1999. Now 39, he is in his second spell with Milan and his hoping to win a second Scudetto with the Rossoneri, after starring in their 2011 title triumph. Ibrahimovic scored 14 goals that season and already has 14 this season, in just 11 appearances. Mesut Ozil made his second substitute appearance in five days for new club Fenerbahce but could not help turn Istanbul's Intercontinental derby, as Galatasaray headed back to the European side of the Bosphorus with a 1-0 win. Ozil had helped set up a goal in Fenerbahce's 2-1 win at Hatayspor last Wednesday. Against Galatasaray, the ex-Arsenal man came on for the last 27 minutes with Fenerbahce already trailing. It is shaping up to be quite a title run-in in Turkey, with Galatasaray, Besiktas and Fenerbahce all level on 48 points at the top."
2,05/02/2021,22:50,Bayern head for Qatar with 10-point Bundesliga lead after Hertha win,Bayern Munich head to the Club World Cup with five successive wins under their belt after Kingsley Coman's first-half winner handed the Bundesliga leaders a 1-0 victory at Hertha Berlin on Friday.,"The win leaves Bayern 10 points clear of second-placed RB Leipzig, who have a game in hand away to crisis-hit Schalke on Saturday. ""We could have scored a few more goals today,"" Bayern striker Thomas Mueller told broadcaster DAZN. ""We have a few wins in a row now and we are looking forward to the Club World Cup."" Coman found the net with a deflected shot on 21 minutes to give Bayern all three points in snowy Berlin, just hours before they left for next week's tournament in Qatar. Bayern face African Champions League winners Al-Ahly in Monday's semi-final in Doha. Yet they first had to get past a Hertha side buoyed by the return of former coach Pal Dardai last month and the arrival of former Germany midfielder Sami Khedira on a free transfer from Juventus. Khedira, though, played only 10 minutes as a substitute as Bayern battled to a narrow win. ""I didn't expect to be playing 90 minutes straight away. I know I need time on the pitch and in training,"" said Khedira, who made just one appearance for Juventus in the last 12 months. A bright start from the home side was snuffed out when goalkeeper Rune Jarstein brought down Leroy Sane in the box on 11 minutes. Yet the Hertha stopper redeemed himself immediately, diving to his right to save Robert Lewandowski's penalty. Ten minutes later, Jarstein was left flapping at the ball as Coman's shot deflected off Niklas Stark and looped into the net. Both Jarstein and his opposite number Manuel Neuer made several saves before half-time, as an entertaining game swung from end to end. Hertha had a brilliant chance to equalise two minutes from time, as Matheus Cunha beat the offside trap and found himself one-on-one with Neuer. Yet the Brazilian's chip over the Bayern keeper trickled wide of the post, prompting howls of anguish from the Berlin bench."
3,04/02/2021,17:12,Bayern head to Qatar via Khedira's Hertha Berlin,Bayern Munich striker Thomas Mueller is hoping to spoil fellow World Cup winner Sami Khedira's homecoming Friday when the Bundesliga leaders take on Hertha Berlin before departing for the Club World Cup in Qatar.,"""I am really happy that Sami is back. He's a child of the Bundesliga,"" Mueller told the Bayern website ahead of Friday's clash. ""I'm excited to see how his return to Germany pans out, even if I hope it starts badly on Friday."" Former Germany midfielder Khedira, who won the World Cup alongside Mueller in 2014, could make his first Bundesliga appearance in over a decade on Friday after joining Hertha from Juventus in a headline-grabbing move earlier this week. The 33-year-old is charged with helping hapless Hertha turn their season around, with the ambitious capital club currently stuck just a single place above the relegation play-off spot. For Bayern, the game is a chance to consolidate their seven-point lead at the top of the table before they travel to Doha for the Club World Cup next week. Last season's Champions League winners will play their semi-final on Monday against the winners of Thursday's game between Qatari club Al-Duhail and African Champions League winners Al-Ahly. Mueller said Thursday that the Club World Cup was Bayern's chance to ""crown an incredible year"" after winning only their second ever treble in 2020. Second-placed RB Leipzig will look to keep the heat on Bayern with a win at bottom club Schalke, while Borussia Dortmund hope to break back into the top four on their trip to Freiburg. Dortmund should return to full strength on Saturday after injury scares for veteran defender Mats Hummels and English winger Jadon Sancho. Hummels missed Tuesday's narrow German Cup win over Paderborn with a knee problem, while Sancho limped off the field in extra-time. Yet Dortmund director Sebastian Kehl told Bild newspaper he hoped both players would return against Freiburg. Elsewhere, Borussia Moenchengladbach prepare to take on local rivals Cologne amid growing speculation over the future of coach Marco Rose. Rose, 44, has been touted as a potential successor to interim coach Edin Terzic in the Dortmund dugout at the end of the season. ""We want to have clarity (about Rose's future) as soon as possible"", Gladbach sporting director Max Eberl told Sky. The veteran Dutch striker could make his first Bundesliga appearance since 2017 after making a surprise return to Schalke from Ajax in January. Huntelaar, 37, was prolific for Schalke between 2010 and 2017, and has now returned to help them launch an improbable bid to avoid relegation in the second half of the season. Bottom of the league and nine points adrift of safety, Schalke's season hit a new low as they were knocked out of the cup by Wolfsburg on Wednesday, with Huntelaar making a 10-minute cameo as a substitute. 15 - Clean sheets Manuel Neuer has kept in 22 games against Hertha, a joint Bundesliga record for the most against any single club. 126 - Goals Klaas-Jan Huntelaar scored in 240 games for Schalke in his previous, seven-year spell at the club. 3,926 - Days since Sami Khedira's last Bundesliga appearance, for Stuttgart against Hoffenheim on the last day of the 2009/10 season. Fixtures (all times 1430 GMT unless stated)"
4,31/01/2021,12:25,Hertha Berlin confirm talks with Juventus star Khedira,Bundesliga strugglers Hertha Berlin have confirmed they are in talks with Sami Khedira and could sign the former Germany midfielder before the transfer window closes on Monday.,"""We are talking to him, there are a few things to clear up and a few questions to answer before Monday at 1800 (1700GMT),"" when the transfer window closes, Hertha CEO Carsten Schmidt told Sky Sunday. According to magazine Kicker, Khedira arrived in Berlin on Saturday and was due to undergo a medical check on Sunday. The 33-year-old is under contract at Juventus until the end of the season, but head coach Andrea Pirlo has yet to play him in 2020/21. Schmidt described Khedira as ""an awesome leader with a lot of experience"" but acknowledged the midfielder ""has had no match practise for a while"". Khedira helped Germany win the 2014 World Cup and lifted the Champions League with Real Madrid in 2013/14. He has won five Italian league titles and made 145 appearances for Juventus since his 2015 transfer from Real. If Khedira joins Hertha, he will return to the Bundesliga for the first time since 2010, when he left Stuttgart having come through their academy. Hertha lost 3-1 at Eintracht Frankfurt on Saturday and are just two points from the relegation places after failing to win their last five games."
5,29/01/2021,03:03,Hoffenheim plot new Bayern shock on Munich return,"As the architect of Bayern Munich's single defeat in 2020, Hoffenheim coach Sebastian Hoeness hopes to again down the European champions in the Bundesliga on Saturday when he returns to his former club.","Bayern host mid-table Hoffenheim at the Allianz Arena seeking revenge for September's 4-1 league defeat - their only loss of 2020 in any competition. The shock win over the European champions ""will certainly still be in our heads,"" admitted Hoeness, ""but we want to use this game to annoy Bayern again"". Bayern hold a seven-point lead in the table and are near full-strength with only Corentin Tolisso and Tanguy Nianzou sidelined. After poor results around Christmas, Hoffenheim are back up to 11th thanks to back-to-back 3-0 wins against strugglers Hertha Berlin and Cologne. However, the European champions are a huge test for Hoffenheim on Hoeness' return to Munich, where the 38-year-old coached the reserves last season having previously worked with Bayern's junior teams. A key factor Saturday is the form of Hoffenheim striker Andrej Kramaric, who has scored twice in each of his last two games. Leading the pack chasing Bayern, RB Leipzig host Bayer Leverkusen on Saturday night with both clubs eager to bounce back from defeats. After crashing 3-2 at second-from-bottom Mainz, Leipzig coach Julian Nagelsmann compared Bayern to Germany's high-speed ICE trains and his team to a regional train, struggling to ""catch up"". In order to get back on track, Leipzig must beat third-placed Leverkusen, who trail them by three points. ""The game has no direct influence on the title race - it's all about qualifying for the Champions League,"" Nagelsmann insisted Thursday. Leipzig welcome back Yussuf Poulsen after a groin injury, but playmaker Emil Forsberg is sidelined by a knee knock. Leverkusen, who crashed at home to Wolfsburg last weekend, are missing midfielders Julian Baumgartlinger, who underwent knee surgery on Monday, and Nadiem Amiri, who is quarantined after testing positive for Covid-19. Having slipped out of the European places to seventh, Dortmund host Augsburg on Saturday chasing a first win in four games. ""We have to correct mistakes from set-pieces,"" said caretaker coach Edin Terzic after Dortmund conceded three goals from deadball situations in a 4-2 defeat at Gladbach. Erling Braut Haaland scored twice in the Gladbach defeat, but Dortmund need him and England winger Jadon Sancho to fire their attack. ""When they (Augsburg) make mistakes, we have to be there - ice-cold,"" added Terzic. Eintracht Frankfurt, who are a point above Dortmund in the table and bouyed by a 5-1 thrashing of Bielefeld, are home on Saturday to Hertha Berlin, where Pal Dardai is back in charge. The 44-year-old replaces Bruno Labbadia, who was sacked following their 4-1 thrashing at home by Werder Bremen. Frankfurt striker Luka Jovic has scored three goals in three appearances off the bench since returning on loan from Real Madrid. Dardai predicts it could be ""5-4 or 6-5"" at Frankfurt, who ""score a lot of goals.... we're going there to score one more"". The Croatia striker scored twice in last September's 4-1 win over Bayern and has also netted two goals in Hoffenheim's recent wins against Hertha and Cologne. He is back in form after contracting Covid-19 on international duty last October which sidelined him for seven games. Kramaric will test Bayern's defence and his four goals in two games, ""speak for themselves,"" said Hoffenheim coach Hoeness. 76 - the minutes Luka Jovic has needed for three goals off the bench having been loaned back to Eintracht Frankfurt after failing to settle at Real. 18 - home league games since Bayern last lost at the Allianz Arena when Leverkusen managed a 2-1 win in November 2019. 1 - the single victory Hoffenheim has managed at the Allianz Arena, poaching a 2-1 win in Munich in October 2019. Fixtures (all times 1430GMT unless stated)"
6,25/01/2021,16:59,Dardai makes return to lowly Hertha Berlin,"Hungarian Pal Dardai has been named Hertha Berlin coach 19 months after leaving the position, the Bundesliga strugglers announced on Monday.","Dardai stood down as Hertha boss in June 2019 but replaces the sacked Bruno Labbadia with the side two points away from the relegation play-off spot after just two wins since December. The 44-year-old had been in charge of the U16s and holds the club record of 373 appearances. ""Nobody needs telling what Hertha BSC means to me, so there was no doubt in my mind that I would be ready to help out in this situation,"" he said in a statement. ""I am looking forward to the challenge and working together with the team,"" he added. Labbadia and general manager Michael Preetz were fired following Saturday's home defeat to Werder Bremen. Last year, Labbadia had taken over from ex-Germany forward Jurgen Klinsmann who had lasted just 10 games. The capital city side spent around 100 million euros ($122 million) in transfers last season, funded by the club's wealthy backer Lars Windhorst. Dardai's first game in charge during his second spell will be Saturday's trip to Eintracht Frankfurt before hosting leaders Bayern Munich on February 5."
7,24/01/2021,13:58,Hertha Berlin sack both coach Labbadia and general manager Preetz,Bundesliga strugglers Hertha Berlin on Sunday sacked both coach Bruno Labbadia and general manager Michael Preetz in a shake up following their 4-1 thrashing at home by Werder Bremen.,"Saturday's heavy defeat leaves Hertha two points from the relegation places in the league table, which the club's CEO Carsten Schmidt described as ""a very precarious situation"". ""After much deliberation, we feel that a change of head coach can give the team fresh impetus,"" Schmidt added in a statement. Labbadia, 54, took charge in April 2020 and kept Hertha in Germany's top flight last season, but the team has taken just one point from four games in 2021. He is replaced by caretaker coach Pal Dardai, who was in charge of the first team from 2015 until 2019 before being moved to the club's youth academy. Schmidt said Hertha expects to name a permanent head coach ""in the coming days"". Preetz, 53, was shown the door after 25 years with Hertha, first as a player, then eventually becoming general manager in 2009. He has been axed for failing to move Hertha forward despite the spending of around 100 million euros ($122 million) in transfers last season, funded by the club's wealthy backer Lars Windhorst. Sports director and former Germany defender Arne Friedrich will take over Preetz's responsibilities until the end of the season. Hertha face a tough run of fixtures next month with Bundesliga leaders Bayern Munich and RB Leipzig, who are currently second, both visiting Berlin's Olympic Stadium in February."
8,02/01/2021,23:24,Near-forgotten minnows urge 'save our record' as Schalke hit 30 matches without win,"Schalke 04 are now winless in their last 30 league games - one match short of the Bundesliga's record for the longest winless streak, which near-forgotten minnows Tasmania Berlin are desperate to keep.","Placards reading ""That is our record! Ra-Ra-Ra Tasmania (The Original)"" and ""Save the record for Tas!"" were laid out in front of Berlin's Olympic Stadium before Schalke's 3-0 defeat to Hertha Berlin on Saturday. Christian Gross, Schalke's fourth head coach this season, got off to a losing start as Arsenal loanee Matteo Guendouzi, Colombia striker Jhon Cordoba and his replacement, Poland forward Krzysztof Piatek, scored for Hertha. ""I hope we can still sign in one or two players, who could bring a bit of personality,"" said Gross after watching his new team's latest loss. Schalke, who are bottom of the league, boosted their squad last Thursday by re-signing defender Sead Kolasinac, who did not face Hertha, on loan from Arsenal. They host Hoffenheim next Saturday and are now one match from equalling the league record, long held by Tasmania Berlin, who went 31 matches without winning in the 1965/66 Bundesliga season. Tasmania Berlin, based in the capital's central district of Neukoelln, now languish in the fifth-tier of German football. Their chairman Almir Numic - a fan of Schalke's arch rivals Borussia Dortmund - has mixed feelings about potentially losing the record. ""As a Dortmund fan, I wouldn't mind if Schalke continued without a win and even get relegated,"" he told website Fussball.de ""On the other hand, this story is simply part of the identity of 'Tas'. ""Our only Bundesliga season was five and a half decades ago, but we are still a topic - nationwide. We don't really have to do any advertising."""
9,02/01/2021,23:20,Olmo fires RB Leipzig top of Bundesliga ahead of Bayern Munich,RB Leipzig dislodged Bayern Munich at the top of the Bundesliga table Saturday as Dani Olmo's second-half goal was enough to seal a 1-0 win at Stuttgart.,"""It was really good for me and the team to start the year with a win,"" Olmo told DAZN. With European champions Bayern at home to strugglers Mainz on Sunday, Leipzig took the chance to go a point ahead as Olmo fired through the legs of Stuttgart goalkeeper Gregor Kobel. Stuttgart's Swiss shot-stopper had earlier pulled off some heroics by using his foot to save a Emil Forsberg first-half penalty attempt. Leipzig also wasted a golden chance when Amadou Haidara fired wide just after the break. With 23 minutes left, Spain midfielder Olmo finally got the breakthrough, finishing a move he started after Leipzig had moved the ball across the Stuttgart penalty area. ""It feels good to be top,"" admitted Leipzig defender Willi Orban. ""The first half was good, the second was better - we were clearly the dominant team."" Earlier, Bayer Leverkusen blew the chance to take first place after stumbling to a 2-1 defeat at Eintracht Frankfurt which saw them drop to third as the league resumed after a two-week break. ""I have made my feelings clear in the dressing room,"" Leverkusen head coach Peter Bosz told Sky. ""We deserved to lose. Frankfurt had a better claim to the victory."" Leverkusen midfielder Nadiem Amiri scored with a deft back-heel flick to give the visitors the lead after only 10 minutes in Frankfurt. However, Amin Younes equalised to make it 1-1 at half-time before Japan midfielder Daichi Kamada put in a cross which Leverkusen defender Edmond Tapsoba turned into his own net. Before kickoff, Frankfurt director Fredi Bobic confirmed reports his club are interested in Bayern's teenage striker Joshua Zirkzee, 19, after selling Dutch forward Bas Dost to Brugge. Zirkzee could back up Frankfurt's top scorer Andre Silva, who has notched nine league goals this season. Union Berlin rose to fourth - into the Champions League places for the first time in the club's history - after their 2-0 win at Werder Bremen. Liverpool loanee Taiwo Awoniyi, who has scored in his last three league games, capped another impressive display with a goal and assist. After Bremen lost the ball in their own half, the 23-year-old Nigeria international took advantage of a two-on-two situation by drawing the defence and passing to Sheraldo Becker, who fired home on 12 minutes. Awoniyi doubled Union's lead on 28 minutes by tapping the ball over the line, just out of the reach of Bremen goalkeeper Jiri Pavlenka. Bremen had a penalty appeal turned down when a shot by Japan midfielder Yuya Osako clipped the hand of a Union defender, then Romano Schmid had a goal ruled offside. Hoffenheim lost both defender Kevin Akpoguma and Germany midfielder Sebastian Rudy with early leg injuries as they crashed to a 3-1 home defeat to Freiburg. With the hosts struggling to reshuffle, Freiburg were 3-0 up at half-time thanks to a Baptiste Santamaria goal, a Vincenzo Grifo penalty and an own goal by Senegal defender Kasim Adams. Hoffenheim scored a second-half consolation goal through Togo winger Ihlas Bebou. Borussia Moenchengeladbach, who host Manchester City in the first leg of the Champions League last 16 next month, earned their first win in five league games with a 1-0 victory at Arminia Bielefeld. Swiss striker Breel Embolo netted the winning goal just after half-time when he held off a defender and fired home. Mid-table Augsburg rebounded after back-to-back defeats with a 1-0 win at Cologne with Brazilian winger Iago netting the late winner. Bottom side Schalke are now 30 games without a win -- one short of the Bundesliga record -- after a 3-0 defeat away to Hertha Berlin. Former Tottenham manager Christian Gross, installed as Schalke's fourth head coach this season, got off to a losing start as Arsenal loanee Matteo Guendouzi, Colombia striker Jhon Cordoba and his replacement, Poland forward Krzysztof Piatek, scored for Hertha. Having netted two minutes after coming off the bench, Piatek had a second late goal ruled offside."
