,date,hour,title,subtitle,text
0,17/01/2021,23:44,Metz end Lyon's run as PSG take Ligue 1 lead,Lyon slumped to a shock 1-0 home defeat to Metz on Sunday that ended a long unbeaten run and allowed Paris Saint-Germain to stay top of Ligue 1.,"Rudi Garcia's side had come into Sunday's late match on the back of 16 league games without defeat, knowing that a win would have put them back in the lead of France's top flight. However Aaron Leya Iseka struck in the final minute to snatch the points for resilient Metz, who had to withstand a second-half onslaught before finally prevailing and moving ninth. ""We pushed, they pushed, and we were rewarded for our efforts. We knew that we would have little of the ball and that we would have to counter well, and that's what we did,"" said Belgian Leya Iseka. The loss leaves Lyon third, two points behind PSG and Lille, whose own late goal from Jonathan David secured a 2-1 win over Reims. Lyon should have taken the lead six minutes before the break when Karl Toko Ekambi was fed by Tintotenda Kadewere on a breakaway attack. Cameroonian Ekambi, who had forced a good save from Alexandre Oukidja three minutes earlier, successfully cut inside to fashion himself a shooting opportunity but could only blast over. Three minutes later Metz twice came close to taking a shock lead, first hitting the post following a Farid Boulaya cross before Marcelo charged back to block Lamine Gueye's shot on the line. With 16 minutes remaining Ekambi slammed home what he thought was the opener when the ball fell to him after fine play between Memphis Depay and Thiago Mendes. However after a long VAR review the goal was ruled out for Houssem Aouar straying offside when Mendes shot and then pressuring Metz defender Fabien Centonze, who had nodded the ball out to Ekambi. Islam Slimani had the perfect chance to win the match with seven minutes left of his Lyon debut but he shanked his shot, and Oukidja then did brilliant to keep out Aouar's close range effort after fine work from Memphis Depay. That allowed Leya Iseka to claim a shock win for Metz. Earlier David pounced in the first minute of stoppage for Lille to tap home after Xeka's powerful low drive was spilled by Reims goalkeeper Predrag Rajkovic to put Lille on 42 points, equal with champions PSG. Jonathan Bamba's long-range leveller two minutes after the break gave Lille a chance to snatch the win after Arber Zeneli had given Reims a 35th-minute lead with a cross that bamboozled home stopper Mike Maignan. Monaco are six points off the lead in fourth after Wissam Ben Yedder's brace gave them a 3-2 win over Montpellier on Friday. The Principality club are level on 36 points with fifth-placed Rennes, who earlier on Sunday fought back from going a goal down after just three minutes at Brest to win 2-1. Saint-Etienne are just four points above the relegation zone after a 1-0 defeat at Strasbourg. The 10-time French champions are 16th and winless in five league matches thanks in part to a missed 10th-minute penalty from Ryad Boudebouz. Ludovic Ajorque scored the winner for the team from Alsace just before the half-hour mark. Nantes are hovering above the drop zone after drawing 1-1 at home with Lens, with Gael Kakuta's 81st-minute leveller for the away side denying Raymond Domenech a first win in charge of the hosts. The former France coach has guided Nantes to three straight draws since his much-derided appointment last month, with his team battling a run of games without a win that stretches back to early November. Bordeaux strolled to a thumping 3-0 win at Nice, who are also without a win in five."
1,20/12/2020,23:18,Lille reclaim top spot with PSG stalemate,Lille moved back top of Ligue 1 on Sunday after holding Paris Saint-Germain to an uninspiring goalless draw which failed to live up to its pre-match billing.,"Lille take first place in the French top flight from Lyon on goal difference after a match which saw just a handful of shots on target and very little in the way of incident. PSG are a point back in third after failing to create anything from their territorial dominance, shorn of attacking inspiration without Neymar and Mauro Icardi, among others, while Kylian Mbappe started on the bench as he reportedly struggles with a thigh knock. Marseille meanwhile are five points behind the leaders after their 1-1 draw with Reims on Saturday, although Andre Villas-Boas' side do have two games in hand on their title rivals. PSG were the stronger side in a dismal first half which didn't see a shot on target until Moise Kean's weak flicked header was easy collected by Mike Maignan in the 42nd minute. Lille, who on Friday were sold to Callisto, a subsidiary of the Merlyn Partners investment fund, struggled to get a foothold in the biggest match of their league campaign so far. PSG's dominance continued in the second period but they were lacking their usual creative spark, and the highlight of the latter stages was Presnel Kimpembe's superb tackle on Burak Yilmaz with Lille charging towards goal on the break. Kimpembe appeared to injure a hamstring as he charged across to make the goal-saving tackle with 12 minutes remaining, and limped off soon afterwards. Mbappe had been brought on a minute before Kimpembe's challenge but did very little in the time afforded him, and the curtain was soon brought down on a forgettable encounter between two tired-looking teams. Germany striker Kevin Volland scored his sixth Ligue 1 goal as Monaco battled to a 1-0 win at bottom club Dijon to snap a three-match losing streak. Their win moved the seventh-placed principality club within seven points of Lille and Lyon. Former Bayer Leverkusen forward Volland slotted in the only goal on 15 minutes, with both sides seeing later efforts ruled out by VAR. ""After four straight wins and then three defeats on the bounce, the most important thing was to win,"" said coach Niko Kovac. ""It was not the best Monaco but we showed lots of character and that's the best way to move forward."" Rennes are two points ahead of Monaco in fifth after strolling to a 3-0 win at Lorient, who sit second-from-bottom after their 11th defeat of the season. Damien Da Silva opened the scoring with a deflected close-range effort midway through the first half, and Benjamin Bourigeaud doubled the away side's lead with a fine first-time strike with 20 minutes remaining. Martin Terrier completed the scoring six minutes later when he cut in from the left before curling home past Paul Nardi. Rennes are level with Marseille on 28 points, five behind Lille. One point ahead of Lorient in 18th place are Nimes, who came away from Saint-Etienne with a 2-2 draw. Elsewhere, Montpellier missed the chance to move into fourth as they were held to a 2-2 draw at Brest."
2,18/12/2020,03:25,PSG wait on Neymar return ahead of Lille showdown,"Paris Saint-Germain are hoping to have Neymar back in time for their top-of-the-table clash at Lille on Sunday, as the Brazil superstar looks to have recovered quicker than expected from what looked like a bad ankle injury.","Coach Thomas Tuchel said ""for Neymar we will do everything"" after Wednesday's 2-0 win over struggling Lorient, which put the champions second and keeps them just a point behind Ligue 1 leaders Lille. Neymar had already revealed the injury, which came after a rough Thiago Mendes tackle during last weekend's 1-0 home loss to Lyon, was not as bad as initially thought. However such a speedy return still seemed unlikely until Tuchel revealed he could yet feature at the Stade Pierre Mauroy. ""I can't say 'No, he's not playing against Lille'. It is possible. We can try, we will try everything,"" Tuchel said. His return would be a huge boost to PSG's morale after a strife-ridden opening few months of the season which has led to speculation over Tuchel's future. A win on Sunday would put the capital city side back on top of the pile after they moved above Lyon in the midweek round of fixtures, with a five-match winning-streak for Rudi Garcia's side coming to an end with a dramatic 2-2 draw with Brest. PSG's other major title rivals Marseille host Reims on Saturday as they lurk five points back but with a game in hand. Fourth-placed Marseille go into the weekend having lost ground in the title race following a 2-1 defeat at Rennes, who have won two on the bounce after a miserable run in which they lost seven of their previous eight in all competitions. There appears to be some tension in the Marseille camp after coach Andre Villas-Boas launched an attack on a journalist at French newspaper La Provence. According to witnesses the Portuguese boss targeted the reporter with threats of ""I'll get you"" and criticised their work during the post-match press conference. The row, apparently over an article which slammed Villas-Boas' career record in the Champions League following their dismal effort in this year's competition, then carried on outside Rennes' Roazhon Park as the reporter and coach faced each other down. Lille, meanwhile, seem confident they can maintain their slight hold on the summit and make this a true title race in a league now used to PSG dominance. The northern outfit seem to be unworried by a potential change in ownership, with president Gerard Lopez saying he would ""completely withdraw"" from the club if a bid from a Luxembourg investment fund is accepted. ""Both teams are tired, Paris might have more quality but in one game everything is there to play for,"" said coach Christophe Galtier. Turkey's Yazici continued his impressive recent form on Wednesday when he scored the opening goal in Lille's 2-0 win at Dijon. The 23-year-old showed the composure that has seen him score five times in just three Ligue 1 starts, and six in as many Europa League appearances, when he slotted home Zeki Celik's cutback in the 19th minute. Yazici signed for Lille in the summer of 2019 but this has become the attacker's breakout season, his two hat-tricks at Sparta Prague and AC Milan helping his side reach the Europa League last 32, where they will face four-time European champions Ajax. 5 - goals that Yusuf Yazici has scored this Ligue 1 season 12 - the number of games Lyon have played since last losing 4 - PSG have already lost to Lens, Marseille, Monaco and Lyon so far this season"
3,29/11/2020,23:54,Lille held as Ligue 1 top five separated by two points,"Lille stuttered to a 1-1 draw at struggling Saint-Etienne on Sunday to miss the chance to draw level on points with Paris Saint-Germain at the top of Ligue 1, but the rest of the chasers took advantage of the defending champions' latest slip-up.","Lille sit second in the table, two points behind PSG -- who drew 2-2 with Bordeaux on Saturday -- and above Lyon, Monaco and Montpellier on goal difference. Lyon continued their fine form with a 3-0 win over Reims, while Monaco beat Nimes by the same scoreline to also move within two points of PSG, while Montpellier edged out Lorient. Lille would have hoped to take all three points from a Saint-Etienne side on a seven-match losing streak in the league before kick-off. But Christophe Galtier's team fell behind to a controversial first-half penalty from Tunisian Wahbi Khazri and needed a second-half strike from Jonathan Ikone to rescue a draw. Galtier was left frustrated by the decision to award Khazri the spot-kick, after the former Sunderland winger appeared to fall over Domagoj Bradaric in a vain attempt to reach the ball before Lille goalkeeper Mike Maignan. ""The penalty was a clear refereeing error,"" he said. ""Wahbi Khazri comes with a lot of experience onto my player Domagoj Bradaric. ""With video and professional referees this shouldn't happen. It doesn't take away from our bad first half, but it was an important moment of the game."" Karl Toko Ekambi, Bruno Guimaraes and Moussa Dembele scored for Lyon as they made it 16 points from their last six matches. ""We must continue in this vein and look upwards. We must put a run of victories together,"" said Lyon coach Rudi Garcia. ""This is the first time that we have won three times in a row. As in Angers (last week), we had an opportunity to (move up the) table. We seized it."" PSG gave the chasing pack a chance to cut the gap with a 2-2 home draw against Bordeaux on Saturday, having blown a two-goal lead to lose to Monaco last week. Reims, who had Moreto Cassama sent off on 33 minutes, remain fourth from bottom and look destined for a relegation dog-fight. Monaco eased to victory over Nimes to notch their fourth straight league win. Young midfielder Sofiane Diop gave the hosts an early lead at the Stade Louis II, before Gelson Martins and Kevin Volland struck in the second half to see off Nimes, who had Lucas Deaux dismissed in the 69th minute. Germany striker Volland has scored five Ligue 1 goals for Monaco since his close-season move from Bayer Leverkusen. The principality outfit have finished ninth and 17th in the last two seasons and coach Niko Kovac was eager to play down any thoughts of a repeat of their shock 2017 title triumph. ""The title? Not after 12 games, we're not there, no,"" said the Croatian. ""It's a good period for us, we have to keep working, we are a young team. We will also lose matches."" Fifth-placed Montpellier also extended their winning streak to four matches as Petar Skuletic scored late on to grab a 1-0 win at Lorient, despite midfielder Teji Savanier's missed penalty in the first half. Marseille, who have also won four league matches on the spin, are only four points behind PSG in sixth, with two games in hand."
4,23/11/2020,16:30,Evergreen Ibra out for 10 days with thigh injury: source,Zlatan Ibrahimovic will miss AC Milan's Europa League clash at Lille after a source at the Italian club told AFP that the in-form veteran will be out for at least 10 days with a thigh injury.,"Ibrahimovic, 39, kept Milan top of Serie A with a brace in a 3-1 win at Napoli on Sunday but left the field shortly before the end of play at the Stadio San Paolo with a left thigh knock. The source told AFP that tests on Monday morning revealed damage to the hamstring muscle in Ibrahimovic's left thigh, and that the Serie A top scorer would undergo new tests in 10 days' time. As well as missing Thursday's Group H match at Lille, the former Inter Milan, Juventus, Barcelona and Paris Saint-Germain forward will also be unavailable for Milan's next league match with Fiorentina and the visit of Celtic early next month. The Swede's absence is a big blow to Milan coach Stefano Pioli, whose team have been galvanised by their ageing frontman since his return to the seven-time European champions in January. Milan are top of Serie A and unbeaten in domestic competition so far this season, with Ibrahimovic scoring 10 of their 19 league goals. The 'Rossoneri' are also second in Group H heading into Thursday's match, one point behind Lille who are the only team to have beaten Milan this campaign after romping to a 3-0 win at the San Siro before the international break."
5,01/11/2020,23:56,Unbeaten Lille held by stubborn 10-man Lyon,Lille lost ground on Ligue 1 leaders Paris Saint-Germain after a 1-1 draw at home to 10-man Lyon on Sunday but kept their unbeaten record this season intact.,"Jonathan Bamba curled in a fine 20-yard strike to give Lille the lead but Zeki Celik's own goal just before half-time brought Lyon level. The visitors played most of the second half a man down after Brazilian defender Marcelo was shown a second yellow card for a foul on Bamba but Lille could not take advantage. ""The first yellow was very harsh,"" said Lyon coach Rudi Garcia. ""Quite frankly, it killed the match. I would like to have seen 95 minutes against Lille with 11 against 11. I'm not going to say what I think... I'm very annoyed because it became difficult afterwards."" Lille stayed second but fell two points back of PSG while Lyon moved up to sixth after a fifth draw in nine outings this term. Bamba notched his fourth goal of the campaign with a terrific first-time effort after an inviting lay-off from Turkey international Burak Yilmaz. The goal came moments after Mike Maignan stood tall at the other end to deny Karl Toko Ekambi after the Cameroon striker was played clean through. Lyon goalkeeper Anthony Lopes pawed away a long-range shot from Yilmaz and Bamba then fizzed just over, but OL equalised when Houssem Aouar's drive smacked Celik in the chest and flew past Maignan. The dismissal of Marcelo five minutes into the second half prompted Garcia to withdraw Aouar for centre-back Djamel Benlamri, the Algerian Africa Cup of Nations winner who joined Lyon last month on a free transfer. Lille were unable to transform their sustained pressure into a winning goal and were held to a second consecutive draw. Earlier, Germany international Kevin Volland scored his first goals for Monaco since signing for the club in September as Niko Kovac's side thrashed Bordeaux 4-0. Monaco struck three times in as many minutes through Wissam Ben Yedder, Gelson Martins and Volland in the first half to take control at the Stade Louis II. Volland then grabbed another in the second half as Monaco won for just the second time in six matches to climb up to eighth place. France forward Ben Yedder crashed home a spot-kick on 27 minutes after his header was handled by Pablo, with a penalty awarded despite the ball looping over Benoit Costil and into the net following the deflection. Martins grabbed his first goal since serving a six-month ban for pushing a referee last season when he lunged at the far post to poke in a Ruben Aguilar cross. And former Bayer Leverkusen forward Volland promptly headed in from a Ben Yedder delivery to end his drought following his 11 million-euro ($13 million) move from Germany. The 28-year-old tapped in a second on 57 minutes as Martins slid the ball across goal for his unmarked team-mate. Nice moved up to fourth as Patrick Vieira's team extended their unbeaten domestic run to five games with a 3-0 victory at Angers. Rony Lopes put Nice ahead on 11 minutes and Pierre Lees-Melou added a second from the spot. Hicham Boudaoui came off the bench to net a third as Nice stayed four points behind PSG. Metz continued their fine recent form with a 1-0 win at Nimes while Montpellier defeated Saint-Etienne by the same scoreline courtesy of a goal from Englishman Stephy Mavididi. Reims beat Strasbourg 2-1 while Dijon remain the only team without a victory following a goalless draw at home to Lorient."
6,19/10/2020,00:01,Lille thrash nine-man Lens to go top of Ligue 1,Lille grabbed top spot in Ligue 1 on Sunday by thrashing newly-promoted Lens 4-0 in France's northern derby as the ill-disciplined visitors had two players sent off.,"Lens had a chance to go top in France for the first time in 16 years but their defensive frailties were ruthlessly exposed by Lille who move two points ahead of defending champions Paris Saint-Germain. Burak Yilmaz's low shot put the home side ahead in the echoing, empty Stade Metropole after 11 minutes. Lens hung on till the second half when Jonathan Bamba scored Lille's second before first Jonathan Gradit and then substitute Clement Michelin were shown red cards as Lens fell apart. Jonathan Ikone and Yusuf Yazici completed the job for Lille. ""Tonight was a perfect match,"" said Lille striker Luiz Araujo. ""This start to the season is the result of the hard work we do every day. We are very serious and ready to do a great job but we haven't won anything yet. ""We have to keep our feet on the ground and stay focused on the next game."" PSG had also won 4-0 on Friday with Kylian Mbappe scoring twice at Nimes. Lyon coach Rudi Garcia said his team had ""turned the page"" after captain Memphis Depay set up three goals in Sunday's 3-2 win at Strasbourg to claim their first victory since August. The Dutch attacker, who was linked with a move to Barcelona during the transfer window, was the provider for Zimbabwe international forward Tino Kadewere and repeated the feat twice for Karl Toko Ekambi in the first half. Habib Diallo and Jean-Eudes Aholou scored for the hosts but Lyon hung on and move up to ninth with their first three points since August. ""The win was more than deserved. This team had the capacity to admit they had to turn the page,"" Garcia said. ""The answer was on the pitch, three Depay assists and three goals in open play."" Kadewere opened the scoring after 15 minutes, firing home first time from Depay's long ball. Depay then combined twice with Toko Ekambi before the 42-minute mark to make it 3-0. The hosts fought back as Senegal's Diallo cut the deficit just over a minute later. Ivory Coast midfielder Aholou, on loan from Monaco, scored with a left-footed volley 10 minutes into the second half. Patrick Vieira's Nice side eased to a 3-1 win at Saint-Etienne to move up to fourth, joining Lens on 13 points. Pierre Lees-Malou opened the scoring for Nice before 20-year-old Amine Gouiri added a second before half-time. Adil Aouchiche pulled a goal back for Saint-Etienne on 57 minutes but Myziane Maolida sealed the points for the southerners. On Saturday, Marseille warmed up for their return to the Champions League next week with a 3-1 victory over Bordeaux."
7,04/08/2020,12:05,Osimhen's Napoli transfer will lift Nigeria - Amuneke,Former Barcelona winger Emmanuel Amuneke has said the record-breaking transfer of Victor Osimhen from Lille to Napoli will inspire more top transfers to the benefit of Nigeria.,"Osimhen, 21, has joined Napoli on a five-year contract with an option for another year in a deal worth up to 80 million euros ($94.4 million), making him the most expensive African player ever. Amuneke selected Osimhen for the 2015 Under-17 FIFA World Cup in Chile where he finished record top scorer with 10 goals to attract interest from several top European clubs before he eventually signed for Bundesliga club Wolfsburg. The former Barcelona winger says he believes the Super Eagles will compete more favourably when other players also step up to the big clubs in Europe. ""His transfer is good for Nigeria and I hope other players make it to the big stage, that will be how we can aspire to win something,"" said Amuneke, the hero when Nigeria won a historic Olympic gold in 1996 and who scored twice in the 1994 Africa Cup of Nations final. ""For Nigeria to achieve anything meaningful, we need a strong team, which is not just about two or three players. ""We need top players in all departments as well as those on the bench. That way at any given time anyone can play."" Amuneke said Osimhen represents a bright future for three-time African champions Nigeria, whose last major achievement was winning the 2013 Africa Cup of Nations. ""He is now the future of Nigeria at only 21, he has a great attitude,"" he said. ""We already have a young team with the likes of Wilfred Ndidi, Kelechi Nwakali, Samuel Chukwueze and Orji Okwonkwo and Osimhen is very much part of this team."" Nigerian President Muhammadu Buhari was among several personalities who have congratulated Osimhen on his transfer to Napoli."
8,01/08/2020,14:08,Lille sign veteran Turkish striker Yilmaz,"Lille have signed Turkish striker Burak Yilmaz from Besiktas on a free transfer, one day after selling Victor Osimhen to Napoli, the Ligue 1 club announced on Saturday.","The 35-year-old Yilmaz has spent most of his career in Turkey and is one of a select few to have played for Fenerbahce, Besiktas and Galatasaray. ""The experienced and prolific striker and Turkish football idol has signed a two-season contract with the Lille club,"" Lille said in a statement. Yilmaz has scored 24 goals in 59 international matches for Turkey and netted 13 times in 25 league games for Besiktas last season. ""I want to write a new chapter with Lille. I don't want to disappoint myself or Lille who trust me,"" he said. Lille sold Nigerian forward Osimhen to Napoli on Friday for a fee which could rise to 80 million euros ($94.6 million), while former France striker Loic Remy also left the club at the end of his contract. The club were fourth in Ligue 1 when the 2019-20 season was halted with 10 games remaining due to the coronavirus pandemic, missing out on a Champions League place to Rennes by one point. bur-av/chc/jc/dmc <org>BESIKTAS FUTBOL</org> <org></org>"
9,31/07/2020,18:23,Nigeria's Osimhen joins Napoli for up to 80 million euros,Victor Osimhen has signed for Napoli after the Serie A side splashed out a club record fee of up to 80 million euros ($94.6 million) to sign the Nigeria forward from French outfit Lille.,"A source from Lille who was familiar with the transfer had told AFP that the Ligue 1 team would receive 70 million euros with add-ons potentially worth 10 million euros. That figure was then confirmed by Napoli president Aurelio De Laurentiis to the Gazzetta dello Sport, who also report the movie mogul as saying that Osimhen had signed a five-year deal with the Italian club. ""It's 70 million euros to be paid over five years and 10 million euros of bonuses according to certain results,"" the Gazzetta reported De Laurentiis as saying. ""His contract will begin at four million euros a year and will progressively increase to 4.5 million euros by the end of the contract."" The total fee would make Osimhen, 21, one of the most expensive players in Serie A history, and is almost double Napoli's previous club record of around 40 million euros paid for Gonzalo Higuain in 2013 and Hirving Lozano last year. His move to Napoli had been widely reported for weeks, but De Laurentiis told Gazzetta that the transfer had been held up by Osimhen firing his two agents and hiring a new one. Osimhen scored 18 times last season and was one of the revelations of France's curtailed campaign with 13 Ligue 1 goals as Lille finished fourth. The transfer will see Lille again make a huge profit for a player after taking £72 million off Premier League team Arsenal for Nicolas Pepe, with Osimhen arriving at the club in northern France for 12 million euros from Belgian club Charleroi last summer. Napoli go into their final match of the season against Lazio knowing they will finish seventh in Serie A. They have qualified for the group stage of the Europa League by virtue of winning the Italian Cup."
