,date,hour,title,subtitle,text
0,23/01/2021,00:14,Neymar on target on 100th PSG appearance,Neymar made his 100th appearance for Paris Saint-Germain on Friday and marked the occasion with a goal in a 4-0 rout of 10-man Montpellier that took Mauricio Pochettino's side clear at the top of Ligue 1.,"Kylian Mbappe scored twice and Mauro Icardi was also on target with PSG leading 1-0 before netting three times in the space of four minutes around the hour mark. The game, played behind closed doors at the Parc des Princes, was conditioned by the early sending-off of Montpellier goalkeeper Jonas Omlin for a foul on Mbappe, as PSG made the most of their extra man. It was their fourth straight win since drawing at Saint-Etienne in Pochettino's first match in charge after the Argentine was appointed as coach on January 2. The former Tottenham Hotspur boss was back on the Paris bench having spent a week self-isolating following a positive Covid-19 test that forced him to miss his new team's 1-0 win at Angers last weekend. ""I feel good. I am happy to be back,"" he said. PSG are now three points clear of second-placed Lille, who go to in-form Rennes on Sunday. Lyon in third are five points behind the leaders before visiting derby rivals Saint-Etienne, who will be without seven players because of a coronavirus outbreak. The capital club's rivals may have their work cut out trying to overtake the reigning champions on this evidence, with the attacking quartet of Neymar, Mbappe, Icardi and Angel Di Maria running riot. Neymar's goal took his tally to 81 in 100 appearances for PSG since his world-record 222 million-euro ($264m) move from Barcelona in August 2017. His time in Paris has been marred by injuries at important moments but there can be no disputing his impressive record in front of goal as he prepares to face his old club in the last 16 of the Champions League next month. Mbappe was more prominent in this game, however, as he scored his first goals of the Pochettino era. Pochettino said: ""I was already happy with Mbappe's performances before tonight. I am pleased that he scored because scoring goals is crucial for a striker's confidence. But we knew it was only a matter of time."" The France World Cup-winning star was scythed down just outside the box by Omlin in the 16th minute, with the Swiss goalkeeper initially shown a yellow card before the punishment was upgraded to red following a VAR review. PSG made the extra man count as Di Maria played in Mbappe to open the scoring with a dinked finish over substitute goalkeeper Dimitry Bertaud in the 34th minute. Pochettino lost goalkeeper Keylor Navas to injury at half-time, while captain Marquinhos was also forced off early in the second half. The coach later said he thought it was ""nothing serious"" for either player. Mbappe cut the ball back for Neymar to make it 2-0 on the hour mark, before Icardi tucked in his third goal in four games. It was 4-0 in the 63rd minute when Icardi set up Ligue 1's leading scorer Mbappe to finish for his second of the night and 14th of the season. Layvin Kurzawa almost provided the cherry on top of the cake soon after, but his stunning overhead kick was tipped onto the crossbar by Bertaud."
1,06/12/2020,00:14,Mbappe brings up century as PSG win at Montpellier,Kylian Mbappe scored his 100th goal for Paris Saint-Germain after making a late appearance as a substitute for the Ligue 1 leaders in Saturday's 3-1 victory at in-form Montpellier.,"With Neymar preserved ahead of next week's crucial Champions League clash against Istanbul Basaksehir and Mbappe rested from the start, Colin Dagba's first career goal gave PSG the lead on 33 minutes. English forward Stephy Mavididi levelled before half-time at the Stade de la Mosson, the ball just crossing the line despite the best efforts of Dagba and Keylor Navas. Moise Kean restored the advantage for PSG on 77 minutes after Rafinha triggered a quick counter, hitting a magnificent solo goal for his fifth in seventh league games. The Italy international was then replaced by Mbappe, who wrapped up the victory in stoppage time as he brought up his century of goals in his 137th game for PSG, tapping in a Layvin Kurzawa cross. ""I've been wanting to score for a few matches, it's a bit of a release,"" Mbappe told Canal Plus. ""When I signed here I wouldn't even had thought of scoring three goals,"" he beamed. ""(A hundred) was part of a distant goal."" Mbappe is joint-fourth on the list of PSG's all-time top scorers, level with Dominique Rocheteau and trailing Pauleta (109), Zlatan Ibrahimovic (156) and Edinson Cavani (200). ""I'm feeling better and better, stringing matches together is going to allow me to get fully fit,"" he said. ""When I came here, I said that I wanted to get a lot better and you don't do that in a year. ""It's been three and a half years, I've experienced a lot of things here. I've had some less good moments, but the club has always supported me."" Defending champions PSG pulled four points clear of Marseille at the top as they avoided going three league games without victory for the first time since April 2019. Montpellier, without top scorer Andy Delort after he tested positive for coronavirus for the second time in three months, saw their hopes of dislodging the leaders dashed as their four-match winning run came to an end. Earlier, Rennes crashed to a sixth defeat in seven matches as they lost 2-0 at home to Lens, three days being dumped out of Europe. Teenage striker Arnaud Kalimuendo, on loan from PSG, hit the opener on 27 minutes and Ignatius Ganago sealed the victory late in the second half."
2,20/10/2020,15:31,"The Accidental Goalkeeper: Bruno Martini, 'one of France's greatest', dies aged 58","Bruno Martini, who became ""one of France's greatest goalkeepers"" only after a failed exam blocked the path to his chosen career as a sports instructor, has died at the age of 58, his last club Montpellier announced on Tuesday.","Martini, who spent much of his playing days with Auxerre, suffered a heart attack as he returned to his car after a training session at Montpellier. His career started as a 19-year-old with Auxerre, not far from where he was born and grew up. Apart from two seasons on loan at Nancy, he remained at Auxerre for 14 seasons before finishing his career at Montpellier. ""He was a true legend,"" Auxerre said of the keeper they rated with the country's best. He made 31 appearances for France including Euro '92 and a cameo on the bench at Euro '96. While major international honours alluded him he was a member of the France U-20 team that took the 1988 world title with Laurent Blanc and Eric Cantona. ""How sad, what a great man,"" said former player and manager Luis Fernandez who now works in sports radio. ""Football has lost someone with integrity, honesty and passion."" While his only club trophy was the 1994 French Cup with Auxerre he set a record for the longest run without conceding a goal: 892 minutes in the 1986-7 season. After hanging up his boots he was France goalkeeping coach, helping Les Bleus to the Euro 2000 title and to the final of the 2006 World Cup. He played chess and loved classical literature and music. ""Mozart, Wagner, Bach but, above all, Handel,"" he once said. His last role was coaching at Montpellier. ""We weep for one of our own,"" the club said. If he had succeeded in passing his high school diploma he could have become a sports instructor and may have slipped through the grasp of Guy Roux, Auxerre's iconic manager. jmc-eba/gf/jta//nr/ <org>LVMH - MOET HENNESSY LOUIS VUITTON</org> <org>BORUSSIA DORTMUND</org>"
3,16/10/2020,10:52,"Eight players from Ligue 1 Montpellier, four staff positive for Covid-19","Eight Montpellier players and four backroom staff have tested positive for Covid-19, the club said Friday, putting in doubt their weekend Ligue 1 game against Monaco.","The entire squad underwent further tests on Friday while the 12 who tested positive have been put in isolation, according to the club. Michel Der Zakarian's team, currently fifth in Ligue 1, are scheduled to play away at Monaco on Sunday. Since the coronavirus pandemic erupted, seven players at Montpellier tested positive. Midfielder Junior Sambia, who was hospitalised and put in an artificial coma in April, was the first known Ligue 1 player to have contracted the virus. The 24-year-old has recovered and has made several appearances for the team in the new season."
4,29/08/2020,23:11,Camavinga on the mark as Rennes collect first win,Rennes teenager Eduardo Camavinga celebrated his first France call-up with a terrific solo goal in Saturday's 2-1 victory at home to Montpellier in Ligue 1.,"Camavinga, 17, was included this week in Didier Deschamps' squad for Nations League games against Sweden and Croatia next month as a replacement for Paul Pogba who has tested positive for Covid-19. Julien Stephan's side will compete in the Champions League for the first time this season, and Angolan-born Camavinga has reiterated his commitment to the club despite reported interest from Real Madrid. Damien Le Tallec inadvertently gave Rennes the lead when he flicked Raphinha's cross into his own net on 22 minutes, with the visitors reduced to 10 men before half-time as Florent Mollet was dismissed after catching the head of Faitout Maouassa with his studs. Rennes hit the woodwork three times at Roazhon Park, twice through Adrien Hunou and again when Raphinha crashed a curling free-kick against the bar on the hour, with Montpellier's Arnaud Souquet hitting the upright at the other end. The hosts saw Martin Terrier sent off with 15 minutes left for a late tackle on Gaetan Laborde but Camavinga soon added a second, effortlessly gliding into the area and shaking free of his defender with a wonderful shimmy before driving low into the far corner. The masked Laborde, sporting protective headgear after breaking his nose in midweek, grabbed a consolation in stoppage time with a superb diving header but it could not deny Rennes a first win of the season. ""It's a well deserved victory but far too tight given the number of chances we had. The game should have been over at half-time,"" said Stephan. Patrick Vieira's Nice made it two wins from as many matches as Denmark international Kasper Dolberg netted both goals in a 2-0 victory at Strasbourg. Dolberg scored from the spot after a clumsy foul by Lamine Kone in the first half and then struck again on 59 minutes after latching onto Amine Gouiri's deflected ball through. Lyon beat Dijon 4-1 in their first game of the campaign on Friday, while Marseille are due to visit Brest on Sunday after their planned opener against Saint-Etienne last week was postponed after several players tested positive for coronavirus. Title holders Paris Saint-Germain's game at Lens initially scheduled for Saturday has been pushed back to September 10 following their run to Champions League final in Lisbon."
5,02/07/2020,11:56,Juventus' 'top quality' Mavididi joins Montpellier,Montpellier announced on Thursday they had signed English striker Stephy Mavididi from Juventus for a reported 6.3 million euros ($7.12million).,"Arsenal youth product Mavididi, 22, has signed a four-year deal with the French club after scoring eight goals in 28 games on loan at Ligue 1 side Dijon last season. Mavididi will join Michel Der Zakarian's attack which includes Africa Cup of Nations winner Andy Delort and Gaetan Laborde who were on the scoresheet 19 times across all competitions last season. ""It's a satisfaction to recruit of a top quality supplementary forward as the coach wanted. I hope our crack pair of forwards will become a good trio,"" president Laurent Nicollin said. The former England youth international will fill the gap left by veteran former Senegal forward Souleymane Camara who retired earlier this year. Montpellier finished eighth in the Ligue 1 table after the campaign was declared over due to the coronavirus pandemic and are also seeking to sign a goalkeeper to replace Geronimo Rulli who has returned to Real Sociedad after a loan spell at Stade de la Mosson."
6,15/05/2020,18:06,Montpellier captain Hilton signs contract extension at 42,"Montpellier's veteran captain Vitorino Hilton has signed an extension to his contract which will keep him at the club for another season, the Ligue 1 outfit announced on Friday.","The Brazilian centre-back, who turns 43 in September, was due to become a free agent in June and had talked of retiring but instead decided to continue. ""Is this the end of the end? We'll see,"" said club president Laurent Nicollin. ""We are delighted that he will continue the adventure with us for another year before we sell him to NASA so they can examine his body."" Hilton has played in France since 2004 and joined Montpellier from Marseille in 2011. ""I think it's going to be the last one, so for me it's the best one of all,"" Hilton said of his contract. ""It's even more than a dream."" ""To have the opportunity to play at the top level at 43 is exceptional for me. I'm going to make the most of it."" Hilton has played 483 matches in Ligue 1, some way short of the record of 586 for an outfield player set by Alain Giresse. Hilton has won league titles with Marseille in 2010 and with Montpellier in 2012. Montpellier were eighth in Ligue 1 when the season was ended by the coronavirus pandemic, and Hilton had played 33 times in all competitions."
7,02/05/2020,12:24,Montpellier midfielder Sambia recovering from coronavirus - club,"Montpellier midfielder Junior Sambia, the first Ligue 1 player to be struck down with the coronavirus, is on the road to recovery and is preparing to leave hospital, the club said Saturday.","""All really happy that you're doing better. We hope to see you very soon on the pitch,"" the club tweeted. The 23-year-old French player was last week admitted to a Montpellier hospital, where he was diagnosed with coronavirus and provisionally put into an artificial coma. While Sambia was the first Ligue 1 player affected by COVID-19, South Korean Hyun-jun Suk, who plays for Troyes in the second division, was the first professional player in France officially diagnosed with the virus. The pandemic has stopped French football, with 10 rounds of matches of the season left."
8,08/03/2020,23:44,Lille keep pressure on Rennes in Champions League race,Rennes shook off their painful midweek French Cup semi-final exit to thrash Montpellier 5-0 in Ligue 1 on Sunday and maintain their one-point lead over Lille in the race for France's third and final Champions League spot.,"Last season's Ligue 1 runners-up Lille kept the pressure on with a 1-0 win over Lyon. Rennes left-back Faitout Maouassa struck the opener inside 10 minutes at Roazhon Park and Adrien Hunou doubled the lead for Rennes, whose French Cup title defence was ended Thursday by a 2-1 loss to Saint-Etienne. Flavien Tait added a third for Rennes on 68 minutes before Romain Del Castillo converted a penalty. Hunou grabbed his second of the match from the spot late on to complete the rout. Lille edged out in-form Lyon thanks to a first-half goal from Loic Remy. The former Chelsea and Newcastle striker has now scored 11 goals in his last 18 appearances, having scored only three goals before that this season. ""We will continue our journey, our path,"" said Lille coach Christophe Galtier. ""It (the last part of the season) is a sprint and every match is going to be a fight."" Paris Saint-Germain's game at Strasbourg on Saturday was postponed due to fears over the coronavirus outbreak. The decision was made after a number of people tested positive for COVID-19 in the Haut-Rhin region, which neighbours the Bas-Rhin region where Strasbourg is located. It was the first Ligue 1 match to be called off because of the virus, which has infected 1,126 people in France and caused 19 deaths."
9,01/02/2020,19:55,"PSG win big again, but superstars Neymar and Mbappe leave Tuchel irritated","Paris Saint-Germain coach Thomas Tuchel admitted Neymar's latest lavish birthday celebrations were a ""distraction"" at a key time in the season after the Brazilian helped the Ligue 1 leaders to a 5-0 win over nine-man Montpellier on Saturday.","Neymar, with his hair dyed pink, shook off an injury scare and raged with the match officials while Pablo Sarabia, Angel Di Maria, Kylian Mbappe and Layvin Kurzawa all scored along with a Daniel Congre own goal as PSG went 13 points clear of Marseille at the top of the table. On Sunday, the Brazilian is set to host a lavish party for his 28th birthday at a Parisian nightclub, despite his team playing again on Tuesday against Nantes. ""It's a distraction, that's clear,"" said Tuchel. ""I always want to protect my players, and if there are difficult things to talk about I prefer to say them internally. ""These are distractions, and they give the impression we are not serious, not professional. But I don't really want to talk about it because then these things become big issues."" Neymar warmed up with a shirt bearing the name of Kobe Bryant and the number 24 of the basketball star who was killed in a helicopter crash last weekend. While Neymar didn't score, having to settle just for one assist, he produced his usual tricks, provoked the opposition, and required lengthy treatment at the end of the first half after appearing to hurt his ribs as he grappled for the ball with Montpellier's Arnaud Souquet. Unhappy with the some of the treatment reserved for him, Neymar was booked for dissent in the first half and was then caught by television cameras angrily remonstrating in Portuguese with the fourth official in the tunnel at half-time. Tuchel was also forced to answer questions about Mbappe's angry reaction to being taken off midway through the second half, as Edinson Cavani came on for a first appearance since a January move to Atletico Madrid fell through. ""It doesn't look good, but we are not the only club where players react like that,"" the coach said. ""This team shows how professional and focused they are every day, but this gives the impression it's not always like that and I'm sad because it's not necessary. ""I explained to him why he came off and that will be that. I always make decisions for sporting reasons. This is football, not tennis, and you have to respect everyone."" Sarabia was selected ahead of Mauro Icardi and Cavani to start with Mbappe up front, and the former Real Madrid player curled home a fine opener from 22 yards in the eighth minute for his 10th goal of the season. Montpellier's hopes of getting back into the game were then as good as over when goalkeeper Dimitry Bertaud was sent off in the 17th minute for coming out of his box to stop Mbappe bearing down on goal, only to block the ball with his arm and receive a straight red. On came young debutant goalkeeper Matis Carvalho and he had to pick the ball out of his net twice before the interval. Di Maria lifted the ball over him and in to make it 2-0 in the 41st minute, and shortly afterwards Teji Savanier's attempt to clear a Di Maria corner rebounded off the face of defender Congre and in. After Neymar cooled down at the break, he set up Mbappe to round Carvalho and score his 14th league goal of the season. Kurzawa drilled in the fifth in the 65th minute, and the visitors were reduced to nine men late on as substitute Joris Chotard saw two quick yellow cards. Marseille go to Bordeaux on Sunday looking for a first win there in 43 years, while Rennes strengthened their grip on third by scoring twice in injury time to claim a 3-2 win over local rivals Nantes on Friday."
