,date,hour,title,subtitle,text
0,13/02/2021,19:19,PSG warm up for Barcelona,Moise Kean struck the winning goal as a Paris Saint-Germain side missing the injured Neymar survived a scare to beat Nice 2-1 on Saturday and boost their Ligue 1 title hopes three days before facing Barcelona in the Champions League.,"Kean struck in the 76th minute for his 10th Ligue 1 goal since joining PSG on loan from Everton, handing Mauricio Pochettino's side the points after Julian Draxler's opener had been cancelled out by Rony Lopes at a freezing Parc des Princes. The result allowed the reigning champions to go provisionally top of the table on goal difference from Lille, who play Brest at home on Sunday. Lyon are two points back in third but can climb to the summit with a win at home to Montpellier later on Saturday. ""Today in the circumstances I think we need to be happy. We are in the position we need to be in,"" Pochettino told Canal Plus. ""I think we controlled the game and deserved the victory. We didn't play great but I think it was a very professional performance."" PSG are expected to be without Neymar for at least the next three weeks after the world's most expensive player came off with a groin injury in a midweek French Cup win at second-tier Caen, a huge blow ahead of the Champions League last 16, first leg in Barcelona on Tuesday. Angel di Maria will also be out for that game, and the Argentine watched the visit of Nice from the stands next to Marco Verratti, another key player on the injury list just now. PSG were knocked out of the Champions League in the last 16 in each of Neymar's first two seasons with the club, defeats against Real Madrid and Manchester United both coming after the Brazilian suffered an untimely injury. After reaching the final last season, the fear now is that another injury to their talisman could prove fatal to their hopes against Barcelona. ""We are missing some important players but we have a squad in whom we can trust,"" insisted Pochettino. ""It is always better when you have everyone available but of course we are going to try to win the game and there can be no excuses."" Pochettino handed starts to Kean and Mauro Icardi alongside Kylian Mbappe in attack against Nice, as PSG sported a pink and violet-coloured fourth kit with player names on the back in Mandarin to mark the Lunar New Year. The new look inspired the home side to go in front midway through the first half thanks to Draxler, who followed up to score after Icardi had turned Thilo Kehrer's cross onto the post, the German scoring on his first league start since October. However, a Nice side who have struggled badly for form this season drew level five minutes into the second half when Marquinhos attempted a pass out from the back but only succeeded in finding Lopes, who picked up the ball on the edge of the box and fired high into the net. Keylor Navas then turned Amine Gouiri's shot onto the bar with PSG on the ropes, but Pochettino's side grabbed the winner with just under quarter of an hour left. Mbappe's cross from the left to the back post was returned into the six-yard area by Icardi, and Kean headed in."
1,17/01/2021,23:44,Metz end Lyon's run as PSG take Ligue 1 lead,Lyon slumped to a shock 1-0 home defeat to Metz on Sunday that ended a long unbeaten run and allowed Paris Saint-Germain to stay top of Ligue 1.,"Rudi Garcia's side had come into Sunday's late match on the back of 16 league games without defeat, knowing that a win would have put them back in the lead of France's top flight. However Aaron Leya Iseka struck in the final minute to snatch the points for resilient Metz, who had to withstand a second-half onslaught before finally prevailing and moving ninth. ""We pushed, they pushed, and we were rewarded for our efforts. We knew that we would have little of the ball and that we would have to counter well, and that's what we did,"" said Belgian Leya Iseka. The loss leaves Lyon third, two points behind PSG and Lille, whose own late goal from Jonathan David secured a 2-1 win over Reims. Lyon should have taken the lead six minutes before the break when Karl Toko Ekambi was fed by Tintotenda Kadewere on a breakaway attack. Cameroonian Ekambi, who had forced a good save from Alexandre Oukidja three minutes earlier, successfully cut inside to fashion himself a shooting opportunity but could only blast over. Three minutes later Metz twice came close to taking a shock lead, first hitting the post following a Farid Boulaya cross before Marcelo charged back to block Lamine Gueye's shot on the line. With 16 minutes remaining Ekambi slammed home what he thought was the opener when the ball fell to him after fine play between Memphis Depay and Thiago Mendes. However after a long VAR review the goal was ruled out for Houssem Aouar straying offside when Mendes shot and then pressuring Metz defender Fabien Centonze, who had nodded the ball out to Ekambi. Islam Slimani had the perfect chance to win the match with seven minutes left of his Lyon debut but he shanked his shot, and Oukidja then did brilliant to keep out Aouar's close range effort after fine work from Memphis Depay. That allowed Leya Iseka to claim a shock win for Metz. Earlier David pounced in the first minute of stoppage for Lille to tap home after Xeka's powerful low drive was spilled by Reims goalkeeper Predrag Rajkovic to put Lille on 42 points, equal with champions PSG. Jonathan Bamba's long-range leveller two minutes after the break gave Lille a chance to snatch the win after Arber Zeneli had given Reims a 35th-minute lead with a cross that bamboozled home stopper Mike Maignan. Monaco are six points off the lead in fourth after Wissam Ben Yedder's brace gave them a 3-2 win over Montpellier on Friday. The Principality club are level on 36 points with fifth-placed Rennes, who earlier on Sunday fought back from going a goal down after just three minutes at Brest to win 2-1. Saint-Etienne are just four points above the relegation zone after a 1-0 defeat at Strasbourg. The 10-time French champions are 16th and winless in five league matches thanks in part to a missed 10th-minute penalty from Ryad Boudebouz. Ludovic Ajorque scored the winner for the team from Alsace just before the half-hour mark. Nantes are hovering above the drop zone after drawing 1-1 at home with Lens, with Gael Kakuta's 81st-minute leveller for the away side denying Raymond Domenech a first win in charge of the hosts. The former France coach has guided Nantes to three straight draws since his much-derided appointment last month, with his team battling a run of games without a win that stretches back to early November. Bordeaux strolled to a thumping 3-0 win at Nice, who are also without a win in five."
2,04/01/2021,21:53,Saliba completes loan move from Arsenal to Nice,"Arsenal defender William Saliba has moved to Nice on loan until the end of the season, both clubs announced on Monday.","In a statement, Ligue 1 outfit Nice said the deal with Arsenal for the 19-year-old was without an option to buy, although a source close to the deal told AFP that the loan could be extended into next season. Arsenal said that the move had the aim of giving Saliba ""the chance for more competitive playing time"". ""We're confident he will have a great career with us but we must remember that he is still only 19 years old and has a lot of time ahead of him,"" said Arsenal's technical director Edu. Saliba has yet to feature for the Gunners' first team since joining from Saint-Etienne in June. The Premier League outfit paid 30 million euros ($36.8 million) in July 2019 for the France under-20 international before sending him back to Saint-Etienne on-loan for a season. Saliba could come in as cover for injured captain Dante for Wednesday's trip to Brest, Nice's first match since the winter break."
3,19/12/2020,23:47,Kadewere helps 'magnificent' Lyon go top of Ligue 1,Lyon climbed to the top of Ligue 1 as Zimbabwe attacker Tino Kadewere scored a goal and set up another in a 4-1 win at Nice on Saturday.,"Kadewere made an impact either side of half-time to move his side a point above Lille who entertain third-placed Paris Saint-Germain on Sunday. ""We understand each other on the field when we play together,"" he told Canal+ of his teammates. ""If you play with players like my teammates it's magnificent, we have a lot of good players. ""We need to work further to finish the season with a lot of points to get back to the Champions League."" The visitors' boss Rudi Garcia handed Belgium defender Jason Denayer his 100th Lyon appearance as Memphis Depay returned to the starting line-up after scoring off the bench in the midweek draw with Brest. Nice attacker Jeff Reine-Adelaide was ineligible for the fixture against his parent club as Alexis Claude-Maurice came into Adrian Ursea's side on the right wing. Depay opened the scoring just after the half-hour mark with a 'Panenka' penalty before Kadewere took his tally for the season to six goals on 39 minutes. He intercepted a Hicham Boudaoui pass and beat home goalkeeper Walter Benitez with ease. Kadewere turned provider in the 63rd minute as he set up Cameroon striker Karl Toko Ekambi with a squared pass into the box. The three points were secured with less than 30 minutes to go as France playmaker Houssem Aouar fired home from close range for his first goal since late October. Earlier, Andre Villas-Boas said Marseille's 1-1 draw with Reims was a ""missed opportunity"" as they failed to move into the top three for the first time this season. Japan's Yuto Nagatomo scored an own goal before Florian Thauvin grabbed an equaliser at the Stade Velodrome. Villas-Boas' men, who lost to Rennes on Wednesday when Pape Gueye was sent off, stay fourth in the table, five points behind leaders Lyon, albeit with at least one game in hand on all their title rivals. ""It's a missed opportunity and I didn't expect it after a good performance when it was 11 v 11 at Rennes,"" the former Chelsea and Tottenham boss said. ""It's a blow and we were very disappointed in the changing room."" Opa Nguette and Farid Boulaya scored in Metz's 2-0 win over Lens to send their side up to eighth."
4,04/12/2020,14:22,Patrick Vieira sacked as Nice coach after run of defeats,"Patrick Vieira has been sacked as coach of Nice and replaced by his assistant following a run of five consecutive defeats, the French Ligue 1 club announced on Friday.","The final straw for the former Arsenal player and France 1998 World Cup winner was Thursday's 3-2 defeat at home to Bayer Leverkusen, which confirmed Nice's elimination from the Europa League. Adrian Ursea will take over from Vieira. The 53-year-old Romanian, who has spent much of his playing and coaching career in Switzerland, had been an assistant to previous Nice coach Lucien Favre and returned last year to work under Vieira. ""In a meeting after last night's match, the Nice board informed Patrick Vieira of its decision to put an end to their collaboration,"" the club said in a statement. ""Patrick Vieira put all his heart and professionalism into his service for OGC Nice over the last two and a half years."" Appointed in 2018, Vieira had been under growing pressure after last week's shock home defeat by struggling Dijon left the ambitious Cote d'Azur club in the bottom half of Ligue 1. His side had been badly hampered by the loss of veteran captain Dante, the former Brazil defender, to a serious knee injury. Now 44, Vieira had not worked in France since leaving Cannes for AC Milan in 1995 but joined Nice in June 2018 after two and a half years in charge of MLS side New York City FC. Before that he had been coaching the development squad at Manchester City, where he ended his playing career in 2011. Vieira took Nice to seventh in Ligue 1 in his first season and then fifth place and European qualification in the last campaign, which was curtailed because of the coronavirus pandemic. Nice had been hoping to build on that and challenge towards the top of the table this season following considerable investment from the club's owners Ineos. The group chaired by Monaco-based British petrochemicals billionaire Jim Ratcliffe took over Nice last year, adding the club to a portfolio of sporting ventures which included Swiss side Lausanne-Sport but also cycling's Team Ineos, formerly Team Sky. Ineos, which has also invested in the Mercedes Formula One team and an America's Cup sailing team, wants Nice to become regulars in European competition, a status that currently appears under threat, even if they are only six points off the top five in Ligue 1 and have a game in hand. After Thursday's defeat, which was their fourth in five Europa League group matches, Vieira admitted he was ""weakened as any coach who has lost five consecutive games is"". ""We are as disappointed as the supporters,"" he said. Born in Senegal, Vieira was capped 107 times by France between 1997 and 2009. He came off the bench in their win over Brazil in the 1998 World Cup final and then played a central role in France's victory at Euro 2000. Vieira also played in the team that reached the World Cup final in 2006, while at club level he enjoyed enormous success in nine years under Arsene Wenger at Arsenal, winning three Premier League titles. He is not the only star of that France generation to have been sacked by a Ligue 1 club in recent times: Thierry Henry, his former colleague at Arsenal, notably had a disastrous three-month spell at Monaco in 2018/19. Vieira has in the past stated a desire to one day return to manage in Italy -- where he also played for Juventus and Inter Milan -- or England, but his departure from Nice is likely to be a major setback to those plans."
5,20/09/2020,23:00,Mbappe inspires PSG to victory in Nice,Kylian Mbappe returned to the starting line-up for Paris Saint-German on Sunday and scored the opener in a 3-0 win at Nice which marks another step on the road to recovery for the French champions.,"The 21-year-old, who tested positive for coronavirus on September 7, was on target from the penalty spot in the 38th minute. Angel di Maria added a second just before half-time and Marquinhos headed the third after 66 minutes. Mbappe thought he had scored a fourth late on but it was ruled out for offside. He was replaced by Pablo Sarabia shortly after. ""I'm impressed by his performance after only one training session with the team,"" said coach Thomas Tuchel. ""He always shows that he can do extraordinary things and that he knows how to make a difference. It helps us a lot."" It was a second successive Ligue 1 win for PSG who began the season still smarting from defeat in the Champions League final. They lost their opening two games and the second ended in a mass brawl against Marseille which led to the suspension of Brazilian forward Neymar. With Marco Verratti also back, PSG rarely looked troubled in the sunshine of the Mediterranean. When 19-year-old Khephren Thuram-Ulien clipped Mbappe's ankle as the striker surged into the box, the France forward picked himself up to blast the ball high into the net. Four minutes later, Nice almost levelled when PSG keeper Keylor Navas had to get down sharply to his left to beat away a shot from Rony Lopes. Mbappe was back in the thick of it as the game entered stoppage time at the end of the first half. Losing two defenders, Mbappe fired in a sharp shot which Nice keeper Walter Benitez did well to parry but only as far as the feet of Di Maria, who tapped in for 2-0. PSG continued to control the game after the break and were rewarded with a third when Marquinhos got in front of the defence to head home. Saint-Etienne just about held onto top spot in the table despite throwing away a two-goal lead to draw 2-2 at Nantes and end their perfect start to the new season. Claude Puel's side are level on 10 points with next weekend's opponents Rennes after goals from Moses Simon in the 71st minute and Renaud Emond five minutes from time cancelled out Adil Aouchiche and Yvann Macon's strikes for the away side. Later, Valere Germain salvaged a late point Marseille in a 1-1 draw with Lille thanks to his 85th-minute equaliser. Luiz Araujo had claimed a 47th-minute lead for the visitors at Stade Velodrome."
6,20/09/2020,15:21,Mbappe inspires PSG to victory in Nice,Kylian Mbappe returned to the starting line-up for Paris Saint-German on Sunday and scored the opener in a 3-0 win at Nice which marks another step on the road to recovery for the French champions.,"The 21-year-old, who tested positive for coronavirus on September 7, was on target from the penalty spot in the 38th minute. Angel di Maria added a second just before half-time and Marquinhos headed the third after 66 minutes. Mbappe thought he had scored a fourth late on but it was ruled out for offside. He was replaced by Pablo Sarabia shortly after. It was a second successive Ligue 1 win for PSG who began the season still smarting from defeat in the Champions League final. They lost their opening two games and the second ended in a mass brawl against Marseille which led to the suspension of Brazilian forward Neymar. With Marco Verratti also back, PSG rarely looked troubled in the sunshine of the Mediterranean. When 19-year-old Khephren Thuram-Ulien clipped Mbappe's ankle as the striker surged into the box, the France forward picked himself up to blast the ball high into the net. Four minutes later, Nice almost levelled when PSG goalie Keylor Navas had to get down sharply to his left to beat away a shot from Rony Lopes. Mbappe was back in the thick of it as the game entered stoppage time at the end of the first half. Losing two defenders, Mbappe fired in a sharp shot which Nice goalie Walter Benitez did well to parry but only as far as the feet of Di Maria, who tapped in for 2-0. PSG continued to control the game after the break and were rewarded with a third when Marquinhos got in front of the defence to head home."
7,17/09/2020,22:58,Dolberg among three Covid-19 cases before Nice host PSG,"Three Nice players including Denmark forward Kasper Dolberg have tested positive for coronavirus ahead of hosting Paris Saint-Germain this weekend, sources told AFP on Thursday.",The 22-year-old former Ajax striker's team-mates in French winger Alexis Claude-Maurice and defender Stanley Nkosi have also contracted the illness. The sources who spoke to AFP confirmed a news report in the French publication l'Equipe. The club refused to comment when contacted by AFP and said coach Patrick Vieira would hold his weekly pre-match press conference on Friday. The Parisians head to the Allianz Riviera on Sunday with the French league protocol saying games are to be postponed if four or more cases of the virus are found at one side. jgi-jp/iwd/lc
8,28/08/2020,19:23,Veteran Japan keeper Kawashima comes in from the cold at Strasbourg,"Strasbourg coach Thierry Laurey is expected to stick with Eiji Kawashima between the posts for Saturday's Ligue 1 visit of Nice, the 37-year-old Japan international emerging as an unlikely starter having entered the season as the club's third-choice goalkeeper.","Kawashima, a veteran of three World Cups with Japan, made his first club appearance since May 2019 in last weekend's 3-1 loss in the season opener at Lorient after a combination of injury and illness decimated Strasbourg's goalkeeping ranks. Matz Sels, a virtual ever-present since signing from Newcastle in 2018, ruptured his Achilles tendon in July. Bingourou Kamara, who starred in Strasbourg's 2019 League Cup title run, tested positive for Covid-19 at the start of August, propelling the well-travelled Kawashima into the lead role. ""It's clear the players who are behind physically haven't been able to recover. We'll take stock after the first international break,"" Laurey said in reference to the nine players at the club who have contracted Covid-19. Kawashima, idolised in his home country on the back of appearing 91 times for Japan, described his return to Ligue 1 action a week ago as a ""pleasure"" despite finishing on the losing side. He has now spent a decade in Europe, originally arriving in Belgium with Lierse in 2010 before moving on to Standard Liege two years later. Kawashima joined Dundee United for the 2015-16 campaign, one that ended in relegation from Scotland's top flight. Following his release he signed for Metz, staying for two seasons, and then came to Strasbourg in the weeks following the 2018 World Cup, where Japan lost 3-2 to Belgium in the last 16 after surrendering a two-goal lead. ""There were possibilities abroad, I could also have returned to Japan but that wasn't my aim,"" Kawashima told AFP. ""I wanted to stay in France where there are some good competitions."" He has, however, largely watched on from the stands in Alsace, and occasionally from the substitutes' bench. But just like at Metz, Kawashima has suddenly gone from a back-up role to the starter in the blink of an eye. ""I put in the effort to play well, I work each day with the same mentality in training or in a match,"" he said. ""If there's a chance for me, I'm here to help the group. It's then up to the coach to decide."" Kawashima is the league's second oldest keeper behind Marseille's Yohann Pele but is still dreaming of playing at a fourth World Cup in Qatar in 2022, downplaying his advancing years by insisting ""it's all in the mind"". For Kamara, 23, the Covid-19 infection was an unfortunate setback, forcing him into a two-week quarantine until August 18 and stifling his momentum. It could also shake up the pecking order behind Sels, who will not return before 2021. ""It's bound to be disappointing for him deep down but I'm trying to tell him it's part of a career,"" Strasbourg's goalkeeping coach Stephane Cassard told AFP, advising Kamara to stay ""patient and positive""."
9,21/08/2020,15:25,Nice coach Vieira 'worried' after two players contract virus,Nice coach Patrick Vieira says he is concerned about the impact two COVID-19 cases could have on the club ahead of the start of the new French season this weekend.,"A number of Ligue 1 clubs have reported positive tests in recent days and Nice announced Friday two of their players were held out of training and placed in quarantine after contracting the virus. ""I felt on the pitch the rest of the squad is worried. I am too, for the match against Lens on Sunday and for what happens next,"" Vieira said at a news conference on Friday. ""It complicates the planning. We'll have to put up with it and be very responsible at home."" Lens are awaiting the results of further tests after defender Jonathan Clauss returned a positive sample earlier in the week. ""I hope we will play. If we start by postponing the first weekend, we'll get nowhere,"" said Lens coach Franck Haise. ""I think we need to play as much as we can when it's possible otherwise we're going to finish the season in 2023."" A 57-page medical and health protocol set up by the French league is designed to limit stoppages and reduce contamination as much as possible. Players will be tested two to three days before each match and a game will be postponed as soon as four cases are found at the same club within an eight-day period. Friday's scheduled Ligue 1 opening fixture between Marseille and Saint-Etienne was postponed due to an outbreak at the former. Fans will instead be greeted by Bordeaux hosting Nantes."
