,date,hour,title,subtitle,text
0,17/01/2021,23:44,Metz end Lyon's run as PSG take Ligue 1 lead,Lyon slumped to a shock 1-0 home defeat to Metz on Sunday that ended a long unbeaten run and allowed Paris Saint-Germain to stay top of Ligue 1.,"Rudi Garcia's side had come into Sunday's late match on the back of 16 league games without defeat, knowing that a win would have put them back in the lead of France's top flight. However Aaron Leya Iseka struck in the final minute to snatch the points for resilient Metz, who had to withstand a second-half onslaught before finally prevailing and moving ninth. ""We pushed, they pushed, and we were rewarded for our efforts. We knew that we would have little of the ball and that we would have to counter well, and that's what we did,"" said Belgian Leya Iseka. The loss leaves Lyon third, two points behind PSG and Lille, whose own late goal from Jonathan David secured a 2-1 win over Reims. Lyon should have taken the lead six minutes before the break when Karl Toko Ekambi was fed by Tintotenda Kadewere on a breakaway attack. Cameroonian Ekambi, who had forced a good save from Alexandre Oukidja three minutes earlier, successfully cut inside to fashion himself a shooting opportunity but could only blast over. Three minutes later Metz twice came close to taking a shock lead, first hitting the post following a Farid Boulaya cross before Marcelo charged back to block Lamine Gueye's shot on the line. With 16 minutes remaining Ekambi slammed home what he thought was the opener when the ball fell to him after fine play between Memphis Depay and Thiago Mendes. However after a long VAR review the goal was ruled out for Houssem Aouar straying offside when Mendes shot and then pressuring Metz defender Fabien Centonze, who had nodded the ball out to Ekambi. Islam Slimani had the perfect chance to win the match with seven minutes left of his Lyon debut but he shanked his shot, and Oukidja then did brilliant to keep out Aouar's close range effort after fine work from Memphis Depay. That allowed Leya Iseka to claim a shock win for Metz. Earlier David pounced in the first minute of stoppage for Lille to tap home after Xeka's powerful low drive was spilled by Reims goalkeeper Predrag Rajkovic to put Lille on 42 points, equal with champions PSG. Jonathan Bamba's long-range leveller two minutes after the break gave Lille a chance to snatch the win after Arber Zeneli had given Reims a 35th-minute lead with a cross that bamboozled home stopper Mike Maignan. Monaco are six points off the lead in fourth after Wissam Ben Yedder's brace gave them a 3-2 win over Montpellier on Friday. The Principality club are level on 36 points with fifth-placed Rennes, who earlier on Sunday fought back from going a goal down after just three minutes at Brest to win 2-1. Saint-Etienne are just four points above the relegation zone after a 1-0 defeat at Strasbourg. The 10-time French champions are 16th and winless in five league matches thanks in part to a missed 10th-minute penalty from Ryad Boudebouz. Ludovic Ajorque scored the winner for the team from Alsace just before the half-hour mark. Nantes are hovering above the drop zone after drawing 1-1 at home with Lens, with Gael Kakuta's 81st-minute leveller for the away side denying Raymond Domenech a first win in charge of the hosts. The former France coach has guided Nantes to three straight draws since his much-derided appointment last month, with his team battling a run of games without a win that stretches back to early November. Bordeaux strolled to a thumping 3-0 win at Nice, who are also without a win in five."
1,06/11/2020,23:20,Sanson strike edges Marseille past struggling Strasbourg,A rejigged Marseille line-up was forced to dig deep for a narrow 1-0 win over Strasbourg in Ligue 1 on Friday as a thunderous strike from Morgan Sanson sealed three precious points against the run of play.,"The result gives Marseille coach Andre Villas-Boas a little breathing space after his team lost 3-0 at Porto in the Champions League on Tuesday. Marseille climbed to within three points of Ligue 1 leaders Paris Saint-Germain, with all the top outfits on nine games ahead of PSG's clash with third-placed Rennes on Saturday. PSG lead Ligue 1 with 21 points, Lille have 19 and Rennes and Marseille both have 18. The acrobatic 72nd minute shot from the edge of the area from midfielder Sanson was set up by Dimitri Payet, who had come on as a substitute with 20 minutes remaining at a cold, windy and empty Stade de la Meinau. Payet replaced former Newcastle player and France international Florian Thauvin, who was playing his 200th game for Marseille. After a miserable first half without a single shot on target from either side Strasbourg defender Anthony Caci hit the crossbar with a deflected shot just ahead of the hour. The visitors also appealed for a penalty when the ball appeared to hit Stefan Mitrovic's hand but the referee waved play on. Strasbourg coach Thierry Laurey is currently sidelined with Covid-19 and his side are second bottom on six points from 10 games."
2,18/10/2020,16:42,Lyon back on track after Depay triple assist,Captain Memphis Depay set-up three goals as Lyon beat Strasbourg 3-2 away in Ligue 1 on Sunday to claim their first win since August.,"Netherlands' attacker Depay was the provider for Tino Kadewere and twice for Karl Toko Ekambi in the first half before Habib Diallo and Jean-Eudes Aholou scored for the hosts. Depay's side move up to eighth with their first three points since an August 28 win over Dijon. Strasbourg remain in 18th with just one victory this season. Zimbabwe forward Kadewere opened the scoring after a quarter of an hour, firing home first time from Depay's long ball. Depay, who also assisted Donny van de Beek on international duty on Wednesday, then combined on two occasions with Toko Ekambi before the 42-minute mark to make it 3-0. The hosts fought back as Senegal's Diallo cut the deficit 79 seconds later. Ivory Coast midfielder Aholou, on loan from Monaco then made it a one-goal game with his first effort since the opening day of last season with a left-footed volley into the bottom corner 10 minutes into the second half. Depay, who was linked with a move to Barcelona during the transfer window, almost claimed a fourth assist but Marcelo's header from a corner was blocked on the line by Kenny Lala. The highlight of later matches Sunday is the northern derby as third-placed Lille host promoted Lens in fourth. On Saturday, Marseille warmed up for their return to the Champions League next week with a 3-1 victory over Bordeaux. On Friday, Kylian Mbappe scored twice in PSG's 4-0 win at Nimes."
3,08/10/2020,18:39,Former fan favourite Strasbourg president Gindorf dies aged 89,"Former Strasbourg president Egon Gindorf, who used to watch home matches in the stands with supporters, has died at the age of 89, the Ligue 1 club announced on Thursday.","""All our thoughts are with his family, loved ones and all Racing (Strasbourg) fans who have today lost a emblematic and historic figure in the club's history,"" the club said in a statement. Gindorf, who took charge of the club in 2003, oversaw the side when they won the League Cup in 2005. He won over the locals by joining the club's hardcore 'ultra' supporters in the stands for matches, and on very cold nights he would even share a pot of split pea soup with his fellow fans. He quit his position in December 2005 for personal reasons, after which the club began a slow slide down the divisions and years of instability before re-establishing themselves as a Ligue 1 team in 2017."
4,28/08/2020,19:23,Veteran Japan keeper Kawashima comes in from the cold at Strasbourg,"Strasbourg coach Thierry Laurey is expected to stick with Eiji Kawashima between the posts for Saturday's Ligue 1 visit of Nice, the 37-year-old Japan international emerging as an unlikely starter having entered the season as the club's third-choice goalkeeper.","Kawashima, a veteran of three World Cups with Japan, made his first club appearance since May 2019 in last weekend's 3-1 loss in the season opener at Lorient after a combination of injury and illness decimated Strasbourg's goalkeeping ranks. Matz Sels, a virtual ever-present since signing from Newcastle in 2018, ruptured his Achilles tendon in July. Bingourou Kamara, who starred in Strasbourg's 2019 League Cup title run, tested positive for Covid-19 at the start of August, propelling the well-travelled Kawashima into the lead role. ""It's clear the players who are behind physically haven't been able to recover. We'll take stock after the first international break,"" Laurey said in reference to the nine players at the club who have contracted Covid-19. Kawashima, idolised in his home country on the back of appearing 91 times for Japan, described his return to Ligue 1 action a week ago as a ""pleasure"" despite finishing on the losing side. He has now spent a decade in Europe, originally arriving in Belgium with Lierse in 2010 before moving on to Standard Liege two years later. Kawashima joined Dundee United for the 2015-16 campaign, one that ended in relegation from Scotland's top flight. Following his release he signed for Metz, staying for two seasons, and then came to Strasbourg in the weeks following the 2018 World Cup, where Japan lost 3-2 to Belgium in the last 16 after surrendering a two-goal lead. ""There were possibilities abroad, I could also have returned to Japan but that wasn't my aim,"" Kawashima told AFP. ""I wanted to stay in France where there are some good competitions."" He has, however, largely watched on from the stands in Alsace, and occasionally from the substitutes' bench. But just like at Metz, Kawashima has suddenly gone from a back-up role to the starter in the blink of an eye. ""I put in the effort to play well, I work each day with the same mentality in training or in a match,"" he said. ""If there's a chance for me, I'm here to help the group. It's then up to the coach to decide."" Kawashima is the league's second oldest keeper behind Marseille's Yohann Pele but is still dreaming of playing at a fourth World Cup in Qatar in 2022, downplaying his advancing years by insisting ""it's all in the mind"". For Kamara, 23, the Covid-19 infection was an unfortunate setback, forcing him into a two-week quarantine until August 18 and stifling his momentum. It could also shake up the pecking order behind Sels, who will not return before 2021. ""It's bound to be disappointing for him deep down but I'm trying to tell him it's part of a career,"" Strasbourg's goalkeeping coach Stephane Cassard told AFP, advising Kamara to stay ""patient and positive""."
5,06/03/2020,22:28,PSG's game at Strasbourg postponed over virus fears,"Paris Saint-Germain's Ligue 1 game at Strasbourg on Saturday has been postponed over coronavirus fears, the French football league (LFP) announced on Friday.","""Following an order from the Bas-Rhin authorities concerning the spread of the coronavirus, the meeting is postponed,"" the LFP said in a statement. It is the first French league match to be postponed because of the new coronavirus. The decision was made after a number of people tested positive for COVID-19 in the Haut-Rhin region, which neighbours the Bas-Rhin region where Strasbourg is located. ""The arrival of 26,000 at the Stade de la Meinau, a quarter of which would come from the Haut-Rhin region, is likely to promote the spread of COVID-19,"" local authorities said in a statement. On Friday, the French health ministry said that the number of coronavirus infections in the country had jumped by 154 to 577, with two more deaths bringing the total toll to nine. Runaway Ligue 1 leaders PSG will not be too put out by the postponement, as the decision will give them an extra day of rest before their Champions League last-16 second leg against Borussia Dortmund at the Parc des Princes on Wednesday. Strasbourg sit 10th in the French top flight, eight points off a Europa League spot. ""Faced with the risks associated with the coronavirus and its spread, we understand that people's health, in this case spectators'... represents an absolute priority,"" said Strasbourg president and former France international Marc Keller."
6,16/02/2020,19:47,Lyon's Ligue 1 slump continues with Strasbourg draw,Lyon's poor form in Ligue 1 continued on Sunday with a 1-1 home draw against Strasbourg at a blustery Groupama Stadium that leaves them languishing in mid-table.,"Rudi Garcia's side are 10th on 34 points after a fourth match without a win, one in which the away side struck the post twice late on. ""There wasn't enough going forward,"" said Garcia. ""We didn't create enough goal-scoring opportunities and we didn't shoot enough at goal. We didn't do enough as the home side."" Burkino Faso international Bertrand Traore gave the hosts the lead in the 21st minute when he stooped to head home Maxwel Cornet's brilliant swinging cross. Strasbourg, who sit seventh, three points away from the European places, were level just before the break. Kevin Zohi latched onto Majeed Arsis's through ball and slotted home as the Lyon defence and the linesman had their arms aloft for offside. The goal was initially ruled out but a VAR check showed that Zohi was onside before he fed his finish in off the post. The hosts struggled to break down Strasbourg in the second half. The visitors came within inches of snatching the win in the dying moments. With three minutes left Kenny Lala curled a shot off the post. Then Strasbourg somehow failed to grab the winner in stoppage time. Dimitri Lienard's free kick from the touchline slapped the base of the post and sprung out to Alexander Djiku, who from centimetres out knocked the ball wide of the other upright as his teammates looked on in horror. Later, Marseille will be looking to to bounce back from Wednesday's French Cup exit at the hands of Lyon by strengthening their grip on second place with a win at Lille without star man Dimitri Payet. Andre Villas Boas' side are eight points ahead of third-placed Rennes, who suffered a shock 1-0 home defeat to Reims on Sunday, while Lille will take third and the last Champions league spot should they end Marseille's 13-match unbeaten run in Ligue 1. Brest moved seven points clear of the relegation zone after a 3-2 win against Saint-Etienne that plunges the 10-time French champions to within just two points of the drop."
7,10/02/2020,12:16,African players in Europe: Gambian Barrow stars in Italy,"Gambian Musa Barrow was the star African performer in Europe at the weekend, scoring twice for Bologna in a 3-2 Serie A victory at Roma.","The 21-year-old forward is on loan from Champions League last-16 qualifiers Atalanta and valued at 13 million euros ($14,2 mn). He stole the limelight as many African stars, including Liverpool duo Sadio Mane and Mohamed Salah, were enjoying mid-season breaks. WILFRIED ZAHA (Crystal Palace) The Ivorian's fifth assist of the season for Christian Benteke was not enough to halt Crystal Palace's Premier League slide as the Eagles were beaten 3-1 at Everton. Palace have not won in eight games and remain six points above the relegation zone. YOUSSEF EN-NESYRI (Sevilla) The Moroccan scored his first goal for Sevilla but could not prevent them slipping to a 2-1 defeat at struggling Celta Vigo in La Liga. En-Nesyri joined Sevilla from Leganes last month and put them ahead after racing clear and finishing in the 23rd minute. MUSA BARROW (Bologna) The Gambian scored two excellent individual efforts either side of half-time to send Bologna on their way to a 3-2 victory over Roma. Barrow has scored three goals in four games since moving to Bologna, who climbed to seventh, just one point off the Europa League berths. JEREMIE BOGA (Sassuolo) The Ivorian found the net for a second consecutive game with his 90th-minute header and also earned the penalty that gave Sassuolo their first goal in a 2-1 win at rock-bottom SPAL. Boga has scored seven league goals this season. FRANCK KESSIE (AC Milan) Ivory Coast midfielder Kessie set up AC Milan's second goal with his clever flick towards Zlatan Ibrahimovic allowing the Swede to head in against city rivals Inter Milan. But Milan let their two-goal advantage from the first half slip and fell 4-2 to drop to 10th. ACHRAF HAKIMI (Borussia Dortmund) The Moroccan was a handful on the right wing, but his Dortmund team leaked two late goals within 82 seconds to crash to a 4-3 defeat at Bayer Leverkusen. At 2-2 early in the second half, it was Hakimi's return pass that Jadon Sancho swept home for a superb strike, which was disallowed after the VAR spotted a push in the build up. However, the 21-year-old, on loan from Real Madrid for the rest of the season, set up Raphael Guerreiro, who fired home from a tight angle moments later to put Dortmund 3-2 up with 25 minutes left. SALOMON KALOU (Hertha Berlin) The 34-year-old former Ivory Coast striker is set to leave Hertha Berlin when his contract runs out in June, having sat out a 3-1 defeat at home to Mainz -- the fifth game in a row head coach Jurgen Klinsmann has left him out of the squad. After his contract expires, the former Chelsea forward says he would like to link up with former Blues team-mate John Terry, now assistant coach at Aston Villa, but would have difficulty getting a permit to play in England, so America could be an option. VICTOR OSIMHEN (LILLE) The Nigerian striker continued his fine debut campaign in Ligue 1 with the opening goal as Lille won 2-0 at Angers to move to within a solitary point of the Champions League places. It was his 12th league goal of the season, but the 21-year-old's night ended when he was stretchered off in the second half with an apparent thigh injury. MAJEED WARIS (STRASBOURG) The 28-year-old Ghanaian forward returned for a third spell in France last month when he joined Strasbourg from Porto on a loan deal that will be turned into a permanent transfer at the end of the season. He scored his first goal for his new club in a 1-0 win at Toulouse last midweek and followed that up by scoring again in a 3-0 win over Reims that left Strasbourg just outside the European places in France's top flight."
8,20/10/2019,23:37,"Marseille end slump with Strasbourg win, Ben Yedder saves Monaco",Marseille ended a four-match winless streak in Ligue 1 on Sunday after Boubacar Kamara's early strike and a late Kevin Strootman penalty saw them to a deserved victory over lowly Strasbourg.,"Kamara, 19, struck the opener with just two minutes on the clock when his shot was deflected home by Strasbourg defender Ludovic Ajoruqe, and Strootman finished off with a calm spot-kick deep in stoppage time after Dario Benedetto was brought down by Mohamed Simakan. The win sends Andre Villas Boas' inconsistent side fourth, one point off the Champions League places, while Strasbroug drop to the bottom of the league after a performance that offered little. However, Marseille are still eight points behind leader Paris Saint-Germain, who swatted Nice aside 4-1 on Friday. The hosts could have easily won by more, striking the woodwork either side of half-time through Duje Caleta-Car and Nemanja Radonjic. Benedetto also wasted a decent opportunity in the 56th minute with Marseille still just a goal up when he failed to get a contact on Maxine Lopez's cross, but in the end it mattered little. Wissam Ben Yedder fired Monaco out of the Ligue 1 mire with a stoppage time winner that earned an entertaining 3-2 win over Rennes. Yedder pounced on Keita Balde's flick two minutes into added time to lash home a powerful left-foot finish and send Leonardo Jardim's side up to 14th just as it looked as if a handball spotted by VAR had denied them the three points. The scores were level thanks to Islam Slimani equalising Faitout Maouassa and Adrien Honou's strikes for Rennes when Balde thought he had won the game for Monaco seconds before Yedder's winner. Balde capitalised on a dreadful error by Rennes goalkeeper Romain Salin to roll the ball into an empty net, only for the video assistants to spot him controlling the ball with his hand. The last-gasp winner was Ben Yedder's eighth goal in as many league matches, putting him top of the Ligue 1 scoring charts and making fans forget Radamel Falcao's departure to Galatasaray. ""I'm very happy, it wasn't an easy match. We scored in the last seconds and it was a very good goal, so I'm very happy,"" said Ben Yedder. The late goal means they are now level on 12 points with Toulouse, Amiens and 12th-placed Rennes, who have not won a match since August. Claude Puel continued his perfect start as Saint-Etienne coach. Denis Bouanga's stoppage time penalty at Bordeaux launched Puel's side into the top half of the table. The 10-time French champions were second-bottom in Ligue 1 after their home loss to Metz late last month but have won three straight, the last two under Puel. Their turnaround in form, which includes victory over local rivals Lyon in Puel's first match, has moved them to 10th place. Bordeaux meanwhile missed the chance to move into the Champions League positions with their second home loss on the bounce."
9,13/09/2019,15:22,Neymar could make PSG return Saturday: Tuchel,Neymar could return to action for Paris Saint-Germain on Saturday following four months of absence after the Brazilian was selected in the matchday squad for the Ligue 1 match against Strasbourg.,"PSG coach Thomas Tuchel said on Friday: ""We have 'Ney' in our squad, for sure"", adding ""he needs to make his comeback"". Neymar, the world's most expensive player, has had to come to terms with the prospect of a third season in Ligue 1 after PSG and his former club Barcelona failed to agree terms on a move before the transfer window shut on September 2. The 27-year-old has since been away on international duty for Brazil in two friendly matches in the United States, scoring one goal and making another in a 2-2 draw with Colombia and then coming on as a substitute in a 1-0 loss to Peru. Those were his first appearances this season after he was left out of French champions PSG's opening four league games amid uncertainty over his future. Asked if he feared Neymar would receive a hostile reception from the Parc des Princes crowd after supporters held up a banner reading ""Neymar, get lost"" at a match in August when it appeared he was about to join Barcelona, Tuchel said the fans' reaction was beyond his control. ""I can understand that all the supporters are not happy at the moment. But I can't influence this reaction or control the supporters,"" Tuchel said. ""The only thing that I can control is my team."""
