,date,hour,title,subtitle,text
0,13/02/2021,17:38,Haaland spares Dortmund blushes,A late equaliser from Erling Braut Haaland spared Borussia Dortmund's blushes on Saturday as they drew 2-2 at home against Bundesliga rivals Hoffenheim.,"Haaland's 81st minute strike averted a fourth defeat in five Bundesliga games for crisis-hit Dortmund. Yet even a draw leaves Dortmund three points adrift of the Champions League places in sixth, and heaps more pressure on interim coach Edin Terzic. Dortmund have won just four of ten league games since Terzic took the reins from Lucien Favre in December, prompting growing speculation over his future. Yet veteran defender Mats Hummels defended his coach on Saturday and backed Dortmund to revive their season. ""It's never the case that things are exactly how you want them a few weeks after a new coach takes over. That wasn't the case years ago under Jurgen Klopp, and it isn't the case now under Edin,"" Hummels told Sky. ""We're working hard, and success will come,"" he added. England international Jadon Sancho gave Dortmund a perfect start, racing up the left-wing to score his fourth league goal this season on 24 minutes. The lead didn't last long, as Munas Dabbur scuffed a shot past Marwin Hitz to level just seven minutes later. Ihlas Bebou bundled in Hoffenheim's second just after half-time, the ball bouncing off the Togolese and into the goal as Hitz tried to beat away a dangerous cross from the left wing. Haaland had a goal ruled out for offside in the second half before pouncing on a misplaced pass to snatch a crucial late equaliser. Fellow Champions League hopefuls Bayer Leverkusen also dropped points after they conceded two late goals to draw 2-2 with strugglers Mainz. Lucas Alario tapped in a low Moussa Diaby cross to give Leverkusen the lead on 14 minutes. Patrik Schick appeared to have sealed three points with a second on 84 minutes. Yet second-from-bottom Mainz were rewarded for a brave performance as late goals by Robert Glatzel and Kevin Stoeger saved a point and continued their recent revival under new coach Bo Svensson. Elsewhere, Werder Bremen were held to a 0-0 draw at home to Freiburg while Sami Khedira helped rescue a 1-1 draw for Hertha Berlin against boyhood club Stuttgart. ""It was the first time I'd ever played against Stuttgart so it was strange, but it was nice to come back,"" Khedira, who joined Hertha from Juventus in January after a decade abroad, told Sky. Austrian striker Sasa Kalajdzic headed in his ninth goal of the season to give Stuttgart the lead at the end of a scrappy first half. Veteran midfielder Khedira came off the bench in the second-half and set up a late equaliser for 17-year-old Luca Netz to save the capital club from a fifth straight defeat."
1,17/01/2021,17:41,Lewandowski scores record 21st league goal in Bayern win,Robert Lewandowski set a new record for the first half of a Bundesliga season on Sunday by netting his 21st league goal of 2020/21 as leaders Bayern Munich went four points clear with a 2-1 win over Freiburg.,"Lewandowski's early strike was cancelled out by a Nils Petersen equaliser before Thomas Mueller grabbed Bayern's late winner having earlier set up his Polish team-mate's record-breaking goal. The win saw Bayern open a four-point lead as the only top five club to win this weekend. With a game in hand, Lewandowski has broken Gerd Mueller's record of 20 goals in 17 matches for the first half of a German league season, set in 1968/69. Lewandowski, FIFA's best male player of 2020, has now scored nine goals in his last six league games He is on course to also break Mueller's all-time record of 40 goals in a single Bundesliga season from 1971/72. At exactly the same point during his record season, 49 years ago, 'The Bomber' Mueller had scored 17 goals, compared to Lewandowski's 21. Before kick-off, Bayern board member Oliver Kahn said the European champions will not sign any new players in this transfer window. However, Bayern again looked vulnerable and jaded after a league defeat at Moenchengladbach and shock German Cup exit at second division Holstein Kiel. As heavy snow fell in Munich, Lewandowski needed just seven minutes to give Bayern the lead when he fired home Mueller's pass after a Serge Gnabry run. Leroy Sane replaced Gnabry around the half-hour mark after the Germany winger limped off with a thigh strain. Lewandowski hit the post early in the first half and Freiburg goalkeeper Florian Mueller reacted quickly with a low save to deny Leon Goretzka. Petersen grabbed Freiburg's equaliser a minute after coming on as his low diving header hit the net from his first touch of the game on 62 minutes. Mueller restored their lead when he side-footed Sane's attempted volley into the net for the winning goal 16 minutes from the whistle. However the visitors laid seige to the Bayern goal and Petersen nearly grabbed another equaliser in added time when he clattered the Bayern crossbar, which sent snow flying, with Manuel Neuer beaten."
2,16/01/2021,02:45,German football's philosophical coach,"Embattled Bayern Munich face the Bundesliga's longest-serving current coach on Sunday in Christian Streich, the unorthodox trainer who has made buoyant Freiburg a force to be reckoned with, especially in recent weeks.","Freiburg have climbed the German table from 14th to eighth on the back of a club-record five straight league wins. Last Saturday's 5-0 thrashing of Cologne was Freiburg's biggest league victory for more than 20 years. Not that Streich gets excited about such things. ""It's not about records - the important thing is that we keep developing,"" he insisted. In contrast, Bayern are reeling from Wednesday's shock German Cup exit at second division Holstein Kiel and a 3-2 league defeat at Moenchengladbach. ""Bayern led 2-0, then lost 2-3, so you can imagine what's going on in Munich...."" said Streich, who fully expects to feel Bayern's wrath on Sunday. In football's luxury world of five-star hotels and private jets, Streich has both feet planted on the ground. He has a philosophical approach to the enormous transfer fees paid for football players. ""The god of money is getting bigger and bigger,"" he said after Paris Saint Germain paid Barcelona the world-record fee of 222 million euros ($268 million) for Brazil star Neymar in 2017. ""Eventually it will devour everything. But most people will only notice when everything has been devoured."" The 55-year-old encourages his players to talk about politics and current affairs. His press conferences often address issues far beyond football's cloistered world. When chancellor Angela Merkel controversially allowed an influx of refugees to come to Germany during the 2015 crisis, Streich did not hold back in his support of her decision. ""Right now is the time to open up to people, to receive them, to reduce fears,"" Streich said. ""It is often about the fear of others and the fear of strangers. ""It's about getting to know other ways of thinking."" Streich has just passed the milestone of a rare nine years in charge of Freiburg, three times longer than any of his current Bundesliga peers. The father of two lives in Freiburg and has been known to cycle to home games and, like many Germans, he is a self-confessed fan of naturism, known as 'Freikoerperkultur'. ""I'm not exactly your ideal marketing product,"" he said after being appointed Freiburg coach. ""I'm just a normal guy - no tattoos, no piercings."" Since Streich took charge in January 2012, Freiburg's picturesque Schwarzwald Stadion is a notoriously hard place for away teams to win. He has stuck with the club through thick and thin, ensuring Freiburg's return to the Bundesliga in 2016 just a year after relegation. Streich was born in Weil am Rhein, where the French, German and Swiss borders meet. The son of a butcher, he moved to neighbouring Freiburg as an 18-year-old, playing for amateur outfit Freiburger FC, Stuttgart Kickers, the city's main club Freiburg and Homburg. After a broken metatarsal cut short his playing career in 1995, he started coaching Freiburg's junior teams. He won three junior German Cup titles and one national title in charge of Freiburg Under-19s. In the process, Streich developed the talents of would-be future Germany internationals Dennis Aogo, Sascha Riether and Turkey defender Omer Toprak. He insists his home is Freiburg and rejects the idea of moving clubs to enhance his coaching CV. ""I get to go home to my family and friends every day - it's a privilege,"" he said. Streich has never tasted victory over current league leaders Bayern at the Allianz Arena, losing seven times in Munich. His only victory in 15 games against the Bavarian giants is a 2-1 home upset in 2014/15. ""I'm really looking forward to the game, insanely so,"" he said earlier this week. ""Matches against Bayern are always great experiences. ""And if they take us apart because they're so good - then that's the way it is,"" he added."
3,15/01/2021,16:52,Flick under pressure as Bayern Munich face in-form Freiburg after cup crash,Bundesliga leaders Bayern Munich host in-form Freiburg on Sunday under pressure to bounce back from consecutive defeats including their shock midweek German Cup exit.,"Freiburg are on a club record five-game winning streak in the league while Bayern are licking their wounds after crashing out of the German Cup to second-division Holstein Kiel in a penalty shoot-out. ""The team will now have to show the coach that what happened was a hiccup,"" Bayern chairman Karl-Heinz Rummenigge told Munich newspaper TZ. It was the first time for 20 years that Bayern have exited the cup in the second round to a club outside the Bundesliga and ends any potential repeat of last year's treble haul. The shock defeat left Bayern coach Hansi Flick knowing the European champions ""must do better"" having also thrown away a two-goal lead in last Friday's 3-2 league loss at Moenchengaldbach. ""That's their right,"" Flick said concerning the displeasure of his superiors, ""they are the ones who are in charge at Bayern Munich. ""We have to immediately get back on track,"" he added firmly. Flick is under pressure from all sides. Working as a TV pundit, former Bayern midfielder Bastian Schweinsteiger has criticised the tactic of defending high up the pitch. ""It's unnecessary in my eyes, then you shouldn't complain if your opponent plays the right ball"" behind the defence, Schweinsteiger said. Despite defeat at Gladbach, Bayern keep their two-point lead in the table as Borussia Dortmund were the only top six club to win last weekend with a 3-1 victory at second-placed RB Leipzig. Erling Braut Haaland scored twice at Leipzig to prove he is over a hip injury, while England winger Jadon Sancho has scored in his last two games. At home to Mainz on Saturday, fourth-placed Dortmund are without Belgium midfielder Axel Witsel, who could be sidelined for months by a torn Achilles tendon. In his absence, Emre Can is expected to partner Thomas Delaney in the defensive midfield. After wins over top-six clubs Wolfsburg and Leipzig, Dortmund want a home win over bottom side Mainz to help trim the five-point gap behind Bayern. ""It was a very good step in Leipzig, but it won't do us any good if we don't build on it,"" said Dortmund coach Edin Terzic. Leipzig want to be the first team this season to win at Wolfsburg on Saturday. ""Whether Bayern are currently weak or not has no effect on us,"" said Leipzig head coach Julian Nagelsmann. ""After defeat against Dortmund, we want to keep our good position in the league - that is only possible with a win,"" he added. Third-placed Bayer Leverkusen are at Union Berlin on Friday without new signing Timothy Fosu-Mensah as the ex-Manchester United defender is quarantined after completing his transfer from the UK. The Schalke teenager became the first American to score a Bundesliga hat-trick in last Saturday's 4-0 win at Hoffenheim. The win lifted Schalke off the bottom of the table, but they are six points short of escaping the bottom three. On Sunday, Schalke are away to Eintracht Frankfurt, who have signed Luka Jovic on loan back from Real Madrid after the Serbian striker struggled to adapt in Spain. Likewise, Schalke are reportedly in talks with Klaas-Jan Huntelaar, 37, who they want to sign on loan from Ajax. The Dutch striker scored 126 goals in 240 appearances for the Royal Blues from 2010-17. 21 - minutes 19-year-old Hoppe needed to complete his hat-trick against Hoffenheim on only his fifth Bundesliga appearance. 24 - league goals Bayern have conceded this season, more than any other top six club. 25 - Bundesliga goals Luka Jovic scored in 54 games for Frankfurt before signing a six-year contract with Real Madrid last year in a transfer reportedly worth 60 million euros ($73 million). Fixtures (all times 1430GMT unless stated)"
4,02/01/2021,23:20,Olmo fires RB Leipzig top of Bundesliga ahead of Bayern Munich,RB Leipzig dislodged Bayern Munich at the top of the Bundesliga table Saturday as Dani Olmo's second-half goal was enough to seal a 1-0 win at Stuttgart.,"""It was really good for me and the team to start the year with a win,"" Olmo told DAZN. With European champions Bayern at home to strugglers Mainz on Sunday, Leipzig took the chance to go a point ahead as Olmo fired through the legs of Stuttgart goalkeeper Gregor Kobel. Stuttgart's Swiss shot-stopper had earlier pulled off some heroics by using his foot to save a Emil Forsberg first-half penalty attempt. Leipzig also wasted a golden chance when Amadou Haidara fired wide just after the break. With 23 minutes left, Spain midfielder Olmo finally got the breakthrough, finishing a move he started after Leipzig had moved the ball across the Stuttgart penalty area. ""It feels good to be top,"" admitted Leipzig defender Willi Orban. ""The first half was good, the second was better - we were clearly the dominant team."" Earlier, Bayer Leverkusen blew the chance to take first place after stumbling to a 2-1 defeat at Eintracht Frankfurt which saw them drop to third as the league resumed after a two-week break. ""I have made my feelings clear in the dressing room,"" Leverkusen head coach Peter Bosz told Sky. ""We deserved to lose. Frankfurt had a better claim to the victory."" Leverkusen midfielder Nadiem Amiri scored with a deft back-heel flick to give the visitors the lead after only 10 minutes in Frankfurt. However, Amin Younes equalised to make it 1-1 at half-time before Japan midfielder Daichi Kamada put in a cross which Leverkusen defender Edmond Tapsoba turned into his own net. Before kickoff, Frankfurt director Fredi Bobic confirmed reports his club are interested in Bayern's teenage striker Joshua Zirkzee, 19, after selling Dutch forward Bas Dost to Brugge. Zirkzee could back up Frankfurt's top scorer Andre Silva, who has notched nine league goals this season. Union Berlin rose to fourth - into the Champions League places for the first time in the club's history - after their 2-0 win at Werder Bremen. Liverpool loanee Taiwo Awoniyi, who has scored in his last three league games, capped another impressive display with a goal and assist. After Bremen lost the ball in their own half, the 23-year-old Nigeria international took advantage of a two-on-two situation by drawing the defence and passing to Sheraldo Becker, who fired home on 12 minutes. Awoniyi doubled Union's lead on 28 minutes by tapping the ball over the line, just out of the reach of Bremen goalkeeper Jiri Pavlenka. Bremen had a penalty appeal turned down when a shot by Japan midfielder Yuya Osako clipped the hand of a Union defender, then Romano Schmid had a goal ruled offside. Hoffenheim lost both defender Kevin Akpoguma and Germany midfielder Sebastian Rudy with early leg injuries as they crashed to a 3-1 home defeat to Freiburg. With the hosts struggling to reshuffle, Freiburg were 3-0 up at half-time thanks to a Baptiste Santamaria goal, a Vincenzo Grifo penalty and an own goal by Senegal defender Kasim Adams. Hoffenheim scored a second-half consolation goal through Togo winger Ihlas Bebou. Borussia Moenchengeladbach, who host Manchester City in the first leg of the Champions League last 16 next month, earned their first win in five league games with a 1-0 victory at Arminia Bielefeld. Swiss striker Breel Embolo netted the winning goal just after half-time when he held off a defender and fired home. Mid-table Augsburg rebounded after back-to-back defeats with a 1-0 win at Cologne with Brazilian winger Iago netting the late winner. Bottom side Schalke are now 30 games without a win -- one short of the Bundesliga record -- after a 3-0 defeat away to Hertha Berlin. Former Tottenham manager Christian Gross, installed as Schalke's fourth head coach this season, got off to a losing start as Arsenal loanee Matteo Guendouzi, Colombia striker Jhon Cordoba and his replacement, Poland forward Krzysztof Piatek, scored for Hertha. Having netted two minutes after coming off the bench, Piatek had a second late goal ruled offside."
5,16/12/2020,23:00,Schalke 04 short of the longest winless streak,Robert Lewandowski passed the milestone of 250 Bundesliga goals on Wednesday with both goals in Bayern Munich's 2-1 home win over Wolfsburg to keep the European champions in touch with German league leaders Bayer Leverkusen.,"Lewandowski, who finds out Thursday whether he has been voted FIFA's player of the year having been shortlisted alongside Cristiano Ronaldo and Lionel Messi, has scored 18 goals in 17 games for Bayern this season in all competitions. ""I haven't thought about it (the awards), I was just focused on this game - I'm pretty relaxed about it, let's see what happens,"" he told Sky after his two goals. Leverkusen, who host Bayern in Saturday's top-of-the-table clash, remain first in the table - a point ahead of Munich - after a 4-0 romp away to Cologne in the Rhineland derby. Wolfsburg took a shock lead within five minutes at the Allianz Arena when Leroy Sane's error on the edge of the area led to Maximilian Philipp smashing home the loose ball. Wolfsburg's Dutch striker Wout Weghorst then had a goal ruled offside on 17 minutes. However, Lewandowski reached the 250-goal milestone when he headed Bayern's equaliser just before the break. He became only the third to achieve the feat alongside Bayern legend Gerd Mueller and Schalke striker Klaus Fischer. Lewandowski then fired the winner into the bottom corner of the net on 50 minutes. He has now claimed 23 goals in 20 league matches against Wolfsburg. Wolfsburg suffered their first league defeat this season as Bayern got back to winning ways after drawing their two previous league games. In Cologne, Leverkusen remain the league's only unbeaten team after racing into a 2-0 lead on ten minutes thanks to goals by Mitchell Weiser and Moussa Diaby. Czech striker Patrik Schick added Leverkusen's third early in the second half when he buried Diaby's cross before former Cologne player Florian Wirtz grabbed the visitor's fourth. Things remain tight at the top of the table as third-placed RB Leipzig stayed level on 28 points with Bayern with a 1-0 win at Hoffenheim thanks to Yussuf Poulsen's second-half winner. Schalke 04 are three short of matching an unwanted Bundesliga record after their 2-0 home defeat against Freiburg left the league's bottom side without a win in their last 28 games. ""We lose hope too quickly. We must have more belief,"" Schalke defender Benjamin Stambouli told Sky. Schalke are closing in fast on the record, held by Tasmania Berlin who in their one Bundesliga season, went 31 matches without winning in 1965/66. Schalke coach Manuel Baum, who took charge in September after predecessor David Wagner was fired, already has the unwanted club record of being winless in his first 10 games. Freiburg winger Roland Sallai headed the visitors ahead after 50 minutes behind closed doors in Gelsenkirchen, then added a second 18 minutes later when he chipped home a perfectly-timed pass. Having only ended their own nine-match winless streak on Saturday with a 2-0 home victory against Arminia Bielefeld, Freiburg are up to 10th in the table. Schalke have now not won a game since January. With a third of the season gone, they are six points from safety and on course for relegation after 30 unbroken seasons in Germany's top tier. This Saturday, Schalke have their next chance to end their miserable run at home to Bielefeld, who remain in the bottom three after Wednesday's 1-0 home defeat to Augbsurg."
6,28/11/2020,17:41,Lewandowski hits 15th goal of season as Bayern Munich stay top,Robert Lewandowski claimed his 15th goal this season in all competitions as Bundesliga leaders Bayern Munich came from behind to claim a 3-1 win at Stuttgart on Saturday.,"After 19-year-old striker Tanguy Coulibaly gave Stuttgart a shock early lead, Kingsley Coman equalised before Lewandowski drilled home from 20 metres to put Bayern 2-1 up at the break. Brazil winger Douglas Costa, a second-half replacement for Coman, grabbed Bayern's third goal late on to seal the win which leaves the holders two points clear of RB Leipzig. Dortmund are third, four points behind Bayern, after crashing to a shock 2-1 defeat at home to Cologne, as Leipzig climbed above them thanks to a 2-1 home win over Arminia Bielefeld. Cologne avoided a club record 19th match without a win with their first victory in Dortmund since 1991."
7,07/11/2020,18:33,"Leipzig go top in Germany ahead of Bayern, Dortmund showdown",RB Leipzig went back to the top of the Bundesliga table on Saturday with a 3-0 home win over Freiburg before Bayern Munich and Borussia Dortmund clash in the evening showdown.,"Defender Ibrahima Konate fired home Leipzig's opener before midfielder Marcel Sabitzer added their second goal with a 70th-minute penalty. Manchester City loanee Angelino claimed Leipzig's third with a stunning free-kick which curled over the Freiburg wall just before the final whistle. The home win put Leipzig top, a point ahead of Bayern and Dortmund who meet later at Signal Iduna Park. ""We really deserved the win - we were very, very good in the first-half,"" said Leipzig head coach Julian Nagelsmann. He was especially pleased with Konate's opening goal from a towering cross before winger Christopher Nkunku, who scored in the mid-week win over Paris Saint Germain, won the penalty which Sabitzer converted after the VAR scrutinised the decision. ""We have trained a lot from set pieces,"" said Nagelsmann. ""It certainly wasn't an obvious penalty, but if the VAR says it was, then it must have been,"" he added after Nkunku went down after the slightest of touches from Freiburg defender Nicolas Hoefler. Union Berlin climbed to fourth with a 5-0 home thrashing of strugglers Arminia Bielefeld. Former Germany striker Max Kruse helped set up Union's first three goals, then converted a late penalty. After just three minutes, Japan winger Keita Endo scored his first goal for Union when he swept home Sheraldo Becker's final pass after Kruse's superb long pass. Endo went off with an injury soon after, but Union kept up the pressure as Kruse set up the next two goals for centre-back Robert Andrich and winger Becker. Kruse, 32, capped an outstanding display by converting a penalty before Cedric Teuchert, a right wing replacement for Becker, grabbed Union's late fourth goal. At the other end of the table, bottom side Mainz were held to a 2-2 draw at home to Schalke, who sit one place above them and have now gone 23 games without a league win dating back to January. After Daniel Brosinski and Jean-Philippe Mateta converted penalties for Mainz, Mark Uth pulled a goal back for Schalke who were 2-1 down late on. Schalke took a deserved point back to Gelsenkirchen when Mainz defender Jeremiah St. Juste turned the ball into his own net eight minutes from time. After five games without a win, Hertha Berlin roared back with a 3-0 win in the fog at Augsburg. Forwards Matheus Cunha, Dodi Lukebakio and Krzysztof Piatek, who cost Hertha 24 million euros ($28 million) from AC Milan in January, got on the scoresheet as Augsburg's defence crumbled."
8,01/11/2020,18:16,Alario double guides unbeaten Leverkusen past Freiburg,Argentina striker Lucas Alario continued his fine run of form with two crucial first-half goals as Bayer Leverkusen came from behind to beat Freiburg 4-2 in the Bundesliga on Sunday.,"After a disastrous first half hour for Leverkusen, Alario struck twice before the break to turn the game on its head and fire his team back into the top four. The Argentine now has seven goals from eight games in all competitions, and has found the net in each of his last three league appearances. Leverkusen, meanwhile, remain the only Bundesliga team yet to be beaten after the first six games of the season. Freiburg took the lead after just three minutes, Lucas Hoeler latching onto a 50-yard through ball from Lukas Kuebler and flicking the ball past Leverkusen keeper Lukas Hradecky. Jonathan Schmid doubled the lead with a brilliant volley five minutes later but the goal was annulled after Hoeler was ruled offside in the build-up. Leverkusen were bracing themselves for a long afternoon when Sven Bender was shown the red card for a trip on Hoeler in front of goal, but the decision was reversed by VAR. Having ridden their luck in the first half hour, Leverkusen ruthlessly took their chances from then on, with Alario turning the game on its head with two quick goals before half-time. The Argentine pounced on a misplaced pass from Nicolas Hoefler to slot home the equaliser, before turning in a low cross from Lars Bender to put Leverkusen ahead just minutes before the break. Peter Bosz's side looked to be in the clear when Nadiem Amiri smashed in a third on 65 minutes, but a tap-in from substitute Nils Petersen quickly brought Freiburg back into the game. Yet the home side's revival was short-lived, as centre-back Jonathan Tah rose high at a corner to head in Leverkusen's fourth and seal the three points. While Leverkusen return to the top four, Freiburg now sit just three places adrift of the bottom three, having not won since the opening day of the season."
9,24/10/2020,18:30,Lewandowski hits hat-trick as Bayern Munich rout Frankfurt,Robert Lewandowski took his Bundesliga tally to 10 goals in five games this season with a hat-trick as Bayern Munich thumped Eintracht Frankfurt 5-0 on Saturday.,"Lewandowski has scored nine goals in his last three league games and wrapped up his treble within an hour at the Allianz Arena. Defending champions Bayern have scored 22 goals this term -- 10 more than league leaders RB Leipzig who stayed top with a 2-1 win over 10-man Hertha Berlin. Bayern sit one point behind in second place. In Munich, Leroy Sane marked his return from injury with the fourth goal during a brief cameo, before England Under-17 midfielder Jamal Musiala also came off the bench to net the fifth. However, Bayern's victory could come at a price as Canadian left-back Alphonso Davies was in clear distress after going off early with an ankle injury. Lewandowski underlined his status as one of the world's best strikers last season by scoring a career-best 55 goals in 47 games, including 34 in the Bundesliga. The Polish international opened the scoring on 10 minutes when he fired home after a Thomas Mueller pass. Frankfurt goalkeeper Kevin Trapp couldn't do anything to stop Lewandowski's header from a Joshua Kimmich corner in the 26th minute. Bayern had a penalty appeal turned down when Douglas Costa's cross clipped the hand of Frankfurt's Makoto Hasebe. Lewandowski wrapped up the victory on the hour mark with a clinical finish from another Costa cross. After sitting out the last two games, Sane ghosted past a defender and drove a shot into the bottom corner with 18 minutes to play. Manuel Neuer pulled off a great save to deny Frankfurt striker Bas Dost before Musiala grabbed the final goal as the visitors suffered their first league defeat of the season. Leipzig came from behind to seal a 2-1 win over Hertha, whose Colombian striker Jhon Cordoba scored in the eighth minute. Leipzig drew level when defender Dayot Upamecano fired home from a free-kick on 11 minutes, but Berlin were reduced to 10 men after the break when substitute Deyovaisio Zeefuik was shown two yellow cards within four minutes of coming on. Leipzig made the man advantage count when Marcel Sabitzer converted a penalty with 13 minutes left. Hertha were lucky not to finish with nine men when another sub, Jessic Ngankam, scythed down Leipzig left-back Angelino and the referee changed his decision to a yellow card having initially showed a straight red. Borussia Moenchengladbach warmed up for Tuesday's Champions League game at home to Real Madrid with a 3-2 comeback win at Mainz. Germany midfielder Lars Stindl gave Gladbach an early lead, but the visitors were 2-1 down at half-time after French striker Jean-Philippe Mateta scored twice for Mainz. Gladbach midfielder Jonas Hofmann converted a penalty on 76 minutes, after a shot by replacement Marcus Thuram was blocked by a Mainz hand before Matthias Ginter headed the winner as Gladbach climbed to fifth. Union Berlin were held to a 1-1 draw at home to Freiburg as Vincenzo Grifo's first-half goal was cancelled out two minutes later by Union midfielder Robert Andrich."
