,date,hour,title,subtitle,text
0,10/02/2021,23:40,Sevilla double leaves Barca with mountain to climb in Copa del Rey,Barcelona's hopes of winning the Copa del Rey this season were left hanging by a thread on Wednesday after Sevilla won the first leg of their semi-final 2-0.,"Jules Kounde furthered his growing reputation as one of the world's most exciting central defenders by scoring a stunning goal at the Ramon Sanchez Pizjuan before Ivan Rakitic came back to haunt his former club by adding a second late on. The 22-year-old Kounde dribbled past three Barca defenders and shot into the corner while Rakitic's strike turned a setback for Ronald Koeman's side into what now looks like a formidable challenge to make the final. The winner will meet either Athletic Bilbao or Levante, who play the first leg of their semi on Thursday, in the final. ""The result is a bit unfair, the reward feels too much for them,"" said Koeman. ""The return will be complicated at 2-0 but we have had chances and we have to keep going. At home, this team is capable of anything."" Koeman had described the cup as Barcelona's ""shortest route"" to a trophy this term and the sight of Kounde ghosting through his defence hardly inspires confidence ahead of next week's meeting with Paris Saint-Germain. Barca face PSG at Camp Nou in the first leg of the Champions League last 16 on Tuesday. Yet all is not lost in the cup. Although Koeman fielded his best available XI, after resting players against Real Betis in La Liga last weekend, he will also hope to have injured defenders available again for the return game at Camp Nou on March 3. With Ronald Araujo and Gerard Pique out, Koeman played a patched-up back four of Jordi Alba at left-back, the left-footed Junior Firpo at right-back, right-back Oscar Mingueza at centre-back, alongside Samuel Umtiti, who is still regaining sharpness after a string of injuries. ""We are halfway through the tie with the hardest half to come,"" said Sevilla coach Julen Lopetegui. Lionel Messi was quiet but forced a decent save from Bono early on after a superb pass by Antoine Griezmann, with Sevilla the better side in the first half and deserving their goal. Kounde carried the ball out from deep in his own half and bounced the ball off Suso before advancing into Barcelona's defensive third. He ghosted past Griezmann, darted inside Sergio Busquets and with Alba dragged left, nicked it around the legs of Umtiti before driving into the far corner to complete a stunning individual effort. Barca had Marc-Andre ter Stegen to thank for denying Sergio Escudero a second but neither side looked keen to risk conceding by pushing too hard for a goal after half-time. Yet Sevilla were gifted one with five minutes left as Oliver Torres' ball over the top freed Rakitic, who had options inside. Rakitic went alone, blasting into the roof of the net and refusing to celebrate, but putting Sevilla in sight of the final."
1,02/02/2021,23:09,Ocampos fires Sevilla into Copa del Rey semis,Lucas Ocampos' second-half goal was enough to see Sevilla edge past second-tier Almeria 1-0 on Tuesday to reach the Copa del Rey semi-finals.,"Papu Gomez, who joined from Atalanta last week, made his debut for Sevilla but made little impact and was substituted on the hour mark. It was his first appearance since December 16 after falling out of favour with Atalanta coach Gian Piero Gasperini. ""I think he played a good game,"" said Sevilla boss Julen Lopetegui. ""It wasn't easy for him after a month and a half without playing and I think he's at a good level."" Gomez's fellow Argentinian Ocampos broke Almeria's stubborn resistance in the 67th minute, heading home Suso's cross. It is the first time Sevilla, five-time winners, have reached the last four since being thrashed 5-0 by Barcelona in the 2018 final. Sevilla are bidding for a second major trophy under former Spain and Real Madrid coach Lopetegui, having won the Europa League last season. Lopetegui's side have now won six straight matches in all competitions and have lost just one of their last 16 games. Sevilla, who sit fourth in La Liga, are also into the Champions League last 16, where they will face Borussia Dortmund. On Wednesday, record 30-time winners Barcelona visit Granada in their last-eight tie, after Levante host Villarreal, with Real Betis facing Athletic Bilbao on Thursday."
2,26/01/2021,21:09,Gomez signs for Sevilla after leaving Atalanta,Sevilla said on Tuesday they had reached an agreement to sign Argentine playmaker Alejandro 'Papu' Gomez from Atalanta of Serie A.,"The Spanish club said the Argentine, who turns 33 in February, had signed until June 2024. Gomez could become a belated replacement for compatriot Ever Banega, who left to play in Saudi Arabia after Sevilla won the Europa League in August. Earlier in the day, Gomez described his mixed emotions on leaving Bergamo-based Atalanta where he was club captain but fell out with coach Gian Piero Gasperini. ""It's a mixture of feelings, after so many years in this city,"" Gomez told Sky Sport Italia. ""I'm sad, and also happy. Sometimes things happen and go a certain way, but I would do it all again because we wrote the history of this club. I leave Atalanta at the top in Europe."" Gomez joined Atalanta in 2014 from Ukrainian outfit Metalist Kharkiv, and skippered them to the Champions League quarter-finals on their competition debut. He scored 59 goals in 252 games for Atalanta. Gomez fell out with Gasperini after a clash during half-time in a European match this season. The club went through to the last 16 of the Champions League for the second consecutive season where they will play 13-time winners Real Madrid. ""The fans? I'll miss them a lot, Bergamo is in my heart. We will surely see each other again soon,"" added Gomez, who has scored one goal in five appearances for Argentina."
3,19/01/2021,23:59,Suso cracker lifts Sevilla past Alaves,A magnificent long-range strike from Suso secured Sevilla a 2-1 victory at Alaves on Tuesday that sent them up to fourth in La Liga and within a point of Barcelona.,"Moroccan striker Youssef En-Nesyri, a reported January transfer target for West Ham, turned in a Jesus Navas cross to give Sevilla the lead on three minutes. Edgar Mendez soon levelled for the hosts but a thunderous 30-yard drive from Suso put Sevilla back in front on the half-hour, with goalkeeper Bono saving a stoppage-time penalty from Joselu to preserve the win. Julen Lopetegui's side moved up two spots ahead of a favourable run of matches against clubs largely in the bottom half of the table. Real Valladolid recovered from two goals down to draw 2-2 at home to Elche while Cadiz and Levante also ended two apiece. Leaders Atletico Madrid can extend their cushion at the top when they visit Eibar on Thursday. Diego Simeone's side are four points clear of Real Madrid with two games in hand."
4,13/01/2021,00:31,Atletico stretch Liga lead with Sevilla win,Atletico Madrid extended their lead at the top of La Liga to four points on Tuesday after a 2-0 win over Sevilla that strengthened their title credentials.,"Goals in each half from Angel Correa and substitute Saul Niguez on a freezing night following historic snowfall in the Spanish capital allowed Diego Simeone's side to increase the gap between themselves and city rivals Real Madrid. The match at the Wanda Metropolitano was one of three games in hand that Atletico had on Madrid and Barcelona, who sit a further three points back in third. Their home fixture with Athletic Bilbao at the weekend had to be postponed after Madrid experienced its heaviest snowfall in half a century. ""I'm very happy to help the team with this goal... the work pays off,"" said Saul after the win. Sevilla meanwhile stay sixth on 30 points, level with fifth-placed Real Sociedad. Zinedine Zidane's Madrid will have a tough task defending their La Liga crown on the evidence of Tuesday's display which bore all the hallmarks of a Simeone side. Kieran Trippier returned to the Atletico side after FIFA suspended the England international's 10-week ban for breaching betting rules. And the 30-year-old marked his comeback by helping Correa open the scoring in the 17th minute with a cut back that still left the Argentine with plenty of work to do as he controlled the ball in the area. Correa span quickly and got his shot off before Fernando could close him down, and his effort flashed past Yassine Bounou in the Sevilla goal. Trippier almost had another assist eight minutes later when his smart pass put Luis Suarez clean through, but Bounou did well to charge out and block the Uruguayan's close-range effort. Sevilla pushed a typically dogged Atletico but couldn't take advantage of the few chances that game their way and were punished with 14 minutes remaining by Saul's first goal of the season. The Spaniard was cool just outside the area as he collected Marco Llorente's low ball from the right before arrowing a left-footed shot into the far corner to guarantee Atletico's fifth straight league win since losing the Madrid derby last month. They will have the chance to further extend their lead at the top in a week's time when they travel to Eibar while Madrid and Barca -- who play in the in the Spanish Super Cup semi-finals this week -- are involved in the Copa Del Rey. Earlier Granada kept in touch with the European places with a 2-0 home win over lowly Osasuna. Diego Martinez side sit seventh, three points behind Sociedad and Sevilla who are in the Europa League places, thanks to goals from Colombian forward Luis Suarez and Sergio Herrera."
5,10/01/2021,18:55,Lopetegui signs new contract with Sevilla,"Sevilla coach Julen Lopetegui has extended his contract until 2024, the club announced on Sunday.","Lopetegui took over in 2019 and oversaw Sevilla qualifying for the Champions League and winning the Europa League in his first season in charge. They currently sit sixth in La Liga after a 3-2 victory over Real Sociedad on Saturday. ""It is a huge motivation,"" said Lopetegui about his new deal. ""We want Sevilla to be even bigger. It will take a lot of work to make the dream of Sevilla's fans a reality."" Lopetegui's impressive first year came after a nightmare 2018, when he was sacked as coach of both Spain and Real Madrid within five months."
6,06/12/2020,00:17,Barca take 'gigantic step backwards' but Zidane gets breathing space,"Lionel Messi's Barcelona suffered a fourth Liga defeat of the season as they went down 2-1 to Cadiz on Saturday, while Real Madrid eased the pressure on Zinedine Zidane with their first league win since October.","Barca are now a distant seventh, 12 points off leaders Atletico Madrid, who beat Real Valladolid 2-0. ""It's a gigantic step backwards for our chances to fight for La Liga, you have to see it like that,"" the Catalans' coach Ronald Koeman said. ""A points difference of 12 points with a team as strong as Atletico is enormous,"" he added. Koeman made three changes from the midweek Champions League win at Ferencvaros with goalkeeper Marc-Andre ter Stegen coming in for Neto. But Ter Stegen made a first costly error in Andalusia after eight minutes as Alvaro Gimenez claimed his second goal in as many games. The Barca defence failed to clear a corner which fell to Ter Stegen, but his weak parry onto his own line was tapped in by Gimenez. Koeman's men were all-square after 56 minutes as Jordi Alba's low cross was deflected into his own goal by defender Pedro Alcala. But Ter Stegen's second costly error came eight minutes later. Clement Lenglet made a hash of Alba's throw in before Ter Stegen failed to clear under pressure from Negredo and the former Manchester City striker claimed his third goal league goal of the campaign. Under-pressure Zidane said Madrid's scrappy 1-0 victory in Seville was significant after a testing run of results. Sevilla goalkeeper Bono guided Vinicius Junior's effort into his own net in the second half, allowing Zidane's side to take the three points and move up to third in the table, six points behind Atletico. Following two defeats in the past three games, including a 2-0 defeat to Shakhtar Donetsk in midweek that leaves Real's Champions League qualification hopes in the balance, Spanish press reports have linked former Tottenham boss Mauricio Pochettino and ex-Madrid forward Raul to Zidane's job. Zidane said he was satisfied with the points after a ""difficult"" time. ""These are three very important points for us. It's a well-deserved win, against a very good opponent, who can put you in trouble at any time. We got through this,"" he said. ""It has been a bit difficult lately, today we have to enjoy it, be happy, but nothing more."" Atletico, now unbeaten in 26 games in La Liga, moved to the top of the table after France international Thomas Lemar and Spain midfielder Marcos Llorente scored for Diego Simeone's men against Valladolid. Atletico are among five clubs to remain without a domestic defeat in Europe's main five leagues since the start of the season. Real Sociedad, who have lost just once in the league this term, could regain the lead if they beat Deportivo Alaves on Sunday."
7,05/12/2020,18:51,Zidane gets breathing space after Madrid benefit from goalie's howler,Zinedine Zidane had some of the pressure lifted on Saturday when an own goal from Sevilla goalkeeper Bono gave Real Madrid a 1-0 win away to Sevilla.,"Bono guided Vinicius Junior's effort into his own net in the second half, allowing Zidane's side to move up to third in the table after their first league victory since October. Since Madrid crashed to a 2-0 defeat to Shakhtar Donetsk in midweek to leave their Champions League qualification hopes in the balance, press reports in Spain have linked former Tottenham boss Mauricio Pochettino and ex-Madrid forward Raul to Zidane's job. Zidane made two changes from the debacle in Ukraine with Casemiro and Vinicius replacing Martin Odegaard and Marco Asensio. Ex-Madrid boss Julen Lopetegui brought back Bono into the starting lineup after he missed four games with coronavirus which included Wednesday's heavy European defeat to Chelsea. Morocco's Bono made a shaky start as his attempted clearance inside his own box was blocked by Vinicius. He made up for the error on his own line despite Karim Benzema's efforts. The former Girona keeper kept the sides equal at the break with a tidy save from Benzema's 38th minute shot, but his crucial mistake came 10 minutes into the second half. Ferland Mendy played a low cross into the area before Vinicius slid in to guide it towards the goal. Bono came out to close the space but deflected Vinicius' limp attempt into his own goal. The hosts' Suso, making his first appearance since late October, and Lucas Ocampos had late chances to equalise but Zidane's men held on for a morale-boosting win before Wednesday's crucial Champions League group game against Borussia Moenchengladbach. Later, Atletico Madrid and in-form forward Joao Felix can go above Real Sociedad and take top spot as they host Real Valladolid, while Barcelona head to Cadiz. Sociedad travel to Deportivo Alaves on Sunday."
8,20/10/2020,23:06,Chelsea kept quiet by Sevilla in goalless stalemate,Chelsea are still waiting for a £220 million ($284 million) spending spree to pay off as Frank Lampard's men began their Champions League campaign with an uninspiring 0-0 draw against Sevilla at Stamford Bridge.,"The Blues have now won just two of their opening six games of the season and the only consolation of a cagey encounter for Lampard was a rare clean sheet. With Champions League debutants Rennes and Krasnodar making up Group E, both sides were happy to settle for a point against what they will perceive as their toughest opponents in the section. Chelsea's defensive problems were exposed as they blew the lead twice to draw 3-3 for the second time in five Premier League games this season to Southampton on Saturday. But with Edouard Mendy back from injury to take the place of the error-strewn Kepa Arrizabalaga in goal, the Blues were far more solid against a Sevilla side that has lost just twice in their last 27 matches. Mendy only had one serious save to make when Nemanja Gudelj's header was deflected by Kurt Zouma and the Senegalese stopper had to react quickly to swat the ball to safety. Sevilla were without highly-rated centre-back Jules Kounde, who attracted interest from Manchester City last month, due to a coronavirus infection. However, the organised defensive structure that saw Julen Lopetegui's men beat Manchester United and Inter Milan to win Sevilla's sixth Europa League title in August kept Chelsea's expensive collection of attacking stars quiet. Timo Werner was the Blues' biggest threat, but the German wasting his best chance by skewing a shot wide with the last action of the first-half. Chelsea posed a greater attacking threat after half-time as Christian Pulisic came alive after the American was switched onto the left flank. Pulisic's run won the corner which produced the home side's best chance of the night, but centre-back Zouma placed his header straight at Bono. Joan Jordan came within inches of winning the game in spectacular style for Sevilla as his sweetly struck volley from the edge of the box dipped onto the roof of the net."
9,19/10/2020,03:45,Sevilla show Chelsea a smarter way to spend,Chelsea's huge transfer spend has so far failed to deliver the expected return on investment as Frank Lampard's men continue to leak goals at an alarming rate.,"The Blues splashed £220 million ($284 million, 242 million euros) on Timo Werner, Kai Havertz, Ben Chilwell, Hakim Ziyech and Edouard Mendy, while Thiago Silva joined from Paris Saint-Germain on a free transfer. By contrast, even the European elite were more cautious as Real Madrid did not make a single signing, Barcelona tried to offload big salaries and Leroy Sane was the only major arrival at Bayern Munich. Yet, Chelsea are far from being considered among the principal contenders as the Champions League returns this week, as Lampard has so far failed to find solutions to familiar problems from his first season in charge at Stamford Bridge. Chelsea have won just two of their opening five Premier League games of the season and twice blew the lead against Southampton on Saturday for already their second 3-3 draw of the campaign. In 43 league games under Lampard, they have now conceded 63 goals. Going forward there are signs that Werner and Havertz, who both scored their first Premier League goals at the weekend, are beginning to click, while Ziyech and Christian Pulisic will add even more firepower as they return from injury. However, another huge error from the world's most expensive goalkeeper, Kepa Arrizabalaga, cost his side against Southampton and the Spaniard may have to start against Sevilla on Tuesday with Mendy unlikely to return from injury in time. The case of Kepa illustrates the very different economic models that Chelsea and Sevilla operate. Just two years on from paying a £72 million buyout clause to sign Kepa from Athletic Bilbao, Chelsea have cut their losses by spending another £20 million on Mendy. Sevilla, on the other hand, consistently have to sell their best talent and evolve to remain a European power. The Andalusians have a better record in European competition than Chelsea over the past seven seasons despite a drastically smaller budget. That is mainly thanks to winning the Europa League four times in that period, most recently in August when they saw off Roma, Wolves, Manchester United and Inter Milan in an impressive run to the title. Even European champions Bayern needed extra-time to see of Julen Lopetegui's men in the UEFA Super Cup last month. ""Sevilla has created a parallel world of happiness for fans in these difficult times,"" Monchi, the club's renowned sporting director, told A Balon Parado this week. But in playing down hopes they can challenge for a first La Liga title since 1946 with Madrid and Barcelona not the forces they once were, Monchi highlighted the stark financial gulf Sevilla still have to bridge. ""We have in mind the moment in which we can take a jump is when we reach revenue of 300 million euros,"" he added. Revenue for the 2018/19 season without Champions League football was just 206 million euros. Chelsea have spent well more than that in one summer, but that is still no guarantee that will buy success at Stamford Bridge on Tuesday. Saturday's 1-0 defeat to Granada, when Sevilla played for half the game with 10 men was the first time Lopetegui's side had lost in 90 minutes since February. They have already drawn at the Camp Nou this season and will have no fear facing a Chelsea side that shown itself incapable of beating Southampton and West Brom."
