,date,hour,title,subtitle,text
0,17/01/2021,23:44,Metz end Lyon's run as PSG take Ligue 1 lead,Lyon slumped to a shock 1-0 home defeat to Metz on Sunday that ended a long unbeaten run and allowed Paris Saint-Germain to stay top of Ligue 1.,"Rudi Garcia's side had come into Sunday's late match on the back of 16 league games without defeat, knowing that a win would have put them back in the lead of France's top flight. However Aaron Leya Iseka struck in the final minute to snatch the points for resilient Metz, who had to withstand a second-half onslaught before finally prevailing and moving ninth. ""We pushed, they pushed, and we were rewarded for our efforts. We knew that we would have little of the ball and that we would have to counter well, and that's what we did,"" said Belgian Leya Iseka. The loss leaves Lyon third, two points behind PSG and Lille, whose own late goal from Jonathan David secured a 2-1 win over Reims. Lyon should have taken the lead six minutes before the break when Karl Toko Ekambi was fed by Tintotenda Kadewere on a breakaway attack. Cameroonian Ekambi, who had forced a good save from Alexandre Oukidja three minutes earlier, successfully cut inside to fashion himself a shooting opportunity but could only blast over. Three minutes later Metz twice came close to taking a shock lead, first hitting the post following a Farid Boulaya cross before Marcelo charged back to block Lamine Gueye's shot on the line. With 16 minutes remaining Ekambi slammed home what he thought was the opener when the ball fell to him after fine play between Memphis Depay and Thiago Mendes. However after a long VAR review the goal was ruled out for Houssem Aouar straying offside when Mendes shot and then pressuring Metz defender Fabien Centonze, who had nodded the ball out to Ekambi. Islam Slimani had the perfect chance to win the match with seven minutes left of his Lyon debut but he shanked his shot, and Oukidja then did brilliant to keep out Aouar's close range effort after fine work from Memphis Depay. That allowed Leya Iseka to claim a shock win for Metz. Earlier David pounced in the first minute of stoppage for Lille to tap home after Xeka's powerful low drive was spilled by Reims goalkeeper Predrag Rajkovic to put Lille on 42 points, equal with champions PSG. Jonathan Bamba's long-range leveller two minutes after the break gave Lille a chance to snatch the win after Arber Zeneli had given Reims a 35th-minute lead with a cross that bamboozled home stopper Mike Maignan. Monaco are six points off the lead in fourth after Wissam Ben Yedder's brace gave them a 3-2 win over Montpellier on Friday. The Principality club are level on 36 points with fifth-placed Rennes, who earlier on Sunday fought back from going a goal down after just three minutes at Brest to win 2-1. Saint-Etienne are just four points above the relegation zone after a 1-0 defeat at Strasbourg. The 10-time French champions are 16th and winless in five league matches thanks in part to a missed 10th-minute penalty from Ryad Boudebouz. Ludovic Ajorque scored the winner for the team from Alsace just before the half-hour mark. Nantes are hovering above the drop zone after drawing 1-1 at home with Lens, with Gael Kakuta's 81st-minute leveller for the away side denying Raymond Domenech a first win in charge of the hosts. The former France coach has guided Nantes to three straight draws since his much-derided appointment last month, with his team battling a run of games without a win that stretches back to early November. Bordeaux strolled to a thumping 3-0 win at Nice, who are also without a win in five."
1,19/12/2020,21:46,Reims hold Marseille after Nagatomo own goal,Marseille failed to win for the second time in four days with Saturday's 1-1 draw at home with Reims in Ligue 1.,"Japan's Yuto Nagatomo scored an own goal before Florian Thauvin grabbed an equaliser at the Stade Velodrome. Marseille stay fourth in the table, four points behind leaders Lille. The hosts' coach Andre Villas-Boas made two changes from the midweek defeat at Rennes as Nagatomo, Japan's second-most capped player, and Alvaro Gonzalez came into the starting lineup. The visitors' boss David Guion changed formation from Wednesday's victory over Nantes picking a five-man midfield as Mathieu Cafaro, who scored the winner, came in on the right. Nagatomo, making just his fourth start of the season, made the error for the opener after 21 minutes. Arber Zeneli played a low cross into the box and Nagatomo deflected the ball into his own net. The former Inter Milan left-back's performance then took a further turn for the worse with a yellow card five minutes later for a challenge on French attacker Cafaro. Thauvin brought the sides level just before the interval when the French striker prodded home Dario Benedetto's wayward header. Japan right-back Hiroki Sakai and France playmaker Dimitri Payet attempted to claim late winners but the outfit from the Champagne region held on for a point. Earlier, Opa Nguette and Farid Boulaya scored in Metz's 2-0 win over Lens to send their side up to eighth. Later, Lyon can go top with a win over 11th-placed Nice."
2,29/11/2020,18:19,"Lyon see off Reims to climb second, Monaco cruise","Lyon continued their fine run of form with a 3-0 win over Reims on Sunday which lifted them to second in Ligue 1, while Monaco beat Nimes to also move within two points of leaders Paris Saint-Germain.","Karl Toko Ekambi, Bruno Guimaraes and Moussa Dembele scored for Lyon as they made it 16 points from their last six matches to sit two points behind PSG and above Monaco and Montpellier on goal difference. ""We must continue in this vein and look upwards. We must put a run of victories together,"" said Lyon coach Rudi Garcia. ""This is the first time that we have won three times in a row. As in Angers (last week), we had an opportunity to (move up the) table. We seized it."" Lille can leapfrog Lyon, Monaco and Montpellier if they win at Saint-Etienne later on Sunday. PSG gave the chasing pack a chance to cut the gap in the title race with a 2-2 home draw against Bordeaux on Saturday, having blown a two-goal lead to lose to Monaco last week. Reims, who had Moreto Cassama sent off on 33 minutes, remain fourth from bottom and look destined for a relegation dog-fight. Toko Ekambi, returning from suspension, proved the key for Lyon, hitting the post early on before scoring the opener in the 22nd minute with a header at the back post from a cross by Memphis Depay. He also created the second -- Guimaraes's first for Lyon -- four minutes after the break, the Brazilian's shot taking a deflection off Marshall Munetsi. Toko Ekambi also teed up Dembele for the third shortly after he came on as a substitute for Tino Kadewere who had hit the post in the first half and had a goal ruled out for offside. Cassama was sent off for a foul on Depay when he looked to be in on goal. Later in the day, Monaco eased to a 3-0 victory over Nimes to notch their fourth straight league win. Young midfielder Sofiane Diop gave the hosts an early lead at the Stade Louis II, before Gelson Martins and Kevin Volland both struck in the second half to see off Nimes, who had Lucas Deaux dismissed in the 69th minute. Germany striker Volland has now scored five Ligue 1 goals for Monaco since his close-season move from Bayer Leverkusen. Fourth-placed Montpellier also extended their winning streak to four matches as Petar Skuletic scored late on to grab a 1-0 win at Lorient, despite midfielder Teji Savanier's missed penalty in the first half."
3,29/11/2020,16:04,Lyon see off Reims to climb to provisional second in Ligue 1,Lyon continued their fine run of form with a 3-0 win over Reims in Sunday's early game which lifted them provisionally to second in Ligue 1.,"Karl Toko Ekambi, Bruno Guimaraes and Moussa Dembele scored for Lyon as they made it 16 points from their last six matches to sit two points behind leaders Paris Saint-Germain. Lille can leapfrog them if they win at Saint-Etienne on Sunday evening. Reims, who had Moreto Cassama sent off after 33 minutes, remain fourth from bottom and look destined for a relegation dog fight. Toko Ekambi, returning from suspension, proved the key for Lyon, hitting the post early on before scoring the opener in the 22nd minute with a header at the back post from a cross by Memphis Depay. He also created the second -- Guimaraes's first for Lyon -- four minutes after the break, the Brazilian's shot taking a deflection off Marshall Munetsi. Toko Ekambi also teed up Dembele for the third shortly after he came on as a substitute for Tino Kadewere who had hit the post in the first half and had a goal ruled out for offside. Cassama was sent off for a foul on Depay when he looked to be in on goal."
4,25/09/2020,02:30,Neymar back but problems persist for PSG,"It has been a troubled start to the season for Paris Saint-Germain, overshadowed by a raft of coronavirus cases, suspensions and injuries, but the French champions can welcome back Neymar from a ban for this weekend's Ligue 1 game at Reims.","The world's most expensive player was handed a two-match suspension after his involvement in an unseemly brawl at the end of PSG's 1-0 home defeat by Marseille recently. Without him, his teammates bounced back from losing their opening two games of the season and recorded successive victories against Metz (1-0) and Nice (3-0). ""We are suffering a lot and we are really tired,"" said coach Thomas Tuchel after that latter outing, and Neymar's return can only improve their prospects of keeping that winning run going when they visit a Reims side who are winless in Ligue 1 and were in Hungary on Europa League duty on Thursday. Yet while PSG have now recovered the raft of players -- including Neymar and Kylian Mbappe -- who tested positive for Covid-19 following a holiday after their run to the Champions League final, the problems are not going away for Tuchel. Neymar faces further disciplinary action having been accused by Marseille of racially abusing their Japanese defender Hiroki Sakai in that same recent encounter. The French league will investigate those claims, and claims Neymar used a homophobic slur against Marseille's Alvaro Gonzalez, who the Brazilian says directed a racial slur at him. A decision in that case is expected next week. In the meantime, PSG learned on Wednesday that Angel Di Maria must serve a four-match ban for spitting at Gonzalez. The Argentine can feature this weekend but will not then be able to play another Ligue 1 game until early November, by which time PSG's Champions League campaign will be well underway. While Paris have been linked with a move for Chelsea midfielder Tiemoue Bakayoko, Tuchel has lost left-back Juan Bernat to a serious knee injury and concerns remain about the form of Mauro Icardi. The Argentine striker did enough on loan last season from Inter Milan for PSG to sign him permanently for an initial reported fee of 50 million euros. However, he played no part in the Champions League semi-final win over RB Leipzig or the final against Bayern Munich, missed PSG's first two league games this season due to a positive Covid-19 test, and has failed to find the net in the two outings since his return. At least Mbappe looked lively last weekend against Nice, winning and converting a penalty before making another goal for Di Maria. It has been a slow start to life in France for David, who was one of the biggest signings made by a Ligue 1 club in the summer as Lille paid a reported 27 million euros ($31.4m) to recruit the 20-year-old Canada striker from Belgian side Gent. Brought in to replace Victor Osimhen, who was sold to Napoli, David has big boots to fill. Like Osimhen before him, David was prolific in Belgium but has struggled in his first four games in Ligue 1. Can he get his first goal this weekend? 26 - PSG have used 26 different players in four league games this season. 4 - The number of matches PSG's Angel Di Maria will miss -- after this weekend -- due to suspension. 21.5 - The average age of early league leaders' Saint-Etienne's starting line-up last weekend, with veteran coach Claude Puel having rejuvenated his squad. It is further evidence of Ligue 1's ability to keep producing young talent."
5,05/04/2020,22:10,French club doctor 'commits suicide' after coronavirus diagnosis,"French Ligue 1 club Reims were on Sunday in mourning for long-serving club doctor Bernard Gonzalez who committed suicide after being diagnosed with coronavirus, sources confirmed.","""Devastated, Reims cries for Bernard Gonzalez,"" said a statement released by the Ligue 1 club. ""Not just the club but also hundreds of men and women in Reims."" Contacted by AFP, Reims mayor Arnaud Robinet said he had been made aware of the suicide of the 60-year-old, who had worked at the club for over 20 years, by the local prefecture. ""I was told Doctor Gonzalez had left a note in which he mentioned that he had tested positive for COVID-19."" A medical source also confirmed to AFP the existence of this letter but added that the doctor had appeared ""to be in good shape two days ago"". ""I am shocked by his death because he was someone I had known for many years,"" said Robinet. ""No only was he the club doctor, but he was also the GP of many people in Reims. He was known for his human and professional qualities. ""He will be missed by the football family and all those in Reims who met him."" Reims club president Jean-Pierre Caillot said he was ""stunned"" by the news. ""This pandemic has struck Reims in the heart. A great personality and great professional of the sport has left us,"" said Caillot. More than 8,000 people have died from the coronavirus in France."
6,07/10/2019,00:16,Late goal earns Saint-Etienne derby win over Lyon on Puel debut,Robert Beric scored a last-minute winner as Saint-Etienne defeated bitter rivals Lyon 1-0 on Sunday and new coach Claude Puel made a triumphant start in his first match in charge.,"Former Leicester City and Southampton boss Puel replaced Ghislain Printant on Friday after signing a three-year deal with the club that entered the derby clash bottom of Ligue 1. ""To produce such a display against Lyon is great, especially in such a short amount of time,"" said Puel, who also spent three years at Lyon from 2008-2011. ""This victory shows the players the sacrifice and desire they need to put into a match. I'm building something here and this fine start must be backed up."" Lyon began the weekend in trouble of their own, languishing a disappointing 11th after a domestic six-match winless run but buoyed by a Champions League victory at RB Leipzig. Anthony Lopes tipped a Riyad Boudebouz effort onto the post in a cagey first half at the Stade Geoffroy-Guichard, and the Lyon goalkeeper made another top reflex save to deny Denis Bouanga on the hour. Moussa Dembele came off the bench for Lyon and forced Jessy Moulin to palm away his header on 85 minutes, with Houssem Aouar then trickling an effort wide after sneaking in behind the hosts' defence. Beric won it at the death though as he rose superbly to head a Boudebouz cross beyond the reach of Lopes to send Saint-Etienne up to 13th and two points above Lyon. ""I'm very worried by our results,"" said Lyon coach Sylvinho. ""We're losing all our matches in the same way. It's not up to me to say if I'm the man for the situation. ""I feel the same as I did after (the 2-2 draws with) Amiens and Brest,"" he added. ""We've conceded again at the end of the match. It's even more frustrating in a derby."" In-form Victor Osimhen's seventh league goal of the season wasn't enough for Lille as they missed the chance to go third after drawing 2-2 with Nimes. Nigeria international Osimhen, 20, who also scored in Lille's 2-1 Champions League defeat to Chelsea midweek, struck the hosts' leveller with 11 minutes remaining after a Renaud Ripart penalty at the end of the first half and Kevin Denkey's neat 70th-minute finish had cancelled out Loic Remy's 13th-minute opener. A win for Lille would have moved them above surprise package Angers following their 4-0 hammering at the hands of league leaders Paris Saint-Germain on Saturday. Instead Christophe Galtier's side stay in fifth on 15 points from nine matches, but they could have easily lost against a spirited Nimes side that belied their pre-match league position of 17th. The lively Romain Philippoteaux, who won the spot-kick that Ripart calmly slotted home, came close to scoring a wonderful individual strike when his finish clipped the outside of the post following an exciting dribble. Reims moved into sixth, a point behind Lille after Boulaye Dia's strike three minutes after half-time consigned former high-fliers Rennes to the latest defeat in a miserable run of form. Level with PSG at the top of the league at the end of August, Julien Stephan's Rennes haven't won in the eight games in any competition since and have plummeted down to 10th. Reims meanwhile consolidated a fine start to the season that sees them with the league's best defensive record alongside PSG, with just four goals conceded in nine games."
7,25/09/2019,23:08,Injury-hit PSG slump to shock home defeat by Reims,Paris Saint-Germain fell to a shock 2-0 loss to Reims at the Parc des Princes on Wednesday as headers from Hassane Kamara and Boulaye Dia gave the visitors a famous win.,"The Ligue 1 champions, depleted by a spate of injuries, remain top of the table after seven games, but have already lost twice this season after defeat at Rennes last month. It was PSG's first home loss in the league since a 2-0 reverse at the hands of Rennes in May 2018, ending an unbeaten run of 22 matches at the Parc. PSG only lead second-placed Angers on goal difference, after Rachid Alioui's late double grabbed Stephane Moulin's side a 2-0 win at Toulouse. Neymar, who had scored late winners in each of his previous two Ligue 1 games, started alongside Eric Maxim Choupo-Moting and Pablo Sarabia up front, with Edinson Cavani, Kylian Mbappe and Mauro Icardi all still injured. But the Brazilian, who failed to force through a return to Barcelona in the close-season, was a peripheral figure and was guilty of gifting Reims possession on numerous occasions. PSG coach Thomas Tuchel was also forced to play a makeshift midfield featuring full-back Juan Bernat, with Marco Verratti suspended. The hosts made a slow start, despite Neymar going close with a free-kick, and fell behind just before the half-hour mark. Reims, who also beat PSG 3-1 on the final day of last season, launched a rare attack and Hassane Kamara rose to powerfully head home Zimbabwean Marshall Munetsi's right-wing cross. PSG's injury woes intensified further shortly before half-time as Choupo-Moting hobbled off to be replaced by Angel Di Maria, who had originally been rested and named as a substitute. Reims came agonisingly close to doubling their advantage in first-half injury-time, as centre-back Yunis Abdelhamid's header bounced narrowly past the post. PSG dominated possession for much of the second half without posing a serious threat, and Reims again came within centimetres of making it two as substitute Remi Oudin's low, left-footed effort struck the base of the post. And Dia entered the fray before planting another fine header past the despairing dive of home goalkeeper Keylor Navas, sealing a richy-deserved victory. Earlier on Wednesday, Nigerian striker Victor Osimhen scored as Lille moved into third with a 2-0 victory over Strasbourg, while Lyon were held by Brest. Last season's runners-up Lille have now won all four of their home league games this term and sit two points adrift of PSG. The 20-year-old Osimhen put Christophe Galtier's Lille into a 43rd-minute lead at the Stade Pierre-Mauroy by lashing home after some slack Strasbourg defending to net his sixth goal in seven games this season. The three points were secured 19 minutes into the second half as Osimhen turned provider for former Chelsea and Marseille forward Loic Remy to slide in his first goal of the campaign. Elsewhere, Lyon saw their winless streak extended to six matches in all competitions with a 2-2 draw at promoted Brest. Moussa Dembele moved joint-top of the Ligue 1 goalscoring charts on six strikes with Osimhen by giving Lyon a 28th-minute advantage, but Yoann Court equalised for Brest less than 60 seconds later. Maxwel Cornet appeared to have eased some of the pressure on Lyon coach Sylvinho by netting in the 69th minute, but Court completed his double to snatch Brest a point with five minutes remaining. ""We didn't play well, I'm not satisfied,"" said former Arsenal and Barcelona left-back Sylvinho. ""Once again we lost the three points in the final minutes. We have a lack of confidence and it generates fear."" Lyon, widely considered PSG's likeliest title challengers ahead of this season, slipped to 11th, already six points off the pace."
8,23/09/2019,00:04,Neymar saves PSG to send French champions three points clear,Neymar scored a fine late winner as Paris Saint-Germain beat Lyon 1-0 on Sunday to move three points clear at the top of the Ligue 1 table.,"The Brazilian finally beat Anthony Lopes, who had pulled off numerous impressive saves, with three minutes of normal time to play at the Groupama Stadium. It was Neymar's second winning goal in as many league games since being reinstated to the team following a protracted transfer saga which saw him attempt to force through a return to Barcelona. ""Neymar can do better,"" said PSG coach Thomas Tuchel. ""It's the second or third game in four months for him. He's not at 100 percent capacity. ""He is not at his limit. He can do better, he will do better. He's going to get to his best level, with matches and decisive goals like that, it's going to help him."" The Parisians sit top on 15 points after Angers and Nice both won over the weekend to temporarily join Tuchel's side at the summit, and followed up their impressive midweek Champions League victory over Real Madrid with the win in constant drizzling rain in Lyon. Sylvinho's Lyon remain in ninth place and are without a win since mid-August. PSG were without the attacking trio of Kylian Mbappe, Edinson Cavani and Mauro Icardi due to injuries, while midfielder Marco Verratti started on the bench. The best of the early chances fell to Neymar on 22 minutes but his effort was superbly saved by Lopes. Neymar was denied again by another tidy Lopes stop four minutes before the break as the Portugal international tipped the Brazil forward's dangerous free-kick over the bar. PSG's domination from the first half carried over into the second 45 minutes. Abdou Diallo had the pick of the chances, using the wet conditions to glance a header from a Neymar corner over the crossbar. The world's most expensive player was targeted by home fans when taking set-pieces from the left-hand side as they threw plastic bottles and rolled-up bin bags at him. With 87 minutes on the clock, substitute Verratti found Neymar in the box who dribbled into space and finally beat Lopes to the keeper's left with a low shot. He celebrated by running towards the same corner of the ground where he had earlier been taunted by the Lyon supporters. Earlier, Angers moved into second place after replacement Casimir Ninga scored an 11-minute hat-trick in a 4-1 thrashing of Saint-Etienne. Ninga, who joined the club from second-tier Caen in August, put Angers into the lead with less than a quarter of an hour remaining before adding two more goals by the 89th minute to clinch their first home win over Saint-Etienne in 43 years. The defeat at Stade Raymond Kopa leaves Les Verts a point above the relegation zone, with Ghislain Printant's outfit having failed to win since the opening day of the season. Stephane Moulin's Angers, who finished 13th in the league last season, have claimed four wins from their opening six fixtures to pull level with Nice in second spot. ""Casimir made a thundering impact. I truly congratulate him because he's worked a lot since arriving at the club,"" Moulin said. ""The second half perfectly resembles what we have been doing since the start of the season. It's a little bit new but it corresponds perfectly to what we're trying to do."""
9,03/09/2019,12:06,Greek international Donis joins Reims on loan,"Greek international forward Anastasios Donis has joined Ligue 1 side Reims on loan with an option to buy from German club VfB Stuttgart, the French club said Tuesday.","Under the terms of the deal Donis, 23, will remain for four seasons if the French club avoids relegation. Blackburn-born Donis, whose father played for the English Championship club, joins the club as a replacement for Pablo Chavarria, who quit Reims for Spanish side Mallorca. Formerly with Juventus, Donis joined Stuttgart on a four-year contract in July 2017 and scored seven goals in 45 Bundesliga appearances."
