,date,hour,title,subtitle,text
0,01/02/2021,14:47,"Messi fuels Barcelona revival, Marseille violence, Poch beaten: Talking points from around Europe","Lionel Messi kept up his improved form in La Liga as Barcelona won again amid more controversy about the Catalans' finances, while there was drama on and off the field in France and the Milan clubs continue to fight it out at the top of Serie A.","AFP Sport rounds up some of the main talking points from across the continent: Barcelona have said they will take legal action against Spanish newspaper El Mundo after it published details at the weekend of Lionel Messi's current contract, which it says is worth up to 555 million euros ($674 million) over four years. El Mundo called it the ""colossal contract that ruins Barcelona"", just as the Catalans are wrestling with a dire financial situation, worsened by the pandemic, and with Messi's future currently up in the air. Yet the Argentine underlined his value to Barca by scoring a superb free-kick in their 2-1 win over Athletic Bilbao. Barca are unbeaten in 10 n La Liga, winning eight, with Messi scoring eight times in that run. However, both Barcelona and Real Madrid are 10 points behind leaders Atletico Madrid, who beat Cadiz 4-2 and still boast a game in hand. Marseille's weekend game against Rennes in Ligue 1 was postponed after angry supporters attacked the club's training ground, while the players were there, in what was called ""a frenzy of unjustifiable violence"". Local police said 25 arrests were made and seven officers were injured after several hundred Ultras stormed La Commanderie in a protest against the club leadership and the team's poor recent run of results. Marseille's owner, the American tycoon Frank McCourt, called the protestors ""thugs"" and likened the incidents to last month's storming of the US Congress. The growing crisis comes with the former Champions League winners having slumped to ninth in Ligue 1 and after coach Andre Villas-Boas indicated he will leave at the end of the season. On the pitch in France, the title race is hotting up after reigning champions Paris Saint-Germain suffered their first defeat under new coach Mauricio Pochettino, conceding at the death to lose 3-2 at struggling Lorient despite Neymar scoring two penalties. It was a fifth defeat in Ligue 1 this season for PSG, who are third, three points behind leaders Lille. Lille beat Dijon 1-0, while Lyon are two points off top spot in second after scoring late to beat Bordeaux 2-1. It could even become a four-way fight. Monaco are six points off the lead after winning their last five games. Bayern Munich maintained their seven-point lead at the top of the German Bundesliga by beating Hoffenheim 4-1 as Robert Lewandowski scored his 24th goal of the league campaign. After a mini slump, the Bavarians have now four on the bounce and remain well clear of nearest rivals RB Leipzig. The result against Hoffenheim also allowed Hansi Flick's side to exact perfect revenge for their 4-1 defeat away to the same opponents in September, in what was their only loss in 46 matches in all competitions across a remarkable 2020. The only cloud on Bayern's weekend came as midfielder Corentin Tolisso was dropped and fined for getting a tattoo, therefore falling foul of Covid-19 quarantine regulations. Zlatan Ibrahimovic's spat with Romelu Lukaku dominated the headlines last midweek as Inter beat AC Milan in their Coppa Italia derby. On Saturday Ibrahimovic missed a penalty for the fourth time this season but Ante Rebic followed up to score and Franck Kessie later netted another spot-kick as Milan won 2-1 at Bologna. That result kept the Rossoneri two points clear of Inter at the top of Serie A, as Antonio Conte's side beat Benevento 4-0 with Lukaku scoring a brace at San Siro. The Belgian is on 14 league goals for the season and Inter remain best-placed to overhaul Milan, even if Roma, Juventus, Lazio and Napoli all also won at the weekend."
1,30/01/2021,22:24,Marseille match postponed after 'savage' fans attack training ground,"Marseille hit out at a ""frenzy of violence"" as their game against Rennes in France's Ligue 1 on Saturday was postponed after hundreds of angry supporters broke into the club's training ground and caused widespread damage in a protest.","The hardcore Ultras, who were demonstrating against the club leadership and the team's poor recent run of results, assembled in the afternoon in front of Marseille's La Commanderie training ground, throwing smoke bombs and firecrackers. ""Several hundred Ultras used force and violence to get into the training ground, including the first team's building,"" the club said in a statement. ""A frenzy of unjustifiable violence put the lives of those present in danger. Thefts were committed and vehicles damaged. Five trees were burnt down...several hundred thousand euros worth of damage was caused."" Local police in France's Bouches-du-Rhone department earlier said 25 arrests were made and seven police officers were injured after ""300 OM supporters violently attacked police officers present to secure La Commanderie"". Sports daily L'Equipe reported that Marseille's Spanish defender Alvaro Gonzalez was struck on the back by a projectile as he went to confront the supporters. ""We are all astonished: staff, coaching staff and players. We were not expecting a savage horde to turn up and destroy everything,"" Marseille president Jacques-Henri Eyraud told Canal Plus. ""I think we avoided an even worse situation. It could have been a tragedy. Everyone is shocked, players and staff. These are not real supporters, they are hooligans, delinquents, people who have no respect for anything."" The French league reacted to the incidents by postponing Marseille's home game against Rennes, scheduled for Saturday evening, ""to a later date"", even though it was due to go ahead behind closed doors due to the Covid-19 pandemic. Marseille were second in Ligue 1 when last season ended early because of the pandemic. However, they have lost their last three league matches and have slid 14 points behind leaders Lyon, albeit with two games in hand. A 2-1 win for Lens at Montpellier on Saturday saw Marseille slip to seventh place. They have won just one of their last nine games in all competitions and are due to visit Lens in midweek before hosting fierce enemies Paris Saint-Germain next weekend. On Friday coach Andre Villas-Boas admitted he expected to leave at the end of the season. ""The place needs a clear-out... I'm responsible for the results and right now they're awful,"" the Portuguese former Porto, Chelsea and Tottenham Hotspur coach said. For several weeks supporters have organised protests before home matches, which are all being played behind closed doors. On Saturday an increased number of banners attacking club leadership, including Eyraud, were hung around the city on motorway bridges, roundabouts and even the Corniche overlooking the Mediterranean Sea. ""Follow AVB, get out of here"", ""Parisians, get out of here"", ""Give us back OM"", read some of them. Eyraud, who was born in Paris, was a frequent target after he angered fans during a conference on management when he talked about the ""danger"" of having too many Marseille residents or club supporters working at the club. ""JHE: No Marseille fans at OM? Get out of here"", said one banner unfurled above a motorway, and ""JHE, Marseille vomits you out"" said another at the Prado roundabout, a few metres from the Stade Velodrome. ol-stt-mdm/fbr/pb/bsp/as/dj"
2,20/12/2020,23:59,Lorient groundsman dies after heat lamp accident,A groundsman working for Lorient died on Sunday after being hit by a falling playing field heat lamp shortly after the Ligue 1 club's 3-0 home defeat to Rennes.,"The mayor of Lorient Fabrice Loher confirmed the news after widespread reports in French media of the death. ""A member of the contracted pitch maintenance team working for the club died after the accidental fall of a heat lamp,"" the city said in a statement. It was Rennes substitutes who raised the alarm as they were still on the pitch when the accident took place. Players and medical staff were seen on television rushing back out to the pitch to help, and were shortly joined by a team of fire fighters. Some remained on the sidelines in shock as rescue workers tried to save the man, reportedly a 38-year-old father of three. He was transported to a local emergency unit but did survive."
3,18/12/2020,17:08,Villas-Boas apologises for threatening journalist,Marseille coach Andre Villas-Boas on Friday gave a limited apology to a journalist from a local newspaper who he threatened and struck after a defeat earlier in the week.,"On Wednesday, after his team lost 2-1 in a Ligue 1 game in Rennes, Villas-Boas approached the journalist from Marseille-based La Provence, gave him ""two unfriendly claps on the shoulder"" and threatened him, according to witnesses. On Thursday, the newspaper published an article headlined: ""When Villas-Boas insults and threatens one of our journalists."" On Friday, the former Tottenham, Chelsea and Zenit St Petersburg coach offered an apology at his press conference. ""I had a reaction that I regret,"" said Villas-Boas. ""The substance of my thought has not changed, but I understand that the way I expressed it provoked your criticism, which is fair. Freedom of expression is one of the most precious human rights. ""I don't have a problem with the press or with criticism, but I had a bad experience with two articles that, for me, attacked my dignity and integrity as a professional and as a person. ""I had a reaction that a person cannot have, I regret it and I am ready to apologise to the journalist."" Marseille struggled again in the Champions League this season and the journalist had written that this continued a career pattern for Villas Boas and that his results in the competition were ""not brilliant"". That had drawn complaints from the Portuguese coach at earlier press conferences, on one occasion lamenting that the writer was not in the room. On Wednesday morning, La Provence published another article on the subject. That evening, Villas-Boas approached the journalist after his brief press conference. ""Thank you. Keep it up, I'll get you,"" he reportedly said after striking the journalist on the shoulder. ""If I'm lucky enough to get you... keep on like this, that's fine."" The dispute continued in the stadium car park. According to another witness, Villas-Boas approached the journalist and ""insulted him in Portuguese"". Ricardo Carvalho, Villas-Boas' deputy, separated the two men."
4,24/11/2020,21:26,Giroud fires Chelsea into Champions League last 16,Chelsea reached the last 16 of the Champions League on Tuesday with two matches to spare after a late Olivier Giroud strike gave the Blues a 2-1 win over Rennes.,"The France forward's powerful header in stoppage time snatched the points for Frank Lampard's side after Serhou Guirassy had levelled Callum Hudson-Odoi's first-half opener. Chelsea were joined in the next round by Group E rivals Sevilla after the Spanish side won 2-1 at Krasnodar. Both sides are on 10 points, nine ahead of third-placed Krasnodar and will now do battle for first place come the end of the group stage. Chelsea can concentrate on domestic duties, with Premier League leaders Tottenham Hotspur visiting Stamford Bridge at the weekend, thanks to out-of-favour Giroud, who has been tipped to leave in January as he seeks more regular football ahead of next summer's European Championship. ""I have a problem because we have Tammy who's playing well... I have two players in a similar position fighting for a place. That's a good problem,"" Lampard told British broadcaster BT Sport. ""Olly (Giroud) will get his minutes because we have a busy schedule, we're playing every few days."" Chelsea started strongly and should have been ahead as early as the seventh minute, when Timo Werner flashed Hudson-Odoi's low cross over the bar with the goal at his mercy. Their early dominance was rewarded in the 22nd minute following superb play from Mason Mount, who won the ball near his own area before spotting the marauding Hudson-Odoi on the right. Mount picked out his fellow Chelsea academy graduate with a long pass. The winger took two touches before slotting past Alfred Gomis. England international Mount was unlucky not to double the away side's lead eight minutes later when Gomis pulled off a superb save to keep out his close-range effort following a Ben Chilwell pull-back. Goalkeeper Edouard Mendy had a quiet start to his return to the club from whom Chelsea signed him in the summer, but the hosts got a foothold in the contest after a rocky opening period. James Lea Siliki shot over in the 32nd minute after the ball rebounded to him off Kurt Zouma. Rennes then began to cause Chelsea some problems. Mendy showed the difference he has made to Chelsea with solid saves from Guirassy and Damien Da Silva towards the end of the opening period. Chelsea thought they had added a second shortly after the break but Werner's header was ruled offside and Rennes continued to pose them problems. Mendy made the save of the night in the 73rd minute when he got his body in the way of a powerful Gerzino Nyamsi header, and then pounced to stop a goal on the rebound. Rennes thought they had punished Chelsea with five minutes remaining when an unmarked Guirassy thumped a header past Mendy. But Giroud pounced less than a minute into stoppage time after Gomis' save from another Werner miss bounced up, allowing the Frenchman to head Chelsea into the last 16."
5,23/11/2020,02:33,Eduardo Camavinga - The rapid rise of France's next superstar,"The landmarks just keep on coming for Eduardo Camavinga of Rennes and France, possibly the most exciting teenage prospect in world football.","Earlier this month he celebrated his 18th birthday and revealed with a cheeky grin that he had passed his driving test the same day ""with flying colours"". In the last 12 months this prodigious talent has become a French citizen -- and turned up at the ceremony in a black suit, bow-tie and white trainers -- before going on to become the national team's youngest representative, and youngest goal-scorer, in over a century. ""What is happening to him is fantastic,"" said Rennes coach Julien Stephan after Camavinga got that first call-up. Throughout his giddy rise to prominence he has been regularly linked with a move to one of Europe's super clubs, most notably Real Madrid. But for now Camavinga is happy to keep developing at Rennes, with whom he will face Chelsea in the Champions League this midweek. Camavinga missed the last meeting of the teams three weeks ago due to injury, and without him the Champions League debutants lost 3-0 at Stamford Bridge after having a man sent off in the first half. With their Angolan-born starlet back, Rennes may just have a chance of causing an upset that would keep them alive a little longer in the competition and, perhaps, help convince him to stick around a little longer in Brittany. Last week French sports daily L'Equipe reported Camavinga was close to extending his contract at Roazhon Park until 2023. It is unlikely he will stay at Rennes that long, but by penning the deal he will guarantee an even bigger windfall when the time does come to move on. He is a simply mind-blowing talent, always playing with his head up, graceful on the ball and at ease on his left foot. He glides across the pitch and the signs are that he is starting to become a goal-scoring threat too. In August he conjured a fabulous, and decisive, goal for Rennes in a Ligue 1 game against Montpellier. Last month he found the net nine minutes into his first start for France, against Ukraine. In doing so, Camavinga became the youngest player to score for Les Bleus since Maurice Gastiger, who was 17 years and five months old, in 1914. Asked last week what aspects of his game he wanted to improve, he responded: ""My finishing. I want to score more, be more decisive. And my right foot."" Nevertheless, he is almost making Kylian Mbappe, a comparative veteran at 21, old news in a country where the conveyor belt of young talent is seemingly never-ending. ""He is young, but it's like Kylian, their age doesn't matter. I'd lump the two of them together. There is a serenity and maturity about them that I didn't have at that age,"" said Paul Pogba recently. ""The future is in his hands."" Camavinga's story would be remarkable enough even without the football career. Born in a refugee camp in the Angolan exclave of Cabinda, he was two when he arrived in France with his family. Their first port of call was the northern city of Lille, before they moved to Fougeres, a town in Brittany not far from Rennes. One of six children, Eduardo wanted to do judo like his big brother, but it soon became apparent he had extraordinary ability with a football. In 2013 the family home was destroyed in a fire, in which the Camavingas lost all proof of their identity. But that is the year Eduardo joined Rennes, and by the time the family posed at their naturalisation ceremony he had been a professional for a year. As he grows up, Camavinga knows the expectations on him will become greater, but he is keeping his feet on the ground. ""I have my parents close by, so I know that as soon as I do something foolish they will bring back me into line,"" he said last week. ""But I need to concentrate on my football. I am not going to become big-headed."""
6,08/11/2020,13:41,Di Maria brace in Rennes stroll keeps depleted PSG top,Angel Di Maria scored twice as Paris Saint-Germain made short work of Rennes despite a raft of absences in a 3-0 win on Saturday that enables the champions to hold onto their lead at the top of Ligue 1.,"Di Maria struck in each half, with Moise Kean scoring the other, to move PSG up to 24 points, five ahead of second-placed Lille who take on Brest in Sunday's early fixture. Rennes stay third on 18 points -- but can be overtaken by Nice should they beat Monaco on Sunday -- while Montpellier are a further point back in sixth after their 2-0 win at Bordeaux. PSG's win was their eighth in a row in the French top flight and came as under-fire coach Thomas Tuchel battles with an injury crisis that has left him without the likes of Neymar, Kylian Mbappe and Marco Verratti. Marquinhos was moved back into the defence following injury to centre-back Presnel Kimpembe, while Pablo Sarabia failed to overcome a muscle strain. However new arrival Kean put the hosts ahead after 10 minutes with his third Ligue 1 goal of the season when he collected Di Maria's pass and lashed a low shot past Alfred Gomis. Di Maria then added the second 10 minutes later when fellow Argentine Leandro Paredes picked him out with a fine through ball and he dinked his finish over Gomis. PSG suffered what looked to be more injury strife when Thilo Kehrer left the field 10 minutes before the end of the first half, before Kean then began limping on the hour mark before being substituted shortly afterwards. The result was never really in doubt however, and Di Maria made absolutely sure of the points in the 73rd minute when his low drive squirmed past the unfortunate Gomis. A thumping win over Rennes is unlikely to improve Tuchel's precarious position at PSG though as last season's Champions League finalists struggle in this year's edition. The 47-year-old German, whose contract is up at the end of this season, is in a sticky position after PSG lost 2-1 at RB Leipzig on Wednesday to leave them with two defeats out of three in the competition's group stage. It has become an open secret that Tuchel does not get on with Leonardo, PSG's powerful sporting director, who did not hire the German and wants to bring in his own man."
7,23/10/2020,23:02,Rennes lose to Angers as fans try to beat curfew record,"Rennes sent 5,000 fans racing home to beat a curfew on Friday ruing another wasted lead after their team lost 2-1 at home to Angers in Ligue 1.","A spike in Covid-19 cases in the region brought the introduction of a curfew from midnight on Friday. That gave fans barely an hour to get home after the match or risk a 135-euro ($160) fine. Rennes could have moved to the top of Ligue 1 with a victory, instead, they suffered their first defeat of the season as, for the fourth time in four games, they blew a lead. This time they did not even gain a draw. The home team started well. After 18 minutes, Paul Bernadoni, Angers record signing, failed to hold a tame volley from Flavien Tait. Adrien Hunou pounced on the loose ball to slide it in from close range. Angers quickly hit back. In the 27th minute, former Southampton player Sofiane Boufal's shot from the edge of the box took a small deflection off Steven Nzonzi and a bigger one off Damien Da Silva before flying past Alfred Gomis. In the 57th minute, Angelo Fulgini chasing a long punt forward wriggled past Da Siva and stretched out a toe to lob the ball over Gomis to give Angers the lead. Almost at once, Gomis atoned with a spectacular save from a point-blank Boufal header. The victory lifted Angers into the top six. ""For us, it's an exploit,"" said Angers coach Stephane Moulin adding that the Champions League had taken a toll on Rennes. ""They used a lot of energy on Tuesday evening."" Angers had conceded 10 goals over their last two away games. ""We had to close the floodgates and I liked the way we did it,"" said Moulin Rennes manager Julien Stephan made five changes to the starting lineup from the club's Champions League debut against Krasnodar on Tuesday when they squandered a lead and drew 1-1 at home. ""I'm disappointed with our match, with the two faces we showed,"" said Stephan. ""We know it's difficult to play every three days but we fought like hell last season to get the chance to play these matches one after the other."" In that European match, the Rennes ultras, many without masks, had grouped behind the goal and celebrated together when their team took the lead. On Friday, UEFA announced it had opened a disciplinary investigation against Rennes for violating its health protocol and failing to ""maintain social distancing"". For the game against Angers, the club again allowed 5,000 spectators to attend, insisting it would enforce stricter distancing rules and enforce a four-seat gap between them. ""We asked them to distribute these 5,000 spectators in the four stands"", said the prefect of Brittany, Michele Kirry. As they watched their team lose to Angers, the fans were carefully spaced around the stadium, which might have also made it easier for them to rush for the exits at the final whistle as the match ended just over an hour before the curfew started. ""The curfew order only comes into force at midnight tonight,"" said Kirry. ""It's very complicated to cancel things on the day they are scheduled."""
8,23/10/2020,03:50,French clubs seek solace amid poor Champions League form and Mediapro dispute,"Just two months after Paris Saint-Germain's run to the final of the Champions League in Lisbon, and Lyon's appearance in the semi-finals, a miserable midweek for Ligue 1 clubs in Europe's elite competition offered no relief at a time when French football is in crisis off the field.","PSG lost 2-1 at home to Manchester United after Marcus Rashford popped up with a late winner for the visitors, and Marseille conceded even later to lose 1-0 at Olympiakos. It was left to Rennes to salvage some pride, but a 1-1 draw with Russian novices Krasnodar still leaves them up against it. On the pitch, Ligue 1 remains the poor relation among Europe's ""Big Five"" leagues, and the outlook is not being helped by the economic crisis and a worrying dispute with the game's chief domestic TV rights holder. Chinese-owned Spanish firm Mediapro did not meet a scheduled 172 million-euro ($203m) payment due this month and is now trying to renegotiate the record deal it agreed for four seasons starting this year, citing the economic downturn caused by the coronavirus pandemic. Mediapro won the rights after agreeing to pay over 800 million euros per season, out of a total deal worth a record 1.15 billion euros annually. Clubs now face an uncertain future, just as they are being starved of gate revenue due to restrictions on gatherings as a result of the pandemic. The French league (LFP) has taken out a loan of 112 million euros to tide over clubs in the short term, but it is unclear what happens next with Mediapro CEO Jaume Roures saying the company intends to honour the full term of their deal while also indicating the next scheduled payment may not be forthcoming either. ""If there were no TV rights it would be catastrophic for everyone,"" admitted Montpellier president Laurent Nicollin. Meanwhile, interested observers elsewhere believe French clubs will have no choice but to renegotiate the deal. ""There was no pandemic when Mediapro offered the money they did. Nobody knew there was going to be a pandemic and that all the bars would close, that the season would start later than planned,"" LaLiga president Javier Tebas told AFP. ""The conditions were no longer the same so this is all normal. We have also negotiated with many operators."" The France superstar endured a difficult night in PSG's loss to Manchester United and has now gone six games without scoring in the Champions League. It is a worrying run for a player who had previously been so prolific both with his current club and Monaco, and it is notable that Rashford has now scored as many Champions League goals in Paris since the start of 2018/19 as Mbappe. Perhaps he was tired after starting twice and playing another 45 minutes as a substitute for France during the recent international break, and it will be interesting to see if PSG coach Thomas Tuchel starts him on Saturday against Dijon or gives him a rest ahead of the Champions League trip to Istanbul Basaksehir. 1 - France's three representatives collected a solitary point between them in the Champions League in midweek. 24 - PSG have scored 24 goals without reply in their six previous home meetings with Dijon in league and cup. They notably won 8-0 in January 2018. 6 - Lille went top of Ligue 1 last weekend for the first time in six years. They have their best record seven games into a season since 1952."
9,09/09/2020,17:50,"Mendy talks with Chelsea 'have started', say Rennes","Rennes admitted on Wednesday that they were in talks with Chelsea over the transfer of Edouard Mendy, as the Premier League club look to continue their summer spending spree by bagging the Senegal goalkeeper.","Frank Lampard's Blues have already splashed out almost £200 million (220.2 million euros) in the close season signing Timo Werner, Kai Havertz, Hakim Ziyech and Ben Chilwell, and are looking for a new stopper after disappointing displays from Kepa Arrizabalaga. ""Talks have begun, but we're still in the discussion phase, there is no agreement for now, far from it,"" Rennes president Nicolas Holveck told reporters during the unveiling of forward Serhou Guirassy, signed from Amiens. France-born Mendy, 28, arrived at Rennes last summer and was a key man in the team that finished third in Ligue 1 last season and qualified for the group stages of the Champions League for the first time in their history. The move to Chelsea would be another step forward for a player who worked his way up the ranks of French football before finally arriving in the top flight with Reims in 2018, at the age of 26. ""I can understand Edouard's desires, he's spoken to us about it. But he's not exactly at the worst club in Europe,"" added Holveck. ""For now he's with Rennes and is very much part of our club."""
