,date,hour,title,subtitle,text
0,24/01/2021,23:17,Suarez strikes again as Atletico march on with Valencia win,Luis Suarez scored a brilliant team goal as Atletico Madrid came from behind to beat Valencia 3-1 on Sunday and move seven points clear at the top of La Liga.,"After Real Madrid thrashed Alaves on Saturday, Barca had earlier followed suit with a scrappy victory over Elche. But Atletico were undeterred in the capital, as their considerable advantage was restored again, with a game in hand. ""We don't get carried away or think too far ahead, we think about getting better,"" said Atletico coach Diego Simeone. Suarez finished off a flowing move that had started almost on Atletico's goal-line before substitute Angel Correa capped another slick string of passes to end Valencia's resistance. The visitors had taken an early lead in stunning fashion, Uros Racic curling into the top corner from 35 yards but Joao Felix equalised and Atletico came back, in a way that has begun to feel expected. Felix was replaced by Correa after an hour by Simeone after assisting Suarez and scoring a goal for himself that should send a message to his coach, who has handed the 21-year-old a spell on the bench in recent weeks. ""It's not written that footballers have to play 90 minutes,"" said Simeone. ""Joao scored a goal, made an assist, he came off and on came Correa, who scored a goal and was close to another. The competition is healthy."" Simeone knows the pressure will mount as the La Liga trophy comes more into view, yet his team are showing an assuredness now that is offering little encouragement for Barcelona and Real Madrid. They had hope when Valencia took the lead on 11 minutes, Racic running onto Jose Gaya's pass and wrapping his left foot around the ball to send it bending into the top right-hand corner. He celebrated by seeking out his under-pressure coach Javi Gracia, but the advantage was short-lived as Felix stabbed in on the volley at the back post after holding off his marker Thierry Correia from a corner. With the more attacking Renan Lodi and Yannick Carrasco playing left and right wing-back in the second half, Atletico opened up Valencia twice with two superb, sweeping moves. The first started in their own right corner with Stefan Savic, the ball played across the back and into midfield where Mario Hermoso drove a searching pass forward to Felix on the left. He slipped in Suarez, who opened his body and finished from the angle. It was no fluke because the third goal was almost as good, some slick passing through midfield freeing Marcos Llorente down the right and he pulled back for Correa to sidefoot in. Barcelona won again without the suspended Lionel Messi as goals from Frenkie de Jong and Riqui Puig were enough to secure a scruffy 2-0 win over Elche. De Jong poked the ball over the line just before half-time at the Martinez Valero, which would have proved a suitably scrappy winner before Puig came off the bench to head in a second late on. Despite an uninspiring performance, Ronald Koeman will be relieved to see Barca make it two consecutive victories without Messi and since their loss in the Spanish Super Cup final last weekend to Athletic Bilbao, after an extra-time Copa del Rey victory over Cornella in midweek. Messi is still serving his punishment for being sent off in Seville but the Argentinian will be available again for Wednesday's cup tie at Rayo Vallecano. In his absence, De Jong stepped up, continuing his own resurgence in recent weeks with one of the simplest goals he will ever score and then an assist, following a more impressive run and cross for Puig. ""We are better this year. We've had to play all our games away and in La Liga we have won all of them so I think we have done well,"" said De Jong. ""For me, playing better is not just about goals and assists but I'm happy of course to score and assist today."""
1,19/12/2020,17:22,Messi equals Pele's record of goals for a single club,Lionel Messi scored his 643rd goal for Barcelona on Saturday to equal Pele's record of goals for a single club as the Spanish giants were held 2-2 by Valencia.,"Messi headed in from Jordi Alba's cross after his first-half penalty was saved to equal the mark set by the Brazilian great for Santos. But Messi was left frustrated as a dogged Valencia forced a draw that leaves Barcelona eight points behind leaders Atletico Madrid, who beat Elche 3-1 earlier in the day. Barcelona started slowly and went a goal behind to Mouctar Diakhaby's unchallenged header from a corner after half an hour. Antoine Griezmann earned the penalty that led to Messi's record-equalling goal when the Frenchman was nudged over by Jose Gaya. Messi's spot-kick was saved by Jaume Domenech but the ball rebounded and from Alba's dinked cross, the Argentine headed the ball into the net to draw level with Pele. Barcelona went ahead thanks to a superb scissor kick from Uruguayan Ronald Araujo. But Valencia's pressure was rewarded when Maxi Gomez got in front of Barca central defender Oscar Mingueza to turn in a cross and equalise. Philippe Coutinho drove a shot just wide with 12 minutes remaining and Messi curled a free-kick wide but Barcelona were forced to share the points."
2,28/11/2020,19:42,Atletico beat Valencia to move level with leaders Sociedad,Atletico Madrid moved level with La Liga leaders Real Sociedad on Saturday after edging a tight contest at Valencia 1-0 that extends their domestic winning streak to six matches.,"Diego Simeone's side stay second but are equal on 23 points with Sociedad with a game in hand on the leaders thanks to Toni Lato's own goal 11 minutes from time. Stingy Atletico have conceded just twice in their nine league matches so far this season and have only scored two less than La Liga top scorers Sociedad, who host third-placed Villarreal on Sunday. ""We have made huge progress since April, since that wonderful match at Liverpool,"" said Simeone, referring to the Champions League last 16 tie his team won 4-2 on aggregate. ""The return to La Liga (after the first lockdown) was very good and the team was already starting to show encouraging signs. This is the result of the progression of all of the players."" Simeone offered a round of applause to his former teammate and friend Diego Maradona following the iconic Argentine's death on Wednesday, while both teams held a minute's silence before kick-off. Atleti's win at the Mestalla puts them four ahead of Villarreal and six in front of reigning champions Real Madrid, who face Alaves in Saturday's late match. It came without a host of absences, including Luis Suarez following the striker's positive Covid-19 test earlier this month, and Simeone said he would have an update on the Uruguayan's condition on Sunday. ""I spoke with him (Suarez) on the phone, he really wants to come back. The team needs him, and I hope he will come back in the best possible way,"" said Simeone. Fellow traditional title rivals Barcelona are 12 points back in 13th place, although they host Osasuna in Sunday's early match and will still have two games in hand on Sociedad come the end of the weekend. Atletico will face European champions Bayern Munich in the Champions League on Tuesday hoping to reach the knockout stages with a match to spare. In the early match, newly-promoted Elche and Cadiz shared the spoils in a 1-1 draw which continues their surprise starts to the season."
3,03/11/2020,14:30,Atletico sign Kondogbia from Valencia,"Atletico Madrid have signed midfielder Geoffrey Kondogbia from Valencia, the two clubs announced on Tuesday.","Kondogbia, who has played internationally for France and the Central African Republic, has signed a contract until 2024, Atletico said in a statement. La Liga rules allowed Atletico to buy outside the transfer window after Arsenal activated Thomas Partey's 50 million euro ($58 million) release clause on the last day of the summer transfer window. Kondogbia will cost Atletico around 10 million euros, according to reports in the Spanish press, with a further 2 million euros due in variables. Valencia will also take 10 per cent of any future sale. ""A talented and strong midfielder joins Atletico Madrid,"" the club said. ""His physical presence, defensive solidity and striking ability from distance make him an all-round player in central midfield."" Thomas had been one of Atletico's most important players but the club have attempted to fill the void with the signing of Kondogbia, as well as Arsenal's Lucas Torreira who joined on loan. Valencia, though, will not be able to replace Kondogbia and letting the 27-year-old go continues the club's drastic selling policy, which has been hugely unpopular with the fans. In a statement issued in August, Valencia owner Peter Lim said: ""We need to reduce the cost of our team. First, for the obvious reason that we are not in the Champions League. We only have La Liga in which to compete, and we will need fewer players."" ""A bankrupt club is not a better club,"" he added. Valencia's new coach Javi Gracia has already complained publicly about the club failing to replace players sold and the team have endured a poor start to the season in La Liga, sitting 13th, three points above the relegation places. A brief statement, titled 'So Long, Geoffrey Kondogbia' on social media, read: ""Valencia CF have formalised an agreement with Atletico Madrid for the permanent transfer of Geoffrey Kondogbia."""
4,18/10/2020,20:59,Parejo sinks former club Valencia as Villarreal go top,"Dani Parejo came back to haunt Valencia on Sunday by scoring the winner in a 2-1 victory for Villarreal, who moved to the top of La Liga.","After making 363 appearances for Valencia, many of them as captain, Parejo was one of a handful of key players allowed to leave the club in the summer. His deflected shot in the 69th minute was a reminder of what they were missing as Villarreal held on to go one point above Real Madrid. Despite a 4-0 thrashing at the hands of Barcelona last month, it has been an encouraging start for Unai Emery, who was appointed coach of Villarreal in July. They have 11 points from their first six games and lead the table after capitalising on inconsistent starts for La Liga's title favourites. Madrid and Barca lost to Cadiz and Getafe respectively on Saturday. Valencia sit 12th, having won just once in their last five matches, with the future of coach Javi Gracia still uncertain. Gracia was critical of the club after Valencia sold the likes of Parejo and Francis Coquelin to Villarreal, as well as Rodrigo and Ferran Torres to Leeds and Manchester City but failed to make a single addition in the summer transfer window. Emery was also once at Valencia and so was Villarreal's Paco Alcacer, who opened the scoring with a penalty before Goncalo Guedes levelled shortly before half-time. Yet Parejo had the last word, receiving a pass from Takefusa Kubo and curling in after his shot deflected off Mouctar Diakhaby. Villarreal had to play the last few minutes with 10 men, with Kubo sent off in the 90th minute after coming on in the 64th."
5,29/09/2020,21:45,Valencia edge Real Sociedad to go top in Spain,Valencia opened the fourth round of Liga matches on Tuesday with a 1-0 away win at Real Sociedad to move to the top of the Spanish table.,"Real Sociedad would also have gone top with a victory and while they dominating play were however frustrated by an impressive display from the visiting goalkeeper Jaume Domenech. The hosts lost their fluency after changing four attacking players in a mass switch in the 67th minute. Maxi Gomez finished off a rare Valencia counter-attack to score the winning goal from close range after 75 minutes. Valencia had been under pressure after a draw at home to Huesca on Saturday came on the back of a surprise loss away at Celta Vigo. New coach Javi Gracia has already expressed disappointment with the club's summer transfer dealings. But his side now top the standings with seven points after four games albeit with five teams in action this week who are within three points, including Real Madrid who welcome Valladolid on Thursday. The midweek round ends with Celta, who could also end up in first place, hosting Barcelona, who have only played one match, on Thursday."
6,13/09/2020,23:20,Valencia fight back to win six-goal thriller against Levante,"Valencia twice came from behind to beat local rivals Levante 4-2 on Sunday, a welcome boost to morale following a turbulent summer for the club.","Manu Vallejo scored the decisive late goals in a goal-fest at Mestalla after Jose Luis Morales's double for Levante had been cancelled out by Gabriel Paulista and the excellent Maxi Gomez. The victory was Javi Gracia's first since being appointed Valencia coach in July and gets the team off to a positive start in La Liga, despite simmering tensions off the pitch. Manuel Pellegrini also enjoyed a successful start in charge of Real Betis after they won 1-0 away at Alaves. But Unai Emery's first game as coach of Villarreal ended in a 1-1 draw at home to newly-promoted Huesca. Valencia would hope to be challenging the likes of Villarreal for a place in the top four this season but several key players have been sold, with unpopular owner Peter Lim determined to improve the club's financial situation. Gracia said on Friday he felt ""sad"" because the squad had been ""weakened"", a brave move given the board's impatience with previous coaches. Yet this was a gutsy performance that Gracia could have been proud of, even if Valencia were behind after just 37 seconds, Morales weaving his way through four defenders before poking in. Gabriel pulled Valencia level when his header crept inside the near post from a corner but Levante scored again, Morales driving into the top corner after more sloppy Valencia defending. But Valencia came back again, Maxi sliding a shot into the far corner and then Yunus Musah, the 17-year-old who left Arsenal's academy last year, clipped the crossbar with a shot in the second half. Valencia looked more likely to snatch a third and Vallejo kept a cool head when it mattered, tucking a finish into the corner after a smart dummy by Maxi. There was time even for a fourth in injury-time as Maxi pulled clear on the break and when his shot cannoned back off the post, Vallejo was perfectly placed."
7,12/08/2020,14:49,Ex-Arsenal midfielder Coquelin leaves Valencia for Villareal,"Former Arsenal midfielder Francis Coquelin has joined Villarreal from Valencia on a four-year deal, both Spanish clubs announced on Wednesday.","Local media reported the deal for the 29-year-old, who left the Premier League side in 2018 after a decade-long spell, is worth eight million euros ($9.42 million). Villarreal will feature in next season's Europa League under the guidance of former Sevilla and Paris Saint-Germain coach Unai Emery. Coquelin was part of the Valencia team that finished ninth in La Liga after a miserable season for the club, during which supporters grew increasingly disillusioned with the ownership of Singaporean businessman Peter Lim."
8,11/08/2020,15:32,"Valencia, Espanyol, Mallorca confirm positive tests for coronavirus","Valencia, Espanyol and Real Mallorca all reported positive cases for coronavirus on Tuesday, as Spanish clubs begin returning for pre-season.","Valencia confirmed two individuals have been infected while tests at Espanyol and Mallorca, who have both been relegated to the second division, revealed one positive case each. The identities of the individuals have been kept anonymous. They are all isolating at home and the Spanish health authorities have been notified. According to La Liga protocol for returning teams, training at all three clubs will have to be done individually until a second round of tests is carried out. It continues a rise in the number of confirmed infections among La Liga sides after Atletico Madrid's Sime Vrsaljko and Angel Correa both tested positive on Saturday. Real Madrid striker Mariano Diaz and Sevilla midfielder Nemanja Gudelj have also been infected in the last two weeks. La Liga's top flight completed the 2019/20 season on July 19 and the plan is for the 2020/21 campaign to begin on September 12, following the conclusion of the Champions League and Europa League. Spain is one of the worst-hit countries by the pandemic and has seen an increase in cases in recent weeks. The Spanish health ministry on Monday reported 8,618 new coronavirus infections since Friday and 65 deaths from the virus over the previous seven days. Valencia were starting their pre-season preparations this week under new coach Javi Gracia, who was appointed two weeks ago following the sacking of Albert Celades in June. They were one of the first clubs to confirm cases of coronavirus in March, when 35 percent of the squad, including players and coaches, tested positive after playing a Champions League match against Atalanta in Italy at the end of February. Valencia finished ninth in La Liga after a miserable season for the club, during which supporters grew increasingly disillusioned with the ownership of Singaporean businessman Peter Lim. A club statement on Tuesday confirmed the two positive cases for coronavirus. ""The PCR and blood serum tests carried out on Monday for the first team, coaching staff and employees have detected two positive cases of COVID-19,"" it read. ""Those who have tested positive will remain isolated in their homes, in accordance with La Liga and club protocols. The health authorities have been informed immediately of their status. ""From the start of this health crisis, Valencia have given special importance to measures to halt the expansion of the pandemic, and will maintain a strict protocol to which all members of the club are completely committed."""
9,11/08/2020,11:10,Valencia confirm two positive tests for coronavirus,"Valencia have been hit by two positive cases for coronavirus, the La Liga club announced on Tuesday, a day after players and staff returned for pre-season.","The identities of the two individuals have been kept anonymous. They are both isolating at home while the club has notified the Spanish health authorities. It continues a rise in the number of confirmed infections among La Liga teams after Atletico Madrid's Sime Vrsaljko and Angel Correa both tested positive on Saturday. Real Madrid striker Mariano Diaz and Sevilla midfielder Nemanja Gudelj have also been infected in the last two weeks. La Liga completed the 2019/20 season on July 19 and the plan is for the 2020/21 campaign to begin on September 12, following the conclusion of the Champions League and Europa League. Spain is one of the worst-hit countries by the pandemic and has seen an increase in cases in recent weeks. The Spanish health ministry on Monday reported 8,618 new coronavirus infections since Friday and 65 deaths from the virus over the previous seven days. Valencia were starting their pre-season preparations this week under new coach Javi Gracia, who was appointed two weeks ago following the sacking of Albert Celades in June. They were one of the first clubs to confirm cases of coronavirus in March, when 35 percent of the squad, including players and coaches, tested positive after playing a Champions League match against Atalanta in Italy at the end of February. Valencia finished ninth in La Liga after a miserable season for the club, during which supporters grew increasingly disillusioned with the ownership of Singaporean businessman Peter Lim. A club statement on Tuesday confirmed the two positive cases for coronavirus. ""The PCR and blood serum tests carried out on Monday for the first team, coaching staff and employees have detected two positive cases of COVID-19,"" it read. ""Those who have tested positive will remain isolated in their homes, in accordance with LaLiga and club protocols. The health authorities have been informed immediately of their status. ""From the start of this health crisis, Valencia have given special importance to measures to halt the expansion of the pandemic, and will maintain a strict protocol to which all members of the club are completely committed."""
