,date,hour,title,subtitle,text
0,07/02/2021,22:26,Leipzig face in-form Wolfsburg in Cup quarters,"RB Leipzig will face Wolfsburg in the quarter-finals of the German Cup after Sunday's draw, while Borussia Moenchengladbach will host Borussia Dortmund in the other all-Bundesliga tie.","Leipzig are second in Germany's top division while Wolfsburg are third and on a run of five straight wins in league and cup. The other top flight side left in the competition, Werder Bremen, will travel to second-tier Jahn Regensburg as clubs eye a cup that looks much more winnable with Bayern Munich out of the way. Bayern's conquerers at the last-32 stage Holstein Kiel have been rewarded for their penalty shootout win over Darmstadt in the last 16 with a trip to Rot-Weiss Essen, who play in the fourth division. Essen will likely be no pushover however after having knocked out Bayer Leverkusen, Arminia Bielefeld and second division team Fortuna Duesseldorf in previous rounds. Quarter-final draw, matches to be played March 2 and 3: RB Leipzig v Wolfsburg Borussia Moenchengladbach v Borussia Dortmund Jahn Regensburg v Werder Bremen Rot-Weiss Essen v Holstein Kiel"
1,16/01/2021,21:03,Leipzig blow chance to knock Bayern off top of Bundesliga,RB Leipzig were left rueing their squandered chance to replace Bayern Munich as Bundesliga leaders on Saturday after being held to a 2-2 draw at Wolfsburg.,"For the second consecutive Saturday, Leipzig, who lost 3-1 last weekend at home to Borussia Dortmund, missed out on first place. ""It's tough, you always have to deliver and when you look at the other results, three points would have been great,"" Leipzig coach Julian Nagelsmann said. ""I am sure Leverkusen and Dortmund would say the same thing,"" he added after rivals Bayer Leverkusen lost at Union Berlin on Friday while Dortmund drew at home to Mainz. ""There are a lot of good teams in the league and you have to go to your limits each time."" Embattled Bayern, who crashed to a 3-2 league defeat at Borussia Moenchengladbach and were then dumped out of the German Cup in midweek, host Freiburg on Sunday. They stay a point ahead in the table. Nagelsmann's men got off to a great start when Nordi Mukiele gave them an early lead after converting a pass from Emil Forsberg. However, Wolfsburg roared back with goals from Wout Weghorst and Renato Steffen, whose shot clipped the chest of Leipzig defender Willi Orban on its way into the net. Orban made amends when he tapped home Leipzig's equaliser in the second half. Fourth-placed Dortmund also dropped points as captain Marco Reus missed a late penalty in their 1-1 draw at home to strugglers Mainz, who climbed off the bottom. ""I could have decided the game. I am very, very sorry,"" said a crestfallen Reus, who buried his face in his shirt after firing wide from the spot 15 minutes before the final whistle. ""The disappointment is huge. We wanted to climb the table and we've missed the chance to take another step."" Defender Levin Oztunali gave Mainz the lead when he beat Dortmund goalkeeper Roman Burki from 20 metres just after half-time. Belgium defender Thomas Meunier equalised, but Dortmund's 16-year-old striker Youssoufa Moukoko deserved credit for keeping the ball alive in the area and providing the crucial pass. Reus fired his spot-kick wide after a foul on Meunier in the area. Later, Stuttgart got the rub of the green on their new pitch as Silas Wamangituka converted a last-gasp penalty to earn a 2-2 draw with Moenchengladbach. Nagelsmann compared their pitch to a potato field after Leipzig's 1-0 away win a fortnight ago and Stuttgart reacted by spending 150,000 euros ($181,000) on a new surface which was laid Monday. Gladbach were 2-1 up deep into added time thanks to a Denis Zakaria effort, after Lars Stindl's spot-kick had been cancelled out when Nicolas Gonzalez scored Stuttgart's 3,000th Bundesliga goal. Wamangituka converted a 96th-minute penalty after VAR ruled Stuttgart forward Sasa Kalajdzic was fouled when he backed into Gladbach defender Ramy Bensebaini. Union are so far the only top five club to win this weekend after beating third-placed Leverkusen 1-0 in Berlin. Leverkusen were the second big name to crash in the capital city after Dortmund lost at Union last month. Union's home win was overshadowed by allegations of a racist slur aimed at Leverkusen midfielder Nadiem Amiri, which the hosts are investigating. On Saturday, Union signed 19-year-old winger Leon Dajaku on loan from Bayern Munich for the rest of the season. Werder Bremen claimed their first home victory since October with late goals in a 2-0 win at home to Augsburg. Bremen winger Felix Agu, 21, celebrated his first league start by setting up Czech defender Theodor Gebre Selassie before sealing the points with a goal of his own. ""There is nothing better, I really enjoyed that,"" said Agu, who had played a total of 91 minutes on his three previous league appearances. Hoffenheim drew 0-0 at home to Arminia Bielefeld while Cologne against Hertha Berlin finished in a goalless stalemate, with all four teams in the bottom six places."
2,01/01/2021,03:00,Haaland back in action as Bundesliga returns from mini-break,Borussia Dortmund striker Erling Braut Haaland is expected to make an eagerly awaited return from injury as his side look to battle back into the Bundesliga top four with a win over high-fliers Wolfsburg on Sunday.,"The prolific Norwegian prodigy has missed the last four league games and the last seven in all competitions after picking up a hamstring injury in early December. Yet the 20-year-old returned to team training this week, and Dortmund sporting director Michael Zorc confirmed that he would be back in action this weekend. ""Erling's recovery has gone well. We are working on the assumption that he can play against Wolfsburg,"" said Zorc. Haaland's return is timely, with his side in desperate need of a win after a miserable run of form before Christmas saw them drop to fifth in the table, eight points behind leaders Bayern Munich and two behind Sunday's opponents Wolfsburg. Dortmund sacked coach Lucien Favre after they were thrashed by promoted side Stuttgart in mid-December, before suffering a shock away defeat to minnows Union Berlin in their second game under caretaker boss Edin Terzic. Defeat to Wolfsburg would see Dortmund lose four home league games in a row for the first time in 20 years. ""The most important thing is that we start well and end well,"" said Haaland, who has scored 17 goals in 14 games in all competitions this season. In a season squashed by the coronavirus pandemic, many Bundesliga clubs have had just a week off in the shortest winter break in the league's history. Yet after their pre-Christmas cup tie was postponed until January, champions Bayern have had an extra week to recover and are expected to waltz past struggling Mainz on Sunday and defend their two-point lead at the top of the table. Second from bottom and without a win in six games, Mainz parted ways with both their coach and sporting director over Christmas. Huddersfield boss Jan Siewert will take the reins as interim coach against Bayern. There has also been a changing of the guard at bottom club Schalke, where new coach Christian Gross will take charge of his first game away to Hertha Berlin on Saturday. Former Tottenham and Stuttgart coach Gross has been charged with leading Schalke out of danger and ending their miserable winless streak of 29 games. Having not won since last January, the seven-time German champions are now just two games away from equalling Tasmania Berlin's unwanted record of 31 games without a win, set back in 1966. Fresh from his coronation as the world's best goalkeeper, the Bayern stopper is just one game away from equalling Oliver Kahn's club record of 196 Bundesliga clean sheets, a milestone he has been chasing in vain for more than two months. If he fails again to reach Kahn's mark against Mainz, Neuer will have gone nine league games without a clean sheet for only the second time in his Bayern career. 150 - RB Leipzig will celebrate their 150th Bundesliga game when they take on Stuttgart on Saturday. They have won 80 of them so far, more than any other German club at the same milestone. 50 - Weeks since Schalke's last Bundesliga win in January last year. The league's bottom club are just two games away from equalling Tasmania Berlin's unwanted record of 31 games without a win. 10 - Goals Erling Braut Haaland has scored in his eight league games for Borussia Dortmund this season. The Norwegian is set to make his first appearance in a month against Wolfsburg. Fixtures (all times 1430 GMT unless stated)"
3,24/12/2020,00:25,Bundesliga strugglers Mainz out of German Cup,"Crisis-hit Bundesliga club Mainz crashed out on penalties to second division side Bochum in the second round of the German Cup on Wednesday after Robert Tesche scored a dramatic, stoppage-time equaliser for the underdogs.","Jean-Paul Boetius and Danny Latza gave Mainz a comfortable 2-0 lead, but Bochum fought back through Gerrit Holtmann and a stoppage-time equaliser from Robert Tesche. Despite having goalkeeper Manuel Riemann sent off in stoppage time, the underdogs triumphed 3-0 in the penalty shootout after Mainz missed all their penalties. Defeat crowned a miserable Christmas week for Mainz, who sit second from bottom in the league and parted ways with sporting director Rouwen Schroeder on Tuesday. Elsewhere, Dutch striker Wout Weghorst scored twice as Wolfsburg thrashed second-tier minnows Sandhausen 4-0 in the second round of the German Cup Wednesday, despite losing numerous players to Covid-19 in recent days. With four players having tested positive for coronavirus in the last week and another three self-isolating, Wolfsburg were forced to list two reserve goalkeepers, Lino Kasten and Niklas Klinger, as outfield substitutes. Yet the top-flight side cruised to victory thanks to goals from Yannick Gerhardt, Joao Victor and Weghorst, who has now scored 11 goals in his last 11 games. ""My players showed from the first minute that they weren't going to worry about the difficult conditions and the absentees,"" said Wolfsburg coach Oliver Glasner. In Wednesday's other games, first-half goal from Sasa Kalajdzic saw Stuttgart to a 1-0 win over south-western neighbours Freiburg, while Werder Bremen waltzed to a 3-0 win over Hanover. In-form Rot-Weiss Essen are the last fourth-tier side left in the draw after they stunned second-division local rivals Fortuna Duesseldorf 3-2."
4,21/11/2020,23:11,Haaland scores four as Dortmund cut Bayern's lead,Erling Braut Haaland netted four goals and Youssoufa Moukoko became the youngest player in Bundesliga history on Saturday as Borussia Dortmund routed Hertha Berlin 5-2 to trim Bayern Munich's lead at the top of the table to just a point.,"It was the first time the 20-year-old Haaland had scored four goals in a game for Dortmund since his January debut, with all of them coming in the second half. ""I drank a Red Bull at half time, I got some wings and everything was good,"" said Haaland. The Norwegian now has 10 goals in seven Bundesliga matches this season to give him a total of 31 goals in 30 games in all competitions for Dortmund. After Matheus Cunha gave Hertha a first-half lead at Berlin's Olympic Stadium, Dortmund roared back. Haaland equalised when he tapped home an Emre Can pass on 47 minutes. He grabbed his second two minutes later with perfect timing to slip his marker and fire in a Julian Brandt pass. Haaland wrapped up his hat-trick on 62 minutes, just before Raphael Guerreiro stabbed the ball home from close range to make it 4-1. Cunha converted a late penalty, but the night belonged to Haaland who finished a move he started with 10 minutes to play. There was still time for history to be made as Moukoko made a late cameo off the Dortmund bench to replace Haaland. One day after his 16th birthday, Moukoko is the youngest player in Bundesliga history. ""He's only just turned 16 -- that is amazing,"" Haaland said of Moukoko. ""He has a big career ahead of him."" Dortmund's romp in Berlin moved them second in the standings, behind defending champions Bayern who stayed top despite a 1-1 home draw with Werder Bremen. Germany goalkeeper Manuel Neuer produced great stops to twice deny US forward Josh Sargent as Bremen earned their first point at Bayern for a decade. ""We had to invest a lot,"" Neuer told Sky. The 34-year-old bounced back after conceding six goals in Germany's crushing defeat by Spain in midweek with two brilliant first-half saves in quick succession. He used a boot to block a Sargent shot, then lunged across goal to save from Ludwig Augustinsson. In the dying stages, Neuer then stood tall to block a shot by Sargent, who had broken clear. Bayern coach Hansi Flick was far from pleased that Bremen took the lead in his 50th game in charge, saying his team ""have to defend better"". Bremen deservedly went ahead just before half-time when midfielder Maximilian Eggestein finished off a superb attack. ""We conceded a very cheap goal, that's how Bremen's plan worked and they defended very well,"" said Bayern forward Thomas Mueller. Kingsley Coman equalised in the 62nd minute at the Allianz Arena by meeting a Leon Goretzka cross at the far post. Bayern forward Eric Maxim Choupo-Moting fired over with the goal at his mercy five minutes from time. However, Neuer's heroics at the other end preserved the draw. Bayer Leverkusen are third after their 2-1 win at strugglers Arminia Bielefeld thanks to Aleksandar Dragovic's late winner. The victory was a relief for Leverkusen goalkeeper Lukas Hradecky, who scored a embarrassing own goal early in the second half. Leverkusen were 1-0 up thanks to a Leon Bailey goal when Hradecky sliced a clearance, which rolled into the empty net behind him. Dragovic stabbed home from close range two minutes from time to spare Hradecky's blushes. RB Leipzig sit fourth after Yussuf Poulsen came off the bench and produced a deft second-half volley in their 1-1 draw at Eintracht Frankfurt after winger Aymen Barkok gave the hosts an early lead. Despite having seven players quarantined with the coronavirus, a depleted Hoffenheim drew 3-3 at home with Stuttgart. Schalke's winless run stretched to 24 league games, dating back to January, after losing 2-0 at home to Wolfsburg. A Daniel Caligiuri equaliser two minutes from time gave 10-man Augsburg a 1-1 draw at Borussia Moenchengladbach."
5,08/11/2020,17:57,Casteels late penalty save seals Wolfsburg win,"Wolfsburg climbed to sixth in the Bundesliga Sunday after goalkeeper Koen Casteels pulled off a late stunning penalty save to help seal a 2-1 home over Hoffenheim, who have struggled since their shock win over Bayern Munich.","Hoffenheim were awarded a penalty in the fourth minute of injury time, but their Israeli striker Munas Dabbur watched helplessly as Casteels pushed away his spot kick attempt. It was the second late penalty which went begging after Wolfsburg's Dutch striker Wout Weghorst fired his spot-kick attempt wide on 84 minutes. Wolfsburg raced into the lead when Swiss winger Renato Steffen scored after just six minutes, although the VAR needed to check whether there was an offside in the build-up. A superb pass by Wolfsburg midfielder Xaver Schlager then split the defence and put Steffen away with the towering Weghorst scoring on 26 minutes. However, the 1.97m-tall Dutchman squandered the chance to put the result beyond doubt when he fired his late penalty attempt wide. Hoffenheim finished the stronger. When Wolfsburg's US defender John Anthony Brooks failed to connect with a clearance header, Hoffenheim's replacement forward Sargis Adamyan smashed his shot into the net three minutes from time. However, Casteels' goalmouth heroics made sure Wolfsburg took the three points. Since shocking Bayern Munich 4-1 in late September left them briefly top of the table, Hoffenheim have now won just three of their eight games to drop to 13th. Bayern opened a two-point gap over second-placed RB Leipzig on Saturday with a 3-2 win at rivals Borussia Dortmund, who dropped to third."
6,01/11/2020,20:27,Hertha held on Guendouzi debut,"Arsenal loanee Matteo Guendouzi made his Bundesliga debut on Sunday as Hertha Berlin were held to a 1-1 draw at home to Wolfsburg, while Bayer Leverkusen came from behind to beat Freiburg.","Guendouzi replaced fellow Frenchman Lucas Tousart just before the hour mark and was booked for dissent in stoppage time in his first competitive appearance since June. The curly-haired midfielder joined Hertha on loan in October having fallen out of favour at Arsenal, but was forced to delay his return to action after testing positive for coronavirus. He finally made his debut in Berlin's empty Olympic stadium on Sunday, helping Hertha to end a four-game losing streak and pick up their first point since the opening weekend. ""It's not an easy situation, but we have to stay positive. We have a lot of new players in the side, and we need to get to know each other on the pitch,"" Hertha midfielder Vladimir Darida told Sky. Matheus Cunha gave Hertha the lead after less than six minutes, squeezing a low shot inside the post from the edge of the area despite slipping on the turf as he struck the ball. Ridle Baku levelled the scores with a sweetly struck shot on 20 minutes, smashing the ball into the roof of the net from 18 yards out to score his first goal for Wolfsburg since joining the club in October. Earlier Sunday, Argentina striker Lucas Alario continued his fine run of form with two crucial first-half goals as Bayer Leverkusen saw off Freiburg 4-2. After a disastrous first half-hour for Leverkusen, Alario struck twice before the break to turn the game on its head and fire his team back into the top four. ""It was a strange match in which we started badly. Normally you can't turn games like that around, but Lucas's goals really helped us,"" said Leverkusen coach Peter Bosz. The Argentine now has seven goals from eight games in all competitions, and has found the net in each of his last three league appearances. Leverkusen, meanwhile, remain the only Bundesliga team yet to be beaten after the first six games of the season. Freiburg took the lead on just three minutes, Lucas Hoeler latching onto a 50-yard through ball from Lukas Kuebler and flicking the ball past Leverkusen keeper Lukas Hradecky. Leverkusen were bracing themselves for a long afternoon when Sven Bender was shown a red card for a trip on Hoeler in front of goal, but the decision was reversed by VAR. Having ridden their luck in the first half-hour, Leverkusen ruthlessly took their chances from then on, with Alario turning the game on its head with two quick goals before half-time. The Argentine pounced on a misplaced pass from Nicolas Hoefler to slot home the equaliser, before turning in a low cross from Lars Bender to put Leverkusen ahead just minutes before the break. Bosz's side looked to be in the clear when Nadiem Amiri smashed in a third on 65 minutes, but a tap-in from substitute Nils Petersen quickly brought Freiburg back into the game. Yet the home side's revival was short-lived, as centre-back Jonathan Tah rose high at a corner to head in Leverkusen's fourth and seal the three points. While Leverkusen return to the top four, Freiburg now sit just three places adrift of the bottom three, having not won since the opening day of the season."
7,30/08/2020,23:06,Dominant Lyon beat Wolfsburg to claim fifth straight Women's Champions League title,"Lyon continued their reign as Europe's dominant women's team on Sunday, beating Wolfsburg 3-1 in the Champions League final to win the trophy for the fifth year running with Japan star Saki Kumagai's goal proving crucial.","Kumagai netted after Eugenie Le Sommer had handed the French outfit the lead in San Sebastian, giving Lyon a 2-0 half-time advantage and leaving Wolfsburg with too much to do even if Alexandra Popp pulled one back in the second half. Icelandic midfielder Sara Bjork Gunnarsdottir's late effort made sure of the victory for Lyon, whose fifth consecutive Champions League crown is their seventh overall, comfortably a record. Five in a row sees them equal the feat achieved by the Real Madrid men's team between 1956 and 1960, in the early days of the European Cup. French President Emmanuel Macron even tweeted his congratulations at the end of the game. ""Now we need to win a sixth in a row to beat the record,"" said captain Wendie Renard, who along with Le Sommer and goalkeeper Sarah Bouhaddi has featured in all seven final wins. ""It is hard to win this trophy but we give everything to win it every year."" Lyon's latest triumph confirms their status as the finest club team around even as rivals across Europe step up their investment in the women's game. Jean-Luc Vasseur's team had previously edged out Bayern Munich and Paris Saint-Germain in the 'Final Eight' in Spain's Basque Country, played out behind closed doors because of the coronavirus pandemic. They also pipped PSG to claim a 14th successive French title this year and defeated the same team on penalties in the French Cup final. This victory, against a side who won a German domestic double and were unbeaten in 40 games before the final, showcased the depth of their squad. Lyon were missing four leading stars, with France duo Griedge Mbock and Amandine Henry injured and Norway's 2018 Ballon d'Or winner Ada Hegerberg not fully fit. England forward Nikita Parris was suspended. But Lyon's long-serving president Jean-Michel Aulas continues to be rewarded for his heavy investment in a women's team, despite the prize money for winning the Champions League being a mere 450,000 euros ($535,000), a tiny fraction of that on offer in the men's competition. ""It is the stuff of legend because we have had to rebuild and innovate every year, but the team showed great resilience and to win a fifth Champions League in a row is absolutely incredible,"" Aulas told Canal Plus. Here, Lyon were still able to call upon a host of French internationals and foreign stars like Kumagai, Germany's Dzsenifer Marozsan and England right-back Lucy Bronze, who is now expected to return to her home country. They are now unbeaten in 65 matches stretching back over two years, and this is also the third time in which Lyon have beaten Wolfsburg in the final, leaving the Germans still searching for a third Champions League crown to go with their titles in 2013, when they beat OL, and 2014. Previous finals between these sides have been close affairs, although on this occasion the holders started strongly and were rewarded with the opening goal in the 25th minute. Delphine Cascarino cut the ball back for Le Sommer, and she pounced to convert the rebound after her first shot was blocked by goalkeeper Friederike Abt. The second goal came in the 44th minute. Ingrid Engen stopped Amel Majri shooting but only succeeded in setting up Kumagai, who scored with a terrific left-foot strike from 23 yards. Wolfsburg pulled one back just before the hour as Ewa Pajor set up Popp to head in from close range, but Lyon made it 3-1 in the 88th minute. When a corner was not properly cleared, Le Sommer went for goal and her wayward shot was deflected in by Gunnarsdottir."
8,29/08/2020,03:00,Wolfsburg aim to stop Lyon,"They are the two enduring heavyweights of the last decade in European women's football, and on Sunday title holders Lyon and German contenders Wolfsburg meet in the Champions League final for the fourth time in eight years.","Lyon's hegemony in Europe was supposedly under greater threat than ever before coming into the 'Final Eight', but the French club are now just 90 minutes away from winning the Champions League for the fifth year running, and for a record-extending seventh time overall. But Wolfsburg have lived up to their billing as the most likely team to halt Lyon's run, and are themselves now aiming to lift the trophy for the third time in their fifth final appearance. It is a fitting occasion for the women's game to be in the spotlight, although the coronavirus threat has ensured the match in San Sebastian will be played behind closed doors, just like the men's final between Bayern Munich and Paris Saint-Germain in Lisbon a week ago. The similarities do not go much further -- if the two men's finalists earned total prize money of around 80 million euros ($95m) and are expected to make around 130 million euros altogether once television revenue and other bonuses are added, the winner of Sunday's game will have made just 460,000 euros in prize money. At least Video Assistant Referees will be available for the final, having controversially not been in use previously in the competition. For years Lyon have served as a model of how successful a women's side attached to a professional men's club can be given proper financial backing, although rivals at home and abroad are gradually making life tougher. They were crowned French champions for the 14th year running in May in a season curtailed because of the pandemic, and they recently won the French Cup for the ninth time by beating Paris Saint-Germain on penalties in the final. Jean-Luc Vasseur's team again edged out PSG in the Champions League semi-finals, with skipper Wendie Renard's header making the difference in Bilbao. Prior to that they shaded Bayern Munich 2-1 in the quarter-finals. ""I think my team is growing in strength,"" said Vasseur after the semi-final. His squad reads like a who's who of the biggest names in women's football, from captain Renard to England right-back Lucy Bronze, Japan midfielder Saki Kumagai, Germany playmaker Dzsenifer Marozsan and Norway's 2018 Ballon d'Or winner, Ada Hegerberg. ""These players' hunger to win things is insatiable,"" Vasseur added. ""They are still greedy for success. I've never seen anything like it."" Two years ago, Lyon came from behind to beat Wolfsburg 4-1 in extra time in the final in Kiev, although that game actually ended goalless in 90 minutes. When 'OL' beat Wolfsburg in 2016 they needed penalties to do so after a 1-1 draw. And the Germans claimed the first of their back-to-back titles by defeating Lyon 1-0 in 2013. This will surely be another close contest, with Wolfsburg having completed a German league and cup double before coming to Spain, where they defeated Barcelona 1-0 in the semi-finals with Sweden international Fridolina Rolfo scoring. In Dane Pernille Harder they have another prolific Scandinavian forward and in Germany's Alexandra Popp they have a player especially determined to gain revenge -- she was sent off in the 2018 final with Wolfsburg leading at the time. ""They're the number one in Europe and we obviously want to put a stop to that,"" Popp told UEFA.com. ""I don't think we've had a season as strong as this year. And that gives us the confidence to go again in the Champions League final. We stated at the start of the year that our target was to win the Champions League."" One thing that could help them is that Lyon will be without suspended England forward Nikita Parris, who was sent off against PSG. The fearsome Hegerberg is not yet fully fit after a serious knee injury. 2009-10: Turbine Potsdam (GER) 2010-11: Lyon (FRA) 2011-12: Lyon (FRA) 2012-13: Wolfsburg (GER) 2013-14: Wolfsburg (GER) 2014-15: Frankfurt (GER) 2015-16: Lyon (FRA) 2016-17: Lyon (FRA) 2017-18: Lyon (FRA)"
9,27/06/2020,18:01,"Bremen snatch play-off survival chance, champions Bayern rout Wolfsburg","Werder Bremen gave themselves hope of avoiding relegation from the German Bundesliga by thrashing Cologne 6-1 to grab a play-off place on the last day of the season, while champions Bayern Munich routed Wolfsburg before lifting the trophy on Saturday.","Japan striker Yuya Osako scored twice as Bremen stole the lifeline of the relegation/promotion play-off place from Fortuna Duesseldorf, who lost 3-0 at Union Berlin and were relegated with Paderborn, finishing one point behind Bremen. Florian Kohfeldt's Werder will face second-tier opponents in either Heidenheim or possibly neighbours, rivals and fellow fallen giants Hamburg in the play-off first leg on Thursday. Bremen have spent more seasons than any other team in the Bundesliga, having only spent one term in the second tier, in 1980-81. A burst of goals from Osako, Milot Rashica and Niclas Fuellkrug -- all in the space of eight minutes -- had Werder 3-0 up at the break against Cologne at the Weserstadion. Former Everton midfielder Davy Klaassen then fired home a rebound just after the break before Osako, facing his old side, added his second and USA international Josh Sargent completed the rout. Dominick Drexler pulled a goal back for Cologne. Werder, the four-time Bundesliga champions, also needed a favour from Berlin and got one as Union beat Fortuna 3-0 with goals from Nigerian duo Anthony Ujah and Suleiman Abdullahi either side of veteran midfielder Christian Gentner's effort. Bremen will find out their play-off opponents on Sunday, with Heidenheim currently in the play-off place ahead of the final round of matches in the second division. At Wolfsburg, Bayern striker Robert Lewandowski scored a penalty for his 34th league goal of the season, finishing as the top scorer for the fifth time. Kingsley Coman, Michael Cuisance and Thomas Mueller also got on the scoresheet as Bayern, champions for the eighth straight season, finished 13 points clear of second-placed Borussia Dortmund. Mueller set up Coman for Bayern's opening goal to finish the campaign with a league record 21 assists, and his goal that rounded out the win was also Bayern's 100th league goal this season -- one short of the Bundesliga record. Wolfsburg captain Josuha Guilavogui was sent off for a second yellow card after fouling Cuisance, leading to Lewandowski's penalty. Meanwhile, Borussia Moenchengladbach and RB Leipzig secured qualification for next season's Champions League after 2-1 wins over Hertha Berlin and Augsburg respectively, as fifth-placed Bayer Leverkusen missed out by two points despite beating Mainz 1-0. Dortmund, who had already wrapped up second place, crashed to a 4-0 home defeat by Hoffenheim, for whom Croatia striker Andrej Kramaric scored all four goals, including one penalty. That result allowed Hoffenheim to leapfrog Wolfsburg and take sixth place, although both sides will go into the Europa League next season along with Leverkusen. Before kick-off in Dortmund, Mario Goetze, whose winning goal sealed Germany's victory in the 2014 World Cup final, was given a send-off by the club. He will leave this summer with his contract having expired, but the 28-year-old attacking midfielder has not announced his future club. Elsewhere, Timo Werner signed off with a brace in RB Leipzig's 2-1 win at Augsburg in what was his final appearance for the club before moving to Chelsea. Schalke's disastrous second half of the season was completed with a 4-0 thrashing at the hands of Freiburg as they finished the season 12th, having been third in December. Eintracht Frankfurt beat bottom side Paderborn 3-2 in Saturday's other game."
