,date,hour,title,subtitle,text
0,27/01/2021,00:06,"Real Betis, Villarreal qualify for Copa del Rey quarter-finals","Borja Iglesias scored twice in extra time to send Real Betis through to the last eight of the Copa del Rey on Tuesday following a 3-1 win over Real Sociedad, joining Villarreal and Levante in the quarter-finals.","Real Sociedad took the lead in the first half courtesy of Mikel Oyarzabal but were reduced to 10 men just after the interval following the dismissal of Asier Illarramendi. Antonio Sanabria was then sent off for Betis shortly before Sergio Canales equalised, with Iglesias striking in both halves of extra time to eliminate Sociedad. La Real will play Basque rivals Athletic Bilbao in the final of the 2019-20 competition on April 4, after it was postponed last year due to the Covid-19 pandemic. Villarreal edged past second-tier Girona 1-0 while Levante won 4-2 at Valladolid earlier on Tuesday. Lionel Messi will be available again after serving a two-match ban as Barcelona head to the capital to take on Rayo Vallecano on Wednesday. Athletic face Alcoyano, the third-division club that dumped out Real Madrid in the previous round, on Thursday."
1,08/12/2020,20:39,Qarabag unable to field team to face Villarreal in Europa League,"This week's Europa League game between Villarreal and Qarabag has been postponed because of the number of coronavirus cases in the Azerbaijani outfit, the Spanish club said on Tuesday.","""The Azerbaijani side do not have the minimum number of players available for the game, due to Covid-19 positive cases in their squad,"" Villarreal said on their website. ""UEFA will be in contact with both clubs, and will evaluate the current situation and will reveal a resolution in the coming days,"" they added. UEFA confirmed Thursday's game was off. The game in Spain in the sixth and final round of the group phase is completely irrelevant. Villarreal have won the group and Qarabag, with one point, are doomed to finish last. Villarreal, who visit Real Betis in La Liga on Sunday, are third in the table but have drawn their last three league games to fall five points behind leaders Atletico Madrid who have two games in hand."
2,21/11/2020,19:11,Depleted Real Madrid pinned back by Villarreal,"A patched-up Real Madrid had to hang on for a 1-1 draw at in-form Villarreal on Saturday, handing Barcelona and Atletico Madrid the chance to capitalise in La Liga.","Barca and Atletico face each other at the Wanda Metropolitano later on Saturday, when victory for either side would now prove even more valuable after another stumble from the reigning champions. Mariano Diaz gave Real Madrid the lead after just 105 seconds but Zinedine Zidane's team faded at La Ceramica and Villarreal claimed a deserved point through Gerard Moreno's second-half penalty. ""It feels like a small reward,"" said Zidane. ""We deserved more today for the game we played. I'm annoyed because of the effort from the boys."" Mariano was almost sold last summer but had to stand in for Karim Benzema, who is injured, and Luka Jovic, who tested positive for coronavirus on Friday. Sergio Ramos, Eder Militao and Casemiro were all missing following the international break, leaving Nacho Fernandez and an unfit Raphael Varane to fill in at the back, while Martin Odegaard made a rare start in midfield. Given the absentees, a draw may not worry Zidane too much, particularly against a buoyant Villarreal side who sat second at kick-off after four victories on the bounce. But another slip means Madrid have now won only three of their last seven games in all competitions, with a crucial visit to Inter Milan to come in the Champions League on Wednesday. If Atletico Madrid beat Barcelona they will move three points clear of their city rivals, with a game in hand, and nine ahead of Barca. Mariano had not started for Real Madrid since May 2019, when he again scored early against Villarreal after just 83 seconds. He was not far behind this time, heading in Dani Carvajal's cross after Villarreal's defence had stopped for an offside on Lucas Vazquez that never materialised. Villarreal increasingly took charge of the game, their slick passing giving a sense of control but few chances, the best of them in the first half falling to Dani Parejo, who nodded over. But Madrid appeared to tire as the match wore on and Villarreal's pressure turned more threatening in the last 20 minutes, with Moreno flashing wide from the angle and then Parejo missing the target from a cutback. The equaliser was late but deserved, as Thibaut Courtois flew out to meet a through ball for Moreno but arrived second and fouled the striker with his hands. Courtois dived the right way but Moreno's shot was well-placed into the corner."
3,20/11/2020,03:10,"Huge tests for Real, Barca, a milestone for Flick - what to watch in Europe this weekend","Real Madrid and Barcelona's stuttering starts to the season could continue, while AC Milan's unbeaten record in Serie A is in danger and Bayern Munich coach Hansi Flick is aiming to continue his astonishing record.","AFP Sport previews the standout football action on the continent this weekend: Monaco v Paris Saint-Germain, Friday 2000 GMT PSG are five points clear at the top of Ligue 1 and chasing a ninth straight win when they face Monaco, the only other club to have won the title in the past eight seasons. Paris have won 4-1 and 4-0 on their last two visits to the principality but they might find things harder this time, not least because coach Thomas Tuchel is without a host of injured players, while Neymar is a doubt. The game has a German accent to it, with Monaco looking to return to the upper echelons of the French game under new Croatian coach Niko Kovac, who was born and raised in Germany. Ex-Borussia Dortmund boss Tuchel has been full of praise ahead of the game for Kovac, who he came up against when the latter was at Eintracht Frankfurt. Kovac is looking to relaunch his career after being sacked by Bayern Munich. Bayern Munich v Werder Bremen, Saturday 1430 GMT Kovac was replaced in the dugout in Bavaria by Hansi Flick, who went on to win the Champions League, Bundesliga and German Cup treble last season and has added the UEFA and German Super Cups this season. On Saturday Flick takes charge of Bayern for the 50th time when they host Werder Bremen. Flick's record is astonishing. He has overseen 45 wins, one draw and just three defeats, with Bayern averaging 3.3 goals a game in the Bundesliga. Bayern sealed the title with a 1-0 win in Bremen in June. Werder only just stayed up last season and lost 6-1 on their last trip to Munich. A similar outcome is quite possible this time. Villarreal v Real Madrid, Saturday 1515 GMT Zinedine Zidane's Real have had two weeks to stew on a 4-1 hammering at Valencia and could find the going tough again this weekend when they make another trip to Spain's east coast to play Villarreal. Unai Emery's side are undefeated in six La Liga games and are second in the table, two points behind leaders Real Sociedad and two above Real, who have a game in hand. While Madrid are without talisman Sergio Ramos after he suffered a hamstring injury playing for Spain, Villarreal have two of Spain's most in-form strikers in Paco Alcacer and Gerard Moreno. The latter has four league goals this season and scored a late equaliser for Spain against Switzerland in the Nations League last weekend, while Alcacer has nine in total. They could make life very difficult for the champions. Atletico Madrid v Barcelona, Saturday 2000 GMT Barcelona claimed a first win in five La Liga games last time out when they thumped Real Betis 5-2, but they are currently eighth in the table, nine points behind Real Sociedad with two matches in hand. On Saturday they visit Atletico, who are six points above Ronald Koeman's side and on a club-record unbeaten run of 23 league matches. Luis Suarez's absence against his former side after a positive coronavirus test is a great shame, as will be the lack of fans, but this match still pits Lionel Messi against Joao Felix, and there is the return of Antoine Griezmann to face his old team. Napoli v AC Milan, Sunday 1945 GMT Milan's revival is real, as they spent the international break on top of Serie A, unbeaten and two points ahead of Sassuolo in second. A huge test awaits, however, as they go to Napoli, who are three points off the lead in third. Napoli have lost their last two home games but look like contenders for a top-four finish this season and the prospect of coach Gennaro Gattuso getting one over the club he served with such distinction as a player is a fascinating one."
4,02/11/2020,23:05,Villarreal up to third after win over Valladolid,Villarreal climbed to third place in La Liga on Monday with a 2-0 victory at home to rock-bottom Real Valladolid that left Unai Emery's side two points off top spot.,Nigeria winger Samuel Chukwueze bagged his first goal of the season with a classy left-foot finish on 21 minutes and Pau Torres added a second before half-time. Villarreal are unbeaten in seven games in all competitions since a 4-0 defeat by Barcelona on September 27. Real Sociedad occupy first place in Spain with Real Madrid a point back in second. Atletico Madrid are another two points behind but have two games in hand on the leaders.
5,18/10/2020,20:59,Parejo sinks former club Valencia as Villarreal go top,"Dani Parejo came back to haunt Valencia on Sunday by scoring the winner in a 2-1 victory for Villarreal, who moved to the top of La Liga.","After making 363 appearances for Valencia, many of them as captain, Parejo was one of a handful of key players allowed to leave the club in the summer. His deflected shot in the 69th minute was a reminder of what they were missing as Villarreal held on to go one point above Real Madrid. Despite a 4-0 thrashing at the hands of Barcelona last month, it has been an encouraging start for Unai Emery, who was appointed coach of Villarreal in July. They have 11 points from their first six games and lead the table after capitalising on inconsistent starts for La Liga's title favourites. Madrid and Barca lost to Cadiz and Getafe respectively on Saturday. Valencia sit 12th, having won just once in their last five matches, with the future of coach Javi Gracia still uncertain. Gracia was critical of the club after Valencia sold the likes of Parejo and Francis Coquelin to Villarreal, as well as Rodrigo and Ferran Torres to Leeds and Manchester City but failed to make a single addition in the summer transfer window. Emery was also once at Valencia and so was Villarreal's Paco Alcacer, who opened the scoring with a penalty before Goncalo Guedes levelled shortly before half-time. Yet Parejo had the last word, receiving a pass from Takefusa Kubo and curling in after his shot deflected off Mouctar Diakhaby. Villarreal had to play the last few minutes with 10 men, with Kubo sent off in the 90th minute after coming on in the 64th."
6,25/09/2020,03:23,Koeman's revolution needs instant results as Barca start against Villarreal,"Barcelona have kept Lionel Messi, discarded Luis Suarez and hired Ronald Koeman but the new era begins against Villarreal on Sunday when change must bring results.","A shortened break has not made it any easier for Barca, who are attempting in a matter of weeks the kind of renovation most elite clubs would give themselves years to carry out. Forty-four days will have passed since they were humiliated by Bayern Munich in the Champions League, the match that was followed by their coach being sacked and greatest ever player trying to leave. Messi was forced to stay and the early indications are he will make good on his promise to give his all this season, as Barcelona look to wrestle back the title lost to Real Madrid in July. On his first day back, Messi arrived more than an hour early and in his first week, he trained on the team's days off in what looked like an effort to make up for lost time. He has played in all three friendlies and scored twice in the second, when a hand clasp with Koeman was poured over by the Spanish press and was generally taken as a positive step. ""He is excited about Koeman's project,"" Barcelona president Josep Maria Bartomeu told TV3 last week. ""The important thing is he plays for Barca, at his home. We want him to retire at the club."" But it is hard to imagine Messi's thinking has dramatically changed since he angrily admitted defeat in his pursuit of a clause in his contract he thought allowed him to depart for free. He has watched on as Suarez, his best friend, neighbour and third highest goalscorer in the club's history, found out through the media his time was up, able eventually to join title rivals Atletico Madrid on Wednesday. Arturo Vidal, another close friend of Messi's, has also been let go, sent to Inter Milan for next to nothing. And Bartomeu, whom Messi has blamed for the decline in recent years, remains, insistent he has no intention of resigning. As well as Suarez and Vidal, Ivan Rakitic and Nelson Semedo have gone while only youngsters - Trincao, Pedri and Matheus Fernandes - have come in, as well as the 30-year-old Miralem Pjanic, whose swap with Arthur Melo was confirmed in June. Instead, renewal is likely to come not from a change of personnel but the system and pecking order. Koeman looks ready to deploy a 4-2-3-1 with the two holding midfielders picked from Pjanic, Frenkie de Jong and Sergio Busquets, with Busquets perhaps set to be most regularly left out. Up front Antoine Griezmann will take over from Suarez as partner-in-chief to Messi, potentially with Messi as the central striker and Griezmann just behind. Ansu Fati, Ousmane Dembele, Trincao and Philippe Coutinho are expected to be the main contenders for the attacking spots out wide. The 19-year-old American international Konrad de la Fuente has also impressed. There will be little change in defence, where Semedo's exit has left the club searching for a new right-back but Jordi Alba, Clement Lenglet and Gerard Pique will continue ahead of Marc-Andre ter Stegen. For Koeman, there may be some patience with teething problems early on but not much. If Messi had gone, there would have been more. Koeman only needs to look at his predecessor Quique Setien to know reform must be accompanied by results. Like Setien, Koeman's authority is already fragile given presidential elections in March could bring a new regime, who in turn could bring their own coach. Those elections could even happen sooner if a vote of no confience against Bartomeu is passed by the club's members next month. Change at the top would certainly encourage Messi but the Argentinian's happiness is likely to be most connected with performances on the pitch. Barcelona, and Koeman, need a good start."
7,21/09/2020,15:00,"African players in Europe: Mane, Zaha two-goal stars",Senegalese Sadio Mane and Ivorian international Wilfried Zaha were two-goal stars for Liverpool and Crystal Palace respectively in the English Premier League at the weekend.,"Mane punished 10-man Chelsea by scoring twice within four minutes soon after half-time to give defending champions Liverpool a 2-0 victory at Stamford Bridge. Zaha converted a penalty and scored again to assure Palace of a shock 3-1 triumph at Old Trafford over Manchester United, his former club. SADIO MANE (Liverpool) The Senegal forward tormented Chelsea as he triggered Andreas Christensen's red card and then scored twice in the champions' win. With a tight clash goalless heading into first half stoppage-time, Mane raced onto Jordan Henderson's pass and was pulled down by Christensen, who was initially booked before the decision was changed to a red card. Mane made sure Liverpool took advantage of their numerical superiority with a 50th-minute header from Roberto Firmino's cross. He followed his first goal of the season with his second four minutes later, this one a gift as he seized a wayward pass from Chelsea goalkeeper Kepa Arrizabalaga and slotted into the empty net. WILFRIED ZAHA (Crystal Palace) The Ivory Coast forward returned to haunt Manchester United as his double fired Palace to a shock win. Zaha had a difficult spell with United between 2013 and 2015 before rejoining Palace, where he is fulfilling his vast potential. The 27-year-old showed why Palace are so keen to keep him out of the clutches of a host of admiring clubs as he calmly converted a 74th-minute penalty and then killed off United with a fine finish five minutes from full-time. SAMUEL CHUKWUEZE (Villarreal) The young Nigerian midfielder provided an assist to help Villarreal come from behind and beat Eibar 2-1 in La Liga. A fine cross from Chukwueze midway through the second half enabled Gerard Moreno to equalise. DAKONAM DJENE/ALLAN NYOM (Getafe) Togolese centre-back Djene and Cameroon midfielder Nyom played the full 90 minutes for Getafe in a 1-0 home win over Osasuna in their first outing of the season. Jaime Mata scored the only goal nine minutes into the second half. VICTOR OSIMHEN (Napoli) Nigerian international Osimhen came off the bench after an hour for his Napoli debut to trigger the two goals in a 2-0 win over Parma. Three minutes after his introduction, the 21-year-old was involved in the opener from Dries Mertens, with Lorenzo Insigne adding a second a quarter of an hour later. ""Osimhen has an extra gear,"" said coach Gennaro Gattuso of the player Napoli paid Lille a club record 80 million euros ($94.6 mn) for. ""He's a serious lad who does not forget where he comes from. He lost his parents as a child... he is a young man with the head of a 40-year-old."" MEHDI BOURABIA (Sassuolo) Morocco international midfielder Bourabia came on after 62 minutes and equalised three minutes from time with his free-kick salvaging a point for hosts Sassuolo in a 1-1 draw against Cagliari. It was a rare league goal for the 29-year-old, who now has three in as many seasons with the club. CEBIO SOUKOU (Arminia Bielefeld) The Bochum-born winger, who debuted for Benin last year, gave promoted Bielefeld a shock lead at Eintracht Frankfurt in a 1-1 draw. The 27-year-old sprinted to the ball in the area and lifted his shot over Germany goalkeeper Kevin Trapp with an hour gone. SILAS WAMANGITUKA (VfB Stuttgart) The 20-year-old Democratic Republic of Congo forward netted Stuttgart's second goal, but their late fightback was not enough to avoid a 3-2 home loss to Freiburg on their return to the Bundesliga. Wamangituka fired into the bottom corner on 81 minutes. RAMY BENSEBAINI (Borussia Moenchengladbach) The Algeria defender clipped the ankle of 17-year-old United States junior international Giovanni Reyna to concede a penalty in Moenchengladbach's 3-0 loss at Borussia Dortmund. Erling Braut Haaland converted the penalty. AMADOU HAIDARA (RB Leipzig) The Mali international scored Leipzig's third goal in a 3-1 home win over Mainz, sweeping the ball home from point-blank range just three minutes after the visitors had halved a two-goal deficit. The Haidara goal was the decisive final act in a swashbuckling attacking performance from Leipzig. ANDY DELORT (Montpellier) Algeria forward Delort scored just before half-time and again on the hour mark as Montpellier trounced visiting Angers 4-1 to lie third in Ligue 1, one point behind Saint-Etienne and Rennes. IBRAHIMA NIANE (Metz) Metz ended a run of three losses since the season kicked off by winning 2-1 at home to Reims thanks to a brace from Senegalese Ibrahima Niane. He opened the scoring on 18 minutes and snatched the winner with two minutes of regular time remaining."
8,12/08/2020,14:49,Ex-Arsenal midfielder Coquelin leaves Valencia for Villareal,"Former Arsenal midfielder Francis Coquelin has joined Villarreal from Valencia on a four-year deal, both Spanish clubs announced on Wednesday.","Local media reported the deal for the 29-year-old, who left the Premier League side in 2018 after a decade-long spell, is worth eight million euros ($9.42 million). Villarreal will feature in next season's Europa League under the guidance of former Sevilla and Paris Saint-Germain coach Unai Emery. Coquelin was part of the Valencia team that finished ninth in La Liga after a miserable season for the club, during which supporters grew increasingly disillusioned with the ownership of Singaporean businessman Peter Lim."
9,10/08/2020,18:18,Japan's Kubo joins Villarreal on loan from Real Madrid,"Real Madrid's Japanese talent Takefusa Kubo has joined Villarreal on loan for the 2020/21 season, the clubs announced on Tuesday.","The 19-year-old winger spent last season on loan at relegated Real Mallorca and impressed, registering four goals and five assists in 35 La Liga appearances. One of Kubo's best displays came in Mallorca's 3-1 win over Villarreal in November, when he won a penalty before scoring himself with a superb, long-range shot into the corner. Joining Villarreal, who will play under Unai Emery in the Europa League next term after just missing out on the top four, will be another step up for the teenager. ""Real Madrid and Villarreal have reached an agreement over the loan of Takefusa Kubo for next season in a deal running up until 30 June 2021,"" read a statement from Real Madrid. Kubo, who has already earned seven caps for the Japanese national team, will be presented at Villarreal's La Ceramica stadium on Tuesday. Villarreal described him as a ""young midfielder who has magnificent ball control, stands out for his extraordinary ability to go past opponents and possesses excellent vision of the game."" Kubo joined Barcelona's La Masia academy aged 10 and once asked Lionel Messi for an autograph during his four years at the club. But Barca were served with a two-year transfer ban in 2015 after breaking FIFA regulations on signing youth players, and Kubo was among several youngsters forced to leave. He returned to Japan, where he joined FC Tokyo, and while Barcelona were expected to bring him back to Spain eventually, Real Madrid stole a march on their rivals by signing him on a six-year contract last year. Zinedine Zidane praised Kubo's performance when he played for Mallorca against his parent club in June. Real Madrid won the game 2-0. ""He's a very clever player, he always tries to go for goal and I'm not surprised by how well he played,"" Zidane said. Before the match, Zidane said: ""I'm glad he has been playing regularly, that is what we were looking for. He is very good and it would be better for us if he didn't play tomorrow. But it is what we were looking for in the club that he joined, that he plays regularly."" Several La Liga clubs expressed an interest in Kubo but Madrid saw Villarreal as the best option. They finished fifth in La Liga after a strong end to the season and Emery, who has replaced Javi Calleja as coach, is believed to have been especially keen on his signing. Villarreal are adding reinforcements after losing key player Santi Cazorla to Al-Sadd in Qatar, with Valencia's Dani Parejo and Francis Coquelin both linked with joining the club."
